run_id,mode,lab,batch,sample,tube,order,raw_file
DDA_APT_D5_1,DDA,APT,DDA_APT,D5,1,1,Exp083364_P20200701388_F1_R1
DDA_APT_D6_1,DDA,APT,DDA_APT,D6,1,2,Exp083365_P20200701388_F1_R1
DDA_APT_F7_1,DDA,APT,DDA_APT,F7,1,3,Exp083366_P20200701388_F1_R1
DDA_APT_M8_1,DDA,APT,DDA_APT,M8,1,4,Exp083367_P20200701388_F1_R1
DDA_APT_D5_2,DDA,APT,DDA_APT,D5,2,5,Exp083368_P20200701388_F1_R1
DDA_APT_D6_2,DDA,APT,DDA_APT,D6,2,6,Exp083369_P20200701388_F1_R1
DDA_APT_F7_2,DDA,APT,DDA_APT,F7,2,7,Exp083370_P20200701388_F1_R1
DDA_APT_M8_2,DDA,APT,DDA_APT,M8,2,8,Exp083371_P20200701388_F1_R1
DDA_APT_D5_3,DDA,APT,DDA_APT,D5,3,9,Exp083372_P20200701388_F1_R1
DDA_APT_D6_3,DDA,APT,DDA_APT,D6,3,10,Exp083373_P20200701388_F1_R1
DDA_APT_F7_3,DDA,APT,DDA_APT,F7,3,11,Exp083374_P20200701388_F1_R1
DDA_APT_M8_3,DDA,APT,DDA_APT,M8,3,12,Exp083375_P20200701388_F1_R1
DDA_FDU_D5_1,DDA,FDU,DDA_FDU,D5,1,1,Lumos01918_XM_SLM-20200706-1
DDA_FDU_D6_1,DDA,FDU,DDA_FDU,D6,1,2,Lumos01918_XM_SLM-20200706-2
DDA_FDU_F7_1,DDA,FDU,DDA_FDU,F7,1,3,Lumos01918_XM_SLM-20200706-3
DDA_FDU_M8_1,DDA,FDU,DDA_FDU,M8,1,4,Lumos01918_XM_SLM-20200706-4
DDA_FDU_D5_2,DDA,FDU,DDA_FDU,D5,2,5,Lumos01918_XM_SLM-20200706-5
DDA_FDU_D6_2,DDA,FDU,DDA_FDU,D6,2,6,Lumos01918_XM_SLM-20200706-6
DDA_FDU_F7_2,DDA,FDU,DDA_FDU,F7,2,7,Lumos01918_XM_SLM-20200706-7
DDA_FDU_M8_2,DDA,FDU,DDA_FDU,M8,2,8,Lumos01918_XM_SLM-20200706-8
DDA_FDU_D5_3,DDA,FDU,DDA_FDU,D5,3,9,Lumos01918_XM_SLM-20200706-9
DDA_FDU_D6_3,DDA,FDU,DDA_FDU,D6,3,10,Lumos01918_XM_SLM-20200706-10
DDA_FDU_F7_3,DDA,FDU,DDA_FDU,F7,3,11,Lumos01918_XM_SLM-20200706-11
DDA_FDU_M8_3,DDA,FDU,DDA_FDU,M8,3,12,Lumos01918_XM_SLM-20200706-12
DDA_NVG_D5_1,DDA,NVG,DDA_NVG,D5,1,1,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D5_1
DDA_NVG_D6_1,DDA,NVG,DDA_NVG,D6,1,2,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_1
DDA_NVG_F7_1,DDA,NVG,DDA_NVG,F7,1,3,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_F7_1
DDA_NVG_M8_1,DDA,NVG,DDA_NVG,M8,1,4,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_1
DDA_NVG_D5_2,DDA,NVG,DDA_NVG,D5,2,5,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D5_2
DDA_NVG_D6_2,DDA,NVG,DDA_NVG,D6,2,6,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_2
DDA_NVG_F7_2,DDA,NVG,DDA_NVG,F7,2,7,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_F7_2
DDA_NVG_M8_2,DDA,NVG,DDA_NVG,M8,2,8,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_2
