protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,2.18991524699503,,2.04437269601056,,2.06291332070189,,2.24965033414835,,2.1328531623819,,,,,,,,,,,,,,,,,,,,,,,,,1.99363334341903,2.18042389227375,2.11383988267575,2.04461698303354,1.93589540693297,2.246535763004,2.40861161948251,2.09700072002236,,,2.29296061074894,,,,,,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.29394219114751,,,,2.59786931237943,2.33837505198743,,,,,2.20710338356418,2.72206210118384,2.52030111963516,2.39318933435901,2.24073972885128,2.43417890654687,2.64005729134222,2.63391642261255,2.19617748721812,2.52140083947899,2.14334725473422,2.10169944613362,1.4092886186886,2.7532782067336,,,,,,,,,,,,,2.25136321430495,2.51632094984854,2.75831644567505,2.47429326905216,1.71342675169797,2.37651375802932,2.09196714628547,2.41916621712694,2.13510539370929,2.42595681796556,2.15098401688727,2.51479556473257,3.13309527782365,2.99642246996258,3.00831751161543,1.43067822897546,1.75891953721657,1.13170021315246,1.43607523379964,3.13184788174714,0.744267466096651,2.75415909297645,3.38631718729103,2.93898973044154,2.2567706563059,2.75658291237189,2.36579707815775,2.47212480559897,2.33320763003846,2.27747562684859,1.97649510976056,2.06456487226595,2.06315847543719,2.25073498912092,2.07098938332476,2.77584071130171
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-4.42023089242463,,-4.68557757608302,,,-5.02299885447621,-4.8506150931009,,,-4.73164464858956,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.53344563940645,-5.36187861615724,-4.56569525542662,-7.15142180387329,-5.2532058149838,-4.86805162566152,-3.84879056249321,-4.88093998555765,-5.18292322406805,-4.73654295134134,-4.27913341698159,-4.21075833748966,-5.21430227480649,-4.71816966479903,-4.75463313001034,-5.19991822641275,-5.31393837859389,-4.56012315889746,-4.72381897327838,-5.42162119059789,-5.1291599663068,-4.92240765460151,-4.85193774816518,-5.02095072249329,-4.84823063087448,-4.4482093174836,-5.49483514453045,-6.6531181654335,-3.64528115189809,-4.06750162294407,-4.16137793898207,-5.60526914407647,-4.84288206004251,-4.78148846675569,-5.41570965899381,-5.96064850098458
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-1.18488617222935,-1.19156020644211,-1.39697279801952,-1.23365345230877,,,,-0.841306874461555,,-0.666192581328956,-1.54756803165479,,-0.848585011000013,-1.2889322407922,0.856122166069703,-1.00000327843943,-1.15310970753797,-1.06296389632783,-0.914195119999051,-0.901764963413715,-1.20398204291615,-0.699147786732327,,,,,,-1.32615965353313,,-1.29253383313595,-1.20625658406327,,,,-0.835366044947039,-1.31134965076434,-0.923853137251601,-2.4971401630319,-1.5886699059761,-0.946560047002203,-1.10598315999598,-0.975737819404858,-0.120688005969395,-1.82602796267081,-1.36895051556522,-0.736464464737042,0.917186772925858,-0.793774499356141,-0.817300901046716,-1.49446950637989,-1.50824179902284,-1.12141590292872,0.381596759618965,-1.09139452351539,-1.02623774470458,-1.35302338404126,-1.14656025907622,-0.986881761736568,-1.35978930402745,-0.553451852434766,-0.687797179219208,-0.461478296581219,-0.577829172247634,-1.03377958137322,-1.63338464495435,-0.858427711993133,-0.544151693952365,-0.734776899873455,-1.49946484563748,-1.80202052355446,-1.53251383679124,-0.755440715552873
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310601118401188,-3.88549711539595,-1.19574269902882,-1.29753601829918,-1.18074662928161,,-3.37713594109207,,-0.244002481654698,-1.7342598921613,-0.91298604265862,-0.932251437980625,,,,-2.37988547262612,-2.4793601698617,-1.77969474731384,,,0.0618339443937472,,-0.936225661999439,-0.282245246509327,0.495594750399511,-4.00627074153353,-2.25988967827927,,,-1.83302079577844,-2.7564717063337,-1.74237531178082,,0.995827249492965,-2.88047586072037,-1.7931303779392
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.4110116071114,2.2711283842801,2.25146163897157,1.65473196333438,2.51659923073174,2.18759199721368,2.64076999072451,2.10013667778357,2.42699690214137,2.30207076245029,2.13552426588681,1.81774646860343,2.1214142714691,1.52389380102217,2.11019856905575,1.02047679021096,2.36636089933258,1.46924509933726,1.63458278356609,1.24411741627004,1.98273020481404,1.76219837915441,1.96385236283656,1.5579803233831,2.32962113277763,1.88178952887248,2.28489147949136,1.79033757534054,2.35490068110344,1.74712155871836,2.13258541754642,0.705410792672204,2.1029317363803,2.2100980948901,1.05317195591542,,2.39984668474414,2.0609053998298,1.98956189153344,1.64945892831127,2.21887933950588,1.81227569728798,2.25981229547809,1.68547441332241,2.42182987429306,1.78897632498418,2.0448561319407,0.470596085507662,2.30272412359475,1.4794812748488,1.97455053912021,1.54551845879609,2.31836568351007,1.42428806746663,1.93594723953342,1.75599701682662,2.50276194566906,1.59636972979284,2.03223600019335,1.62699434793518,2.26994347995108,1.81057748628692,2.07381241019571,1.49549263754113,2.25328945372307,1.93928171208619,2.07374914107877,1.23865319747243,2.30124585616261,2.16211170602104,2.34984782685442,1.33268512087309
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,0.0227229989366506,,0.477561220832193,,0.284403185405091,0.338910853874808,0.324203988909195,0.120400971873221,0.0202006612081425,0.519940892670101,0.404800726886719,,,,,,,,,,,,,,,,,,,,,,,,,,-0.138298775926943,0.315392797209975,0.422405560907351,-0.468660600723831,0.856941573247751,-0.919261506893803,0.695874534233118,1.08850304214842,-1.03908382177451,1.08274562656831,1.17939770034765,0.359225038563176,0.55172022074562,0.309315036332953,0.554462115674091,0.462924261585304,0.309477976541677,0.342480830591025,0.497860633103631,-0.307676052360044,0.0899015989261915,-0.0530250579840561,0.678317040808496,0.0682460602956088,-0.757483233320483,0.419030816373115,0.464303258397869,-0.520417315236363,1.02521166537917,1.43356916026036,0.28729160794049,0.974905240733174,-0.382123667546613,0.768843270233633,-1.11028063928913,0.867786572365876
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.503797801938197,,0.313659488265381,,,-0.7240329537857,0.313659488265381,,-0.503797801938198,-0.7240329537857
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94170075863641,7.68465693090204,8.66764794668697,9.81797577701605,8.68719345878061,7.97773965562113,9.39731932987329,7.4646978361559,8.35354518126239,7.68195866731407,8.79778768534322,9.84571600115341,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
