protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,,,,,,,,,,,,,-0.130147976343721,0.0420113909966847,-0.153809138973382,-0.0886922489893487,-0.0881693433010388,0.191846274131813,-0.529921774803943,0.160194090145796,-0.210141465116029,-0.223711762959442,-0.344195053804526,0.421117802084866,,,,,,,,,,,,,-0.357505798737001,-0.016419746671414,-0.352663368188296,0.154425309133997,-0.461827157100159,-0.00758786147140086,-0.112455034783571,0.0123662372230504,-0.403731622861762,0.0312708575179089,-0.11889933678033,0.200693661883672,0.647541993420023,0.538050741529229,0.455230827696164,0.122309917915975,-0.372221987810801,-0.298450096335249,-0.203683239515583,0.793214840466253,-0.344162223180068,0.658088573057667,0.647359147458328,0.686086488165211,-0.514631697920664,-0.00975522472295693,-0.213262140846883,-0.256552731162414,-0.304860238926489,0.0217035276270232,-0.223238047005552,-0.0916432644283972,-0.586669696608869,0.0555502232255438,-0.636677759914337,0.143943947723771
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.540545167216496,-0.203191321513474,0.222960239943847,,-0.514992669145898,-0.118156028184376,0.691534473673329,-0.184566298496848,,0.32134734969785,0.405929796431164,1.00761064302,-0.316918743453652,-0.0872164520838052,0.097516917476727,-0.807731551344262,-0.339660656248788,0.0977450999046255,0.100979692588981,-0.243648671904685,-0.403780436845586,0.0042005349416054,-0.0376631193549873,-0.417419927296826,-0.673096890544521,0.105751329882172,-0.482051730136654,-1.30031407625002,0.280061893912678,0.371153695105449,-0.14784067413626,-1.4031341164789,-0.473229143893889,-0.242691074639065,-0.424154190749511,-0.460797465142204
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",,,,,,,,,,,,,,-0.374948907557966,0.0614942368086068,-0.0960146171251801,-0.0053190910216716,-0.0108137132127433,0.0877006713043249,0.179996585267697,-0.072235281767171,0.38576262077071,,,,,,,,,,,,,,,,,,,,,,,,,,,0.594458258514525,-0.339397504605249,-0.000933104502100841,0.148911982047105,0.248082332426401,0.234571293675574,0.301159013581289,0.262292576319946,0.167159241046303,0.268570530006166,-0.089516161738848,0.675378371573644,0.0935419853820598,-0.00114834651083951,0.534405253308232,-0.183094270473188,0.249517261853065,0.0134297671707602,0.337995916945618,-0.0195437873777709,0.225081481356139,0.0753710452175598,0.28193462829539,0.0239439605236993
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.555604418771698,0.109601943670057,0.264262200983704,-0.439047646712687,0.410964557795134,-0.0837049791695141,0.387847042355151,-0.308075870324745,0.60735807180854,-0.00918026832306987,0.173149174709001,-0.3376580822117,0.569268074261582,0.009673060173466,0.280907853080239,-0.681960382684444,0.694702902437164,-0.0161843769497096,,-0.49291939088097,0.555401543322161,0.00651131677624364,0.0811304807431382,-0.208322580229416,0.363658760920981,0.139099299708606,0.449384996961217,-0.270143243083059,0.543451156879653,-0.131177632376439,,,0.552231827099325,-0.00792166733216648,,,0.535545287100858,0.139831784936385,0.387836826513234,-0.254357474439964,0.562337412873564,-0.164319210945642,0.473297326754977,-0.28660671344413,0.707938723695993,0.0648176324794675,0.234112677133739,-1.12963151702568,0.754404354852933,0.0347836527835851,0.31318053449102,-0.467397950669983,0.71575399049589,-0.103978861723663,0.470909841676494,-0.471707527413294,0.726259363198441,0.0906880436690857,0.321545181562283,-0.559910867266055,0.457847934579854,-0.0363494149660913,0.131148207204596,-0.362142044402602,0.454977025496815,-0.0022675103806518,0.167471214550005,-0.466110826370862,0.474811448080577,0.115854544420138,0.185257978749241,-0.721652921775078
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.20302368900597,0.524447254282661,0.572528793357778,-0.0794486034622898,0.549959198391035,-1.09966188816904,0.696286154913864,1.84460477645098,-0.175869537839347,0.575214633886383,0.154346880946499,0.0109245946983342,0.321689237586627,0.133739634630247,0.364777204949899,0.0404451742893609,0.229782595182648,0.0430751315853404,0.264451982423917,-0.593122162791493,-0.0589502568179716,-0.176814766215587,0.352193599824817,-0.353899636813636,-0.846645164609573,0.110333207765649,0.247205603839932,-0.930053433504105,0.188648924648752,0.132288517697443,1.10376023151628,-0.165228783188883,-0.254617635508661,-0.187911380954334,-0.318383240126963,-0.97007931840091
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.490881214453995,0.462486033933313,-0.0171677946317346,,-0.109453026757485,0.393471906829507,-0.346443242412917,0.129975328691175,-0.0653484444405058,-0.85595794076282,-0.248488648320117,0.108408468756931,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
