protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,6.6412477,7.337637,7.019335,6.9004097,6.4311724,6.6652374,6.2663145,6.5583153,5.6868076,6.3827176,6.326681,6.4495296,6.5541854,7.4919224,7.0266066,6.819896,5.9276886,6.9013233,7.249464,6.7850776,6.275752,7.1706204,6.730982,6.5143256,6.082326,6.742519,6.5781746,6.6273713,6.296709,6.667531,6.693684,6.49485,6.069842,6.6107306,6.726693,6.3663063,6.9521184,7.493682,7.3600297,7.208447,6.7563667,7.5165935,7.677346,7.419703,6.843585,7.827519,7.5804687,7.6152387,5.8554816,6.3256855,6.171206,6.346208,5.8888273,6.4523625,6.9331536,6.5531797,6.305805,6.640168,6.839735,6.656207,6.517264,7.1125784,6.9379516,6.873085,6.5753713,6.964867,7.146256,7.034106,6.6208577,7.162888,7.205918,7.060802
"1,4-alpha-glucan-branching enzyme",6.6153680043681,7.28883371836202,6.9860600585546,6.86377844846455,6.41629287615247,6.63449235889464,6.25297942701096,6.53309667120562,5.69019266570133,6.35809165058306,6.30912661040375,6.42106741190612,6.51926325773224,7.42240319517799,6.97715774230279,6.7721414819361,5.90973477258771,6.8561156033129,7.18759723935331,6.73560861673546,6.24875712699055,7.10739982953837,6.68193226334524,6.46720184148856,6.04631878881794,6.68307436085791,6.5243621872932,6.56670962893901,6.25072523636162,6.61066322328482,6.633495701205,6.44153566502512,6.03140117567107,6.55252210340799,6.66665316408681,6.3107690703964,6.90823174900565,7.43116672591098,7.30688181543606,7.15015341268729,6.72287287099351,7.45819877634728,7.61762227596227,7.35983514302503,6.80832209798594,7.75519181177072,7.52453601824589,7.55153912090284,5.84019532678235,6.29429998533458,6.1448895344148,6.30544523052433,5.87330645137499,6.41770056594642,6.898743442855,6.51013262227869,6.27785405133634,6.60504201508532,6.80090906471255,6.61057968609053,6.46092165840759,7.04722062218822,6.87325322754226,6.80517693944039,6.51660684878632,6.89897095447262,7.0770555077384,6.96299756719821,6.5623495150672,7.09429412603465,7.13863926256618,6.99299950373272
"10 kDa heat shock protein, mitochondrial",6.71657370358943,7.40463185968733,7.0928645029399,6.97054580650352,6.51028198086365,6.73716037745848,6.34673902279752,6.63351067919717,5.77158730159581,6.45847854598942,6.40726742864414,6.52192882498795,6.6181628148416,7.54032982199693,7.08343412533254,6.88031347649793,6.00068888921065,6.96419177174185,7.30507967696214,6.84564622355572,6.34862171023511,7.22750257212447,6.79527947239095,6.57386573256335,6.15236292278399,6.80277624192415,6.64119710528066,6.6850306741724,6.36278712929586,6.72897715008989,6.75211550079071,6.55430985949333,6.1369492038607,6.66867948006133,6.78575493005557,6.4249998017202,7.01596777058219,7.54431643571811,7.41393681129671,7.2612839502324,6.81928898062921,7.56695451874664,7.72641243243365,7.4691761536273,6.90729890383634,7.86911732319491,7.63115745710921,7.66382272922762,5.9220982368042,6.38953463524055,6.23759374555463,6.4029803686937,5.95675528326437,6.51657824866558,6.99293769844581,6.60999646077314,6.3693333961153,6.70458267470842,6.90515997172641,6.71057115824835,6.54307546834386,7.13925691567841,6.96429898713404,6.89620952361053,6.60260763397038,6.99012160125542,7.17117016531785,7.05463449666743,6.6487031456049,7.18728242092182,7.23497680280659,7.08437827356436
116 kDa U5 small nuclear ribonucleoprotein component,6.78686714433781,7.47081511469524,7.16258714205141,7.03767413626555,6.58496849852152,6.80262425737135,6.41346870721039,6.70510132875386,5.8512630131273,6.52421951048156,6.48185041305211,6.59482137844016,6.6890089534546,7.60460332657772,7.14964013833644,6.94690893014562,6.07774092242109,7.02997478620982,7.37021273498954,6.91480086018745,6.41564684032787,7.29290662458543,6.85707332724951,6.64039233704315,6.21551323279801,6.86306829723068,6.69915034314432,6.74579922178697,6.42568622801375,6.78868632472296,6.81227664821883,6.61787715884225,6.20643206341319,6.73131957403012,6.84696714259639,6.49042263841163,7.07893984668767,7.60718773005893,7.47839136631651,7.32169663008492,6.88844380110984,7.63156377174735,7.79126042608347,7.53253226513327,6.97625753057399,7.93286211793148,7.69647722839808,7.72936239605429,5.99962220531052,6.45872385666858,6.3061853548144,6.47409200207353,6.03464701541003,6.58248353612878,7.06295547868354,6.67805026952794,6.44077922020282,6.77284978296625,6.96855087356104,6.78138300477725,6.62110488567619,7.20977855064075,7.03312935900398,6.96742851523175,6.67539931832112,7.06108732595098,7.23935727031583,7.12513707253113,6.72063048347627,7.25639870281909,7.30049097210251,7.15516791266834
14 kDa phosphohistidine phosphatase,6.6987123,7.3829837,7.075169,6.9519377,6.4948926,6.721644,6.336804,6.6169577,5.7634254,6.4465575,6.392894,6.502824,6.5958996,7.512146,7.064392,6.8562107,5.986434,6.943358,7.278564,6.8182096,6.331848,7.1976113,6.774882,6.5568643,6.1465063,6.7893567,6.6311746,6.670474,6.3547583,6.7170715,6.7393894,6.5415516,6.126637,6.6543136,6.7720895,6.410785,6.997119,7.515591,7.3870473,7.2382593,6.7987833,7.5364294,7.696145,7.4427943,6.884613,7.83489,7.601561,7.634737,5.920437,6.377525,6.230706,6.3915443,5.952818,6.502906,6.9682784,6.595039,6.3560176,6.6866508,6.8872766,6.6932545,6.5322986,7.1178946,6.9467707,6.880223,6.59103,6.9715695,7.1488156,7.03464,6.635333,7.1645527,7.212739,7.061876
14-3-3 protein epsilon,6.76150108527846,7.46130777837495,7.14472922027416,7.02042694271778,6.55228677011267,6.784817837772,6.38916392311465,6.67703308626199,5.803319064779,6.49997016442545,6.44455296780328,6.56004460824328,6.66293070171656,7.59901418555858,7.13718907081987,6.92636782340399,6.03379861647732,7.01309814173155,7.35397902185089,6.88624791391162,6.38959351206257,7.27239390250546,6.83668971083728,6.60965929708712,6.198350692149,6.85647554643116,6.69375237220952,6.73576332209573,6.41035921336261,6.7811580928434,6.80468680831525,6.6043148460055,6.17990588196207,6.7207562780871,6.838579782804,6.46942534197553,7.06985186792112,7.60535326472143,7.47401509111698,7.31901019526944,6.87224752280607,7.62916482763969,7.79262180884428,7.53001146192171,6.96056042999053,7.93758926743426,7.69767993440665,7.72500886676621,5.95980105414302,6.42931231294053,6.27579318571985,6.44119441490797,5.99287158541649,6.55886126454508,7.04582096325928,6.65305497696321,6.41087622610631,6.74920364167976,6.95361321883516,6.75397840668947,6.59143297714301,7.19912656334117,7.02200737136812,6.95025181704654,6.65303080145222,7.04668107674994,7.23157787407969,7.11296595382445,6.70046002671255,7.2482551877474,7.29656050647211,7.14314724705831
14-3-3 protein eta,6.75085710033035,7.43361449042885,7.1254730662488,7.00034589523887,6.54806032287138,6.76818140372277,6.38162623508899,6.66747883735441,5.81731816958692,6.48864502966765,6.44328125543888,6.55382169477269,6.65344206659236,7.5700175670275,7.11710724550053,6.91109059165957,6.04462499449547,6.99556972201512,7.33018262598167,6.87636833443132,6.3845762280224,7.25132736386509,6.82262324473106,6.60435791202808,6.17804176286982,6.8265152998847,6.66594358230056,6.70610997771366,6.38593817883911,6.75134801130952,6.7736348894574,6.57570520156963,6.15916024132388,6.68890531655201,6.80642456189545,6.44205641726484,7.0457998959247,7.56909310302342,7.44239279124829,7.28784143922154,6.85177450677073,7.59473198381516,7.75908872971023,7.49549823649852,6.94011850632678,7.90024935663549,7.66614291861348,7.68916842170573,5.97280325204695,6.42580896169635,6.27554024969973,6.43851370397429,6.00549201971748,6.54992802527254,7.02706582369997,6.64168843256594,6.40787761390783,6.73821679310418,6.93575658960377,6.74446351279056,6.57706206650549,7.16366290808933,6.9871659859685,6.92098082006574,6.63135200692371,7.01344046791841,7.19145042544886,7.07851059884809,6.67620249424199,7.20815181224957,7.25436827072859,7.10736613033911
14-3-3 protein theta,6.76849940019147,7.46524242777231,7.15066314511943,7.02780836840086,6.56001178647511,6.79438317217495,6.40155746112756,6.68637907111027,5.81782873006518,6.51383076898063,6.45933837793932,6.57163368973991,6.66869933540981,7.59868812123591,7.14096958507979,6.93221475767429,6.04670364035121,7.01769964540195,7.35934514770855,6.89412143471673,6.39785698405665,7.27916323529789,6.84694348697447,6.62515451041166,6.21047391340396,6.86641892618176,6.70527897919342,6.74572053131672,6.42164095627538,6.79177286489043,6.814255626361,6.6132593642169,6.19043130284566,6.72914135389341,6.84813981670962,6.48045365649953,7.07514554465761,7.60607305170101,7.47405270852918,7.32313040687493,6.87498768757597,7.62823650144181,7.79190763170954,7.53206553567566,6.96175884444357,7.93697852155512,7.69676246278092,7.72649276681631,5.97521443080649,6.44730256506015,6.29620781227603,6.46042231673654,6.01001796991865,6.57646113006141,7.05344097923061,6.66915777481751,6.42496285867191,6.76437970877329,6.96791267050175,6.7684040698971,6.60165438832116,7.20868959917848,7.03266459896093,6.96191957612517,6.66222699410479,7.05676272631419,7.24041885024918,7.12320522360822,6.70869441826425,7.25716482186557,7.30384899821203,7.15180997778049
14-3-3 protein zeta/delta,6.74443460619269,7.4357918810311,7.12293205316697,6.99989737549982,6.53833865102833,6.76591634427891,6.37357714616131,6.6614152641047,5.79615973970923,6.48516089759629,6.43341356519982,6.54844549582802,6.64793329755391,7.57570789496733,7.11744761594103,6.91037161463858,6.02578400038056,6.99518678648407,7.33643674645243,6.87436692894269,6.37549197542792,7.25762380767927,6.82366156288002,6.60079831129858,6.18313974848597,6.83673499582895,6.67430713278155,6.718743672297,6.39498456812568,6.76214373419832,6.78585474371088,6.58770542635206,6.16852500893728,6.70277895096085,6.81962628343936,6.45695670352958,7.04736068067885,7.58003621469752,7.44884585965925,7.29499987797298,6.85199020867111,7.60323804520378,7.76423979697662,7.50505011727859,6.93950848316327,7.90907954792899,7.66965698195801,7.70027501113889,5.9453063721042,6.41444375475734,6.26110717172917,6.42756689311736,5.97991017934221,6.5423590310516,7.02577508241674,6.63705524884151,6.39593961638043,6.73291559824862,6.93469531469935,6.73803617927133,6.57190071970367,7.1750429143037,6.99806879024496,6.9275778094843,6.63258706093798,7.0237988529774,7.20705616004874,7.08881918052464,6.67981365480517,7.22365650417297,7.27193552663503,7.11976478536384
15 kDa selenoprotein,6.7787504,7.4902487,7.1680927,7.0422645,6.5628395,6.807847,6.409274,6.6892347,5.7992034,6.5181046,6.448269,6.56515,6.672144,7.6263294,7.159856,6.9393854,6.0277534,7.0309386,7.3713994,6.888806,6.401182,7.284179,6.849115,6.6077657,6.2210817,6.8851175,6.7245765,6.7639956,6.4354444,6.810862,6.833447,6.632172,6.198522,6.7510614,6.8689303,6.4899073,7.0936475,7.6346397,7.50185,7.3464355,6.888724,7.6606784,7.8297677,7.5602207,6.9775996,7.9784517,7.7357926,7.7531104,5.9473176,6.4259467,6.2718844,6.436017,5.983303,6.559941,7.054302,6.65228,6.4109597,6.7529006,6.9674397,6.749398,6.577454,7.202757,7.0245185,6.945885,6.6442003,7.046688,7.2384443,7.1127934,6.6938605,7.2541804,7.309176,7.1448894
