protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
[Protein ADP-ribosylarginine] hydrolase,,,,,,,,,,,,,-0.13089654691875,0.0427538388555167,-0.151093475538354,-0.0854603713504664,-0.0889866560024308,0.192046589199761,-0.526883292171799,0.15958310293083,-0.2098003431127,-0.224654525886223,-0.346592901179357,0.422151992237921,,,,,,,,,,,,,-0.337677062641676,-0.0150285795904588,-0.209938411684133,0.164318120327956,-0.219765743662986,-0.00191594409412272,-0.119968121820274,0.00896975569619184,-0.406693281429282,0.0242077730596759,-0.122509499844443,0.186392189438625,0.663565256590601,0.538979270211889,0.454132374407123,0.14539738541561,-0.341204727809834,-0.307302244683313,-0.217241980429004,0.803488200525697,-0.316018605317432,0.666012192723076,0.661691216870847,0.709233567704593,-0.476664290217796,-0.077089442008694,-0.497639343401475,-0.202299152406354,-0.257121817346376,0.0712110538423301,-0.218366076804721,-0.0549737699960577,-0.55510112046326,0.111617362849732,-0.52756772045892,0.184816295572013
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.520716431121172,-0.201800154432519,0.223522642002408,,-0.49120074353075,-0.112484110807098,0.684021386636626,-0.187962780023706,,0.314284265239617,0.402319633367051,0.993309170574955,-0.300895480283077,-0.0862879234011476,0.096418464187684,-0.784644083844628,-0.30864339624782,0.0888929515565624,0.0874209516755603,-0.233375311845238,-0.37563681898295,0.0121241546070114,-0.0233310499424703,-0.394272847757442,-0.660564390980692,0.114354385144258,-0.486223417035795,-1.29073107417512,0.284273866330658,0.360022263245887,-0.14296870393543,-1.39582343109905,-0.476248495427143,-0.240162698041588,-0.418577593937894,-0.460714463734084
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",,,,,,,,,,,,,,-0.337985949715001,0.194406798954668,0.0763735350149357,0.0300841062610702,-0.0830544181130621,0.172179307244503,0.215606108036865,0.122443387639689,0.421040367828063,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30596740878061,0.0282872277461493,0.314782057001154,-0.050093938749396,1.07468479721589,0.0803342549603039,0.549841979888064,0.136682686554507,0.87732931950101,-0.101726281724615,0.24057299187418,-0.220862159038606,0.155416716594895,-0.00518216807865353,0.539893230172423,-0.117049946577672,0.267182134216654,0.00618781963580626,0.349425029890203,-0.00343674618521583,0.233886230187869,0.0852279075924754,0.297274387674768,0.0358646640379933
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.544256183515982,0.109452794253526,0.271695426468563,-0.446347908991036,0.412888917320497,-0.0836768912960572,0.390763156629666,-0.300762186892987,0.606289994573129,-0.00905920677999585,0.179725264013493,-0.341012523034926,0.568519503686554,0.0104155080322985,0.283623516515267,-0.678728505045561,0.693885589735773,-0.0159840618817615,,-0.493530378095935,0.55574266532549,0.00556855384946292,0.0787326333683066,-0.207288390076362,0.358987304384559,0.128960337374545,0.453989146848323,-0.271734421563295,0.541617439510317,-0.123698103259362,,,0.557235068368084,-0.00526223411518329,,,0.631239923617882,0.0540950231128572,0.283990370653315,-0.361368356826094,0.543454507207696,-0.00707305119001941,0.357498208152019,-0.367635286512641,0.619977874926076,-0.0388591382243328,0.247383516190592,-1.08640056754739,0.770427618023509,0.0357121814662427,0.312082081201978,-0.444310483170348,0.746771250496857,-0.112831010071726,0.457351100763073,-0.461434167353847,0.754402981061076,0.0986116633344919,0.335877250974801,-0.536763787726671,0.62057773722489,-0.0124698142257991,0.197371571014402,-0.322376759607135,0.516285122412577,0.00716376000375526,0.238896835259859,-0.471089709394779,0.594917643692965,0.0601004072637883,0.203432952492879,-0.781787466022442
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.18319495291064,0.525838421363616,0.573091195416339,-0.0695557922683304,0.573751124006184,-1.09398997079177,0.68877306787716,0.203525827129524,0.428545560532635,0.56815154942815,0.150736717882386,0.314819535552787,0.337712500757202,0.134668163312904,0.363678751660856,0.0635326417889955,0.260799855183616,0.0342229832372769,0.250893241510497,-0.582848802732045,-0.0308066389553361,-0.168891146550181,0.366525669237334,-0.330752557274251,-0.454685538145548,0.174825700907773,0.293700735039213,-0.638042735600997,0.306986355328064,-0.0565196965380678,1.74241241305207,-0.35030552458217,0.135388116101786,-0.10208272657672,0.353696504038113,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50690447762457,0.463414562615971,-0.0182662479207771,,-0.0784357667565176,0.384619758481443,-0.360001983326338,0.140248688750622,-0.0372048265778705,-0.848034321097414,-0.2341565789076,0.131555548296315,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150786298712514,-1.20781449247256,0.41353454179437,-1.20999352282722,-0.096284154818165,-0.371573313324142,0.266377301228925,,-0.0545021438943496,,0.659509386801785,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,,,,,,,,0.373473250170399,0.111135332391965,-0.599406562868266,-0.895488255301229,-0.120744575737761,0.712766267448004,,-1.21553730010801,-0.252728674432639,0.648327451821607,,,0.491682121922875,-1.26783014953984,,,-1.09599076710913,0.429000580224826,-2.13571276981188,,0.604308645186252,0.493919464332499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",-0.243913919027007,0.0351306729944195,-0.271327893977489,-0.170359766866004,-0.0994506753144351,0.00448282247362861,-0.154147822123149,,-0.303666337905185,-0.0396134954680485,-0.401387337848901,-0.013363389769359,0.101448374755285,0.186770822946655,-0.0812486846009962,-0.0606680305654841,0.332230034516626,-0.0317165467942265,0.149891344795996,0.103921767691604,0.19863605597474,-0.137222930610726,0.052934867407441,-0.0863326044851893,0.208521625042223,0.0335674800431086,-0.0370827843371115,0.0881509476187716,,-0.0511724386478929,,0.141533328569458,0.0730240841535492,0.0176049586047844,-0.0808128806293659,0.0383367583891562,0.330023478461193,-0.168732700555893,-0.111239003537868,0.157270565063098,0.206860678988866,0.077286257005103,0.0642258764629284,-0.0782818981602066,0.261340453991501,0.150098636283469,-0.0787165605823786,-0.64126444121354,0.139920507229313,0.0683315945325737,-0.234542391209158,-0.0538091863941661,0.170267527496592,-0.0667923962996742,-0.16378290869896,-0.0921261726669247,0.179348905163769,0.0100161044154416,-0.284283458584563,-0.0789963270610554,-0.0193838352746535,-0.0090905825427669,-0.103056762783206,-0.139594409518973,0.123925159215795,0.0373791719077873,-0.222434890781703,-0.060793888575771,0.063330822321237,0.0121639818502423,-0.145359208134268,0.122928306043535
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.307514975872594,0.11921620327454,0.346550022931425,-0.0521626473716392,,0.0392224099935439,0.214073666639161,,-0.244957276240202,-0.144639570007855,0.189190813090338,-0.45106128795259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.569511952522472,0.0534172109822812,0.351711901648339,-0.123925040058176,-0.423928659848052,-0.0900427754951036,-0.142128585403185,0.0998012729484898,-0.278651307242193,0.0514945206451978,0.25458455889296,-0.324219622353667,,,,,,,,,,,,
