protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_APT_F7_1,DDA_APT_F7_2,DDA_APT_F7_3,DDA_APT_M8_1,DDA_APT_M8_2,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D5_2,DDA_FDU_D5_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_FDU_M8_1,DDA_FDU_M8_2,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D5_2,DDA_NVG_D5_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_F7_1,DDA_NVG_F7_2,DDA_NVG_F7_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_APT_F7_1,DIA_APT_F7_2,DIA_APT_F7_3,DIA_APT_M8_1,DIA_APT_M8_2,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D5_2,DIA_BGI_D5_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_F7_1,DIA_BGI_F7_2,DIA_BGI_F7_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D5_2,DIA_FDU_D5_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3,DIA_FDU_M8_1,DIA_FDU_M8_2,DIA_FDU_M8_3
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,6.64124770002391,6.43117240002391,5.68680760002391,7.33763700002391,6.66523740002391,6.38271760002391,7.01933500002391,6.26631450002391,6.32668100002391,6.90040970002391,6.55831530002391,6.44952960002391,6.55418540002391,5.92768860002391,6.27575200002391,7.49192240002391,6.90132330002391,7.17062040002391,7.02660660002391,7.24946400002391,6.73098200002391,6.81989600002391,6.78507760002391,6.51432560002391,6.0823260000239,6.29670900002391,6.06984200002391,6.74251900002391,6.66753100002391,6.61073060002391,6.57817460002391,6.69368400002391,6.72669300002391,6.62737130002391,6.49485000002392,6.36630630002391,6.95211840002391,6.75636670002391,6.84358500002391,7.49368200002391,7.51659350002392,7.82751900002391,7.36002970002391,7.67734600002391,7.58046870002391,7.20844700002391,7.41970300002392,7.61523870002391,5.85548160002391,5.88882730002391,6.30580500002391,6.32568550002391,6.45236250002391,6.64016800002391,6.17120600002391,6.9331536000239,6.83973500002391,6.34620800002391,6.55317970002391,6.65620700002391,6.51726400002391,6.57537130002391,6.62085770002391,7.11257840002391,6.96486700002391,7.16288800002391,6.93795160002391,7.14625600002391,7.20591800002391,6.87308500002391,7.03410600002391,7.06080200002391
"1,4-alpha-glucan-branching enzyme",6.62208320027517,6.42300129365068,5.69687160858351,7.29555431510329,6.6411968922661,6.36479258481753,6.99276854278792,6.25966237148967,6.31581432544282,6.87049468474545,6.53981278656958,6.42779022621983,6.52598705799337,5.9163758606538,6.25547614131154,7.42913987056879,6.86283636234738,7.11413452616595,6.98385888244123,7.19432849076541,6.68864868198461,6.77886868933722,6.7423429410942,6.47390318014382,6.05305038115178,6.25746154564806,6.03813841692964,6.68981178738866,6.61740075274013,6.55925806610784,6.53109887001662,6.64023317582272,6.6733906980122,6.57344650453127,6.44827308810845,6.31750501700019,6.91495536151343,6.729605354628,6.81505711261812,7.43790017315937,7.46493217483559,7.7619225546337,7.31361498265468,7.62434802003183,7.53126245573956,7.15688658256594,7.36656891184486,7.55827425720983,5.84677116440676,5.87989603734485,6.28453276070837,6.30098277296869,6.42439426444801,6.61174273725791,6.15154167976122,6.9054648020386,6.8076078591277,6.31211419589504,6.51683140921151,6.61727296881605,6.46751297738117,6.52324344220131,6.56901041194318,7.05391149375234,6.90564534923687,7.10099646842997,6.87993731068789,7.08375549565382,7.14535119675093,6.8118420280884,6.96968329488209,6.99970591908984
"10 kDa heat shock protein, mitochondrial",6.91240480958104,6.70437197328059,5.96366719292699,7.59835904281221,6.93379870222691,6.65511243299832,7.28795953585387,6.54342805117667,6.60133374289637,7.16652901654674,6.82914994249433,6.71776336424246,6.81310465471493,6.19184934126056,6.54313305471062,7.73463309309572,7.16045728628404,7.42274275621964,7.27931690411158,7.49976226553261,6.99169102439,7.07669098188711,7.04169843673865,6.76957639414229,6.34898191737319,6.55944211827088,6.33373445971458,7.00050480596126,6.9266242796633,6.86556747439744,6.83915251813701,6.94959121260852,6.98317794165413,6.88174415857343,6.75079564458287,6.62129779462877,7.21164226381958,7.01385920730197,7.10164883787909,7.73864619792983,7.76176019239607,8.06226436825095,7.60836947602088,7.91938516968026,7.82431780309918,7.45660585310037,7.66417247469102,7.85834065891396,6.11248776411053,6.14878887073335,6.56283571416462,6.58199832664117,6.70939987701745,6.89693453884733,6.42955867166547,7.18472418541898,7.09858464541279,6.59626228830551,6.80273378629779,6.90244602945103,6.73216846635655,6.79311571123727,6.83993166930376,7.33300034462134,7.18239827183407,7.38101926295578,7.15856671849614,7.36510341094119,7.42911180923302,7.08750449884266,7.24686227575174,7.27712043537072
116 kDa U5 small nuclear ribonucleoprotein component,7.09073427840271,6.89083880072776,6.16494920758554,7.76414732985913,7.10380643468736,6.82754075364015,7.46084199635305,6.71890422163126,6.78755724671028,7.3364070309007,7.00871789426074,6.89998369379456,6.99396948927216,6.39154016997068,6.72114882052564,7.90162260292961,7.33213006893718,7.59376164374848,7.4503595951271,7.66959180346456,7.15987316109178,7.24995373003256,7.21887373057086,6.94492602192256,6.52063815336863,6.72913557352949,6.51307822080098,7.16333592087057,7.08948617915758,7.03405269626386,7.00067975063637,7.11338097615995,7.14795900544196,7.04756868459125,6.92070633863486,6.79582186197571,7.37788618550264,7.19189462119336,7.27889110940975,7.9021853754553,7.92692989608891,8.22472525731339,7.77506342902151,8.08461497543342,7.99098989176112,7.61851135105737,7.82723797455814,8.02348507200101,6.31223328894881,6.34732751275029,6.74831885815563,6.76464785260639,6.88688134118684,7.07780195000129,6.61250127042935,7.36625205125393,7.27050987523112,6.77983959580731,6.98215185473689,7.08669050368887,6.92529709572729,6.9786693195854,7.02364761921342,7.51034427441537,7.3616401412037,7.55638003748569,7.33415417892663,7.53962459738715,7.60091404561397,7.26743274296558,7.42543998095823,7.45543578715027
14 kDa phosphohistidine phosphatase,6.69871230002451,6.49489260002451,5.76342540002451,7.38298370002451,6.72164400002451,6.44655750002451,7.07516900002451,6.3368040000245,6.39289400002451,6.9519377000245,6.61695770002451,6.5028240000245,6.59589960002451,5.9864340000245,6.3318480000245,7.51214600002451,6.94335800002451,7.19761130002451,7.0643920000245,7.27856400002451,6.77488200002451,6.85621070002451,6.81820960002451,6.5568643000245,6.1465063000245,6.35475830002451,6.12663700002451,6.78935670002451,6.71707150002451,6.65431360002451,6.63117460002451,6.73938940002451,6.77208950002451,6.67047400002451,6.54155160002451,6.41078500002451,6.9971190000245,6.79878330002451,6.88461300002451,7.51559100002451,7.53642940002451,7.83489000002451,7.38704730002451,7.69614500002451,7.60156100002451,7.23825930002451,7.44279430002451,7.63473700002451,5.92043700002451,5.95281800002451,6.35601760002451,6.37752500002451,6.50290600002451,6.68665080002451,6.2307060000245,6.96827840002451,6.88727660002451,6.39154430002451,6.59503900002451,6.6932545000245,6.5322986000245,6.59103000002451,6.63533300002451,7.11789460002451,6.97156950002451,7.16455270002451,6.94677070002451,7.14881560002451,7.21273900002451,6.8802230000245,7.03464000002451,7.06187600002451
14-3-3 protein epsilon,6.8879017648812,6.68075198102655,5.93603115793203,7.5814692249164,6.90964385439251,6.62708632097289,7.26844578426179,6.51679761878408,6.57332139905894,7.14403817326259,6.80386521430772,6.68774816171151,6.7914598229477,6.1633691300313,6.5192791253008,7.71973632756655,7.13814884323681,7.39651269767325,7.26150953409882,7.47753552572464,6.962694735403,7.0527905052868,7.01381185353274,6.73733957689835,6.32776183793885,6.53839348969029,6.31067345884986,6.98101635036735,6.90632328504713,6.84734958581233,6.81897621368417,6.93002276234715,6.96405241966177,6.86158819898145,6.73170816094354,6.5982397472628,7.19350639620783,6.9990610172466,7.0871488657907,7.72657559103584,7.75067656729972,8.05658834129519,7.59724652707576,7.91274230844232,7.81798264133366,7.44100664036071,7.65151227480453,7.84625098769396,6.08865437156901,6.12158573218915,6.53931183830243,6.55864539600647,6.68754258990401,6.87726661704995,6.40521463129785,7.17334088606508,7.07999198907854,6.56909077987694,6.78065896452818,6.87945938625937,6.72016494052777,6.78233631943013,6.83113945975018,7.32661013103204,7.17443041676497,7.37543224644996,7.15016631398817,7.35900398923408,7.4229362682324,7.07796615074968,7.24003727469065,7.27056370641752
14-3-3 protein eta,6.96573914242935,6.76350977678986,6.03080598489864,7.64808653666271,6.98128768973997,6.7018473721942,7.33951427315758,6.59534961593905,6.65779309143494,7.21432418885213,6.88132986823834,6.76780450316878,6.86634469535719,6.25865413378298,6.59760230626181,7.780768590531,7.20672096643755,7.46335653380882,7.32785605728636,7.54135841806467,7.03410262034848,7.12334463096313,7.08966226495269,6.81829361542854,6.39287540170976,6.59903522280574,6.3758680156077,7.03585492696366,6.96088359368624,6.90042484138779,6.87617229729742,6.98343973304278,7.01589628621476,6.91644915139097,6.78849977764102,6.65676214955546,7.26114314367576,7.06746554934062,7.15582276754133,7.78411759433063,7.80952141273687,8.11546609982731,7.65745788701746,7.97445964210925,7.88144342295127,7.50316529311644,7.71085829500556,7.90513395820725,6.18839222303391,6.21862744405045,6.62026958936403,6.63936179699953,6.76295104091992,6.95069885712971,6.48904189974731,7.2408181662895,7.14750891574754,6.65296678867397,6.85495555265488,6.95866924365048,6.79885544776869,6.85249856085421,6.89634611422519,7.38083015069104,7.23286196174537,7.42517409559647,7.20540158179089,7.40880313005641,7.4706740887902,7.14126314937908,7.29765167952361,7.32591308325047
14-3-3 protein theta,7.00555927504717,6.798677345588,6.05900510244878,7.6967956246202,7.02968962534749,6.75224068681768,7.38511266064998,6.64021897979865,6.70044761285525,7.26246922613449,6.92460827600458,6.81213320028108,6.90908960517684,6.29108800135388,6.63766003956262,7.83065567077621,7.25442858539588,7.51688759706875,7.37641648032554,7.59517724551036,7.08649842682998,7.17041900393696,7.13532771812543,6.86829334802553,6.44889176467583,6.65876019536614,6.42989098919259,7.09898803755309,7.02502267692838,6.96404710035621,6.93735590159567,7.04778281445843,7.08141350847124,6.98068154770418,6.84880207821298,6.71900810879051,7.30846773501709,7.11024378778092,7.19688044157297,7.83684354981716,7.8581541824277,8.16650501440538,7.70434517574363,8.02110289504909,7.92575066797884,7.55478116611264,7.76231697051415,7.95655151476298,6.22650810868566,6.25987439196745,6.66837378247547,6.69119642728411,6.81785301042466,7.00499971341284,6.5406597281286,7.29107320975833,7.204776279089,6.70640397820756,6.91168175050265,7.01189600680571,6.85019822142024,6.90666418141016,6.95144261596828,7.44553040725969,7.29574751106945,7.49245575979895,7.27073643763239,7.47567861338062,7.53774718322248,7.20255548194497,7.36178639543169,7.38871964433909
14-3-3 protein zeta/delta,7.07814362998615,6.87286276408722,6.12350373119205,7.77128774500406,7.10000820744334,6.81936728236695,7.45704833558842,6.70707342346622,6.76812656237399,7.3337758379901,6.99572449920175,6.88259426917832,6.9816231816083,6.35705127546191,6.70730418733743,7.91016845510013,7.32853793834863,7.59246325025269,7.45090996373535,7.67125515863926,7.15677265322862,7.24405047998446,7.20881291528788,6.93606952507177,6.51958504790244,6.73113372879984,6.50477763313759,7.1709599250173,7.09662325946105,7.03844754278079,7.00930567380859,7.12065328488958,7.15431527433593,7.05350193166136,6.92382210124886,6.79449094782904,7.38086370022833,7.18457953984701,7.27168071978007,7.91400696054831,7.93579175214617,8.24237839202339,7.78125970667294,8.09534706080691,7.99993661887023,7.62898747255678,7.83772525663496,8.0330199487982,6.27713763707996,6.31215949288923,6.73135759606417,6.7507587976819,6.87862710481177,7.06866738943466,6.59670121428968,7.36148393641427,7.26944712746442,6.76537464251558,6.97389588665979,7.07586566989005,6.90938444853646,6.97035677517568,7.01731131068956,7.51213122046699,7.36148022086737,7.56021151078131,7.33516908135083,7.54380278444092,7.60784445596228,7.2658709143536,7.42652324909968,7.45696918318785
15 kDa selenoprotein,6.77875040002419,6.56283950002419,5.79920340002419,7.49024870002419,6.80784700002419,6.51810460002419,7.16809270002419,6.40927400002419,6.44826900002419,7.04226450002419,6.68923470002419,6.56515000002419,6.6721440000242,6.02775340002419,6.40118200002419,7.62632940002419,7.03093860002419,7.28417900002419,7.15985600002419,7.37139940002419,6.84911500002419,6.93938540002419,6.88880600002419,6.60776570002419,6.22108170002419,6.43544440002419,6.1985220000242,6.88511750002419,6.81086200002419,6.75106140002419,6.72457650002419,6.83344700002419,6.86893030002419,6.76399560002419,6.63217200002419,6.48990730002419,7.09364750002419,6.88872400002419,6.97759960002419,7.63463970002419,7.66067840002419,7.97845170002419,7.50185000002419,7.82976770002419,7.73579260002419,7.3464355000242,7.5602207000242,7.7531104000242,5.94731760002419,5.9833030000242,6.41095970002419,6.42594670002419,6.55994100002419,6.75290060002419,6.27188440002419,7.05430200002419,6.96743970002419,6.43601700002419,6.65228000002419,6.74939800002419,6.57745400002419,6.64420030002419,6.69386050002419,7.20275700002419,7.04668800002419,7.25418040002419,7.02451850002419,7.23844430002419,7.30917600002419,6.94588500002419,7.11279340002419,7.14488940002419
