protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,5.57737533428884,,5.48601258764685,,5.48199770192059,,5.71718007980868,,5.61346596045323,,,,,,,,,,,,,,,,,,,,,,,,,5.2207458461242,5.37283331495993,5.33158176504586,5.28695786779703,5.23303144944191,5.4421534719221,5.6453934320351,5.27140936559237,,,5.5302431558779,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79458740575095,,2.37109145160821,,,1.5040335890176,2.32476720851099,,1.32771249413606,1.28923218701152
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62014471704323,,2.60362074171255,,4.09844391178901,,,,,,,6.26904188588112
"10 kDa heat shock protein, mitochondrial",9.38561992920983,9.43550737433761,9.5225141292424,9.46989923323412,9.40620300442395,9.6571815862438,9.52883651476508,9.2200274407828,9.46176984808524,9.60016452370628,9.71163088902746,9.3018104696677,9.56612169858219,9.59251152314263,9.44696522687303,9.26546546471574,9.59933227296887,9.59014030628805,9.59067386779406,9.27628625879065,9.25186114786515,9.43759136263023,9.52167433197914,9.39733338881015,9.52070951166755,9.62105835561318,9.56903897171873,9.42857030167496,9.34361118014649,9.57909634805057,9.37917171711233,9.22022929741829,9.51573594547208,9.53820256232714,9.61978540777612,9.38180193778434,9.51156493953534,9.48416482568707,9.61125037858922,9.29559467213495,9.53392838602675,9.5612235500174,9.61152492977892,9.29471655885811,9.45864212135826,9.58975091461721,9.53329938796229,9.20612818922566,9.47623828224444,9.45106498617191,9.51675545334888,9.38542967866911,9.52890694932951,9.5166854616659,9.72240162171208,9.28997167769655,9.48375203015579,9.45328916813138,9.55583862004961,9.32179422747729,9.54380792531186,9.6314364983343,9.53726731970699,9.20601447790587,9.53811248607762,9.43717454190664,9.55307301762426,9.19432838338897,9.60448066908774,9.44472001766744,9.66827063212794,9.32943542313739
14-3-3 protein epsilon,8.72201800126065,8.63242627484383,8.71341761460119,8.85151668201966,8.75544793426284,8.59409307693822,8.66502892452064,8.82461467709599,8.68047557757517,8.73885296901593,8.74941455904533,8.88833453288342,8.81460746045306,8.76480441541837,8.7752519613294,8.84533676374413,8.80643271158122,8.70476611062581,8.69033491556219,8.77708564061397,8.68096912124641,8.59423215070834,8.71749437622337,8.57241403988574,8.93142881527127,8.52731846611371,8.67592699697373,8.68370888932804,8.73244023733629,8.7949599448288,8.68044220800202,8.80829287250757,8.81931904737526,8.65212373856945,8.68824186805184,8.70294164062515,8.87798809358564,8.7480574290146,8.79733256077277,8.82713517283784,8.87988264651711,8.69836647241169,8.66198509222837,8.67947617830829,8.78052614537701,8.46269196887644,8.59941518937838,8.64339082713352,8.72762496379501,8.63402273774756,8.65007809045175,8.85707496367592,8.84135906531387,8.4698430139017,8.79311158985172,8.72768558648521,8.81541091852063,8.67855119820399,8.71908969276878,8.84109689126979,8.7947505570454,8.75990601613673,8.65602860964763,8.67478827043983,8.71410222225511,8.53425992547654,8.69084681568534,8.7479820032323,8.8168715847429,8.66593235978423,8.74856753792858,8.92039572988731
14-3-3 protein sigma,10.0187793129267,9.8627713680174,9.83813518545266,10.0800583639868,9.90668990085292,9.89473026069403,,9.99666809330915,9.94948517800569,9.85679227712504,,10.0376264865279,9.76476835017682,9.66723053715678,9.65048339325907,9.81063360596124,9.83217856102261,9.59701336602424,9.63910404835577,9.80656301373439,9.81702704445299,9.69144940177188,9.6442500283985,10.1129858597006,10.3182779733605,,10.2026805724396,10.3054966073533,10.2622426966634,10.2712661505412,10.3114109842147,10.3304327320964,10.3881721827451,10.2761022085818,10.212411431073,10.3283257370393,7.57304848542053,7.48350349901164,7.38127644313244,7.99026898193409,7.49341178842819,7.57596975654492,7.69704315106579,7.57340510220927,7.49303227786848,7.8288036755702,7.45211937251367,7.55529113928186,9.306238129239,8.94836159391543,8.87722393258616,9.08561010391853,9.16289934280221,9.11160896820549,8.5924760958432,9.40360681564667,9.7189915415338,9.19638780789947,9.4375838350042,8.89694842435233,,,,,,,,,,,,
26S protease regulatory subunit 8,7.02498336729671,7.25845726539576,7.02585661093601,7.26133311804991,7.20445104216038,6.96464116025636,7.20488766550025,7.17624816894896,7.03739418217602,7.08411745838482,7.31874639023927,7.2803900651912,6.95897815589742,7.09290178255557,7.1640008825917,7.17350074944103,7.47386357593283,6.96865779301424,7.22113881973615,7.19519905051775,7.05170054617058,7.15694218759971,7.09265771022723,7.2129043118963,7.2322427839074,7.06921302485135,7.22888695524645,7.11777808890036,7.17251273430435,7.26973479292442,7.11062900188373,7.13848207665871,7.15652704997542,7.19437598999121,7.17524058560416,6.92974056967886,6.94963251576223,7.08149884807165,7.15546664946221,7.18328586592234,7.21977337220265,7.35281524480974,7.24238057164728,7.05491846349315,7.1940371410335,7.30276398249664,7.17194726728582,6.9843755716513,7.13690923142798,7.03628082771624,7.12239465117381,7.18107165253143,7.05002056216605,7.15064799950142,7.34711409823544,7.0718951996204,7.1583028548565,7.05681812579265,7.2678731503067,7.2261616115075,7.26020277504926,7.29341944106593,7.07230202510786,7.0964233890888,6.85720619769023,7.08136870532995,7.27530955637903,7.12026893506057,7.22895198932847,7.15763843141885,7.31235211542876,6.97045991132389
26S proteasome non-ATPase regulatory subunit 2,7.59954207097865,7.49113371442263,7.49259208046741,7.44995624623084,7.4759104224371,7.38721625338352,7.52191821634113,7.29881305541227,7.40261966191766,7.25037398631652,7.30452754161005,7.55921332762884,7.48128745272924,7.45040287265894,7.54487434946701,7.35828049116766,7.47078362112379,7.51292929713751,7.4747915042243,7.34464716844445,7.17543413592788,7.48825600238755,7.4523416009762,7.50670890223391,7.36090736981027,7.48619035458352,7.62389046344699,7.45825900422632,7.55761100719822,7.36595156789739,7.47833511480933,7.30679677106052,7.31471315755627,7.26044327764896,7.58238296877161,7.47943380949336,7.35503978679471,7.56649097694944,7.52496463437735,7.25937279470617,7.4671184899466,7.55312320004925,7.16025727619667,7.34749636263763,7.46614937919715,7.67224328853366,7.34047086968239,7.50551402543892,7.41531268597297,7.51281488208008,7.50964573907803,7.48557875454399,7.45205760690345,7.55012273008739,7.31886539971676,7.43562662135679,7.41625388954136,7.12567381011737,7.48755538090027,7.42715045691299,7.44359604728735,7.61186712068628,7.54851820389667,7.30157292264165,7.37632260600297,7.30656256439777,7.62832436601483,7.24666473729689,7.49191583073083,7.39595618997951,7.45389888600719,7.39139504494096
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,6.70273230725958,,,6.74427462993441,,6.77459361509547,6.73651421713729,6.6653715647583,,6.4180473221017,6.67376108244923,,7.12528415027304,,,5.88809234986088,,,,,,,,5.67018879266452,5.59315179864054,5.04631959521234,5.17616836018109,5.68885834874509,6.17446513085362,6.06604944460779,1.61265329120297,6.20868902006758,5.1606645838486,4.92993504746827,5.02571125700726,6.0554405801205,5.30891181796213,6.27206155693396,6.57590898040903,6.20013919544341,6.45704313710339,6.1199009344731,6.52944055886587,6.2933232249686,6.30065074177837,6.1485347137629,6.55146383125803,5.36667419391633,7.63368800063934,,,,,,,7.48233955643779,,7.70257783254486,
"39S ribosomal protein L18, mitochondrial",5.60500321346324,5.09453019382367,5.72595323088112,5.400011569341,5.16329668132252,5.16551158637494,5.08486088406164,5.79251048739705,4.79961578224927,4.96956551971338,5.37232187706217,5.36500571601718,5.30296104310554,4.9383039402585,5.37868171354443,4.62171412066024,5.22603013722144,4.92926351086003,5.84152083833243,5.36245459615783,4.9532180331442,4.9908889811709,5.9146002600885,6.12323683410541,6.79488947357335,6.7301833230013,6.30398499841322,6.39432213368362,6.72139879809293,6.9484295599258,2.23046732400193,6.69546911725157,2.49205412747579,6.95845332833953,2.23046732400193,2.42083346887508,6.12512151210073,5.77112295899285,-0.608584563983297,4.99448057746646,6.06217491631475,5.99545693210446,6.09142330922209,6.01483377111633,6.05654383547581,5.73092728705176,6.21748259150148,5.14636153257036,6.8472490974935,6.86211201080453,6.33322822279985,6.60886001523082,2.04154187960066,6.37460142549282,6.01460073731085,6.10049887230365,6.87053128624169,5.88256407666115,1.77068512189032,1.96779734656456,5.49780890181383,4.54156923516184,5.9763378972292,4.91895276129844,5.62175598464933,4.30047096194369,6.49108803520077,5.4869492630567,5.6227631312951,4.35910164962797,5.92695970891206,5.14648356694573
"39S ribosomal protein L33, mitochondrial",5.87764346711032,6.1705473808272,6.00082756014417,5.84690373876271,5.66362306031012,5.39350396377063,5.69074692733852,5.78170982673715,5.5652073117643,5.35569340024494,,5.85115653245466,,,,,,,,,,,,,,4.77225380740664,,,,,5.30143516324608,,,,,,5.64842954608942,5.64909437775144,5.50887093706034,,5.79764593324109,5.43764231493952,5.40854200287549,5.60253174956957,4.93013376396198,5.0515271217752,5.63312925316607,5.63915524572896,3.5742376031488,3.49012107641093,3.89637834052926,4.35908777200693,4.78693498138701,4.442373132345,5.3656400433388,4.90300688700447,4.03800935933481,4.02776700609137,4.3190480270935,3.37459646945313,,3.10727867401754,,,,,,,3.52488834338569,,4.00340554924866,
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40927073579976,3.12355132996983,,2.58477211033059,3.114161274084,,1.8569237469,,3.3389101619752,,,,,,,,,,,,,
40S ribosomal protein S12,9.05267875665152,8.88282926091849,9.11360192147934,9.12901743849685,9.07131546918722,8.97585204808547,8.9458806851193,8.95818638485648,9.00605268529092,8.9636047695667,9.0946588121752,8.9994222550761,9.0300117892089,9.0173283553713,9.05937513011041,8.93161690932087,8.99629910771168,8.95592876199048,8.9678964753511,8.92427078339795,9.09695390835358,8.97003101732895,9.07912432610853,9.10387737138283,8.97947926265321,9.09110873115232,9.07035041731426,9.03270821841346,8.97581317486706,8.9595319062076,9.05117052566079,9.08193026461992,8.94453017463805,8.94004297178054,9.06992174553404,9.00264003896144,8.96998585858226,8.92647976178963,9.11187807558845,9.04280887952609,9.03521667732545,8.99234875110112,9.13703331076641,9.03968118354351,8.93584705264897,9.03939288782349,9.04156050122638,8.9324838651175,8.97710084439044,8.96203926871195,9.00328894779149,9.10267458873112,9.06312951485673,9.00436696801342,9.06913488867574,8.99884375043921,8.93701470471891,8.9488549964628,9.01660212423455,9.06220458343841,9.08375183966465,8.93916110450898,9.08205062912524,9.00208062610024,8.90663850609898,8.85015698289473,9.07989524778191,8.99086617911611,9.07669938362507,8.96503248570324,9.12598608386815,9.01338635003583
40S ribosomal protein S16,8.17062473823144,8.25547954840413,8.10441853810781,8.17904312951956,8.2094455542186,8.24342316666174,8.4113777701579,8.28457931120673,8.31063029953839,8.2740935745814,8.20346986827254,8.25967260445722,8.0916443011763,8.2105741353289,8.22414305596245,8.26066650183359,8.196277097267,8.23880091029902,8.26511916269833,8.27617389607883,8.32199703871273,8.34051629821575,8.40011550567937,8.00013946407449,8.16706150760321,8.3060337435853,8.28542424036571,8.35193100404874,8.23037562128597,8.24696340179592,8.24112291702824,8.24687867520138,8.09864332873811,8.2116779907923,8.31720306342979,8.26331221768466,8.10441077063666,8.26279279490865,8.367772545114,8.11315433302319,8.12313936688418,8.17595169420592,8.45222687377901,8.18782318998605,8.28163388636496,8.38620551745131,8.27058289406351,8.31362648576699,8.30417141434044,8.15523088159621,8.40096292952695,8.20883376462465,8.28779621853588,8.16501074472956,8.38445113474376,8.22068327236953,8.21508021682496,8.09696991597106,8.3847489907081,8.22221974022884,8.31373132061751,8.2494122367553,8.37988993299468,8.26873030591447,8.1605602294109,8.09293853847937,8.36137277748873,8.10745933309617,8.21917975976161,8.15555395557864,8.41639852640163,8.26504583427585
40S ribosomal protein S26,7.55870641131546,1.33756597724393,7.74695076030991,7.46610860371899,7.57199577610438,7.24498800594098,1.59462227830651,7.49744424841797,7.64218615853498,7.45583377900409,7.75574796139502,7.58308928106368,6.47087061281735,6.916256228951,6.24910238317464,5.58834408223403,6.5651043202302,7.02375919805,6.54460242102828,6.73128701093486,6.50970009638002,7.05992361057309,6.75640615683501,6.7781790268582,5.42695832190609,5.18266777515849,5.47514633582562,5.36135044410421,5.42695832190609,5.18266777515849,11.5248267742842,5.36135044410421,5.42695832190609,5.18266777515849,11.6709898112253,5.36135044410421,7.44914552428797,7.42891834631736,0.451934911063454,7.47131185450536,7.48743943429301,3.96564661134117,7.7607878449204,6.87272585030774,7.5598540968776,7.54179413645752,7.59928618996342,7.41928103616218,6.55288114299665,7.76376909619914,6.92218874953769,7.2179983825612,7.28550561138584,4.2678454740411,7.03540180505208,3.7271613128099,7.16756487437162,7.37126608448382,6.91470241838644,7.14670312578246,6.27418749900417,7.70568398389841,5.82927169371325,6.37761206535997,6.50021643588651,7.29969085604536,6.41846038727909,5.85167713015612,6.42678470756454,7.58244840130454,6.63044097622824,6.65339042181708
40S ribosomal protein S27,7.86309836667425,7.82255647754385,7.61660187277675,7.78643116483415,7.5759086475121,7.73830576310248,7.63106852432161,7.70240821911338,7.52370728842557,7.37938388071763,7.4028061834772,7.75094282237337,7.69078243096343,7.74608622924231,7.61168104290341,7.58740069214248,7.63692320500519,7.69653610350793,7.42170430359414,7.68381233433924,7.51395362370459,7.87299762667816,7.6883147259304,7.63268078570986,7.8165338599006,6.74002191227257,7.79187615993022,7.85717504024519,7.81874997308815,7.69720591076575,7.8181989239865,7.71540416719283,7.57318260996145,7.46542249466467,7.75898641966367,7.79093417090469,7.81477835233806,7.16808980369435,7.87900999860407,7.86320229006483,7.82312090813721,7.81806394184608,7.28272274645734,7.67636402836016,7.90051373272928,7.22111739797213,7.98645022496674,7.23188242956759,7.65298683485668,7.63125994688958,7.619567478045,7.66677996552906,7.7561913339458,7.69356782343787,7.49483907654042,7.5828559153705,7.52567726092588,7.60180516476339,7.66420963788659,7.8878408337748,7.51095159868034,7.70861987111695,7.35245670189077,7.54609803460219,7.41309077000307,7.48021610438906,8.04336520747629,7.50767663123301,7.78581631639456,7.48734870767562,7.85198552655669,8.08089129465001
40S ribosomal protein S3,8.6467118501998,8.70871822694591,8.7388890709458,8.62542351596716,8.77234630275661,8.75861002257375,8.86711184233437,8.76313538508817,8.87857097096785,8.72910342195358,8.69096579282497,8.69747320154002,8.76839742777459,8.73574654381311,8.78284380034569,8.6007272691732,8.76447337222931,8.63231603324257,8.9009999635487,8.82712602137221,8.72039900162849,8.73502113954087,8.75541697639423,8.68366414352052,8.8300375833132,8.6772416105373,8.75713602599602,8.88126372921256,8.74107372790716,8.71267783991602,8.6742727668877,8.68270516595234,8.63466543523802,8.65696469879204,8.75369017466171,8.83067801582664,8.80051847276499,8.66297824258977,8.7155076445285,8.66394872552576,8.93629566011939,8.61770696440713,8.76105379250848,8.69316073880937,8.6732768565383,8.66835201938491,8.99589633535462,8.6364774817849,8.71669720438876,8.67605279588407,8.5806597801121,8.79976142810365,8.85120152809495,8.74268803459904,8.85876746846554,8.73240997490887,8.73479839475591,8.67222162621902,8.8661578941307,8.81328213348605,8.7829481940533,8.83685239313348,8.76744306219647,8.58221705982276,8.76847858574695,8.66586581753008,8.75977738902339,8.65018477873302,8.79662193262191,8.65636410595796,8.90320176233975,8.81929843675714
