protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,4.49349665986271,,4.40213391322072,,4.39811902749446,,4.63330140538255,,4.52958728602711,,,,,,,,,,,,,,,,,,,,,,,,,2.67555874279248,2.82764621162821,2.78639466171415,2.74177076446531,2.6878443461102,2.89696636859038,3.10020632870339,2.72622226226066,,,2.98505605254619,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16295500479646,,1.73945905065373,,,0.872401188063119,1.6931348075565,,0.696080093181577,0.657599786057039
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57304642797026,,1.55652245263958,,3.05134562271604,,,,,,,5.22194359680815
"10 kDa heat shock protein, mitochondrial",9.38427250116084,9.43186386530622,9.52946091006979,9.50617731502153,9.40796313014384,9.68700559970376,9.53673782511514,9.21858083749337,9.47191924278692,9.62138031969946,9.74712979306834,9.31271115447768,9.59060144241382,9.59702447866057,9.36769865299486,9.21993240984463,9.6409440114619,9.59343004675343,9.58554078044916,9.23633521476238,9.11422655984308,9.36218726125117,9.48094716952259,9.41982567265472,9.53841847021,9.64227589790275,9.58340113803355,9.45352434646933,9.34369436392538,9.59613760653457,9.37463727702819,9.22444812927473,9.53294990806071,9.55117385216604,9.63919813128321,9.40210134444116,9.50597505563702,9.51729752076274,9.59823863118063,9.31137002061999,9.51897623507849,9.56209626423612,9.59839824384519,9.31085952201297,9.47520792607438,9.57868088978999,9.55292116112207,9.25935792137816,9.48670748376705,9.49348778927698,9.54189360994761,9.36965925218188,9.52073238554806,9.53587979114594,9.67474471606915,9.30799167471961,9.49156149942455,9.49492465063882,9.56714203528055,9.32854961154688,9.51359643527991,9.59485727768302,9.53206499590783,9.22465211867373,9.50951051075589,9.45549319017258,9.54340404915435,9.21626848078158,9.55712323655677,9.46090633623357,9.62604714986184,9.3131946605495
14-3-3 protein epsilon,8.76771490478826,8.66932573858294,8.74628160158351,8.87256283057155,8.79615368686646,8.63671575813437,8.70511743256886,8.84967734481719,8.73237484191364,8.75986273016668,8.77690413554015,8.9038837080987,8.82260329951777,8.77401465818813,8.78392686627282,8.85414871443228,8.81432798139406,8.71323773652899,8.69796513474241,8.78505793683684,8.68732088438824,8.60134394063002,8.72545872268784,8.57786837866578,8.91083530199977,8.52153281976021,8.66465803074592,8.6754040585376,8.72337511463245,8.77366850648084,8.66891165331135,8.7927702765998,8.80522060635447,8.6391075067185,8.67625944055378,8.69352256161533,8.91913461631343,8.80055200168785,8.84696508582664,8.85897315078989,8.922185993812,8.72051947034912,8.6289736994974,8.62115275216957,8.76216185994909,8.3409408029339,8.52819826563488,8.56303348467706,8.75241417425757,8.6454533981484,8.67073023635343,8.8417111416658,8.83848063739748,8.52121301675007,8.77896855045167,8.74379779893074,8.81884479212588,8.67914959875464,8.72295366316847,8.8296199908023,8.77321053189969,8.6940709516982,8.6517001435624,8.6861191523417,8.72398903489667,8.55635405519865,8.67295047971122,8.73079093767556,8.78671149383954,8.63671671051584,8.70817873785562,8.83601892225698
14-3-3 protein sigma,9.23148091549289,9.07547297058357,9.05083678801884,9.29275996655299,9.11939150341909,9.10743186326021,,9.20936969587532,9.16218678057187,9.06949387969121,,9.25032808909403,7.72090203966325,7.6233642266432,7.60661708274549,7.76676729544766,7.78831225050903,7.55314705551067,7.59523773784219,7.76269670322081,7.77316073393942,7.6475830912583,7.60038371788492,8.06911954918705,8.54775937241167,,8.43216197149082,8.5349780064045,8.49172409571455,8.50074754959234,8.54089238326585,8.5599141311476,8.61765358179628,8.50558360763301,8.44189283012418,8.55780713609043,7.38179028469507,7.29224529828619,7.19001824240699,7.79901078120864,7.30215358770274,7.38471155581947,7.50578495034034,7.38214690148382,7.30177407714303,7.63754547484475,7.26086117178822,7.36403293855641,7.7834968629446,7.42562032762103,7.35448266629175,7.56286883762412,7.6401580765078,7.58886770191109,7.0697348295488,7.88086554935226,8.1962502752394,7.67364654160507,7.9148425687098,7.37420715805793,,,,,,,,,,,,
26S protease regulatory subunit 8,7.04916745018041,7.27771742213249,7.05123770897866,7.28053509090251,7.22476518388311,6.99023700412953,7.22640823741931,7.19728486633875,7.06131064514779,7.10713698179113,7.33781177592081,7.29918110463085,6.86817022787941,7.06865374343437,7.15000714813496,7.19081339094863,7.6491414665559,6.88020214112733,7.23667319811565,7.22372508044238,7.00881029490578,7.16578936333447,7.04179478957029,7.25058018134802,7.2066854951369,7.08544047429674,7.21817428614115,7.12198195261864,7.16179749614018,7.23613549269877,7.12930171819288,7.13754129984673,7.14978402240481,7.17950225879153,7.17785826091291,6.98066902838276,7.00200803931658,7.12288384804949,7.19488218103909,7.21585948313994,7.24872277789564,7.37067218623527,7.27425908786214,7.09862386558212,7.22521834532453,7.32496127726785,7.20993363001852,7.03419832348271,7.13196500584184,7.07380528947087,7.1459214793695,7.16052360104877,7.07996832502035,7.14224589718514,7.28040006515635,7.09518926892631,7.14476756592795,7.08609539981652,7.23298000092424,7.18750673043777,7.21482691602258,7.24920216430139,7.01685008701419,7.04407325658329,6.79520786807246,7.02840493463314,7.22823110557511,7.06890236397695,7.18228712365563,7.10782057150673,7.26680156556251,6.91291414113227
26S proteasome non-ATPase regulatory subunit 2,7.60752883371398,7.50645923174265,7.50732832514883,7.46422328345727,7.49043454309507,7.40803668762199,7.53510376224148,7.32107219779631,7.42101922983845,7.2784303256757,7.32920820762348,7.56770310106312,7.499064096533,7.48250669217456,7.55261982625035,7.39761703598392,7.49101670564869,7.53041059974642,7.49892665302194,7.38717202114297,7.26473806332727,7.51150743614716,7.48172691548438,7.51133377165291,7.38597000534821,7.51131426249535,7.64910952725846,7.48340438795474,7.58280063943779,7.39099784669408,7.50346020451119,7.33184436704954,7.33974596897571,7.28542143770094,7.60757523432462,7.50459286419636,7.31338695076054,7.63533287221636,7.57437658642486,7.17814630392901,7.49385883492731,7.61380774909794,6.98711582903411,7.32004504023519,7.4922983489652,7.80561784509592,7.27730018925779,7.57448896700628,7.37311900918824,7.46155863328167,7.4575096643847,7.42973758794447,7.40490285428065,7.49382940245924,7.29248732661975,7.38652968810271,7.37393313717275,7.12668699528161,7.43840181207264,7.37919792385237,7.4030827373157,7.51505316609011,7.47361466541552,7.30646490068632,7.36327669693058,7.33440289362957,7.52083638102284,7.27397544568627,7.43167380110596,7.38729756056115,7.41762792953263,7.35961311132429
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,6.04544488265924,,,6.08698720533407,,6.11730619049512,6.07922679253695,6.00808414015795,,5.76075989750136,6.01647365784889,,8.87527659985856,,,7.6380847994464,,,,,,,,3.89593280150963,3.81889580748565,3.27206360405744,3.40191236902619,3.91460235759019,4.40020913969872,4.2917934534529,-0.161602699951929,4.43443302891268,3.3864085926937,3.15567905631338,3.25145526585236,3.39118711735277,2.6446583551944,3.60780809416624,3.9116555176413,3.53588573267568,3.79278967433567,3.45564747170538,3.86518709609814,3.62906976220088,3.63639727901065,3.48428125099517,3.8872103684903,6.03295928040154,8.29997308712455,,,,,,,8.14862464292299,,8.36886291903007,
"39S ribosomal protein L18, mitochondrial",5.67443521601439,5.54661275209427,5.44264859405243,5.46161812675188,5.39649594120309,5.5912770604874,5.03924785397619,5.70859401845992,5.16765349039926,5.46798002114751,5.22012971584019,5.43959105497683,5.42303611871442,5.37158020722668,5.17852156514756,4.90263829321894,5.37329251238371,5.36573465587264,5.47779384009766,5.38160187986759,5.19689191302099,5.40558175113118,5.52504707265659,5.87352449163143,7.33039024175054,6.99607169125288,6.99562045913509,6.84959294388208,7.22310475749662,7.31467882150411,,7.28922286635167,,7.32931203641588,,,6.12231163373177,5.82407755363328,,5.04927876062943,6.06337394865573,6.03412425900336,6.03787112271823,6.00464822013331,6.05810149722322,5.78644184315994,6.15590200567741,5.191486798875,7.468004949808,7.23759069862283,7.10714078908766,7.22366660823473,,6.5141077259157,6.63428631713731,6.46924066965008,7.50255654239731,5.78390687583968,,,5.44648261254396,5.28489606792207,5.22116237804158,5.05730933521747,5.50378163517844,5.17343966977033,5.45912424960799,5.31988626454903,5.50424722514742,5.20054382602671,5.19833552431249,5.16249368070245
