protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,0,,-0.0913627466419955,,-0.0953776323682503,,0.139804745519839,,0.0360906261643921,,,,,,,,,,,,,,,,,,,,,,,,,-0.110835918921662,0.0412515499140698,0,-0.0446238972488313,-0.0985503156039487,0.110571706876238,0.313811666989242,-0.0601723994534886,,,0.198661390832042,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145276908366673,,0.721780954223934,,,-0.145276908366673,0.675456711126711,,-0.321598003248215,-0.360078310372753
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260850402627113,,-1.75567357270357,,-0.260850402627113,,,,,,,1.909747571465
"10 kDa heat shock protein, mitochondrial",-0.104775777743383,-0.0571844135980086,0.0404126311655624,0.0171290361173071,-0.081085148760387,0.19795732079953,0.0476895462109148,-0.270467441410853,-0.0171290361173071,0.132332040795234,0.258081514164111,-0.176337124426542,0.140215021325163,0.146638057571918,-0.0826877680937947,-0.230454011244023,0.190557590373246,0.143043625664777,0.135154359360502,-0.214051206326273,-0.336159861245571,-0.0881991598374849,0.030560748433933,-0.030560748433933,0.00273428107464824,0.10659170876739,0.0477169488981968,-0.0821598426660213,-0.191989825209973,0.0604534173992146,-0.161046912107169,-0.311236059860624,-0.00273428107464824,0.0154896630306833,0.103513942147854,-0.133582844694198,-0.0121618222835949,-0.000839357157873977,0.0801017532600188,-0.206766857300627,0.000839357157873977,0.0439593863155032,0.0802613659245743,-0.20727735590765,-0.0429289518462372,0.0605440118693803,0.0347842832014535,-0.258778956542459,-0.00749873619085228,-0.000718430680921145,0.0476873899897079,-0.124546967776022,0.026526165590159,0.0416735711880456,0.18053849611125,-0.186214545238283,-0.00264472053334508,0.000718430680921145,0.0729358153226496,-0.165656608411021,0.00204296226201173,0.0833038046651211,0.0205115228899277,-0.286901354344176,-0.00204296226200995,-0.0560602828453209,0.0318505761364438,-0.295284992236319,0.0455697635388663,-0.0506471367843346,0.114493676843939,-0.198358812468399
14-3-3 protein epsilon,0.00392608731078958,-0.0944630788945311,-0.0175072158939642,0.108774013094081,0.0323648693889886,-0.127073059343095,-0.0586713849086102,0.085888527339721,-0.031413975563833,-0.00392608731079136,0.0131153180626846,0.140094890621231,0.0728666090797852,0.024277967750141,0.0341901758348318,0.1044120239943,0.0645912909560718,-0.0364989539089962,-0.0517715556955753,0.0353212463988513,-0.062415806049744,-0.148392749807961,-0.024277967750141,-0.171868311772208,0.225944300915218,-0.163358181324343,-0.0202329703386326,-0.00948694254694971,0.0384841135478968,0.0887775053962834,-0.0159793477731984,0.107879275515245,0.120329605269921,-0.0457834943660487,-0.00863156053077319,0.00863156053077319,0.177793951164322,0.059211336538743,0.105624420677538,0.117632485640788,0.180845328662892,-0.0208211947999821,-0.112366965651708,-0.120187912979532,0.0208211947999821,-0.400399862215201,-0.213142399514229,-0.178307180472041,0.00430818766341545,-0.102652588445753,-0.0773757502407229,0.0936051550716428,0.0903746508033247,-0.226892969844085,0.0308625638575162,-0.00430818766341368,0.0707388055317217,-0.0689563878395134,-0.025152323425683,0.0815140042081453,0.0720856871227813,-0.00705389307870696,-0.0494247012145035,-0.0150056924352047,0.0228641901197584,-0.144770789578253,-0.028174365065686,0.0296660928986512,0.0855866490626358,-0.0644081342610647,0.00705389307870874,0.134894077480073
14-3-3 protein sigma,0.0906917734974133,-0.0653161714119079,-0.089952353976642,0.151970824557505,-0.0213976385763885,-0.0333572787352718,,0.0685805538798423,0.0213976385763885,-0.0712952623042682,,0.109538947098553,0.0366594742024713,-0.060878338817572,-0.0776254827152805,0.0825247299868881,0.104069685048259,-0.131095509950109,-0.089004827618588,0.0784541377600387,0.0889181684786404,-0.0366594742024713,-0.0838588475758559,0.384876983726278,0.0127813660071698,,-0.102816034913683,0,-0.0432539106899501,-0.0342304568121641,0.00591437686135166,0.0249361247430961,0.0826755753917734,-0.0293943987714975,-0.0930851762803222,0.022829129685924,0.00887867306933377,-0.0806663133395498,-0.182893369218754,0.426099169582898,-0.0707580239230001,0.0117999441937293,0.132873338714601,0.00923528985807742,-0.071137534482709,0.264633863219006,-0.112050439837519,-0.00887867306933377,0.168983973735148,-0.188892561588421,-0.260030222917694,-0.051644051585324,0.0256451872983572,-0.0256451872983572,-0.544778059660652,0.266352660142816,0.581737386029953,0.0591336523956194,0.300329679500347,-0.240305731151523,,,,,,,,,,,,
26S protease regulatory subunit 8,-0.161857574930513,0.0666923970215656,-0.159787316132266,0.0695100657915795,0.0137401587721824,-0.2207880209814,0.0153832123083859,-0.0137401587721815,-0.149714379963137,-0.103888043319795,0.126786750809882,0.0881560795199272,-0.289728027855299,-0.0892445123003416,-0.00789110759975475,0.0329151352139165,0.491243210821188,-0.27769611460738,0.0787749423809414,0.0658268247076643,-0.149087960828931,0.00789110759975475,-0.116103466164427,0.0926819256133076,0.050894735864409,-0.0703502849757509,0.0623835268686577,-0.033808806653858,0.00600673686768705,0.0803447334262764,-0.0264890410796097,-0.0182494594257641,-0.00600673686768793,0.0237114995190408,0.022067501640417,-0.175121730889734,-0.210888517262656,-0.0900127085297395,-0.0180143755401456,0.00296292656070829,0.0358262213164098,0.157775629656039,0.0613625312829109,-0.114272690997114,0.0123217887452993,0.112064720688617,-0.00296292656070918,-0.178698233096524,-0.0115417257147046,-0.0697014420856732,0.00241474781295548,0.0170168694922239,-0.0635384065361944,-0.00126083437140601,0.1368933335998,-0.0483174626302345,0.00126083437140512,-0.0574113317400311,0.0894732693676952,0.0439999988812261,0.126465448280739,0.160840696559547,-0.0715113807276468,-0.0442882111585465,-0.293153599669384,-0.0599565331086955,0.139869637833272,-0.0194591037648912,0.0939256559137949,0.0194591037648912,0.178440097820666,-0.175447326609572
26S proteasome non-ATPase regulatory subunit 2,0.130199920437805,0.029130318466482,0.0299994118726525,-0.0131056298189023,0.0131056298189023,-0.0692922256541824,0.0577748489653054,-0.156256715479865,-0.0563096834377186,-0.198898587600475,-0.148120705652697,0.0903741877869466,0.00409241719768882,-0.0124649871607554,0.0576481469150316,-0.0973546433513963,-0.00395497368662845,0.0354389204111074,0.00395497368662845,-0.107799658192346,-0.230233616008044,0.0165357568118427,-0.0132447638509392,0.0163620923175918,-0.107462290884756,0.0178819662623848,0.155677231025493,-0.0100279082782251,0.0893683432048222,-0.10243444953889,0.010027908278226,-0.16158792918343,-0.153686327257253,-0.208010858532025,0.114142938091649,0.0111605679633975,-0.179691641185714,0.142254280270105,0.0812979944786001,-0.314932288017245,0.000780242981053725,0.120729157151684,-0.505962762912145,-0.173033551711069,-0.000780242981053725,0.312539253149662,-0.215778402688465,0.0814103750600204,-0.0225972620034414,0.0658423620899917,0.0617933931930201,0.0340213167527885,0.00918658308897058,0.0981131312675574,-0.103228944571936,-0.00918658308896969,-0.0217831340189312,-0.269029275910068,0.042685540880961,-0.0165183473393098,0.00789258837727314,0.119863017151684,0.0784245164770878,-0.0887252482521124,-0.0319134520078483,-0.0607872553088624,0.125646232084407,-0.121214703252157,0.0364836521675276,-0.00789258837727402,0.0224377805942,-0.0355770376141358
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,0,,,0.0415423226748297,,0.0718613078358823,0.0337819098777068,-0.0373607425012885,,-0.284684985157885,-0.0289712248103529,,0.618595900206081,,,-0.618595900206082,,,,,,,,0.285528713253706,0.208491719229727,-0.338340484198479,-0.208491719229726,0.304198269334274,0.789805051442802,0.681389365196977,-3.77200678820785,0.824028940656764,-0.223995495562217,-0.454725031942543,-0.358948822403558,-0.227251810830785,-0.973780572989154,-0.0106308340173227,0.293216589457744,-0.0825531955078738,0.17435074615211,-0.162791456478181,0.246748167914586,0.0106308340173227,0.0179583508270884,-0.134157677188385,0.268771440306745,-2.19133958462223,0.0756742221007771,,,,,,,-0.075674222100778,,0.144564054006293,
"39S ribosomal protein L18, mitochondrial",0.222301855612233,0.0944793916921096,-0.00948476634972284,0.00948476634972373,-0.0556374191990718,0.139143700085246,-0.412885506425971,0.256460658057762,-0.284479870002893,0.0158466607453516,-0.232003644561972,-0.0125423054253284,0.0455889225887765,-0.00586698889896997,-0.198925630978081,-0.474808902906711,-0.00415468374194106,-0.0117125402530069,0.100346643972017,0.00415468374194017,-0.180555283104657,0.028134555005531,0.147599876530946,0.49607729550578,0.0742264298263962,-0.260092120671263,-0.260543352789055,-0.406570868042071,-0.0330590544275227,0.0585150095799651,,0.0330590544275236,,0.073148224491729,,,0.088187374728407,-0.210046705370076,,-0.984845498373929,0.0292496896523726,0,0.0037468637148752,-0.0294760388700492,0.0239772382198638,-0.247682415843419,0.121777746674054,-0.842637460128359,0.36086416072034,0.13044990953517,0,0.116525819147069,,-0.593033063171963,-0.472854471950356,-0.637900119437589,0.395415753309647,-1.32323391324799,,,0.193453389562138,0.0318668449402457,-0.0318668449402457,-0.195719887764348,0.250752412196614,-0.0795895532114956,0.206095026626168,0.066857041567209,0.251218002165594,-0.0524853969551078,-0.0546936986693334,-0.0905355422793708
