protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",-0.195810760408968,-0.148219396263594,-0.0506223515000226,-0.0739059465482779,-0.172120131425972,0.106922338133945,-0.0433454364546702,-0.361502424076438,-0.108164018782892,0.0412970581296488,0.167046531498526,-0.267372107092127,0.0730541801920932,0.079477216438848,-0.149848609226865,-0.297614852377093,0.123396749240175,0.0758827845317072,0.0679935182274321,-0.281212047459343,-0.403320702378641,-0.155360000970555,-0.0366000926991372,-0.0977215895670032,-0.0581106486577809,0.0457467790349604,-0.0131279808342324,-0.14300477239845,-0.252834754942402,-0.00039151233321455,-0.221891841839598,-0.372080989593053,-0.0635792108070774,-0.0453552667017458,0.0426690124154252,-0.194427774426627,-0.046716502625932,-0.0353940375002111,0.0455470729176817,-0.241321537642964,-0.0337153231844631,0.00940470597316612,0.0457066855822372,-0.241832036249987,-0.0774836321885744,0.0259893315270432,0.00022960285911644,-0.293333636884796,-0.0213899265868669,-0.0146096210769358,0.0337961995936933,-0.138438158172036,0.0126349751941444,0.027782380792031,0.166647305715236,-0.200105735634297,-0.0165359109293597,-0.0131727597150935,0.059044624926635,-0.179547798807036,0.00984416725018988,0.0911050096532993,0.0283127278781059,-0.279100149355997,0.00575824272616821,-0.0482590778571428,0.039651781124622,-0.28748378724814,0.0533709685270445,-0.0428459317961565,0.122294881832117,-0.190557607480221
14-3-3 protein epsilon,0.0790801624935948,-0.0193090037117258,0.0576468592888411,0.183928088276886,0.107518944571794,-0.0519189841602898,0.016482690274195,0.161042602522526,0.0437400996189723,0.0712279878720139,0.0882693932454899,0.215248965804037,0.126404521068723,0.0778158797390791,0.0877280878237698,0.157949935983238,0.11812920294501,0.0170389580799419,0.00176635629336275,0.0888591583877894,-0.00887789406080586,-0.0948548378190228,0.0292599442387971,-0.11833039978327,0.266065691013255,-0.123236791226306,0.019888419759404,0.0306344475510869,0.0786055036459334,0.12889889549432,0.0241420423248382,0.148000665613282,0.160450995367958,-0.00566210426801206,0.0314898295672634,0.0487529506288098,0.298463857989802,0.179881243364223,0.226294327503018,0.238302392466268,0.301515235488372,0.0998487120254978,0.00830294117377228,0.000481993845948381,0.141491101625462,-0.279729955389721,-0.0924724926887492,-0.0576372736465611,0.137142169706532,0.0301813935973634,0.055458231802394,0.22643913711476,0.223208632846442,-0.0940589878009686,0.163696545900633,0.128525794379703,0.203572787574839,0.0638775942036034,0.107681658617434,0.214347986251262,0.144163292762123,0.0650237125606346,0.022652904424838,0.0570719132041369,0.0949417957590999,-0.0726931839389113,0.0439032405736555,0.101743698537993,0.157664254701977,0.00766947137827678,0.0791314987180503,0.206971683119415
14-3-3 protein sigma,0.147348010981229,-0.00865993392809195,-0.033296116492826,0.208627062041321,0.0352585989074274,0.0232989587485442,,0.125236791363658,0.0780538760602045,-0.0146390248204522,,0.166195184582369,0.112870581859189,0.015332768839146,-0.00141437505856246,0.158735837643606,0.180280792704977,-0.054884402293391,-0.01279371996187,0.154665245416757,0.165129276135358,0.0395516334542467,-0.00764773991913792,0.461088091382996,,,,,,,,,,,,,-0.0563771582883952,-0.145922144697279,-0.248149200576483,0.360843338225169,-0.136013855280729,-0.0534558871639996,0.0676175073568723,-0.0560205414996515,-0.136393365840438,0.199378031861277,-0.177306271195248,-0.0741345044270627,0.220785339232201,-0.137091196091369,-0.208228857420641,0.000157313911728352,0.0774465527954096,0.0261561781986952,-0.4929766941636,0.318154025639869,0.633538751527006,0.110935017892672,0.3521310449974,-0.18850436565447,,,,,,,,,,,,
26S protease regulatory subunit 8,-0.0758630191706367,0.152686952781442,-0.0737927603723891,0.155504621551456,0.0997347145320591,-0.134793465221523,0.101377768068263,0.0722543969876952,-0.0637198242032602,-0.0178934875599186,0.212781306569759,0.174150635279804,-0.170044854752643,0.0304386608023144,0.111792065502901,0.152598308316573,0.610926383923844,-0.158012941504724,0.198458115483597,0.18550999781032,-0.0294047877262749,0.127574280702411,0.00357970693822907,0.212365098715964,0.0396594198745532,-0.0815856009656066,0.051148210878802,-0.0450441226437137,-0.00522857912216868,0.0691094174364206,-0.0377243570694654,-0.0294847754156198,-0.0172420528575437,0.0124761835291851,0.0108321856505613,-0.18635704687959,-0.270831064534296,-0.149955255801379,-0.0779569228117847,-0.0569796207109308,-0.0241163259552293,0.0978330823844002,0.00141998401127186,-0.174215238268753,-0.0476207585263397,0.0521221734169775,-0.0629054738323482,-0.238640780368163,0.0312494770176652,-0.0269102393533034,0.0452059505453253,0.0598080722245937,-0.0207472038038246,0.0415303683609638,0.17968453633217,-0.00552625989786471,0.0440520371037749,-0.0146201290076613,0.132264472100065,0.0867912016135959,0.0863510258754916,0.1207262741543,-0.111625803132895,-0.0844026335637942,-0.333268022074631,-0.100070955513943,0.0997552154280248,-0.0595735261701389,0.0538112335085472,-0.0206553186403564,0.138325675415419,-0.215561749014819
26S proteasome non-ATPase regulatory subunit 2,0.209886752033864,0.10881715006254,0.109686243468711,0.0665812017771561,0.0927924614149607,0.010394605941876,0.137461680561364,-0.0765698838838063,0.0233771481583398,-0.119211756004416,-0.0684338740566384,0.170061019383005,-0.00907747948970972,-0.0256348838481539,0.0444782502276331,-0.110524540038795,-0.017124870374027,0.0222690237237089,-0.00921492300077009,-0.120969554879744,-0.243403512695442,0.00336586012444418,-0.0264146605383377,0.00319219563019324,-0.00994117694857977,0.115403080198561,0.253198344961669,0.0874932056579514,0.186889457140999,-0.00491333560271379,0.107549022214402,-0.0640668152472532,-0.0561652133210764,-0.110489744595848,0.211664052027825,0.108681681899574,-0.371532538042865,-0.0495866165870451,-0.11054290237855,-0.506773184874396,-0.191060653876097,-0.0711117397054668,-0.697803659769296,-0.364874448568219,-0.192621139838204,0.120698356292512,-0.407619299545615,-0.11043052179713,0.0124273321807316,0.100866956274165,0.096817987377193,0.0690459109369614,0.0442111772731435,0.13313772545173,-0.068204350387763,0.0258380110952032,0.0132414601652417,-0.234004681725895,0.0777101350651339,0.0185062468448631,-0.00916846944457639,0.102801959329835,0.0613634586552383,-0.105786306073962,-0.0489745098296979,-0.0778483131307119,0.108585174262558,-0.138275761074007,0.0194225943456781,-0.0249536461991235,0.00537672277235046,-0.0526380954359853
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0274282882169352,-0.049608705807044,-0.59644090923525,-0.466592144266497,0.0460978442975035,0.531704626406031,0.423288940160206,-4.03010721324462,0.565928515619993,-0.482095920598988,-0.712825456979314,-0.617049247440329,0.0332386811725343,-0.713290080985836,0.249859657985996,0.553707081461063,0.177937296495445,0.434841238155429,0.0976990355251379,0.507238659917905,0.271121326020642,0.278448842830407,0.126332814814934,0.529261932310064,,,,,,,,,,,,
"39S ribosomal protein L18, mitochondrial",0.139145271437997,0.0113228075178737,-0.0926413505239587,-0.0736718178245122,-0.138794003373308,0.0559871159110106,-0.496042090600207,0.173304073883526,-0.367636454177129,-0.0673099234288843,-0.315160228736207,-0.0956988895995643,0.0420705806375921,-0.00938533085015436,-0.202443972929266,-0.478327244857895,-0.00767302569312545,-0.0152308822041913,0.0968283020208327,0.000636341790755779,-0.184073625055841,0.0246162130543466,0.144081534579762,0.492558953554595,0.11703605869292,-0.21728249180474,-0.217733723922532,-0.363761239175548,0.00975057443900074,0.101324638446489,,0.075868683294047,,0.115957853358252,,,0.240763748466239,-0.0574703316322447,,-0.832269124636097,0.181826063390204,0.152576373737832,0.156323237452707,0.123100334867782,0.176553611957695,-0.0951060421055869,0.274354120411886,-0.690061086390528,0.956136516348601,0.725722265163431,0.595272355628261,0.711798174775329,,0.00223929245629773,0.122417883677905,-0.0426277638093282,0.990688108937908,-0.727961557619728,,,0.226856091304257,0.065269546682365,0.00153585680187351,-0.162317186022229,0.284155113938733,-0.0461868514693764,0.239497728368288,0.100259743309328,0.284620703907713,-0.0190826952129886,-0.0212909969272141,-0.0571328405372515
