protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,3.1117000131421,,2.99969014416542,,3.00922266733525,,3.22416185532809,,3.14693850811052,,,,,,,,,,,,,,,,,,,,,,,,,2.95000631478364,3.17248066689702,3.14082140946068,3.04598763218116,2.98820489549175,3.19266368058792,3.41298424201508,3.02035649509206,,,3.23661294461891,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89461275652972,,10.7553097596902,,,9.70372086936383,10.7553097596902,,9.89461275652973,9.70372086936384
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",6.7109603072749,6.77983766932732,6.91622520629327,6.85412420381728,6.73858909654423,7.03148886818546,6.87268321791154,6.55354815618153,6.80718629735906,6.98024954759816,7.09028934369838,6.7061747395032,6.70946444205704,6.71624367417968,6.51083330025964,6.36963535974689,6.74907195490546,6.72412228792488,6.71865208397889,6.34427545332828,6.2413853476211,6.48144976896801,6.61753763212973,6.52159379019739,6.90721070983629,7.07075696705738,6.97459718001492,6.8347672283809,6.71123418700231,6.98599060043462,6.7778689426003,6.60414561195213,6.90463041972578,6.97484497200406,7.03595807076507,6.79302294220712,6.78367313605808,6.81192981963267,6.92069312971236,6.61362543322993,6.76717815982208,6.85257010895131,6.86833306850122,6.58684395088194,6.7449138833087,6.83888519046167,6.84151371464192,6.56289100124516,6.76765180770101,6.79050493878585,6.82674466233287,6.64215211391546,6.79587094903283,6.81779240310193,6.9215124731854,6.60172604406703,6.77212575619956,6.81871051294557,6.8502620395014,6.59381545657961,6.82938014509966,6.90774506610518,6.83664325897544,6.56513297131914,6.83977283630763,6.82452511767453,6.86423790642049,6.56417409861287,6.86523901404257,6.80127781121302,6.93442395502808,6.63674911705267
14-3-3 protein epsilon,4.31640287129488,4.24240534078243,4.35608905488499,4.4947533199053,4.39367157307479,4.2424278196327,4.25674510164911,4.468646434809,4.35806616958123,4.38098480134601,4.35306058365826,4.57899719038976,4.31156958602827,4.3083492140152,4.31064916487118,4.43568660332851,4.37147350045072,4.2278745877553,4.18527234971593,4.29780303992135,4.19838987294136,4.14964489699098,4.25601135604138,4.06404729050836,4.18645252019741,3.89185852409309,3.97380774952744,3.96974252562546,3.98124897397365,4.11815536962232,3.95150144156987,4.06735597882088,4.08590444817004,3.96551800154205,3.95003824885589,3.98036579230117,4.3723509573701,4.29618670173817,4.37541516245852,4.37735738240359,4.35070178603834,4.26880063476274,4.1156492606514,4.14129574281694,4.2523838090105,3.8526700281868,4.01010370609975,4.12747903227993,4.20815247176387,4.13196295876357,4.12241159897396,4.29100103642034,4.25309012257566,4.00431930316423,4.17162305212003,4.23910974136839,4.29583300248841,4.2200037763135,4.17028916739769,4.28475630827618,4.32104897562771,4.08685993576234,4.16338474881541,4.23283428363102,4.23238706508019,4.15174647735978,4.17139761953948,4.29847522475143,4.2585669085497,4.19388188523084,4.16093169427378,4.31848841900306
14-3-3 protein sigma,-2.60359209912271,-2.61525097552978,-2.79034127786838,-2.07294714035829,-2.41208733448637,-2.46472597460104,,-2.10294926449459,-2.15372686653092,-2.51062287817772,,-2.02439342608326,-2.51362179420268,-2.27123709573392,-2.51646339426411,-2.06043221930372,-1.80191375020491,-2.5846945938255,-2.81835332819253,-2.21079182214992,-2.34487770196209,-2.10346259559591,-2.53259944595198,-2.11889985990129,-2.19428135210852,,-2.26964047562469,-2.20649253775802,-2.38335609305528,-1.9101377718376,-2.52410709544555,-2.36350616914609,-2.15023163540007,-2.32464081751337,-2.64135878233994,-2.33472817951292,-2.72439560087325,-2.53800697649191,-2.7457846741248,-2.01376032120525,-2.56202010538143,-2.21966181116895,-2.16882935872577,-2.12681575617408,-2.44855979724629,-1.82065851162062,-2.70386535789925,-1.97779933383601,-2.19096730592548,-2.46287600433339,-2.78157603188071,-2.41607239906747,-2.6159804638178,-2.27765636929321,-3.15608074832708,-1.90947275281733,-1.66986914375308,-1.96727235199943,-2.19201899564832,-2.46123273685577,,,,,,,,,,,,
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,16.8621008196004,,,17.1111320509739,,16.4984481276885,16.864535939018,16.6306493152619,,16.3702159602087,16.6083520836768,,17.3273871526381,,,16.3144749331342,,,,,,,,17.0206127722437,17.0326600315819,16.355308638633,16.6456381645512,17.3586539171289,17.8140811680026,17.5087994482197,13.2663139619773,17.903972193023,16.9452391952103,16.3012234186246,16.5188171400464,16.5191518467584,15.7872103330066,16.6717679879353,17.0726831119382,16.5715109245921,17.0677766380702,16.6090610223893,17.0530953396321,16.8985376170852,16.6245554749132,16.4941755323939,17.0285828283706,15.4590766320828,16.9798608476134,,,,,,,17.3475330564615,,17.4539601615179,
"39S ribosomal protein L18, mitochondrial",-12.7650967218167,-12.7374896953989,-12.5832195674674,-12.7492770093997,-12.9444142650147,-12.6908196461765,-13.3445744988654,-12.576472566696,-13.1039860616688,-12.7000615223749,-13.0856719869907,-12.4500974911069,-12.5628781018253,-12.5230733897118,-12.6016750498438,-12.7765790248194,-12.5321627420871,-12.5130697670932,-12.4382277372567,-12.6172273298536,-12.7116164383055,-12.4606805098353,-12.2933916142489,-12.2170929681475,-12.7018422202165,-12.5688549536655,-12.8459605851617,-13.0829252505499,-12.8140028392136,-12.4778783381077,,-12.6976153625993,,-12.3451566995576,,,-12.5013046418104,-12.6350512753082,,-13.3298350416474,-12.7402607499116,-12.3156444331143,-12.5631851185182,-12.5067392493312,-12.5069837144454,-12.7859244414565,-12.3549306656263,-13.1086876038522,-12.1263012611939,-12.2494089312135,-12.4893308204619,-12.4245725667627,,-13.0194043534131,-13.2319824113276,-12.9927691890514,-12.0548265088036,-13.491335472316,,,-12.5197708986938,-12.9694892395301,-12.8996885497018,-12.8371348258844,-12.4845981167103,-12.4943185337373,-12.5692955031193,-12.5052229653452,-12.6386511092914,-12.665264507628,-12.9669251972638,-12.91220035635
"39S ribosomal protein L33, mitochondrial",-22.2656090737732,-22.083477576998,-21.8637913894825,-21.9464883345317,-22.3757265244049,-22.3109812604102,-22.1344297027952,-22.1248333052852,-22.1779844659349,-22.2683591209606,,-21.7417394711009,,,,,,,,,,,,,,-22.6910580085879,,,,,-22.3008817757737,,,,,,-21.9042062919893,-22.0055086154969,-21.9751634336716,,-22.18883983062,-22.321086529433,-21.9928071188019,-21.9581587388691,-22.9991753674771,-22.8015288046889,-21.882632342299,-21.6049042486015,-22.8555544206454,-22.8651657047485,-22.3973467787784,-21.9900216653932,-21.6445062483976,-22.1164563866859,-21.1755408615017,-21.4710407974553,-22.5193056584745,-21.7632933567346,-22.0618473780815,-22.7789807498591,,-22.3621743180345,,,,,,,-22.2819565175709,,-21.7796865961875,
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
