protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,0.00557702293924705,,-0.139192995446126,,-0.15823436783861,,0.0802821863461095,,0,,,,,,,,,,,,,,,,,,,,,,,,,-0.09523470309977,0.0959050791600591,0,-0.0981958479157501,-0.132171766004238,0.1262693431506,0.314373157407931,-0.0507864508699245,,,0.1779741274253,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117538776675082,,0.722475583124298,,,-0.117538776675082,0.619514113400531,,-0.440936653609835,-0.37226012826293
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228010565475291,,-1.75126649614371,,-0.228010565475291,,,,,,,1.92971096182628
"10 kDa heat shock protein, mitochondrial",-0.0179901518177155,0.0444224336331616,0.0662201719268814,0.167033671478843,-0.0904099155326237,0.380134323155596,0.0225162375991793,-0.265480537460139,-0.0485571330031038,0.291708555103432,0.372299298735523,-0.165912179048829,0.154428312492185,0.133674844898423,0.0283908718460761,-0.22746714418791,0.34125252766628,0.168145357620136,0.121924565560036,-0.264993854492424,-0.143136309987667,-0.101434623639019,-0.120499197143885,0.127596514329335,-0.0267492132225366,0.0706851853781557,0.0659063423698115,-0.133419748153795,-0.216775603235311,0.120616554303908,-0.103027529539037,-0.40565363791512,-0.0418548566784703,0.0295528674535614,0.112184041683939,-0.117996093754095,-0.0557757066803426,0.0394037521675104,0.112077883522997,-0.188280552328776,-0.0207997678106348,0.0445442623219665,0.042037526449065,-0.177779184390055,-0.0235851800718562,0.0361426315939083,0.0581279620027229,-0.214025222426158,-0.0185163547305879,0.0266633589045562,0.0616496746430373,-0.196348570463925,-0.0503367873306347,0.0820721732985035,0.0971931920638738,-0.194731098617939,-0.0506321896213152,0.0236031488777703,0.013349220250038,-0.294152622372453,-0.00254568781216188,0.034156450006187,0.0610537793444871,-0.281131798518525,0.0105758086290602,0.0527519989314521,0.00608516617090042,-0.260592270776579,-0.00244649491659939,0.00218241027753762,0.00772960806105868,-0.203693298842277
14-3-3 protein epsilon,0.050142646406224,0.0195489115663118,0.152813993996334,0.383525844229215,0.201394502748064,-0.108301360241351,-0.0062898275463513,0.0404177141760253,-3.6239673679357e-05,-0.0385552887572851,0.287845386138771,0.185173510878744,0.137131940857094,0.00500764061060605,-0.0138807949333615,0.0240092607039369,0.154991969834266,-0.157502507139172,-0.0219151078998199,0.0225689840920325,0.108145510373386,-0.312787759658838,0.0336312890939855,0.0589736625394519,0.2960392676035,-0.274738289276785,-0.0249673333570206,0.0375769545950399,0.0476372621526812,0.100819100120402,-0.019926375099175,-0.0202475175209448,0.148577559238309,-0.0630927394888763,0.0266442153000479,-0.026257295282995,-0.237107659602258,-0.0116179384463054,0.00147473125950154,-0.00956896413490048,0.0540810099387368,-0.209564180591268,-0.00040396137883558,0.0688168650289458,-0.111559877241093,-0.213006694037078,-0.0314601981114705,0.0579851611644626,0.0188205974743501,-0.0879484903014298,-0.0750059630427109,0.0344282873172956,0.0414964982809239,-0.070877026795217,-0.0810719160904031,0.0137127616161402,0.0612062844749076,-0.0716939691770715,-0.0331979308346748,0.0383341473411137,0.0812623869305384,-0.0343991162637893,0.0285202503282808,-0.0171757056103687,0.0804872435642122,-0.00136155046889646,-0.0153368659543346,0.0854439505303965,0.139233949379989,0.0567360312700977,-0.0405446424643643,0.141754751161911
14-3-3 protein sigma,0.0777248461084437,-0.0870413749190916,-0.142381160128086,0.121639662125376,-0.0594608020633665,-0.0118374504747321,,0.0694453020797274,0.0118374504747322,-0.0704966497937569,,0.0384869409380588,0.0413330646688994,-0.0582991708002281,-0.0943413966560458,0.142950721633436,0.158099636269148,-0.124076790046939,-0.0869895022742498,0.0704463709969821,0.0783165037945005,-0.0413330646688994,-0.100508765768838,0.403635326269188,0.00670753687348206,,-0.121060848944029,-0.0177587202284517,-0.0795094689699658,0,0.00386740260161396,0.0409933439674212,0.0713526163685332,-0.00405086644568447,-0.101469882772395,0.0408095861612985,-0.00644051555706501,-0.0418840584085523,-0.166285195407056,0.430778693944395,-0.0890514821032742,0.00644051555706423,0.0840405145243937,0.0313234741209287,-0.0438734436482697,0.235249009434417,-0.120937957240045,0.0311488669419796,0.193547096620004,-0.125277125279468,-0.251068315854729,-0.0962540951892779,0.000985643961032165,-0.000985643961032121,-0.535254662178999,0.284700515789345,0.587531357196919,0.133236121125331,0.28860432315657,-0.272694580146605,,,,,,,,,,,,
26S protease regulatory subunit 8,-0.0314762391228381,0.216347305262141,0.000137215960395826,0.0830444769989615,0.0309237605100748,-0.120865976566486,0.0767664851763838,0.121648867078631,-0.0569411250574372,-0.0312897490941934,-0.0116443058857758,0.00312743485840453,-0.160256085218449,-0.163917151859369,0.0212080447470749,0.0267877890312289,0.305649698134243,-0.180417585812499,0.0937997966272849,0.0553165977823139,-0.0948745640316031,-0.0752271896081132,-0.0223241070477621,0.0436688173946627,0.0849787786278609,-0.141761200646018,0.0546619743777423,-0.041464371001014,-0.0193343565609873,0.0791022878775476,-0.00795377604828817,0.0304863885042476,-0.0655303153916192,-0.0160886499102132,0.0415620495419538,-0.21733720079528,-0.192966929669443,-0.0215918154977617,0.0394232158115603,-0.020160453016031,0.0176442398933276,0.140244313598162,0.0411780833343258,-0.0331875421843101,0.0339540940267537,0.0883489140854922,0.0180415857520147,-0.0599193982566281,-0.0028042622220766,-0.0539238173628099,0.00125138706840972,-0.0438027354578677,-0.116630561786456,0.001417983307146,0.150556630449379,-0.0171218683745566,-0.00685477069952638,0.0168599742458709,0.0497039186144605,0.0300052073535654,-0.0120544573572444,0.0194929845513422,-0.0253206837803893,-0.0713119880592865,-0.240548795521036,-0.0261288431104467,0.0642655970941235,-0.0349886431282771,-0.0343495581383605,0.0183383900747356,-0.0227172429097033,-0.105876917827674
26S proteasome non-ATPase regulatory subunit 2,-0.156318789335895,0.175666182666807,0.263667423282504,-0.168081084554676,0.00685258242750997,0.0908102832619303,0.070980026916179,0.0451559795826169,-0.0129941922317163,0.191795691217369,0.00714036563195784,-0.106506887280645,0.00321639862413736,0.0297356549230321,0.0417411768508729,-0.0714977103929416,0.0263825177845119,-0.0522058668060999,-0.00155697171572334,0.075988113135644,-0.307766149190733,0.102324329638258,0.124323865271512,-0.0468537270692439,0.0214313008047521,-0.0442794490201762,-0.088316500723094,-0.273264688794309,0.0405810239042165,0.187479622845656,0.233050864418408,-0.0135100005282097,-0.139265359164807,-0.0315336588041381,-0.156974637438068,-0.163516332613996,-0.186055158682906,0.0472057265348548,0.0133043051777308,-0.0140302936059032,-0.164662564822264,-0.0219628508513099,-0.136443896030269,-0.42932906040064,-0.0563794593219238,0.0880980997719768,0.15225857436487,0.039309607602013,-0.0302054628040975,0.0891321713366135,0.0425048089319547,-0.0413179917987419,-0.0433804973593683,0.0708162881687654,0.128318534939424,0.0292601086650727,-0.0280723800278461,0.0295438533827803,-0.041161648764873,-0.0796525012506633,-0.111542312130457,0.0606757496812615,0.0382209331323785,-0.0476931152517157,-0.108931439064327,0.0844154057823922,0.148238673223378,-0.0632634550018099,-0.0339433162978923,0.0919311334701904,-0.0875442645915919,-0.0499848025017002
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,0,,,0.0929931058783756,,0.0712974651628772,0.0231949750973058,-0.0505415752027725,,-0.303914071368211,-0.0127920502847854,,0.618561581783796,,,-0.618561581783796,,,,,,,,0.531576263257545,0.264146910651075,-0.0603655717565437,0.0575545437620081,0.547271549784238,0.473933227885715,0.293422266478702,-3.48855186531476,0.471391678405217,-0.278602510182087,-0.534080321777469,-0.0575545437620083,-0.112727114869613,0.00213961022559948,-0.0306105322130737,0.179153601169401,-0.0314396677531314,0.117703177061674,-0.0536390513381021,0.141396336067482,0.0113841537956143,0.0499917870631617,-0.327432323473663,0.118172778230097,-2.1925858003742,0.0678779901756438,,,,,,,-0.067877990175643,,0.088964233295986,
"39S ribosomal protein L18, mitochondrial",0.196475865433891,-0.146092614969894,-0.0656469682897751,-0.0372604989276659,0.2003394754185,-0.0581832748090339,-0.177520539772432,0.0384786031028272,0,0.0313140449969251,0.00383214190079956,-0.109085223367819,0.0767778589935231,0.0192556342815021,-0.162480198287676,-0.361221564628991,0.0829991455708928,0.0261880148702168,0.121280785574399,0.0493082636100538,-0.137995601157627,0.0452270321443739,0.184111304969134,0.551918755482608,0.0190363270408596,-0.345532589447699,-0.327904440471249,0,-0.118430886359386,0.0436291927402803,,0,,0.0493754831656945,,,0.0792418277239394,-0.18090446477218,,-0.981012658574788,0.01732987309403,0.00101421298526596,-0.0566301124373513,-0.00101421298526633,0.0576149706762346,-0.270693628006076,0.108174042307805,-0.820783553775475,0.376465376542232,0.18510343878116,0,0.0629538684801504,,-0.577335426897601,-0.472292981531667,-0.628514170854025,0.392247817413648,-1.25809335158124,,,0.157135569365479,-0.0400284395917874,-0.0712959339057385,-0.226198452375336,0.2239248447891,0.00487884378015773,0.102736158393471,0.0718725083647109,0.19867778706613,-0.00487771298299715,-0.0679436132644472,-0.104051419363127
