protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",-0.0821714989858034,-0.0699946353617687,0.0209000834770686,-0.18651755197655,-0.0739111881171394,0.0876285720921058,0.00706231607313799,-0.266937530813124,-0.0170381034754438,-0.0127043114732288,-0.0068533313139322,-0.283046383989608,-0.0249370221001304,0.0547278592909308,-0.122509548359608,-0.209685434975854,0.121348573548616,0.00171827838726047,0.0393462336154576,-0.200452126185908,-0.212751400166705,-0.0502957207973065,0.00643562399356094,0.0189916692655015,-0.179677241594256,-0.051195510532178,-0.00399084495156992,-0.308562476603975,-0.130948306219866,0.0469242424786383,0.0589761146298593,-0.488518022900717,-0.0796381474611259,0.00512759913440325,0.0562110271924796,-0.190321630953275,-0.0991047254982461,-0.000977979982976112,0.0884520761814722,-0.245581215268579,-0.0633660344397771,-0.0123765756881329,-0.00442973612574625,-0.237431047007239,-0.0725406762103029,0.0137483427749553,0.0169865937234082,-0.246128153581168,-0.0148782306477741,0.001934450354908,0.0137086923741267,-0.232326188222231,-0.101550332910447,0.00240113369534593,0.0843328690302974,-0.232979198430893,-0.0720160545969339,-0.00322028103711072,0.00864871398804482,-0.311665464163767,-0.0358417248400027,-0.015216309854996,0.0261318844573618,-0.289471345663272,-0.0227224521256879,0.0266936786399963,-0.0120428710519126,-0.272951207222868,-0.0504823877502951,-0.011142445969408,-0.0345373708524496,-0.210645616812981
14-3-3 protein epsilon,0.0921979238555366,0.0621673304303865,0.196454147381993,0.436807841327415,0.25854289532665,-0.0554214335809065,0.0443456855925266,0.093707368031816,0.0502341807218042,0.0117015026427596,0.345442054699379,0.229672537610417,0.305128763427454,0.17263426838029,0.150756701678224,0.183982176446734,0.320546311741116,0.000808188406132982,0.142405930008976,0.196125267313669,0.295990332721411,-0.151583461110398,0.214441469469819,0.243582951024669,0.484632443738793,-0.173356105632725,0.128449920908571,0.195816835666078,0.200544985908126,0.293316049442039,0.124884509204972,0.188963015686423,0.346753001550296,0.00921078721995173,0.172920944351079,0.0627213364811979,-0.0173683541745758,0.172192866593832,0.183050702203221,0.181808838227752,0.238732167646659,-0.0664795568619717,0.189104819280641,0.253438348573426,0.0250029135179461,-0.0809611428860228,0.152086250547461,0.244244429101247,0.0993249306822907,-0.0101570756541797,0.00420904980049913,0.113169611589714,0.121634056109094,0.00674469555079998,-0.010628482926435,0.0933321687608678,0.143132395142791,0.00443376335238701,0.0472394229138056,0.116581582966582,0.0790359714727582,-0.0376842359030966,0.0260988835150099,-0.0210679845860524,0.0762991531963561,-0.00568689365738865,-0.0188420693733607,0.080433535499371,0.137638245456382,0.0491090438403992,-0.0436340021707806,0.135738837830728
14-3-3 protein sigma,0.134183337837637,-0.0305828831898981,-0.0859226683988927,0.178098153854569,-0.003002310334173,0.0446210412544614,,0.125903793808921,0.0682959422039255,-0.0140381580645633,,0.0949454326672522,0.115902739840921,0.0162705043717938,-0.0197717214840241,0.217520396805458,0.232669311441169,-0.0495071148749169,-0.012419827102228,0.145016046169004,0.152886178966522,0.0332366105031223,-0.0259390905968164,0.47820500144121,,,,,,,,,,,,,-0.0730423377513745,-0.108485880602862,-0.232887017601366,0.364176871750085,-0.155653304297584,-0.0601613066372453,0.0174386923300842,-0.0352783480733806,-0.110475265842579,0.168647187240108,-0.187539779434355,-0.0354529552523299,0.191222645991727,-0.127601575907745,-0.253392766483006,-0.0985785458175545,-0.00133880666724462,-0.00331009458930877,-0.537579112807276,0.282376065161069,0.585206906568642,0.130911670497055,0.286279872528294,-0.275019030774882,,,,,,,,,,,,
26S protease regulatory subunit 8,-0.0527209730994025,0.192193733009045,-0.0268398467619654,0.0698797704492314,0.0180033078211438,-0.136058228649211,0.0572348473687021,0.102468875330938,-0.0733137354178593,-0.0460207260350698,-0.0176237955720011,-0.00510291574217579,0.000513098795263671,-0.00547263166173788,0.175112900120161,0.180608068260281,0.466905266304487,-0.0251851075037751,0.253067013743273,0.214339081639113,0.0620336466096133,0.0701097304064216,0.128841360425968,0.200269436484891,0.152679361944656,-0.109473388887913,0.108741212748709,0.0140766861959837,0.032303718874456,0.118828040888519,0.0490125576574454,0.0928475926299183,-0.0361309630877193,0.00452183258543859,0.100954732570628,-0.197811291584135,-0.243926526009571,-0.0628065122111844,-0.00659992785827401,-0.0801334977628496,-0.03814316205084,0.0807783544172243,-0.00718098613190298,-0.0749568375297601,-0.0205990924782268,0.0311287654869564,-0.0297527530630112,-0.103609361940981,0.0115283862194448,-0.0423531827088887,0.0161477120470846,-0.0291558735881428,-0.101703815408919,0.0152326519738177,0.166492271443109,-0.00105810945453498,0.00789152191669212,0.0326504342445792,0.0632865096945856,0.0475601083291653,-0.0146188921121975,0.0155233292080822,-0.0267043109598185,-0.0735040840045382,-0.238200060753998,-0.0296321216458886,0.0618220879638496,-0.0355169433166747,-0.0353917828966066,0.0146531460443035,-0.0249660022602658,-0.102194553492701
26S proteasome non-ATPase regulatory subunit 2,0.0747577405012837,0.0213532041886441,0.00539109486532362,-0.0844752990611309,0.02614171713418,-0.0131182807363649,0.0287184536145478,-0.0628113474265123,0.00286759023838536,0.0210024247108339,-0.0498199159312119,0.0494432437994014,0.0555902576782364,0.0286307743042954,0.0550989206956907,-0.02564553333324,0.0759750141543417,-0.0407083369722547,-0.0146382331508188,0.012644173502112,-0.169383408400484,0.0341384472078502,0.0287042370177616,-0.107538675380043,-0.00798249329161603,-0.034994280593591,0.0522924559426592,-0.0662359098772239,0.11323945211746,0.0796441592666149,0.173633008058743,-0.048781569848154,-0.0498047679509043,-0.0188627500942122,0.055435078018842,0.0406126861024192,-0.123103767573643,-0.00126440507093627,-0.0275897250744568,-0.361130711707867,-0.0318638875962456,-0.0666796738556907,-0.314202135346339,-0.158175515818511,-0.0620529815726036,0.0697146783235963,-0.25516411991994,-0.0663438181981975,0.0995556563808437,0.142867621650378,0.130898231076206,0.0884466686206296,0.0609600145249174,0.194484191942356,-0.0147438868118705,0.109154644933263,-0.0131881473114744,-0.258483904263051,0.0681958438467375,0.0186725514873845,-0.123332505149114,-0.0157614811690149,-0.0138862638532415,-0.123546299111126,-0.157263778741417,0.00594987720570731,-0.0160946366800404,-0.105026957778617,-0.0546318561772963,0.0116204479123082,-0.00263052682798549,-0.101432420511127
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184694168653222,0.0883488220357474,-0.407247666360866,-0.289327550842315,0.200389455179915,0.545630806131233,0.387664814166572,-3.83543395991908,0.597979802580387,-0.423706639731258,-0.645807044189313,-0.404436638366331,0.0392350120587932,0.00520477746631972,-0.0564705411047402,0.0788175109817121,0.101913100694322,-0.00613033448144009,0.11066001708049,-0.0738615820940636,0.0257053332890083,0.000925557015120405,-0.690452317752041,-0.084536629350518,,,,,,,,,,,,
"39S ribosomal protein L18, mitochondrial",0.336668691684004,-0.0755016923392318,0.0395673340964758,0.116318312473637,,0.012407647821628,,0.109069525733489,,0.0630940445176034,,0.0780878007437207,0.0561354511587218,0.0019301775225637,-0.205318317250926,-0.404059683592242,0.056842734234118,0.00190163467150807,0.106984181099523,0.00647014464680323,-0.180833720120878,0.0285510306918472,0.141273186005884,0.522461743826083,0.103212298221434,-0.261356618267124,-0.243728469290674,,-0.0342549151788116,0.127805163920855,,0.0841759711805748,,0.133551454346269,,,0.347921570550492,-0.267680070632295,,-0.363925990581847,0.286009615920583,0.269693955811818,-0.394941803816649,0.267665529841286,0.326294713502787,-0.0020138851795237,0.474460067924512,,0.926573823108125,0.735211885347054,0.550108446565894,0.613062315046044,,-0.0272269803317076,0.0778154650342264,-0.0784057242881309,0.942356263979542,-0.707984905015346,,,0.170071608394252,-0.0267034946510198,-0.0578161335438794,-0.212812438561931,0.237623926846065,0.0182528996195541,0.117002317957938,0.0855047491664159,0.211951690649119,0.00850533313223877,-0.0559919788477914,-0.090713233026719
