protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47836137606775,5.42840878018529,11.2984672189102,7.15809444547062,4.52222274876871,,1.90841124051877,2.47699932500143,-14.2874271831358,-18.7793807916287,-3.78373628676209,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19648258522505,18.8231846801605,,,,,,,,,-18.1007037848868
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.04552545418205,-9.43177766936991,-9.09396431723593,-11.5688806779254,,,,,-2.81960664269225,,-11.4642997335555,,,,,,,,,,,,
14-3-3 protein sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.695114111413229,6.63764388225617,18.3727995140336,11.5266846832668,-2.9804776899154,,,11.3580933351995,-9.21466857126329,-12.8168516535151,0.612622121760271
26S protease regulatory subunit 6B,29.0232098987914,11.7827124518739,-1.72039872165035,4.4251639245825,13.9620081128452,17.9948149512523,-0.698663396198929,18.2171808965748,18.0845087291236,9.53382890118499,6.35223124092051,14.1331080559928,16.856508968227,19.0094541449141,16.5193703155918,13.7610912788094,26.4239716017897,13.1557516952321,12.557606187962,6.24213187976427,15.4757060473628,6.64174653463292,10.4223454829454,5.77736048259561,-11.1016740096761,-0.330705939920177,-3.66975814333745,-7.43449982734912,7.28700741805556,-5.21278818144693,-8.07904746601097,-1.05980981613151,5.15964253378893,-3.08414188246536,2.53447009679758,20.8330837818242,21.1382253669824,14.7854540237749,20.3197579630472,23.947315842034,23.5030747567313,24.0488667544086,24.949678874367,23.837292465562,25.0237387081687,24.6281956734217,25.7386732857232,24.3999915480733,22.7332581588105,24.4144664170716,27.4518553683132,26.5767660010717,27.10161742058,21.7650798552285,28.105338428388,24.5859655231689,22.3585976334306,28.4556647520902,28.7701729235812,26.244747224701,23.313910001021,20.3204884012238,33.0079421719255,39.6034023547924,36.052327560578,32.2989948120256,31.4658513328125,32.8042317041262,21.8386953753426,10.8103679159253,26.4333196980746,29.4684187071764
3-mercaptopyruvate sulfurtransferase,-24.0186921884356,-10.7680566492733,-27.6734008838432,-10.2774554340145,-27.5670683803321,-27.3703058340774,-26.1067199110679,-19.9277048940857,-14.5903754975893,-42.6909343223356,,,-10.107484836647,6.8187240366403,-22.3429405374235,-20.7156549509868,14.5285613607601,-17.9888869820209,-4.90424529563992,0.166783612105358,10.3406655023483,-15.8282909692197,-5.02094026100117,2.62701316132451,-21.4118834636165,-18.2426732987971,-17.22184084983,-20.7189123403712,6.52182111430205,,-14.4100116123813,-2.47902541511129,-3.35557452159453,-5.91661550354988,-5.57960167326342,-1.23140224631355,-8.40882131404555,,-11.5474945742086,-12.5895352101791,-1.58625714478587,14.1401713758159,14.4512321494786,-5.37183707548369,16.8209526671974,11.4387974888975,10.5807138611217,-8.82544206197728,5.10611559317074,8.0261605441499,5.83982827779729,7.80135287433198,11.5905409155303,13.2603818381607,13.9073115161445,11.5765068638024,15.3316237819385,15.5258951114332,15.1428548748269,16.049025633168,13.848375970496,,2.14233761560019,,0.876191871647636,,,,,,-12.6354334722043,
"39S ribosomal protein L18, mitochondrial",20.5264030892299,4.48171371698854,12.8784271654825,11.4748915907901,-10.103927669234,1.23903050147642,-32.3960753377353,-0.102919496491337,-16.1798297842325,17.3328919703416,22.1148113233502,28.703059641644,27.8451263064991,30.4811211261064,8.185478752223,-6.04203215223165,19.2408652281614,29.8464732250113,12.1139875834765,-14.1885663225045,11.9176722562371,7.812689368404,-3.52744119378199,20.0075562637453,4.4312129753471,22.0815921007214,14.3595305323776,-1.66261763850246,23.7153321348323,11.0599804097191,-9.93014836715551,13.6770676612032,12.2137797846935,10.4000761304354,-1.89563789039567,5.89045128407662,14.7711644660562,24.7807456464075,17.0816580084094,23.4838409321423,8.69587762371296,2.55684097369068,23.6307203413788,-2.28309796053614,2.71627370203975,-1.36881765113236,20.0974444359351,18.3155749319118,19.9412500112785,15.1411489765127,13.7012761211394,5.45304610233275,25.5420719393935,23.8299584309619,17.2080653007037,15.2069523441063,15.2762756406396,17.6747677894441,-2.56294988387074,-0.121307343194897,42.4290088503098,30.5543423098691,53.8903023342275,46.4467532368942,50.7442292914362,38.1978264668817,26.5464897376364,21.6582462624924,28.5641467084287,3.1046703630782,25.8500864303166,4.63365108079829
"39S ribosomal protein L33, mitochondrial",,,,,,,,,,,,,,2.26703162908843,,,7.89685265080226,-5.08428032424949,-11.6764513691506,3.86547190506591,-22.0743248523231,,-19.3919045803042,-24.7658871754336,,,,,,,,,,,,,,,,,,,,,,,,,20.9088931986393,22.8364180534207,,23.8109088638477,10.1740633450736,7.15826384666327,8.1123193882632,3.47278259758207,6.52906391237585,,7.67042300381401,4.99851145506976,-18.4617587600746,,5.28282773697391,24.5998308745737,29.5570709621522,9.48216010143664,6.52157729499692,-2.33392180651108,25.1181124947637,0.626625105743859,1.06274970176384,-2.34813996581921
"4-aminobutyrate aminotransferase, mitochondrial",,,,-14.386418148924,-14.8424907821299,,,-11.142758357508,-29.8835146218931,,,-2.67277808705734,-11.2078253748937,-16.4630154944527,,-4.38323856613249,-10.3609273957068,-16.1760775153525,-12.5492212109095,-24.3458280385058,-16.6201522863085,-23.3467547116004,-13.8253571267896,-28.8154282339426,,,,,,,,-16.1742279992719,,,,,,,,,,,,,,,,,-15.0171112172848,-12.9384796535204,-9.10086595797043,,-15.7146058157782,-11.2878548364271,,,,,-14.4147645426873,-8.80930866107162,-16.5882514844679,2.51848070329212,-6.40947130811661,5.53628532833931,1.91146933126861,-2.34297730799117,-13.4418099471925,-5.13110277165963,-14.9837948839407,-9.67453515903147,-8.95742247399745,-19.3558202160263
40S ribosomal protein S26,,,,,,,,,,,,,,,,,,,,,,,,19.8910451763081,,,-2.13631912369519,,8.10129801139461,,,,4.11487205693799,-9.65149752991023,,,18.4898374292296,,4.98392569587148,30.3683308513721,,,,,49.8699327438379,,,,,,,,,,,,,,,,,,41.8477599134996,70.2421213786252,61.7351742503643,48.1266610196451,,78.5437072757913,57.4109086404243,15.7503079661364,19.6436023497031,
