protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,2.35983210195472,,2.21034356737662,,2.19287076279904,,2.42501645666314,,2.35169188937222,,,,,,,,,,,,,,,,,,,,,,,,,1.77227930816008,1.94766369574618,1.85014159899444,1.77473451793458,1.7460140525742,1.96936447645196,2.15306035216538,1.81011147841914,,,2.04359934999462,,,,,,,,,,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.93617355240358,2.2720485388114,2.74121468489941,0.940337993494403,2.80400568386773,2.04423325650452,2.56086521610928,1.91204437407679,2.93820146192789,2.14369742965797,2.64651053625396,1.85611000056184,2.67712508901707,1.79070651333041,4.19463948573974,1.40683241525135,4.31550333750457,2.17549378536666,1.95589270593941,1.47933521598176,2.72201392667915,1.78833598340886,1.87787099688251,1.60268461644834,3.54301399251608,2.53189693214449,2.63884890171462,2.01423947000828,3.64160978565303,2.46357649267034,2.58571398077781,0.919183997975036,3.14398989860194,2.29077120275998,1.84151467573176,0.919183997975036,2.56766520422907,2.4454629338739,2.4734510704506,2.04367185151289,2.5560906467304,2.40512784423107,2.58163865136224,2.17848132800439,2.62167614291613,2.41440838695391,2.48090090660397,0.629934844264246,2.17446235550827,1.63859066158743,2.9043314880679,2.35519675164799,2.99576844784748,1.77659921353733,1.6973426083951,2.30570463334993,3.42079897432477,1.76878153146525,2.46120652850654,2.40233529947754,2.22351689827495,2.21187180044903,2.33878422185602,1.83062642299484,2.38705563454137,2.16983153649345,2.52219248466733,2.26040141647845,2.1086700981263,2.24832600430378,2.68956078002776,0.953600256332753
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.68551005654397,,-1.07053353422995,,,-1.90537358754671,-1.18246168307091,,-2.23323600296192,-2.16961930422786
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12110857197174,,-0.876476720582368,,0.656818925950854,,,,,,,2.81019039464174
"1,4-alpha-glucan-branching enzyme",2.83281728387054,3.38717645011785,3.79465924483954,3.07405219636874,2.30873503227988,2.95190193899057,3.82262170493762,3.42744558797175,3.04284762449511,3.3578497046536,4.08327723861953,3.44616720110054,2.47997416185758,3.04087865777917,3.67822602662734,3.17122499336741,2.93268105509944,3.10601118300256,3.39651231609612,3.35095408012461,2.7968170128163,3.09713457316092,3.64007681219441,3.28060964030675,3.04428626506702,3.1712652495965,3.56374883118682,3.66756186916777,2.89417860815939,3.12389500002745,3.87523407125995,3.10156525625643,2.83631101983338,3.26047841666176,3.45286995940711,3.28170194714364,2.3679066300199,3.54254752559584,3.7790371660326,3.30146219693994,2.42768592058306,3.46825718524331,3.3234333058273,3.75861454758741,2.8101426003503,3.01908073838119,3.3143973871978,3.63936051715081,2.45227534665931,3.0150297325322,2.71400602802215,2.85560422875073,2.31976401941244,2.75343529071783,3.63574879773385,3.23695615155332,2.90569945674275,2.80708468752504,3.54952524757816,2.8510464048947,2.33369481722654,3.12980052062758,2.57216717726342,2.47982073979028,2.59192629311926,2.62493299431417,3.32676869418236,2.50779678005659,2.77206185479403,2.74244044481888,3.43450129276404,2.57610760111846
"10 kDa heat shock protein, mitochondrial",6.02367155238166,6.0791296793079,6.13983923565904,6.12537871244657,6.04412714688389,6.35146227809696,6.13126905697784,5.89145197541269,6.10470042994806,6.28832885117912,6.35152568106243,5.8899648115596,6.24893960708157,6.25270475110056,5.95359307735819,5.90475216044598,6.3094842913652,6.26843915886458,6.27097128980675,5.86623056271955,5.76568780373799,6.01931464274577,6.10756629362529,6.0980796972651,6.22448567689517,6.29433821121817,6.27974540362219,6.11684858142973,6.05820485852538,6.33523101379387,6.12951191032536,5.9590204828423,6.23878149357768,6.29130871897239,6.34007380698956,6.12174717797619,5.87679998389707,5.91615514083811,5.99226567494632,5.69901325292061,5.89682144714936,5.93464747036138,5.90887328168324,5.70302358218987,5.87589311136932,5.90846583380509,5.87402372795289,5.63556110835853,6.08500481809233,6.11731049080171,6.10160595050439,5.91698127565705,6.08453158479106,6.11919088694601,6.25825724752448,5.89241168055877,6.07483608179325,6.1541650425476,6.10419883060747,5.85325072003558,6.23447332888912,6.30196799130228,6.26179598595121,5.94692059302027,6.31225355789641,6.31832524423629,6.27567611895255,6.02818877499567,6.29019636580809,6.29175292687739,6.2649458141751,6.06213019110746
116 kDa U5 small nuclear ribonucleoprotein component,3.21072890815559,2.9267293536031,3.29643732550525,3.32348122216828,2.90699676998518,3.01992449293593,3.14513407261092,3.25994972566275,3.31677451490606,3.23089454937288,3.05929668850335,3.13685760366929,3.55080462641185,3.56189097863636,2.77514738817199,3.1427727816783,3.52106473036425,3.25022870247394,3.26868565989493,3.1344499285387,3.50450212036289,3.36719824510072,3.02964754422474,3.21926126291143,3.68758771510913,2.80558858347653,2.90129096950986,3.70378341032565,3.34146569578351,3.24634130844365,3.02103785387475,3.71918160896364,3.72577822288419,3.48104691027367,2.52607063542182,3.6282493013514,2.49249225948686,2.89829590295763,3.05566745632409,3.0909768176432,2.80753261392331,2.82961714672625,3.88761190676394,2.98822435507821,2.94375226952399,3.95960573048174,3.14857312550597,4.03259237196683,3.32838130849949,3.00846093978638,3.14525370183778,3.17656079754978,3.35242148819209,3.1134949310133,3.20464664238016,3.17314329126106,3.18587193723686,3.04651928755778,3.21924231404021,3.03100254342621,3.22345296417099,3.29220080551405,3.44413252881555,2.82278033039212,2.98332609368312,2.98247491040705,3.3428446486176,2.87629855521809,3.07843248761685,3.10071627803039,3.38090586975012,3.02640410098396
14-3-3 protein epsilon,6.22795187690372,6.32457354858171,6.19283025131937,6.18928091107814,5.35551688445708,6.26014221937111,6.19164012800621,6.22248611825359,5.32077005378783,6.25931043764398,5.29639081833049,5.21485930360624,6.04225711076023,5.79602131548062,5.56706753304131,5.5217821918219,6.1375926668073,5.31613259793326,5.87222885228083,5.8765427651787,6.04030218816141,5.79815166049091,5.89346638287332,5.87854743847347,6.16988288936266,6.19067861163463,6.08124013680254,6.17342638331785,6.2431508293025,6.17944466587401,6.13984882382167,6.07147270756813,6.23436064397554,5.21260335120163,5.29101849710643,5.22908884856509,5.73008768891743,5.32709140892277,5.72404411192881,5.61150173340448,5.66278018273625,5.49138157436604,5.69327979487247,5.75035603734924,5.67611906734695,5.60165260058852,5.62991139652337,5.81880666580416,5.58817309110236,5.47713449982523,5.30089244848456,5.62129044760916,5.45820569097503,5.44734219073876,5.670723426026,5.76908760023205,5.53532349858198,5.61759294348024,5.47886031029836,5.50320242912309,5.70606144874336,5.55290600327121,5.70815691528796,5.74435415472849,5.81244682089806,5.45835820209579,5.67237438901755,5.77906716842729,5.69860279234995,5.49674887381506,5.6868885587863,5.28071917206238
14-3-3 protein eta,4.20219858793177,4.01986379083733,3.38214118536381,4.08032035180035,4.21219885657191,4.08026159829953,3.96340799720346,4.0221673782124,4.20389896808986,4.16083685862679,3.69060509457599,4.1821981633451,4.30305933055178,3.71444473316813,4.1324988898416,3.84606565329388,4.45791196622382,4.16677238328403,3.51092231918188,4.15797410996042,3.79079879473615,4.19231095583006,3.82707911923528,4.03107425559882,4.29756367752145,4.12423106262644,3.64679983668902,4.1538445377404,4.30365660663269,4.21003811488073,3.34825179512984,4.18786585007551,4.27667209195177,4.19873880998877,3.26366903808513,4.23576284945033,3.9056889887841,3.84753162259168,3.99978778251998,3.43238277141353,3.8433607941256,3.6700640121077,3.83438458155487,3.81438335683627,3.79253843587114,3.44874904776904,4.02332737111237,3.54157120526824,3.90565768333203,3.71254320895667,4.05389335998519,3.77477809834316,3.95422987862953,3.76270232927108,3.97482338522225,3.77188711444577,3.96064959030229,3.88220891204395,4.20844101660705,3.87331129647777,3.68315630495593,3.57440831721912,4.16429919672455,3.70887538631735,3.97689871262215,3.7341756404281,4.21286911248458,3.81475814071745,4.04845196521946,3.81786143367725,4.20834504685975,3.92653509059785
14-3-3 protein sigma,6.59075350512319,6.43593240902882,6.38464650076891,6.6398852319487,6.46618229999577,6.51348312648823,,6.59898520534395,6.53524320434752,6.45179481339335,,6.56107138557324,6.48716379578763,6.38890840386158,6.35210335253855,6.59309037362712,6.60473155471895,6.32134434575402,6.36319195515788,6.51743607461285,6.52380126218147,6.39928577862635,6.34780861769399,6.85121178861962,7.19817567093986,,7.07315576975072,7.1768207987616,7.11311177978961,7.19879765822404,7.19550089364069,7.23697600786679,7.26767716357058,7.18775420375301,7.09554372224856,7.23682891125489,4.04656307667051,3.99177609149577,3.86641726320949,4.47341026805232,3.96652815477414,4.04289176673329,4.10865516272611,4.05769692917498,3.99321811284649,4.2587761145234,3.90624641023894,4.04829619698964,5.85777159127489,5.52319197470169,5.39578376653474,5.57338675405608,5.6758819459345,5.63881997273536,5.10014301597348,5.94230892847344,6.26091487508144,5.7899336232612,5.95094002912092,5.39706184046613,,,,,,,,,,,,
