protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,1.8761201369501,,1.726631602372,,1.70915879779442,,1.94130449165852,,1.8679799243676,,,,,,,,,,,,,,,,,,,,,,,,,0.893766339421546,1.06915072700765,0.9716286302559,0.896221549196039,0.867501083835661,1.09085150771342,1.27454738342684,0.9315985096806,,,1.16508638125608,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07558540365222,,-0.460608881338201,,,-1.29544893465497,-0.572537030179163,,-1.62331135007018,-1.55969465133611
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900177549829959,,-1.09740774272415,,0.43588790380907,,,,,,,2.58925937249996
"10 kDa heat shock protein, mitochondrial",6.01404380145038,6.07011281313489,6.13847492770816,6.13695481189136,6.03410140955784,6.36828676753728,6.13179032020117,5.88490058697764,6.1106597064646,6.28812185709918,6.36207981254922,5.89332455482514,6.24783537712819,6.23470534389286,5.97630342289021,5.90603589544184,6.34883579501194,6.25354419698862,6.23924979111625,5.8458008182034,5.71800249164415,5.97013558170054,6.08006796950589,6.09571697631496,6.24738417671746,6.32110823027712,6.29866310265614,6.15024383010485,6.07497332857666,6.36729149276814,6.15809972818628,5.99112811121182,6.26243652200937,6.31659880862372,6.36812831201429,6.15407282165908,5.87202104200521,5.9153332080626,5.97271810392268,5.48180661802094,5.8832144242453,5.92129707437154,5.70160022311403,5.49106485672421,5.86552635955053,5.70247539314435,5.89650480560252,5.45074960846789,6.08013767402909,6.10932474987637,6.09986846863779,5.90069879433418,6.07415537551961,6.10227528517992,6.21959842660309,5.88561206024899,6.07161620132486,6.13042805309706,6.11770971852072,5.8671693900899,6.20263437516989,6.26924960303703,6.23954581073129,5.94898933678367,6.25483893651487,6.2728104899585,6.25240257669005,5.99695217970575,6.2375086521328,6.25608367542129,6.24985626926833,6.08630508680817
14-3-3 protein epsilon,5.33049129629082,5.23807342237006,5.29045820152778,5.43096793835821,5.35473828269854,5.2523730556748,5.23893076991622,5.45270881818321,5.31246474271632,5.34866084165631,5.31550147655884,5.42021887949209,5.39836961264349,5.36790137792753,5.3506974778166,5.51346407606703,5.46107285941204,5.30745422264466,5.27065941744215,5.36780106716482,5.24091467462436,5.14885373179371,5.28458492511955,5.16678997604256,5.88411159946035,5.17148351766813,5.50938187258995,5.54324047908547,5.53843500088626,5.75488695715647,5.52744603873238,5.76483917336612,5.75375345303228,5.41109351663395,5.53047673994057,5.43529281621814,5.15946701553628,5.07573054466699,5.09992966357715,5.10661528764546,5.16192542302507,4.96304245146708,4.7827461138941,4.84785130173524,5.03644675150922,4.5181322811019,4.72290298908794,4.79642437547388,5.39380741891445,5.30455914082311,5.2708665346562,5.40799194268451,5.43871573437316,5.06383074144561,5.36284873968729,5.35777086074407,5.4539808381662,5.36436101555224,5.31858446253581,5.40557076888182,5.37433694181499,5.28338077198125,5.26609591719241,5.31448891567813,5.38514525556675,5.28300419506997,5.28940430042082,5.41037018685151,5.3757947803763,5.33978062966339,5.24052839646688,5.46293214382678
14-3-3 protein sigma,5.38773766929624,5.23291657320187,5.18163066494196,5.43686939612175,5.26316646416882,5.31046729066128,,5.395969369517,5.33222736852057,5.2487789775664,,5.35805554974629,4.38614084416294,4.28788545223689,4.25108040091386,4.49206742200243,4.50370860309427,4.22032139412933,4.2621690035332,4.41641312298816,4.42277831055679,4.29826282700166,4.2467856660693,4.75018883699493,5.009276628128,,4.88425672693886,4.98792175594975,4.92421273697776,5.00989861541218,5.00660185082883,5.04807696505493,5.07877812075872,4.99885516094116,4.90664467943671,5.04792986844303,1.14415381789462,1.08936683271987,0.964008004433595,1.57100100927642,1.06411889599824,1.14048250795739,1.20624590395021,1.15528767039908,1.09080885407059,1.3563668557475,1.00383715146304,1.14588693821374,4.4456014243335,4.1110218077603,3.98361359959335,4.16121658711469,4.26371177899311,4.22664980579397,3.68797284903209,4.53013876153205,4.84874470814006,4.37776345631981,4.53876986217953,3.98489167352474,,,,,,,,,,,,
26S protease regulatory subunit 8,3.82669238432325,3.96630194313563,3.78118360857908,3.97194641573302,3.93249974857608,3.80112545089374,3.93019404475086,3.95257049129506,3.79894959396889,3.82253980861793,4.00646442951679,3.97109304362058,3.72477727306141,3.78973571779849,3.88478469440064,3.98076412689648,4.25515596054536,3.76282272435286,3.95993896599986,3.99079451685697,3.72416840997494,3.95319192349497,3.86366251206261,4.02430964433705,3.93140683964663,4.06382197372285,3.98720661697733,4.097100490196,4.25600981485289,4.3282320859805,4.0985020718753,4.29061367570776,4.38253699403163,4.4678267850046,3.89400861182054,3.9515141213679,3.43869590792625,3.50115620923865,3.57717380342314,3.63706664339841,3.60131641729586,3.70842430758287,3.58834570710089,3.45605898442246,3.59505171176487,3.6773752958711,3.59171956592737,3.45387714603414,3.80642979445743,3.79668336718231,3.77974753079305,3.75378417412244,3.6655755192407,3.79139684961001,3.90058426288472,3.74123377979842,3.76504116619347,3.76825105462901,3.89557130407796,3.745924966775,3.59777869560728,3.79542616935171,3.59919001601069,3.6365254165715,3.41690534134563,3.59044199561862,3.67372726517763,3.55059021502889,3.66883258598888,3.77206526281647,3.73478488452511,3.45947837985955
26S proteasome non-ATPase regulatory subunit 2,3.80759148480406,3.89417645319156,3.75915001256813,3.67148896002282,3.71075973854253,3.68760662745156,3.72734616519922,3.58869857027956,3.66062488474111,3.54080594350201,3.55213795822331,3.75525096841667,4.11612285108698,4.09493756383725,4.14344463332323,4.07263327228746,4.15538767328226,4.14994357475447,4.11476452581851,3.98561290758987,3.87038200029482,4.1021272750618,4.06955545222251,4.14169429868344,4.0739993495289,4.08131051527139,4.20633521560705,4.01640651833692,4.13823196694189,4.14495114904128,4.19629046270492,4.03421886304349,3.98283201388001,3.98345591420304,4.15221029047457,4.07234635923271,3.95493854453168,4.0213172696125,4.22616924982024,3.36185095443137,3.97198709140437,3.95773463396703,3.04005505010941,3.77478411187288,4.24748028208908,4.10296442396669,3.47263355253996,4.20877652739772,3.97034828554557,4.0800710984176,4.02218496661239,3.97881694487437,3.9853496911159,4.08369389294883,3.54772389123942,3.96916052078497,3.9482926990798,3.52128077760341,3.97251492720986,3.90762068577148,3.80908022570049,3.90502745582146,3.90194624456335,3.74473034076865,3.82209576730997,3.87177973904333,3.964593890778,3.76944908106608,3.82273957084203,3.90508292840336,3.72499974875834,3.81774910575754
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,2.77868186572381,,,2.87109931539018,,2.85295321365701,2.80165896977517,2.7264174742462,,2.47587760315662,2.76625870312765,,4.03880450232339,,,2.80917030220986,,,,,,,,1.45556397904631,1.76899022982388,0.843321010421189,0.97117024143112,1.47383531022283,2.57263886668495,2.42565700911918,-2.59119428669953,2.67945794842996,1.30178627061787,1.13815675071298,0.830576909846835,1.21030608762183,0.853712469706785,1.35426071537874,1.61451113356635,1.31155138743214,1.53139699976202,1.23426634422895,1.6023604701075,1.40661315750946,1.45364474606773,1.17907903655133,1.58744742864206,1.91362737025016,4.17060975997596,,,,,,,4.02109998626121,,4.18761865685219,
"39S ribosomal protein L18, mitochondrial",2.63344193398912,2.24388976893369,2.38751342270004,2.40406050660014,2.71189538467405,2.33414590210959,2.33361500735783,2.43502710632271,2.5093185610692,2.48409042285368,2.51938813274018,2.33435648209304,2.20509200177149,2.18287284978865,1.70768589109692,1.51263942755469,2.15330576196622,2.1155816676327,2.31797102210962,1.92001930741592,1.73121049741934,2.20877845847859,2.05615002862196,2.58640402927792,2.7360728059521,2.36516804070269,2.39188052306837,4.07181846477135,2.59975870724506,2.76799519580919,,2.72155100874424,,2.76674889820926,,,2.59284054987632,2.67750921676314,,1.70220319546765,2.53350463989625,2.4980605940863,2.82870243890052,2.48595437199359,2.5553016570958,2.21342860700771,2.86098901501779,2.17354425714493,3.29139662540576,3.08427929297096,2.89755883659811,2.98330147193415,,2.31317694400744,2.41381145082945,2.27980099603871,3.31633808950682,1.64931090476328,,,1.75946035672116,1.58618510395689,1.55078681288546,1.402258620532,1.87100304274428,1.61478417588337,1.78809510997193,1.71958952465814,1.80758720297726,1.61938622784656,1.45404917558265,1.51394397024827
