protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,0.00814021258249827,,-0.141348321995598,,-0.158821126573174,,0.0733245672909249,,0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0778622908343545,0.0975220967517476,0,-0.0754070810598615,-0.104127546420239,0.119222877457523,0.302918753170939,-0.0400301205752998,,,0.193457751000179,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109931765501372,,0.724908287815395,,,-0.109931765501372,0.612980138974432,,-0.43779418091658,-0.374177482182518
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232144823010445,,-1.76544046954367,,-0.232144823010445,,,,,,,1.92122664568044
"10 kDa heat shock protein, mitochondrial",-0.0124089722899732,-0.0237527573368283,0.0496978087470139,-0.105373961276,-0.0161210360851753,0.148984485026482,0.0389841067202043,-0.187980756487346,0.0261903638554273,0.0258148976091179,0.0426254143997005,-0.265948240095305,0.0208929271483875,0.102783234474958,0.112114886757088,-0.161432675572829,0.170175262721469,0.0453160859765728,0.0839443997427489,-0.157483211143833,-0.0213654420240301,-0.0144465917125874,0.0489623488305907,0.057159891713725,-0.117072691077762,0.00720650190388391,0.0640833637869565,-0.243249743378253,-0.067515256432157,0.118814994109018,0.12266162676885,-0.213774713655167,-0.0126783387382302,0.069213362168904,0.124666104736949,-0.122670895137386,-0.150845624214557,0.0289144017293992,0.0640441298152551,-0.025297010179312,-0.0557615211624768,0.0191419685315299,0.0736998159259147,-0.228859257480155,-0.0113436184345063,0.181903644792283,0.0565173700426203,-0.182186389281136,0.0254322010518387,0.0265340525571236,0.0367364107081887,-0.186486966763576,-0.0504018617905722,0.0184258790599654,0.0956545885851067,-0.199245872471037,-0.0225079719258151,0.029705329606078,0.0468468039045027,-0.265850198415625,0.00465214158206902,0.0220682180212403,0.048443906380502,-0.254583978884943,0.00928953876292489,0.0440984983133584,0.0208035805842747,-0.236064098112186,-0.0278020129815291,0.0199539526481254,-0.00154362122678197,-0.182817919834757
14-3-3 protein epsilon,0.0918100627317113,-0.0183462068160758,0.0469651348420678,0.138795719892067,0.0114521832502645,-0.0793802065485184,-0.0486015548328143,0.102015111558008,0.0161947137403521,0.0472311751884484,0.024995773377014,0.175583201157625,0.087179521924665,0.021776013060324,0.018340679704408,0.147958265475644,0.115624130719222,-0.0386643115177662,-0.0188487562159028,0.0245155066135626,-0.0552459539010191,-0.146622222819144,-0.00761560495176601,-0.0749226456779487,0.12331798427709,-0.0615155382873885,-0.0455858287790991,-0.0092563620506891,0.00802848468414538,-0.0084851848672035,0.0301515184098306,-0.00214141307101814,-0.0243597636669121,0.135890039964152,-0.00218229125882736,0.188884194096324,0.0246753338225643,-0.0495222541972902,-0.05664131001374,0.0388706776489741,0.0204200606578443,-0.14402858972665,0.0157181406831299,0.0944029453906177,-0.00861236341305013,-0.0729088552993827,-0.0611218107588683,0.0433993006893924,0.0328864006372587,-0.0614173516191751,-0.0844471790280531,0.048668401264091,0.0693800627594926,-0.0532846568138017,0.00733856130949281,-0.00453374450494476,0.0795717462964161,0.00437364700701107,-0.0413844878076574,0.0506188717529462,0.0532346978400089,-0.0321258365503296,-0.0445838009553377,0.00411015493510216,0.0760604051264381,-0.0201742175981212,-0.0206549747642689,0.112901196216105,0.0571545319534702,0.0668723803975785,-0.0688367973326135,0.174248978504767
14-3-3 protein sigma,0.0663903397053202,-0.0884307563890516,-0.139716664648961,0.115522066530826,-0.0581808654221065,-0.010880038929642,,0.0746220399260755,0.0108800389296421,-0.0725683520245202,,0.0367082201553702,0.0439390085806427,-0.0543163833454079,-0.0911214346684392,0.149865586420129,0.161506767511965,-0.121880441452969,-0.0800328320491044,0.0742112874058584,0.0805764749744835,-0.0439390085806428,-0.0954161695130002,0.407987001412629,0.00267477729916441,,-0.122345123889971,-0.0186800948790884,-0.0823891138510779,0.00329676458334562,0,0.0414751142260982,0.0721762699298871,-0.00774668988767683,-0.099957171392127,0.0413280176141965,0.0018356549686125,-0.052951330206136,-0.178310158492409,0.42868284635042,-0.0781992669277649,-0.00183565496861244,0.0639277410242106,0.012969507473076,-0.0515093088554148,0.214048692821501,-0.138481011462964,0.0035687752877358,0.200420631939958,-0.134158984633241,-0.26156719280019,-0.0839642052788508,0.0185309865995702,-0.0185309865995702,-0.557207943361452,0.284957969138508,0.603563915746516,0.132582663926274,0.293589069785988,-0.260289118868798,,,,,,,,,,,,
14-3-3 protein theta,-0.111711117162537,0.114265473518023,0.0323481246582391,0.117201024572466,-0.129790271539514,0.161987245928907,-0.0650000913742066,0.0175281342071485,-0.0636638182139347,0.0691528491425924,-0.0834544306664778,0.165988048027064,-0.0382282391264274,0.0930738978028341,0.0164376045294707,0.132490047486377,-0.0506119732058408,0.0768337003231298,0.0109369959704099,0.0770574198138257,-0.0835665754224609,0.0211609144241414,-0.062429858219103,0.0603769079512427,-0.0845258990851598,0.00551384031777192,-0.0385091744224834,-0.0188344914773121,-0.105027599683522,0.113242126808724,-0.0621859607770803,0.0164525658304845,-0.06171507071758,0.132064748681114,-0.0217195781965346,0.196599044147501,-0.00313203494928097,0.119293160394183,-0.0433783702945734,0.0238070611661424,-0.226611988220184,0.0626620646052498,-0.00922104337110533,0.00373870939507463,-0.380249914465448,-0.0757339838148909,-0.034374945064082,-0.121483072827726,-0.0921755637734272,0.0658313265254108,-0.0307217655197364,-0.0184459762614467,-0.174255695965225,0.1462721843115,-0.31245818497969,0.0391592309927024,-0.109308746210719,-0.0183557084015841,-0.0186239743777638,0.0426557671996137,-0.11650363558883,0.0281976250941062,-0.026529260999165,0.0641045751651383,-0.265277111509337,0.0832055216884589,0.00899038569961658,0.0845465078633067,-0.0743965832505528,0.128206720880409,-0.115466025683822,0.00119885867171903
26S protease regulatory subunit 8,-0.000844247593438237,0.114193342628782,0.142054219881511,0.0366875793579727,0.00909588214182133,-0.113764116122787,0.0131510225005134,0.000652980729265958,-0.105848948882428,-0.0548714203702398,0.0683910254776275,-0.000455974740542501,0.00392740177243563,-0.0786764401695385,0.046110102781489,0.0572164411672169,0.277180708533064,0.0200850703238404,0.0619044816456659,0.0409542410215438,-0.00650579181988756,-0.12967986280614,-0.0466296941382712,0.148172823876371,0.0799027152952852,-0.0778830442067605,0.0550471988083656,0.00336033406662148,-0.0351208522585773,0.0665216035001147,-0.00299704337055648,0.0592332807170982,0.0735978728733208,0.0936904859738772,-0.0338368726724187,0.0293108985009736,-0.0435747481595157,0.0187859416462409,0.0343501419891863,-0.106443833737937,-0.140704638275476,-0.0498577252138307,-0.00609248363515141,-0.0142138539865542,-0.0663548534528207,0.0504884657604304,0.0650772815727942,0.350327800270953,0.0288549466789447,-0.089654406621281,0.00894296138542599,-0.0320567301396867,-0.0911686812139475,0.0642228845348167,0.230539918823512,0.029450554620982,-0.0731152898066173,0.00237488002813156,0.0619776256121982,0.0154331874831771,-0.0121167059757908,0.0218518158916527,0.0129487541280927,-0.116927019807822,-0.00559733601208657,-0.0423824931928261,0.0573600535096908,-0.00517686001751849,-0.0367487733505294,0.000283269917368381,0.019540739278998,0.109793942526469
26S proteasome non-ATPase regulatory subunit 2,0.104591018672091,0.105130915929284,0.215492543497196,-0.0430711810669975,0.0182786871517954,-0.00151441440321032,0.0223550117873276,-0.0575198023697685,-0.00259479001165763,0.131084720475351,0.0435440369039915,0.119805562930596,0.0466022640271705,0.00976965077082757,-0.00803231414875267,-0.0591577371022163,0.0219500580318371,0.00527852535154709,-0.00188067306810171,0.0137775593994316,-0.135320862589102,-0.0576589446728321,0.00832091862484731,-0.0420590652700482,-0.0494736475757509,-0.140963402442408,0.0406529860839967,-0.0765217865692222,0.027032217471989,0.119004064181081,0.166223956253314,-0.0567277883729575,-0.107028699551612,-0.0472086163075396,-0.0370051349432454,-0.182969321842302,-0.161507645165065,0.0207586866012348,-0.0237227803680357,0.0593694313764405,-0.00437695103560611,-0.0630200568833438,0.102375651806905,-0.0197845302410527,-0.0165674802204456,0.0890838403211332,0.0937634529771575,0.041135924710368,0.0598221593738713,0.00574662239302884,0.0182656057102436,-0.0318984207931565,-0.0345196426785762,0.0151670183965512,0.340019511240409,0.0383232030123593,-0.123493691458385,-0.09084566491835,0.0721472096030921,-0.131107034259301,-0.0802588018866121,0.0489481427198189,0.0438331647737159,-0.0502665346781521,-0.112291315531855,0.0694823949050549,0.153288723375184,-0.0470732021439711,-0.039829928411759,0.096751466622638,-0.110015311502357,-0.0179145942331559
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,0,,,0.0924174496663732,,0.0742713479332027,0.0229771040513627,-0.0522643914776096,,-0.302804262567193,-0.0124231625961642,,0.614817100056765,,,-0.614817100056765,,,,,,,,0.548318353120154,0.263113553346072,-0.0639246155049655,0.0639246155049656,0.566589684296678,0.478484978104277,0.286427535124156,-3.49843991262568,0.477301534619945,-0.289458396721642,-0.540930403218477,-0.0766687160793199,-0.109763629395023,-0.00197459085175766,-0.0469843283255238,0.184842981706426,-0.0180265563796573,0.093339285807463,-0.0793528209702319,0.134033591694885,0.021956056250531,0.0432315568511143,-0.33121914301097,0.123063818333674,-2.18222750286842,0.0747548868573738,,,,,,,-0.0747548868573738,,0.0917637837336097,
