protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,6.6412477,7.337637,7.019335,6.9004097,6.4311724,6.6652374,6.2663145,6.5583153,5.6868076,6.3827176,6.326681,6.4495296,6.5541854,7.4919224,7.0266066,6.819896,5.9276886,6.9013233,7.249464,6.7850776,6.275752,7.1706204,6.730982,6.5143256,6.082326,6.742519,6.5781746,6.6273713,6.296709,6.667531,6.693684,6.49485,6.069842,6.6107306,6.726693,6.3663063,6.9521184,7.493682,7.3600297,7.208447,6.7563667,7.5165935,7.677346,7.419703,6.843585,7.827519,7.5804687,7.6152387,5.8554816,6.3256855,6.171206,6.346208,5.8888273,6.4523625,6.9331536,6.5531797,6.305805,6.640168,6.839735,6.656207,6.517264,7.1125784,6.9379516,6.873085,6.5753713,6.964867,7.146256,7.034106,6.6208577,7.162888,7.205918,7.060802
"1,4-alpha-glucan-branching enzyme",6.6153680043681,7.28883371836202,6.9860600585546,6.86377844846455,6.41629287615247,6.63449235889464,6.25297942701096,6.53309667120562,5.69019266570133,6.35809165058306,6.30912661040375,6.42106741190612,6.51926325773224,7.42240319517799,6.97715774230279,6.7721414819361,5.90973477258771,6.8561156033129,7.18759723935331,6.73560861673546,6.24875712699055,7.10739982953837,6.68193226334524,6.46720184148856,6.04631878881794,6.68307436085791,6.5243621872932,6.56670962893901,6.25072523636162,6.61066322328482,6.633495701205,6.44153566502512,6.03140117567107,6.55252210340799,6.66665316408681,6.3107690703964,6.90823174900565,7.43116672591098,7.30688181543606,7.15015341268729,6.72287287099351,7.45819877634728,7.61762227596227,7.35983514302503,6.80832209798594,7.75519181177072,7.52453601824589,7.55153912090284,5.84019532678235,6.29429998533458,6.1448895344148,6.30544523052433,5.87330645137499,6.41770056594642,6.898743442855,6.51013262227869,6.27785405133634,6.60504201508532,6.80090906471255,6.61057968609053,6.46092165840759,7.04722062218822,6.87325322754226,6.80517693944039,6.51660684878632,6.89897095447262,7.0770555077384,6.96299756719821,6.5623495150672,7.09429412603465,7.13863926256618,6.99299950373272
"10 kDa heat shock protein, mitochondrial",6.82268533294942,7.52449545495734,7.20728214715595,7.08253977070538,6.61132276012919,6.84735659818808,6.45210622300028,6.73777391387348,5.8584020685789,6.56445076333099,6.50648683637663,6.62171018019593,6.7210683999643,7.66058450807775,7.19802068966225,6.98884949747769,6.09105739601956,7.07637739147883,7.42042732605266,6.9492350670217,6.45084409365386,7.33943668089232,6.9051252336077,6.6726120168436,6.25895518725036,6.91934820833415,6.75697076119838,6.79748628289839,6.47201279442456,6.84402781143875,6.86703788616272,6.66396827134221,6.23832791903471,6.78095676916988,6.90073693832989,6.53003324294765,7.12612052427158,7.65969615435478,7.52724586597555,7.37386227328943,6.92176508686223,7.68240059756267,7.84524511641724,7.58319496890225,7.01073385668933,7.99040351860642,7.74924540585868,7.77883337678564,5.99960721827108,6.47940075108398,6.32656051693018,6.4912581661989,6.03622062082621,6.61144145473136,7.09111943517702,6.70422736822845,6.45976313023691,6.80088826333476,7.00995257254115,6.8022092416313,6.62477040785553,7.23872731559424,7.06209151939054,6.98862902026181,6.68967208731768,7.08525585199143,7.27225027675271,7.15034006113486,6.73789613199587,7.28773419872203,7.34019330614066,7.18141212079238
116 kDa U5 small nuclear ribonucleoprotein component,6.87585001765531,7.567030469577,7.25552765057162,7.12966756238816,6.67179650220825,6.8915077741483,6.49942407357107,6.79325936715015,5.93072650105003,6.6093107545964,6.5648571890603,6.67912799403471,6.77667412142662,7.69994533320766,7.24268427151304,7.03594235150534,6.15676558597627,7.12046493491969,7.46024046731488,7.00064865794547,6.50281144881494,7.38003834317083,6.94190725475632,6.72150151660991,6.29999819343863,6.95116304292391,6.78599181786367,6.83223263788538,6.51066674944846,6.87592853510136,6.89947352731541,6.70446538886398,6.2887619738556,6.81766687642488,6.93439739946026,6.57331616507263,7.17231617974222,7.70284734935852,7.57432194692059,7.41591135117901,6.97894234022811,7.72968030073965,7.89420330344837,7.62891657172965,7.06869844061515,8.03658429400165,7.79959426326964,7.82696149647257,6.08067137779471,6.54171138147645,6.38858527196487,6.55477318978831,6.11545050578986,6.66779370946707,7.15624199995608,6.76342772124509,6.52703964927621,6.86094411505145,7.05914369469402,6.86674107150123,6.70002443389048,7.29804079650473,7.11862153257243,7.05055898755216,6.75612455038893,7.14549098264455,7.32687923643192,7.21096602633073,6.80253815462638,7.34464161779858,7.38995485959394,7.2416755145069
14 kDa phosphohistidine phosphatase,6.6987123,7.3829837,7.075169,6.9519377,6.4948926,6.721644,6.336804,6.6169577,5.7634254,6.4465575,6.392894,6.502824,6.5958996,7.512146,7.064392,6.8562107,5.986434,6.943358,7.278564,6.8182096,6.331848,7.1976113,6.774882,6.5568643,6.1465063,6.7893567,6.6311746,6.670474,6.3547583,6.7170715,6.7393894,6.5415516,6.126637,6.6543136,6.7720895,6.410785,6.997119,7.515591,7.3870473,7.2382593,6.7987833,7.5364294,7.696145,7.4427943,6.884613,7.83489,7.601561,7.634737,5.920437,6.377525,6.230706,6.3915443,5.952818,6.502906,6.9682784,6.595039,6.3560176,6.6866508,6.8872766,6.6932545,6.5322986,7.1178946,6.9467707,6.880223,6.59103,6.9715695,7.1488156,7.03464,6.635333,7.1645527,7.212739,7.061876
14-3-3 protein epsilon,6.85205405776359,7.57264920368029,7.24641322757984,7.12087135871887,6.63670701937978,6.88089157532769,6.47656938206319,6.76571499472696,5.86833157222036,6.58837108431301,6.52487930745256,6.64345787381104,6.74589593246919,7.7095844099134,7.23695878394179,7.01779928399458,6.09906579565685,7.10972191635478,7.45495973402929,6.97179017842959,6.46984133246269,7.36810492798683,6.92809958632694,6.69166844633742,6.28410071890435,6.95573734094666,6.79103288556347,6.83156474077384,6.50051126307215,6.87881914326233,6.90235657077841,6.6974537629909,6.26255201261433,6.81673125527959,6.93636011425212,6.55676840783222,7.17074593640449,7.71671188281355,7.58093581093072,7.42549330018383,6.9642153082318,7.7395223547749,7.90624923598662,7.63993026129645,7.05465611827454,8.05454473005982,7.81026771604276,7.83747840984505,6.02444357053609,6.50540140381156,6.34924674716905,6.5169652481788,6.05998626244476,6.63881431845804,7.13234083870085,6.73409093663217,6.48734656251158,6.83254356277204,7.04409210326393,6.83540781096074,6.66611468902542,7.28884129064885,7.10936623605487,7.03492245450929,6.73091314066526,7.13288601870503,7.32288194671584,7.20013374644904,6.77949288831612,7.33962530386741,7.39113499496585,7.23198550220425
14-3-3 protein eta,6.84465335973209,7.53656994106817,7.22445426946255,7.09875220199742,6.63883279128286,6.86505898691748,6.47440543978207,6.76092133482032,5.8986632039481,6.58313238970295,6.53385215359168,6.64476298301733,6.74277182199114,7.6696029268725,7.21319677945143,7.00448790216711,6.12727186197689,7.09089652668229,7.42793018005642,6.96840002046397,6.47358634443998,7.34874091422883,6.91802518548692,6.69632920415332,6.26965532575644,6.92526117276744,6.76419716387703,6.80230893710832,6.47949099580044,6.84940650721453,6.8710566603042,6.66982832046017,6.24782277061399,6.78380967824742,6.9038414021325,6.53342518416867,7.1429934699784,7.66954035607864,7.53977195278748,7.38722203874648,6.94350659049303,7.69311651172104,7.85922168593085,7.59532968406002,7.03162952747605,8.002274000697,7.76587292769507,7.78961195158858,6.05398866774525,6.51406118261764,6.36311827946816,6.52747477512233,6.0874778142762,6.6402302442469,7.11524510007149,6.73206585318858,6.49411949623527,6.82840820908382,7.03043768722657,6.83393538813806,6.65970018878902,7.25524834087723,7.07803278753491,7.01008234075461,6.71580109891329,7.1031195290467,7.28320140969816,7.16950071572664,6.76102473510851,7.29996401485445,7.34770792531069,7.19739947089543
14-3-3 protein theta,6.85828029901933,7.57286293578491,7.25010651342426,7.12562413832896,6.64324217645233,6.88775046392213,6.48682347587573,6.77422213999073,5.88062460223798,6.60067804228544,6.53764684390723,6.65443278363401,6.7552502725331,7.70865159872924,7.24073292459239,7.02487316304443,6.11140647425972,7.11368742020295,7.46022451560223,6.98207543398852,6.47964076253316,7.37648117511496,6.93704730294993,6.70556647068017,6.29889075833391,6.96986154003385,6.80663332648256,6.84625738151674,6.51436541452387,6.89368173641818,6.91639808517944,6.71035420744578,6.27400855137966,6.82917844073286,6.95080448683475,6.57241350944297,7.17446406334574,7.71631109296391,7.58169220302133,7.42905138296363,6.96812220950223,7.73906011824875,7.90677629613333,7.64213102108918,7.05602475791939,8.05553689081021,7.81073428258886,7.83821171864176,6.03648484918252,6.52518505384111,6.37115279931212,6.53713432174575,6.07393698125254,6.65916620636821,7.14757147372465,6.75353449703688,6.50439083619214,6.8511827457858,7.06255039182776,6.85280111987645,6.67480262542777,7.30433878970201,7.12488313968328,7.04917476979164,6.74125203523778,7.1472347380314,7.33786043834576,7.21624983417597,6.79049425941077,7.35506252050129,7.40522447361023,7.24629628892187
14-3-3 protein zeta/delta,6.89991666501963,7.60685197735883,7.28675168826206,7.16223035644792,6.68921435137156,6.92420122541529,6.5250358777479,6.81547914411564,5.92975405841672,6.63686159706831,6.57970592673977,6.69614395558667,6.79865239156498,7.74441709869626,7.28042750194443,7.06661950171572,6.15943016495733,7.15419781860905,7.49904310524646,7.02579267392208,6.52467941912338,7.41614137014222,6.97827526140542,6.74902865100015,6.32551472993113,6.98964728050164,6.82638746043621,6.86798205908737,6.53981407773861,6.91390209752686,6.93706712689937,6.73478767346623,6.30665462688504,6.85067330345726,6.97081060756466,6.5982380670129,7.21217145281971,7.7519235179586,7.61755778465131,7.46337051424755,7.00929588308147,7.77418329076106,7.93947004709885,7.67581726342453,7.09932598991284,8.08513801820265,7.84345497972745,7.87360018401215,6.07513930525701,6.55629622975515,6.40102030362676,6.56599257406827,6.11079559124307,6.6895383886859,7.18217959549919,6.78316132409041,6.53856409517307,6.88335824638406,7.09314363387884,6.88310262355822,6.70926021602718,7.33201023425795,7.1514808342192,7.07633719371301,6.77476540929099,7.17531841908987,7.36378861758066,7.24162686770445,6.82343222902802,7.38080820109205,7.43137085001566,7.27363147832271
15 kDa selenoprotein,6.7787504,7.4902487,7.1680927,7.0422645,6.5628395,6.807847,6.409274,6.6892347,5.7992034,6.5181046,6.448269,6.56515,6.672144,7.6263294,7.159856,6.9393854,6.0277534,7.0309386,7.3713994,6.888806,6.401182,7.284179,6.849115,6.6077657,6.2210817,6.8851175,6.7245765,6.7639956,6.4354444,6.810862,6.833447,6.632172,6.198522,6.7510614,6.8689303,6.4899073,7.0936475,7.6346397,7.50185,7.3464355,6.888724,7.6606784,7.8297677,7.5602207,6.9775996,7.9784517,7.7357926,7.7531104,5.9473176,6.4259467,6.2718844,6.436017,5.983303,6.559941,7.054302,6.65228,6.4109597,6.7529006,6.9674397,6.749398,6.577454,7.202757,7.0245185,6.945885,6.6442003,7.046688,7.2384443,7.1127934,6.6938605,7.2541804,7.309176,7.1448894
