protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50690447762457,0.463414562615971,-0.0182662479207771,,-0.0784357667565176,0.384619758481443,-0.360001983326338,0.140248688750622,-0.0372048265778705,-0.848034321097414,-0.2341565789076,0.131555548296315,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150786298712514,-1.20781449247256,0.41353454179437,-1.20999352282722,-0.096284154818165,-0.371573313324142,0.266377301228925,,-0.0545021438943496,,0.659509386801785,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,,,,,,,,0.373473250170399,0.111135332391965,-0.599406562868266,-0.895488255301229,-0.120744575737761,0.712766267448004,,-1.21553730010801,-0.252728674432639,0.648327451821607,,,0.491682121922875,-1.26783014953984,,,-1.09599076710913,0.429000580224826,-2.13571276981188,,0.604308645186252,0.493919464332499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",-0.11474391652109,-0.0347090675417331,0.00714842997919271,-0.170565479319692,-0.115853941746735,0.065336056494325,-0.0149292588693595,-0.262581142391295,-0.0580062327237709,-0.0205623539485302,0.054410143940148,-0.214564905698612,0.0435404093155931,0.0221622053998603,0.177083297978012,-0.10665199795876,0.149964242799497,0.0480681924464412,0.0257855813585224,-0.188589624295971,-0.0899823159187308,-0.0599222859158375,0.0238962853048725,-0.114412688270127,-0.0831082246794256,-0.0125374360874457,-0.0340190393579706,-0.18002879975757,-0.085100043319906,0.0355758747285233,0.06402597899525,-0.212626941682063,-0.0696916925259869,-0.0182954148130626,0.0392707156633188,-0.177040573335905,-0.212172857171244,-0.0287611161265271,-0.019768971901654,-0.10564463258286,-0.177784948483047,-0.103856140583405,0.0701791281436659,-0.291673703885615,-0.0774399934522314,0.160565938553128,-0.00411292369828218,-0.235079020732811,-0.049115621274069,-0.0174084918922956,0.0217409131441805,-0.25935940188138,-0.0371903753872071,0.0142716238983527,0.0846774231700386,-0.207567854798642,-0.00179757702008572,0.00622731349756587,-0.00769319189618896,-0.256579528378583,-0.0603637364464793,0.00314943202041198,-0.0237922150254171,-0.314595470933968,-0.00918403157345132,0.00745463890154794,-0.0129787770465852,-0.265706331664464,-0.0247991938984175,-0.00990624232213052,-0.0155583499704133,-0.222940614659106
14-3-3 protein sigma,0.123683388819725,-0.031137707274647,-0.0824236155345561,0.17281511564523,-0.000887816307701949,0.0464130101847626,,0.13191508904048,0.0681730880440464,-0.0152753029101156,,0.094001269269775,0.117317619706983,0.0190622277809318,-0.0177428235420996,0.223244197546469,0.234885378638305,-0.0485018303266295,-0.00665422092276473,0.147589898532198,0.153955086100823,0.0294396025456969,-0.0220375583866606,0.481365612538969,,,,,,,,,,,,,-0.0512515809136387,-0.106038566088387,-0.23139739437466,0.375595610468169,-0.131286502810016,-0.0549228908508637,0.0108405051419594,-0.0401177284091752,-0.104596544737666,0.160961456939249,-0.191568247345215,-0.0495184605945154,0.207123067708804,-0.127456548864395,-0.254864757031345,-0.0772617695100051,0.0252334223684159,-0.0118285508307245,-0.550505507592606,0.291660404907354,0.610266351515362,0.13928509969512,0.300291505554833,-0.253586683099952,,,,,,,,,,,,
2-5A-dependent ribonuclease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00625430651532241,0.0241220643480745,,-1.15204890207203,,-0.263954859406266,,,0.047539957258128,0.239832795058191,-1.83062543520419,
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0551373205957094,0.0386647685855098,-4.1247538972394,-4.7575980802976,0.130569883195721,-0.0225325252078337,-0.1601639497006,,0.137432567671361,-0.016132243377676,-0.093469028950354,
2-hydroxyacyl-CoA lyase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.515467981632696,,,,0.529137172664177,0.923672740685994,2.60131161932055,2.18440243354096,-0.0136691910314813,0.788200258679933,-0.0894671262343531,,,,,,,,,,,,
26S proteasome non-ATPase regulatory subunit 2,0.119631328252151,-0.0295787403005044,-0.00423575915066045,-0.0239704782037241,0.0670191506042069,0.00954897078180048,0.0721622602974858,-0.0769515628532599,0.0437450338528927,0.0480435577960005,0.0230993183675298,0.172923667701654,0.0570051375442992,0.0314224977134334,0.0571278186376153,-0.0199217325922288,0.0781910813514772,-0.039703052423967,-0.00887262697135525,0.0152180258653072,-0.168314501266183,0.0303414392504248,0.0326057692279171,-0.104378064282284,-0.0314516669024522,-0.104776973761987,0.144589603884673,0.0385741703255674,0.0491539913154974,0.11550033394014,0.198533301530787,0.00212894194548517,-0.0185652792009278,0.00631599000607163,0.167930918737992,-0.0247008046416171,-0.0467225042778004,-0.0051454398856552,0.00839136602701404,0.003327088637992,-0.0235163686212261,-0.074874862479075,-0.038464948742645,-0.175364382844552,0.034518852238367,0.0876098249197969,0.00249100368582079,0.00102413874630572,0.0844225596285549,0.0956933962370464,0.114633723997092,0.0521144362780603,0.060861797364802,0.0930215861755459,0.402026077871814,0.11916475416169,-0.136002636474865,-0.174609495645404,0.134178085035811,-0.217974725016032,-0.111288264049617,-0.00719864089355911,-0.0201502536888577,-0.116971497814619,-0.153488052712226,-0.00519986180230043,-0.0117229536593823,-0.0960769252668134,-0.0598228092653012,0.01420734664486,0.00185496720336357,-0.102006753092621
"28S ribosomal protein S10, mitochondrial",0.053360207482426,0.155656089786452,-0.360531084940553,-0.00339780093817006,-0.112142243555603,-0.0764204183652382,-0.0284820749162131,-0.119371424734017,0.0449164375068501,-0.0792356714212139,-0.288450962173965,,0.492335299117817,-0.0880263045901344,,0.300789608410203,0.12905730942464,0.0282879056813048,,,0.592017015962256,0.0597383989088294,0.125590521864875,0.155128462976903,,,,,,,,,,,,,0.321336753146358,-0.0775395841821847,-0.38925095705836,,0.266337805083083,-0.015872309159267,-0.10768313987794,0.229799715364925,0.442218039405134,0.0934118933414515,0.207217866107186,-0.00303811972331353,,-0.0770021735866959,0.137225420807057,-0.429380746376206,0.342768926077717,0.0589230476179774,-0.417680809273206,0.253047929665655,0.430541791447363,0.0180791259687188,-0.602794624389569,0.285178549815848,,0.0554678908680746,0.066616982905065,0.0113422115897632,0.22870461519759,0.113983254508736,0.0839867451186696,0.232096315252024,0.337432085562527,-0.169451145376811,0.0875517504560112,0.320085070128875
