protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,1.55721176610358,,1.42390659880715,,1.38798979740206,,1.60990454723984,,1.44274357582751,,,,,,,,,,,,,,,,,,,,,,,,,1.36820427869197,1.62760220124456,1.31586137978307,1.4434218423752,1.295965276535,1.55133075863778,1.67708597259727,1.36815537895086,,,1.58297367922959,,,,,,,,,,,,,
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.89278758290956,-9.51927588432385,-6.02132846757358,-6.61145727913217,-6.59195914543868,,-10.010064400548,,-5.99811444239387,-7.10986664047025,-8.16902720739291,-6.2253082205568,,,,,,,,,,,,,-5.20605582317549,-8.99997533210048,-8.11779918657963,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7194695668594,,-0.772885262994647,,,-1.80395820250032,-0.772885262994647,,-1.7194695668594,-1.80395820250032
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.50176890145055,-3.24131965012611,-2.08701593436893,-3.88141323278861,-2.32739968286718,-2.943278758248,-2.07691746879558,,-2.79034422010219,,-2.08053233795525,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,,,,,,,,2.82733268197077,2.64534473367265,1.91366408305157,1.4644637515815,2.41334405982438,3.16624786548535,,1.25320481165781,2.31486008602538,3.58817361740799,,3.3539210372961,3.67617942289322,2.09373631752033,,3.3539210372961,2.96872740184581,3.76074653681198,1.21733239339792,3.3539210372961,2.81444453346928,2.74299523128895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",5.40362200662548,6.53344322828587,6.08574785673679,4.35286980099588,5.73374255271086,4.55618302240673,5.76960820238361,6.00316453742449,6.0557894675037,4.53991720561615,4.63310296284049,5.36276342391569,4.62580720778407,4.64778206190138,5.81013353559976,6.07724842431128,4.73132866576141,4.65840323804119,4.73928641738945,5.57295484168387,5.55114658287214,6.22551154216383,6.20774767620858,4.70942823348061,4.74963505907212,4.87811022701522,4.85648485624095,4.67549583541042,4.66536237444206,4.90438590662877,5.06323357777437,4.55866185036396,4.73708552579265,4.83485650718545,4.82651243002642,4.63836507635362,4.39711141380963,4.45545992536915,4.48721320699772,6.03429888306462,4.40981539262734,4.4068738513598,5.79417492423171,5.07769227196834,4.41728748765733,6.51501354400836,4.41071681014844,6.19452005093971,4.69759336488754,4.65401303199631,4.69430678253153,4.43856470356825,4.60582772147911,4.69177235255458,4.78332934892242,4.49694971450756,4.59202895940386,4.68707510200111,4.64324642411928,4.42896270853062,4.66419770892986,4.77863645028938,4.69982319460683,4.41609430667732,4.67960057995076,4.87135037341173,4.70144334985935,4.42475824805379,4.84238576046783,4.69350322952747,4.90927735903816,6.25988545193568
14-3-3 protein epsilon,4.66628540404683,4.58387321228725,4.76775531886591,4.86176277820327,4.67519197294242,4.55384860057755,4.63164396733497,4.81907834430465,4.62839724296422,4.67950442333112,4.79254683296742,4.82836859984535,4.89500625141469,4.83031861177256,4.7682229139266,4.92839712835511,5.02664722946114,4.67418510298379,4.66581550991183,4.69867379051429,4.5288890899794,4.21528862182243,4.41502042533504,4.07303213609537,4.29610213915175,4.04607569447917,4.10331775348047,4.12165999603732,4.11241651696323,4.08518249665051,4.19356548131839,4.00908286362765,4.04779794392898,4.37661941964794,4.14490767036635,4.35160673204212,4.00263974548945,4.03046653644083,4.02579104632283,4.05283910322254,4.12147094748565,3.57306431751459,4.03376716395499,4.06459192442318,3.65035988352811,3.49300370871964,4.00660196274481,4.08855858597431,4.35755633538036,4.2707210461396,4.26052178698328,4.39722086630575,4.41451812165105,4.25575897112941,4.35830355528443,4.41882410748756,4.45848994052709,4.30766756746851,4.31621105619387,4.42663390340974,4.32220236864952,4.23002033129864,4.23730424265059,4.30090177671924,4.29196553651138,4.32001865150253,4.27156898954968,4.43481426432227,4.45605711205645,4.25834553260588,4.32912731166924,4.50103972298966
14-3-3 protein sigma,1.30230949763306,1.32306727565594,1.1837244370419,1.47039695386887,1.22971192404656,1.26659633460747,,1.4984311547126,1.44094834696406,1.23130832704901,,1.23197581300132,1.26305585430642,1.06720218974487,1.2268933547018,1.41141605470218,1.42210860467574,1.21494263476746,1.04022066865164,1.36205870195391,1.27526258929071,1.30553264032101,1.21072427473584,1.69784545721699,1.40898997780684,,1.07733922511266,1.537741649687,1.26608409787188,1.31836411933097,1.19207804244484,1.28863533572045,1.32132290673069,1.22252942667816,1.09969635727874,1.44791244907499,4.15848859550689,4.05996475623384,3.90802710393262,4.56819576449896,4.06897586433149,4.15984141211436,4.21705973661173,4.14445257447218,4.11291597858971,4.38219488126685,3.95625974977866,4.16475954281155,1.47101256471028,1.18014001578786,1.11642152331984,1.25079576794607,1.38513682395787,1.36653059507178,0.663894782078806,1.61576422182831,1.63357932228443,1.27452701117927,1.47262481890058,1.01672746750304,,,,,,,,,,,,
14-3-3 protein theta,4.49559142548109,4.53625075554879,2.67016956071478,4.70151589552525,4.04369913625983,4.52395152274912,4.3574251265941,4.18691328141188,4.2210658902109,4.56408888080863,4.20757366793349,4.71993251654694,5.1450658609862,2.85422042638382,2.80957748404116,2.93939287654055,2.79342559778771,2.86833694565515,5.19070357792915,5.94128052272466,2.72000807496418,5.12815974581002,2.80330408859376,2.87475423280512,2.76591919317072,2.87975746134253,2.34577167044051,2.63759991620793,2.78131917793358,0.978167551589026,2.28703895816309,2.82198295273419,2.82475197636504,2.98754388575392,2.93700056651298,2.53674947644004,3.92497208094224,4.38254527299317,4.18548729376385,4.35547992683237,4.27309252322022,4.55473610882067,4.63870290790439,4.63650560015421,3.26922639680249,4.3553586941971,5.13927793888094,4.40273019344075,4.90988853733259,4.61025319820545,5.13831574234112,4.50695327564392,4.51052507708319,5.1202648832075,4.58218076825479,4.48540956469749,4.47100064812672,4.63992730809595,4.80298554314938,4.43340989837735,4.42293058984327,4.31740935970852,4.60026275673144,4.62026827377281,4.49558541306314,4.46449570577687,4.66783225645867,4.65318823976587,4.04745762645172,4.75876390832432,4.05046830032765,4.79417263889242
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",,,,,,,,,,,0.787633753155363,,,,,,,,,,,,,,0.51036361596135,,0.851835428886252,,,,0.57406043517589,,,,0.954734382306606,,,,,,,,,,,,,,0.541977387503181,0.365248152352762,0.511664613134385,,,,8.91890333151699,,,,0.734942391732948,,11.4800252191875,11.2533590188371,7.30354469177687,6.578193231759,11.6774990751643,10.5392327880262,11.3596933059934,,10.5552046077874,11.4769849937238,10.2034154450178,
