protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_F7_1,DDA_APT_M8_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_F7_2,DDA_APT_M8_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_APT_F7_3,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_M8_1,DDA_FDU_D5_2,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_M8_2,DDA_FDU_D5_3,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D6_1,DDA_NVG_F7_1,DDA_NVG_M8_1,DDA_NVG_D5_2,DDA_NVG_D6_2,DDA_NVG_F7_2,DDA_NVG_M8_2,DDA_NVG_D5_3,DDA_NVG_D6_3,DDA_NVG_F7_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_F7_1,DIA_APT_M8_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_F7_2,DIA_APT_M8_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_APT_F7_3,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D6_1,DIA_BGI_F7_1,DIA_BGI_M8_1,DIA_BGI_D5_2,DIA_BGI_D6_2,DIA_BGI_F7_2,DIA_BGI_M8_2,DIA_BGI_D5_3,DIA_BGI_D6_3,DIA_BGI_F7_3,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_M8_1,DIA_FDU_D5_2,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_M8_2,DIA_FDU_D5_3,DIA_FDU_D6_3,DIA_FDU_F7_3,DIA_FDU_M8_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,401.075164304099,-107.326259292886,-56.7640964661534,-48.0925738674519,-118.908866353769,-31.3248825078925,64.9069658800155,139.378724747308,34.2786935559235,-75.7302691916453,-88.7528771907017,,19.2474992973921,,,,-9.82541134867222,90.1305417579661,184.951586209311,,-203.163554438177,,,-132.570446922057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-560.819538193611,,7.44001490161779,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.110778437115,,,,
14-3-3 protein sigma,,,,,,,,,,,,Inf,,,,,167.394117379276,,,,,,,,-45.0383409641228,,,,,,,107.971597704514,,,,-22.0921400371689,,,,,,,,,,,,,21.3003168860661,,,,,-221.038578160478,,,-262.93802247072,,-100.733479827982,180.864710611668,,,,,,,,175.558264230092,,,,
3-mercaptopyruvate sulfurtransferase,,,,,,,,,,,,,,,,,,,,,,,,110.440332221518,,,,,,,,,,,,,Inf,Inf,-98.4427827222834,-75.4387869528761,107.419200607747,20.9504981430682,,,147.247007021238,-171.952611728122,-48.3795077494257,,,,Inf,Inf,,,Inf,Inf,,,,683.441257206761,307.827377272181,414.581023340026,,247.207738827355,245.237622389746,476.556775282641,138.565184417402,21.7979790168119,-64.1268857091555,44.2499273536778,-548.815233159751,-222.509116357976
"39S ribosomal protein L18, mitochondrial",-455.09659998956,,,,,,,-93.8807035193347,,,,,-328.981844857093,46.2897812886762,-54.0466769746031,,,-61.7029933139104,-88.5154094303994,-158.01844212977,-5.57026253933682,106.835846519752,112.579026601398,96.9115144599264,80.6995783305557,129.589112995936,57.5797034176681,92.9060662303826,82.3059105714707,89.377410774982,,103.378820420317,301.464436860321,322.708308349042,,49.0914328269358,-113.221741751084,-270.920454304117,-115.912846781476,-57.8814208908913,-61.8718022364099,-228.337034020901,88.1384474141869,-94.3908265933221,-22.7178648807471,91.354128774498,351.805983748941,246.178692116303,,,,,,,,,,,,,,,,,,,,,,,,
"39S ribosomal protein L33, mitochondrial",Inf,Inf,,,-486.514094023454,,-610.002384628585,,,,,Inf,Inf,-533.572714405918,-329.589418275082,-336.121527315698,,-73.4538071149204,278.551211603518,365.504764674731,133.327425779804,-123.412946533507,-146.618019706309,193.415643994665,80.5424236877471,-121.122433416418,,,,326.273605267201,,,,-695.719502010081,,-239.013720909977,,231.131886230631,,-130.85784615447,-200.935393690551,-152.487141824874,-51.8827540759206,,-6.9039063507052,-89.2366874789675,,-199.459787538738,,,227.318347731373,,,,314.512429818094,257.056404417047,,,123.496476692598,145.757084148318,-351.586657879057,-86.7094284266523,75.9021841672542,,-174.0298223134,681.750655620871,416.859318372697,-306.101811881347,583.661001327013,Inf,,
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,-83.1138273681995,,,,,,,,,,-48.9878021695019,-66.0411618144267,,,,,179.14424398198,,,-95.0648410847541,,-26.1093536052555,,,,,,,,,,,,,-42.9038078325484,-52.510504177133,-29.271241660568,1.41182591970845,,49.4201089053458,,-29.0928314787083,,118.574571860382,,1.00677999054757,,,,,,,,,,,,
40S ribosomal protein S26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.695704424702,,,29.4194395957828,18.5923055125436,,-2.65788564342595,1.21649825963652,-44.8401585718568,,18.1919760316413,,247.809789936989,231.043589555137,81.55645385881,103.844683187096,-96.1058972687603,-16.2455875238518,272.448997868559,,-32.5631786665429,-146.896662961958,143.410254211184,153.40238345968,,,,,,,,,,,,
40S ribosomal protein S27,,,,,,,,,,,,,,,,,,117.111216421684,,,,,,,,,,,,,,,,,,,-245.069967510091,-196.642056410284,100.105316886924,323.340881456015,-46.8280861254403,271.892570444574,63.5161295996633,80.1002685202078,,107.891147585548,496.659980168487,114.016193227401,72.2251175304955,-58.4034122574141,51.7914644220262,125.226546180592,177.509329601865,327.388105045489,319.501508354767,365.63675267193,544.892603247561,447.628258665078,223.403465689697,23.675191133414,42.7215460260035,-93.6845314902005,-178.485585671252,Inf,,56.5469210054194,-145.954310196514,-63.0241019109964,148.445939025472,195.134146778051,-43.1641434217401,
