run_id,mode,lab,batch,sample,tube,order,raw_file
DDA_APT_D5_1,DDA,APT,DDA_APT,D5,1,1,Exp083364_P20200701388_F1_R1
DDA_APT_D6_1,DDA,APT,DDA_APT,D6,1,2,Exp083365_P20200701388_F1_R1
DDA_APT_D5_2,DDA,APT,DDA_APT,D5,2,5,Exp083368_P20200701388_F1_R1
DDA_APT_D6_2,DDA,APT,DDA_APT,D6,2,6,Exp083369_P20200701388_F1_R1
DDA_APT_D5_3,DDA,APT,DDA_APT,D5,3,9,Exp083372_P20200701388_F1_R1
DDA_APT_D6_3,DDA,APT,DDA_APT,D6,3,10,Exp083373_P20200701388_F1_R1
DDA_FDU_D6_1,DDA,FDU,DDA_FDU,D6,1,2,Lumos01918_XM_SLM-20200706-2
DDA_FDU_F7_1,DDA,FDU,DDA_FDU,F7,1,3,Lumos01918_XM_SLM-20200706-3
DDA_FDU_D6_2,DDA,FDU,DDA_FDU,D6,2,6,Lumos01918_XM_SLM-20200706-6
DDA_FDU_F7_2,DDA,FDU,DDA_FDU,F7,2,7,Lumos01918_XM_SLM-20200706-7
DDA_FDU_D6_3,DDA,FDU,DDA_FDU,D6,3,10,Lumos01918_XM_SLM-20200706-10
DDA_FDU_F7_3,DDA,FDU,DDA_FDU,F7,3,11,Lumos01918_XM_SLM-20200706-11
DDA_NVG_D6_1,DDA,NVG,DDA_NVG,D6,1,2,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_1
DDA_NVG_M8_1,DDA,NVG,DDA_NVG,M8,1,4,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_1
DDA_NVG_D6_2,DDA,NVG,DDA_NVG,D6,2,6,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_2
DDA_NVG_M8_2,DDA,NVG,DDA_NVG,M8,2,8,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_2
DDA_NVG_D6_3,DDA,NVG,DDA_NVG,D6,3,10,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_D6_3
DDA_NVG_M8_3,DDA,NVG,DDA_NVG,M8,3,12,Raw_Chinese_Quartet_Lot2_DDA_NVG_Lumos_M8_3
DIA_APT_D5_1,DIA,APT,DIA_APT,D5,1,1,Exp083376_P20200701388_F1_R1
DIA_APT_D6_1,DIA,APT,DIA_APT,D6,1,2,Exp083377_P20200701388_F1_R1
DIA_APT_D5_2,DIA,APT,DIA_APT,D5,2,5,Exp083380_P20200701388_F1_R1
DIA_APT_D6_2,DIA,APT,DIA_APT,D6,2,6,Exp083381_P20200701388_F1_R1
DIA_APT_D5_3,DIA,APT,DIA_APT,D5,3,9,Exp083384_P20200701388_F1_R1
DIA_APT_D6_3,DIA,APT,DIA_APT,D6,3,10,Exp083385_P20200701388_F1_R1
DIA_BGI_D6_1,DIA,BGI,DIA_BGI,D6,1,2,20P05390002
DIA_BGI_M8_1,DIA,BGI,DIA_BGI,M8,1,4,20P05390004
DIA_BGI_D6_2,DIA,BGI,DIA_BGI,D6,2,6,20P05390006
DIA_BGI_M8_2,DIA,BGI,DIA_BGI,M8,2,8,20P05390008
DIA_BGI_D6_3,DIA,BGI,DIA_BGI,D6,3,10,20P05390010
DIA_BGI_M8_3,DIA,BGI,DIA_BGI,M8,3,12,20P05390012
DIA_FDU_D6_1,DIA,FDU,DIA_FDU,D6,1,2,Lumos01906_XM_SLM-20200706-DIA_2
DIA_FDU_F7_1,DIA,FDU,DIA_FDU,F7,1,3,Lumos01907_XM_SLM-20200706-DIA_3
DIA_FDU_D6_2,DIA,FDU,DIA_FDU,D6,2,6,Lumos01910_XM_SLM-20200706-DIA_6
DIA_FDU_F7_2,DIA,FDU,DIA_FDU,F7,2,7,Lumos01911_XM_SLM-20200706-DIA_7
DIA_FDU_D6_3,DIA,FDU,DIA_FDU,D6,3,10,Lumos01914_XM_SLM-20200706-DIA_10
DIA_FDU_F7_3,DIA,FDU,DIA_FDU,F7,3,11,Lumos01915_XM_SLM-20200706-DIA_11
