protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,4.49536007882905,,4.60069792856985,,,,,,,,,,,,,,4.34652673696428,4.30576240377331,4.47475114464111,4.33980131936613,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,3.44302506907882,,4.72755879966831,4.45258579734474,,,4.47950929986714,4.41800225457517,4.76957462210115,4.33003685071544,4.16715226075435,3.70127405429125,,,,,,,3.85532539317069,4.20579849493558,3.44836935910962,4.10863975537075,3.89425335646591,4.32469073409621,5.48919832474348,4.0105108898148,3.73198833203221,5.71520140142913,5.25046667330509,5.57106893718263,4.08856869103258,3.68515350877723,3.70540742743583,3.33276599525702,3.69747200075188,3.46624288534024
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",5.00435222475102,,,4.40568909039174,,4.67470139257191,,,,,,,,,,,,,2.61320370159639,2.70092754070437,2.80925846802972,3.20056505079645,3.15486293542131,3.44401440839161,3.32506392618348,3.0494506022142,3.64022798710301,2.89471250696583,3.21205303937259,3.19089892449523,4.05973210432017,2.89217668263723,4.29015654247063,4.32083786909831,3.73293834751898,2.92527129670544
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",4.34736150942718,4.52112200183359,0.988100861599519,1.14879233777532,0.988100861599519,4.88750911425987,3.37084761586551,5.17589536707001,3.66460422563225,3.64537451953963,3.85635989781636,-0.0627343998236674,1.97288389504055,5.20134459054217,5.06921351660952,2.19161162040995,1.97288389504055,5.28086177794965,3.70051602244717,1.29094574467613,3.33422633284047,3.30394308900731,3.22853346904474,3.70563572503592,3.3082389127539,3.58916188775664,4.10682553866799,3.26186439172629,4.25575823404953,4.42169955144382,4.07453518561432,3.98623543892227,3.28045699451952,4.15691664669998,1.88956807018105,2.41316802359262
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,4.91653690957259,0.825163308378175,3.42768049468082,,4.4331532094265,3.15815190329311,,2.92767554528831,3.48875888067541,,,4.99280574683203,-0.238676025708926,1.52092201060223,1.95277407827973,1.12757024776572,4.80454771087798,1.08898998319614
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.92685813379157,4.90368177026303,5.0882314747026,4.70925697699458,4.94174966588892,4.91040629507491,4.56708913071221,5.39937794183911,4.59631292355262,4.68862590445406,4.8931516839537,5.19150348094021,4.98745502222982,4.4668170219583,4.91747426487561,3.93634021598502,5.17626159148689,2.00506267068753,5.13533640270573,4.92926158451625,4.95776233439776,4.69396113385608,5.30969209780052,4.59790341425893,4.10066846655127,4.44207338224941,4.12398019734414,4.65795919135603,4.24863149900377,4.49741708634484,4.55844043826443,4.77991650982625,4.82656350043988,4.8179010798865,5.25196237704335,5.3266801718875
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,4.37992949533012,,4.67038677232921,4.77265845803924,4.35593030344335,4.84116594495291,,,,,,,,,,,,,3.04197180094629,3.10471188599447,3.68110156526722,1.62523298024955,2.10345985156271,3.76392883471951,3.17986890389258,3.24089822698931,3.18594735078801,2.59317873757653,2.92974243752159,2.81236962908953,5.80665542488257,5.73873588005763,6.49178612757103,5.61943696302861,5.97528062776718,3.97749502760665
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.851908404069233,,,,0.330097976157144
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,2.42396837292838,4.44471208670711,2.22721371784721,1.91049929227263,2.75591604887059,4.47316944993123,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66094174003083,,,,
