protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,17.2822459610971,,17.577198926536,,,,,,,,,,,,,,17.7925344776098,17.6359444518185,17.8544657289382,17.7976378170653,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,16.2085760040867,,17.4762219922503,17.127403025399,,,17.4333034324561,17.2132241003217,17.5564605043692,17.2128114693473,17.1436532587205,16.5286146333692,,,,,,,17.4933880451163,17.8536139326246,17.1900273801562,17.7914056124868,17.5385353673647,17.9581094265239,18.935206065389,17.34069293786,17.1117029163293,19.1730378991283,18.6428213925277,19.0170785044985,19.317896412363,18.9996546159449,19.0558400343991,18.6569024027898,19.0105042220304,18.6655975286621
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",17.7699031597589,,,17.080506318446,,17.3007426685695,,,,,,,,,,,,,16.251266353542,16.3487429783934,16.5509164890763,16.8833309079125,16.7991449463201,17.0774331008193,16.771071666829,16.3796326502594,17.0199425714001,16.352549004665,16.6044077585952,16.6369084918111,19.2890598256506,18.2066777898049,19.6405891494339,19.6449742766311,19.0459705687975,18.1246259400273
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",17.2011542726997,17.0960081543886,,,,17.5626825048297,17.1234772628229,19.2754562909098,17.3199487102113,17.4697403357995,17.7467674015077,,,16.4325413606793,16.5177438737449,,,16.4088230815961,17.7167556902205,16.0808090661723,17.5451480045504,17.6281772088523,17.3683621725883,17.8806322615095,16.6287212547217,16.9930163214844,17.0551003594295,16.9187510392336,17.1596215820139,17.6224615246397,20.0457307228175,19.9515385452636,19.6746997233357,20.0669547979381,18.7752855466265,18.8614718110085
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,18.5545995615182,14.4729787460672,17.1693385157274,,18.0774352203253,16.7915705957208,,16.2578575933335,16.8684734649725,,,18.4388153141479,14.9906516956215,16.8354231177699,17.303206685243,16.4517066552985,20.1175799321565,16.288344626518
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,18.2704042165626,18.0262000852777,18.3513199476465,17.9400340106082,18.206079767391,18.0131685419766,17.4265726043649,17.9690613696414,17.2820117928227,17.5131019526802,17.6986195532278,17.8422184714705,17.1755409782046,17.0896697064557,17.0306059125178,16.0737779703072,17.4283320630316,,19.0598456797902,18.8399001597332,19.0480475659471,18.7219445901343,19.1793671166866,18.61017595291,17.7447572377944,17.8273426986119,17.6991987546223,18.1470172833218,17.8227102797454,17.9923958042186,19.4370640652942,19.7665875399834,19.7108101433793,19.797847276612,19.9155873281943,19.9627110455667
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,17.145480430338,,17.4190499649112,17.4474756860935,17.0481314846241,17.4672072209505,,,,,,,,,,,,,16.6800344528919,16.7525273236835,17.4227595863138,15.3079988373656,15.7477418624615,17.3973475271472,16.6258766445381,16.5710802750345,16.5656619350851,16.0510152352757,16.3220971567442,16.2583791964054,21.035983146213,21.0532369872253,21.8422187345343,20.9435733705614,21.2883128490457,19.1768496709285
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1664095112369,,,,15.529452619479
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,15.8699761135739,17.7748941347523,15.6069283021443,15.3683357899718,16.1482707680932,17.9191790172471,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9754428471985,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,15.5867611505608,14.1445624748391,16.4278901809932,14.1987300571251,15.35137727723,,18.3525731947377,17.8450676791819,14.9616741484906,16.16621892614,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,18.894506746114,18.1721296370369,19.0166863186707,18.4104384704881,17.8599993885015,18.3062458470188,18.2927053168985,,17.5372080603093,16.055805267531,18.6637837730062,,,,,,,,,,,,,,,,,,,
