protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.0526689248703995,,0.0526689248703995,,,,,,,,,,,,,,0.00336270879907463,-0.0374016243918982,0.131587116475911,-0.00336270879907552,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,-1.00956072826592,,0.274973002323566,0,,,0.105489747221831,0.0439827019298633,0.395555069455845,-0.0439827019298642,-0.206867291890951,-0.672745498354056,,,,,,,-0.146121162747633,0.204351939017249,-0.553077196808711,0.10719319945242,-0.10719319945242,0.323244178177885,0.119365825719195,-1.35932160920948,-1.63784416699207,0.345368902404841,-0.119365825719195,0.201236438158346,0.397255936268019,-0.00615924598732587,0.0140946726712747,-0.358546759507542,0.00615924598732587,-0.225069869424313
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",0.329650832179113,,,-0.269012302180166,,0,,,,,,,,,,,,,-0.368857000129118,-0.281133161021138,-0.172802233695794,0.218504349070939,0.172802233695794,0.461953706666097,0.123587944249568,-0.152025379719705,0.438752005169105,-0.306763474968082,0.0105770574386805,-0.0105770574386801,0.163396878400595,-1.00415854328235,0.393821316551052,0.424502643178735,-0.163396878400595,-0.971063929214136
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-0.0172564674462867,0,,,,0.483781423693998,-0.417282586933705,1.89326872799563,-0.0539028892243882,0,0.183300686373912,,,-0.109391176788948,0.00973916365059146,,,0,0.20424237065486,-1.44145703913676,-0.070960684116216,0.070960684116216,-0.150370505930529,0.372762901461778,-0.48639651020963,-0.00627575084660315,0.00627575084660315,-0.208195482751381,0.0981568385054814,0.507341933038022,0.335750724252892,0.156385160861751,-0.156385160861751,0.262166113171132,-1.0183989518862,-0.818535109547538
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,1.48885641489177,-2.60251718630264,0,,1.00547271474569,-0.269528591387708,,-0.561083335387107,0,,,1.50404686615662,-1.5629221548929,0.196675881418258,0.628527949095759,-0.196675881418258,3.48030158169401,-0.23525614598783
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.0588630077878571,-0.0629385377396545,0.156666481297644,-0.180773491212922,0.0678883124433876,-0.0588630077878563,-0.203444472879061,0.497616579239871,-0.181097034100343,-0.0458956106066575,0.0458956106066566,0.33865494773755,0.111246164214096,0,-0.0251359665639654,-1.03382072247071,0.479202202326697,,0.172545894372247,-0.057152411428171,0.0571524114281719,-0.210058400454098,0.285847972315457,-0.272479872990036,-0.165008608395869,0.0334025450219579,-0.144273935219533,0.225422680077881,-0.0334025450219579,0.0826281313579829,-0.255162306983698,-0.0108122181317398,-0.102521114531442,0.0108122181317398,0.139656455968308,0.300457751297368
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-0.290457276999086,,0,0.102271685710034,-0.314456468885855,0.170779172623698,,,,,,,,,,,,,-0.0313700425240904,0.0313700425240904,0.607759721796834,-1.44810886322083,-0.969881991907677,0.690586991249128,0.125063233185495,0.186092556282222,0.131141680080929,-0.461626933130558,-0.125063233185495,-0.242436041617553,0.0339597724124694,-0.0339597724124694,0.719090475100927,-0.15325868944149,0.202584975297079,-1.79520062486346
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260905213956044,,,,-0.260905213956044
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-0.165973837971106,1.85476987580762,-0.362728493052271,-0.679442918626859,0.165973837971106,1.88322723903175,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
