protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,,,,,,,0.00743057229292266,-0.0540764729990446,0.297495894526938,-0.142041876858772,-0.304926466819859,-0.770804673282964,,,,,,,-0.357717601630151,-0.00724449986526921,-0.764673635691229,-0.104403239430098,-0.318789638334938,0.111647739295367,0.665313881383218,-0.813373553545457,-1.09189611132805,0.891316958068865,0.426582229944829,0.74718449382237,0.258085984625813,-0.145329197629533,-0.125075278970932,-0.497716711149749,-0.133010705654881,-0.364239821066519
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,,,,,,,,,,,,,,,,-0.501965298367751,-0.41424145925977,-0.305910531934427,0.0853960508323062,0.0396939354571617,0.328845408427465,-0.0673843913695498,-0.342997715338823,0.247779669549987,-0.4977358105872,-0.180395278180437,-0.201549393057798,0.0321231062169112,-1.13543231546603,0.262547544367369,0.293228870995051,-0.294670650584278,-1.10233770139782
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",,,,,,,-0.321320990338978,1.98923032459036,0.0420587073703391,0.0959615965947274,0.27926228296864,,,,,,,,0.536820188507781,-1.10887922128384,0.261617133736705,0.403538501969137,0.182207311922392,0.705340719314699,-0.359075203257115,0.121045556105912,0.133597057799118,-0.0808741757988658,0.225478145457997,0.634663239990537,0.615428520417911,0.43606295702677,0.123292635303268,0.541843909336151,-0.73872115572118,-0.538857313382519
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.41155794685852,-0.651959910547365,-0.220107842869864,-1.04531167338388,2.63166578972839,-1.08389193795345
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.159721353368002,0.0379198078404901,0.257524826877789,-0.0799151456327776,0.168746658023532,0.0419953377922884,-0.0905625074214784,0.610498544697453,-0.0682150686427612,0.0669863548509246,0.158777576064239,0.451536913195132,-0.0771913024448461,-0.188437466658942,-0.213573433222908,-1.22225818912966,0.290764735667755,,0.352442789329682,0.122744483529264,0.237049306385607,-0.0301615054966637,0.465744867272892,-0.0925829780326008,-0.0507802455167488,0.147630907901078,-0.0300455723404127,0.339651042957001,0.0808258178571624,0.196856494237103,-0.182486651801421,0.0618634370505378,-0.0298454593491639,0.0834878733140174,0.212332111150586,0.373133406479646
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,,,,,,,,,,,,,,,,,,,0.210680567291781,0.273420652339962,0.849810331612705,-1.20605825340496,-0.727831382091805,0.932637601065,0.0813493398251852,0.142378662921912,0.0874277867206197,-0.505340826490868,-0.168777126545805,-0.286149934977862,-0.284585301857689,-0.352504846682628,0.400545400830769,-0.471803763711648,-0.115960098973079,-2.11374569913362
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-0.0450643402870155,1.97567937349171,-0.241818995368181,-0.558533420942768,0.286883335655196,2.00413673671584,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,-0.195063827645303,-1.73110508672456,0.61111478336007,-1.57956149429077,-0.416050955714767,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,0.25604213337069,-0.307762688863979,0.545129956248306,-0.157006628298108,-0.801172089618994,-0.2057652122135,0.0869003040957175,,-0.66004401758474,-2.19330362405919,0.573143713489023,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",-0.443314086093131,0.0334092947252564,0.121612222045856,0.00216861368098886,-0.316785873243201,-0.0355779084062462,0.136245953483923,0.0207832625881554,0.0438445831776395,0.416950524462327,-0.180090536661561,0.0834845482407358,0.0617005205228516,0.0410857056543552,-0.141361445038706,0.177163371930443,0.0796609245158555,0.0810633258237026,1.66847518892268,-0.0305026014900358,-0.0704434367005948,0.0372509957436371,0.253224734655992,-0.0067483942536013,-0.210815565738548,0.270617702331077,0.0790928700961855,-0.211343171932002,0.131722695642361,-0.0068783477530987,0.214742909753577,-0.0692361561551627,-0.0420397352918647,-0.273847464459883,-0.172703174461711,-0.0856312201240526
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.0622888148753047,0.0408969575935902,,0.112473753744422,-0.180099005064364,-0.153370711338011,,,,,,,,,,,,,,,,,,,-0.0191863092337816,0.960057915132044,0.0314295271006531,0.273138185310966,-0.0122432178668719,-0.167566737724929,-0.350593678513054,0.332502685045003,1.5691176107895,-0.191837639029814,-1.21852393227645,0.265466542220212
"1,4-alpha-glucan-branching enzyme",-0.268265074166197,0.0830327211190891,-0.342470577167007,-0.109490623567578,-0.235481818558568,0.0264579024484881,-0.0603353780071441,0.33813458583949,0.115867182338373,0.233627004084861,-0.0555318043312285,0.460216046311167,0.196807840577752,0.146693028497356,-0.0810467371336054,0.00105818067004293,-0.115761103444147,0.190247213541704,-0.314589005534685,0.0183832408362976,-0.45565467131766,-0.00870089378532946,-0.0959775422411759,-0.00968234705096904,-0.0507716974292816,0.226316042722543,0.0419450875246516,0.225138624223666,0.00882660990462902,0.35059369902807,0.0471856256477121,0.414546336471468,-0.098984397584533,0.58263940261335,0.0517987719368218,0.43024370884968
"10 kDa heat shock protein, mitochondrial",-0.2605290865328,-0.13576775528721,-0.166294250834213,0.0825852027565208,-0.0841947295629684,0.0531825525306875,-0.0194460435412109,0.0143390182891228,0.129428532306006,-0.0398521442160051,-0.109982488764794,0.0791623976460008,-0.0500940609512472,-0.236395143587044,0.00960495030209252,-0.263494796870759,0.0404891106491547,0.0147797712456015,-0.199097749987153,-0.0704953787460703,-0.0790088470266284,-0.0594637763767967,-0.0871542459436405,0.129959155122865,-0.0198106497237127,-0.095211972054587,0.0375228856471193,-0.170127755287465,-0.0177122359234048,-0.192256197736461,0.0181417813719778,0.0113163677930368,0.000517165847733203,0.0640426098910192,-0.0186589472197101,0.0547261910539492
