protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,4.26119361645842,,4.26104765498653,,,,,,,,,,,,,,4.262436056508,4.11658862391467,4.25981569796877,4.13061344614923,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.8031398788287,,3.08107782361161,2.82076346094081,,,2.9161150116441,2.76525394983179,3.12884034031216,2.69503443835284,2.60695725172873,1.96472828023309,,,,,,,2.57357218822119,2.94693561337671,2.13824227175314,2.8092394349073,2.55633843377453,2.94431181109542,3.5713881642094,2.11671481323431,1.75342637509732,3.86291831911101,3.34036610467335,3.66745786661746,3.1287521793326,2.7173158510694,2.75588578502628,2.32950468082658,2.72367430020292,2.44371489004174
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-4.11978674983549,,,-4.79575600120605,,-4.51374911206188,,,,,,,,,,,,,-4.90397178378503,-4.69001396944985,-4.6759585500873,-4.1894370730968,-4.5847759025902,-4.04498560412533,-4.43670425612189,-4.93240880708066,-4.26009725274093,-5.13031308124996,-4.67025251448432,-4.71672315395361,-4.45868096229758,-5.47745217942104,-4.11565515741838,-4.11682895686254,-4.7641891332918,-5.39382170148701
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-2.36925790773132,-2.37640001052369,,,,-1.89741755405301,-2.39924939330381,-0.293901661576851,-2.22883009166613,-2.06939370737884,-1.81292575789797,,,-2.55067071725113,-2.48352288146103,,,-2.52779842562249,-1.77847514777586,-3.34355358544359,-2.01413142980913,-1.83541236367724,-2.28515441374797,-1.62863580319759,-2.69060048296749,-2.36166661270098,-2.31964489174301,-2.58581958392603,-2.19754782104095,-1.80324636122784,-1.31769005113826,-1.42454318992208,-1.75238825093584,-1.38465208124441,-2.67005357540737,-2.38734406585182
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,7.22498399351414,3.33620264054329,5.67069639651412,,6.71933253197864,5.56483187648539,,4.24629099273645,4.42977489410497,,,6.29005799645776,1.94689849735347,3.72694251405434,4.20217482372884,3.29361906211593,7.0159205806504,3.20980620231504
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.92572613062882,2.78116953478114,3.02140194084081,2.69319849456961,2.93964103720084,2.80010805855959,1.95242778013953,2.57692890013956,1.92421158301582,2.08190154000352,2.19633783869773,2.41501555530515,2.36117821660686,2.24928918270592,2.19810447193162,1.18228536745891,2.69232629941825,,2.89610183722283,2.64669272509311,2.81088202051442,2.46772893870435,2.98007612621401,2.39458437986236,1.98890244644593,2.10817663581844,1.94935222272694,2.29609185532659,2.10952190977221,2.16194362146394,2.07935055695282,2.32578148107782,2.24243218828661,2.32049869416027,2.47120384809828,2.62007760347133
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,0.0578556470148115,,0.330695055215627,0.337068948184755,0.00912131963739782,0.552917836211851,,,,,,,,,,,,,0.320924031672858,0.559139935962786,0.991913212922672,-0.781217164052314,-0.77248683554279,1.32298848851427,0.522768355009796,0.439060658558542,0.575281978766973,-0.325403030600392,0.119364669264499,0.145145737895339,0.0498409498271739,0.359148901903142,0.839094136083259,0.247935517847482,0.28731293178198,-1.21201279568298
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,3.60628635193072,5.66892397753507,3.70454159011893,3.18832101953738,3.85918557930729,5.85422580908821,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,3.34767534137917,1.04430254019857,1.93542835883254,-0.518194382493694,1.21018891972387,,3.017667976778,2.84284908833415,0.781903499944043,1.50401699175554,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,2.93149951867542,2.13490311150123,3.20294394595411,2.54540702407451,2.20914743642608,2.87293018375605,3.06269486607396,,2.27041883474254,0.732428269250979,3.05001331812553,,,,,,,,,,,,,,,,,,,
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",-6.45656351822032,-6.52089159363596,,-6.46271573533856,-6.77676604501678,-6.73556989779654,,,,,-5.69039658506606,-5.54261189461035,-5.33499972702793,-5.36030174977937,-5.87296380846234,,,-6.415661041635,-6.19365057596104,-5.8195734682283,-7.78742299239743,-7.15718535428234,-5.64308772560749,,-5.87593650818039,-5.15857936046572,-6.01400817585589,-5.86482205827778,-5.98267228501627,-6.19178084863096,-6.4046094635699,-5.64182554182185,-4.3884226610932,-6.26015116235585,-7.28113660545957,-5.6802456547047
"1,4-alpha-glucan-branching enzyme",-0.147829131129418,0.172237415905157,-0.232184382287151,0.00486218906416447,-0.112320732813429,0.137480883043011,0.286771235490705,0.53208364756924,0.346974866848731,0.530935359951002,0.278623456980601,0.672729860931867,0.381676142311416,0.332482387035114,0.0519760730448473,0.129216098611246,-0.00369954133186923,0.26887758319991,-0.154506491455496,0.170003023417133,-0.232350661144726,0.130093534043161,-0.00875925528578758,0.0921380867197357,0.114686483645877,0.252219508417814,0.0967021226299218,0.228017811889401,0.116592736144079,0.401057244203238,0.197380584943494,0.590579493533513,0.0858320627402307,0.709343450045988,0.200822370961213,0.596024027297049
14 kDa phosphohistidine phosphatase,-1.85042779304382,-1.87302707964437,-2.09544564179032,-1.83876178296086,-1.92700367127535,-2.033475740023,-1.05187876107344,-1.29566891069035,-1.06525019129858,-1.12853835247587,,-0.837511942946499,-1.17309036567435,-1.06866066299785,-1.1574525288571,-1.19381756949271,-1.20235990195797,-1.2279512762281,-1.41772282577107,-1.79038132730409,-1.76696749413918,-1.59860833222472,-2.16156526892387,-1.84052604890605,-0.922828485695824,-1.07523369539943,-2.4996453885382,-0.729626373284277,-1.0144529278875,-0.797724621243332,-1.46444092073514,-1.38353468472431,-1.48656616763135,-1.19289867925967,-1.50405308643765,-0.595332485169047
14-3-3 protein eta,1.76856532778093,1.67778977946898,1.82408806309812,1.58624989305854,1.83877432660052,1.79062922060764,1.70339007069446,1.70136090035777,1.67007617948029,1.59725867405761,1.63368383313068,1.48533935630289,1.78472934997728,1.92006615089198,1.71261435805049,1.96866528709679,1.55603937626473,1.65142200110192,1.69708875371949,1.79703696910947,1.79985076502496,1.92625843433055,1.72145162855193,1.54661128729589,1.84189929356252,1.74189629107075,1.78719119289955,1.8242263582874,1.76552537240768,1.60724481336804,1.695344872833,1.47678311042012,1.75698079375806,1.44917323003054,1.83366155747582,1.59525414314623
14-3-3 protein sigma,-0.970778302356539,-1.12555007451894,-1.13237937359988,-1.06843043703608,-1.18881614772341,-1.2037017901854,-1.12904190935183,-1.32049778396101,-1.41043966036603,-1.2432294293407,-1.09496904879769,-1.38583060880122,,-0.891829120555411,-1.05182692518784,-0.891891717524629,-1.02911236463015,-0.848205733601141,-1.21100467341294,-0.999625082253153,-1.32474550312029,-0.884311693754584,-1.49312050736884,-0.986187253843663,-1.07973878120686,-1.01891689497813,-1.07686899742401,-0.632992508795457,-0.951377426139663,-1.17600179441282,,,,,,
14-3-3 protein theta,3.10644494166377,3.17569515347111,3.10518454754619,3.27825720496422,3.01490438007502,3.4354087274676,3.59088332609461,3.72912610788285,3.79841149640837,3.63914304198347,3.74326879764326,3.77416025847427,3.53930558928891,3.17410811244379,2.81661277515638,3.38023654145916,3.68044229523258,3.11368192632948,3.13216935163642,3.40754067332526,3.18839231508056,3.397039974946,3.19116982371748,3.28910222279106,3.34696897521273,3.20511399685746,3.25089326461248,3.2810672356519,3.28757055765411,3.54590795794002,3.55806715317928,3.48417376922196,3.65265509337155,3.50286426006402,3.76393248811736,3.43239422676018
