protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,2.37637209520772,,2.59218806248897,,,,,,,,,,,,,,2.24191033078455,2.04682221415597,2.27339178852105,2.09501328208072,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.34479330613127,,2.62475288737466,2.33837908483853,,,2.49330617253499,2.27628856820203,2.65058663847984,2.2728483985175,2.15864239467347,1.54021404348077,,,,,,,1.77532622259247,2.12772654766922,1.39295140001389,2.00378264852896,1.76985944571396,2.20360096984441,3.38458191856374,1.7515707001975,1.53062897591213,3.47041336414368,3.08542233265049,3.34631253436209,1.85137675259313,1.47270490917549,1.50767104729072,1.08269398806668,1.48834140448092,1.21813048352195
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",2.90612046180347,,,2.29148237788553,,2.55405191054164,,,,,,,,,,,,,0.533204531018195,0.622855593438048,0.753840508934044,1.09570794395467,1.03046902466938,1.32292464413976,1.22044752000376,0.790510412596848,1.43886863098295,0.649924469680405,1.04700869871806,0.966142521674674,1.82254016588074,0.679728083035529,2.09242016232556,2.07076586190795,1.52380775124804,0.677158894887147
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",2.33737157474427,2.33823749939841,,,,2.81599174680184,2.18348000290175,4.33852075879014,2.41407484432192,2.52977726496972,2.76175653746067,,,2.31000695238939,2.37204161877872,,,2.36759719984389,1.99869386769673,0.354921681216943,1.74807202440807,1.84055424489442,1.59968625093755,2.12612380482997,1.07809710789641,1.40389408382182,1.4740264190124,1.21612650424897,1.60222252213669,1.95169555450325,2.57921106304761,2.42458883849424,2.12653073622734,2.492746383215,1.25312272907703,1.41400476586838
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,2.83653773899442,-1.25290863888816,1.37226253558513,,2.30875929867454,1.03706213904125,,0.66873535567097,1.28739952455535,,,2.76804934401147,-2.47586796414838,-0.69152658899943,-0.244962301865336,-1.12250175942463,2.59541711460704,-1.15912241862217
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.30132381217923,2.57029197326724,3.41047336447991,2.30172550000708,3.27334635640933,2.47605022540405,2.18529248287725,3.84847604460803,2.29285730764505,2.49988899630093,1.86307358618004,2.41303868877309,2.49685321392882,2.20735907842023,2.4438560823189,1.21455472539871,2.81592157762708,0.826298116627089,2.73409736794129,2.45891417357425,2.59566339409887,2.11801705931829,2.75675006882661,2.16788456869757,2.01339461062107,2.36919336181927,1.93900099167729,2.56687245813501,1.90216796802465,2.62871676458441,1.92973925118376,1.96264673188882,2.17624068939397,1.98471432040997,2.49908274499506,2.25010274286676
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,2.28169773238261,,2.56758086003556,2.65845174553303,2.25362508259143,2.72051646292264,,,,,,,,,,,,,0.961972630368093,1.02663993872816,1.62568360617149,-0.479624126592298,-0.0209340591893118,1.64283907046767,1.07525249771286,0.981958037371969,0.984587994667949,0.348390700291116,0.764698096867022,0.587613226268973,3.56946348644313,3.52628728045595,4.29404974742594,3.36936495583831,3.76615003149629,1.72938262578829
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.36054019553246,,,,-1.91801442566117
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.319351966748683,2.18577189708977,0.0258543617271798,-0.334288745012783,0.590871708215993,2.24841304711069,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.551506859570861,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,-0.139126234394557,-1.65251350530317,0.64026721703534,-1.56994586452566,-0.403131179449581,,2.76345095707517,2.26399373876475,-0.740950386493984,0.608819866262823,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,3.95450948619293,3.23519410491726,4.11081245278128,3.47047539965828,2.87498852445447,3.31784525713036,4.16526105169389,,3.39150580534311,1.8722193784729,4.60478314010479,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",2.580857309717,3.04119014774321,3.14120946850986,3.01036505993243,2.70331206466249,2.96617576832114,2.82307717739041,2.55210392745362,2.5978909507949,3.03279642350294,2.4844339484962,2.59545888866886,3.31280714575736,3.32247708026879,3.08293425552551,3.4154322520989,3.28404622876799,3.31065377110369,4.2159496698842,2.5188991027833,2.5016122557434,2.55986754044153,2.75630447544376,2.4996354930343,2.6133464749707,2.94045595960268,2.80651196086506,2.47264723767155,2.8954568018767,2.69714369631528,2.56793458435845,2.30869885728743,2.35060749760734,2.06646414139406,2.20854984231168,2.25663999110195
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",2.38419778497513,2.34641538490132,,2.41840777428558,2.13773650713105,2.14612053967913,,,,,2.77260563604917,3.08180026678806,3.47726608213496,3.4996830829015,2.98735229966301,,,2.52705327100249,1.1179224008829,1.42770147010106,-0.517083920037882,0.072478858250539,1.89651404333114,,1.50071374389893,2.32563418482717,1.45458663029308,1.652866607338,1.44722890079102,1.23219331876693,1.29671212878484,2.00455183118062,3.25587897638174,1.4425880995172,0.456843217189957,1.90185188613926
"1,4-alpha-glucan-branching enzyme",2.56991909875046,3.22105609602793,2.55397550637802,2.95914647527051,2.89130693246514,3.05547571053946,3.06283590578269,3.57161285612615,3.07562834559654,3.43708278834353,3.26344530536333,3.88213455841707,3.12864288986228,3.59969430517525,2.96593503447374,3.12070179302608,3.01120881140034,3.64730369312024,2.18014481407396,2.79222705253238,2.36806660658887,2.70155250576298,2.57634343589677,2.65873583897178,2.78067893555511,2.70543470440156,2.57049819288393,2.79937947579095,2.78146774653971,3.21936474473515,2.67760150772912,3.19511703157562,2.73482475035704,3.35581453666229,2.67391219694791,3.19418049457175
"10 kDa heat shock protein, mitochondrial",5.65285984168225,5.76735130554782,5.76373290475173,5.97293665649396,5.81874702274348,5.9402968667317,5.93768828053191,5.94026870331224,5.79971673013597,5.90081735465552,5.69095988841948,5.89780394556718,6.17798318117041,5.70369839520367,5.92013687801026,5.66927215899807,5.74425477141479,5.64838561349602,5.68766633645274,5.82449518481433,5.69239862859662,5.78835961941529,5.75945348425169,5.83900023076406,6.01144503477327,5.78269143060354,5.97409989089237,5.70640291645023,5.9318995533441,5.68147048184995,5.62302585401122,5.62562927125434,5.67184104284906,5.62879474335162,5.62070023947823,5.62416761867359
116 kDa U5 small nuclear ribonucleoprotein component,3.40667046813586,3.15109592222427,3.27625046876704,3.25472462198892,3.24719282886345,3.1727885610731,3.21085015205275,3.03814980747007,3.39082563199436,3.2121768935889,3.20012075359925,3.16457365760574,3.3738066642587,3.67151568097964,3.31743773192478,3.47508336459402,3.28301132892846,3.41742982670725,2.78954223721785,2.97295106898485,3.01966104122073,2.94013566897372,3.00020656634277,3.43693772107436,4.37786610911545,4.47668584607779,3.04082674268099,4.44253328477839,4.1773932811031,4.38031020231691,3.58686905694567,3.9332579772977,4.04351488117298,3.5378360226133,3.92819966294205,3.94352346504724
14 kDa phosphohistidine phosphatase,3.40585093238558,3.37327109855217,3.08761387918971,3.41349878467913,3.37118666744492,3.35101978759689,4.50113554038757,4.69800703597489,4.54090199241326,4.76661233656723,1.69222868934298,4.97859030728845,3.76992900834679,3.89756578383099,3.81982250810416,3.80092430345305,3.78188967887908,3.81085626783673,3.29044736569276,2.96221667308028,2.88754158679695,3.11208743104351,2.61728142057927,2.83933098866716,4.09307260144217,3.83901459981084,2.92778515126185,4.37794657798273,3.95743779721866,4.24815017262026,3.88198705600531,3.40440550887253,3.80590434514667,3.52391634674656,3.86981537041696,4.0411094205861
14-3-3 protein epsilon,5.17586190409825,5.20148686151097,4.96197642679775,5.11613965847626,4.9278551289935,5.20659164555835,5.17428345076049,5.2693213973399,5.0434440262833,5.36268265616028,5.17423258485886,5.38238451070043,5.34085738714298,5.46445861206369,5.39270421612528,5.3969833144949,4.78445297420417,4.94670152508664,4.95100791708083,4.80367655357543,4.98098156159864,4.74471563332388,4.87046732613485,4.80217758409559,4.95100723205709,5.02319514818688,4.80134059373395,5.01471817738305,5.25111790221973,4.89916046451869,5.00090026874806,4.83994101968333,4.81044397901019,4.81242009328004,5.00826720006307,4.79514899752683
14-3-3 protein eta,4.10953718040534,3.83079788035499,4.13612154079501,3.86073215696336,4.13789138514525,4.10585888297708,3.79582193797118,3.90505981229869,3.99704277939057,3.66020864502065,3.98524784758709,3.76489742014401,4.04266989460276,3.97887098492978,4.01759817339198,4.0325030580472,4.02233752427088,4.13971108295946,3.87023780123848,4.08544829679074,3.81167132112249,3.97182121965243,3.91191613022584,3.72284055821314,3.82450031674802,3.6694469574188,3.78090485034712,3.779804244601,3.75289971962633,3.55091847263887,3.50750326667811,3.34875074027651,3.55863171274216,3.34007451696801,3.76608881125763,3.40867533848676
14-3-3 protein sigma,6.86316184360037,6.69714166166681,6.72531804369186,6.77451514183623,6.79737138480439,6.71273385507174,6.55439479890179,6.51561653200257,6.48737287358511,6.52638231542478,6.56645738445217,6.51643530796786,,7.34476181953099,7.35766797139611,7.4081240703052,7.35144461282519,7.40639506287839,4.46962452619042,4.43327511003004,4.38562641477422,4.48011003497124,4.43906995702924,4.70872938459687,5.81743860974006,5.84547445027747,5.94284728480445,6.22721073213502,6.07718516731682,5.66908992464777,,,,,,
