protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.99099916251864,,2.20681512979989,,,,,,,,,,,,,,1.32959776126039,1.13450964463181,1.36107921899689,1.18270071255656,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.30816652939708,,3.00815236450147,2.72177856196534,,,2.18654588446832,1.81788390325673,2.09572884388352,1.9644553628783,1.64592700513815,1.33654142109403,,,,,,,1.16375522768666,1.53770325981669,0.849264431026484,1.46164187243592,1.2852033816654,1.68224018462519,1.65141351238559,1.11802827148779,0.813911064580326,2.2054728862291,1.39802692352357,1.85287231929452,1.66902511422582,0.942763208522139,1.03093234448658,0.706873588562112,1.02413697544651,0.758106286758866
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",2.5601537401602,,,1.71103106374235,,2.13946579807031,,,,,,,,,,,,,0.245772033989249,0.225451338506223,0.517879327278982,0.846498781168934,0.934104146723365,1.08315847288496,0.589329212306342,0.451904137997212,1.06741425204113,0.136735400433844,0.4394701107562,0.648673239582886,0.847769685039415,-0.0395836367251491,1.19415380901744,1.61177618488632,0.601563168933009,0.201774648635979
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",2.63939343109211,2.58709027052165,,,,3.11801360314967,1.44083746811376,4.06304963483002,1.67798098803415,2.21920749611954,2.08152108380613,,,2.34113131595639,2.40316598234571,,,2.39872156341088,1.07967479715151,-0.0328814337831234,0.865729239683081,1.02931173543906,1.51452502345201,1.04885078115742,0.946278926257624,0.879483548931614,0.94813143723299,0.759607707073758,1.08495800980344,1.63521281156606,1.15836636807884,1.23089007755586,0.778915102535002,1.24022349751321,0.601233385303464,0.779230138687553
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,1.78124727170851,-2.30819910617407,0.46129693624541,,1.32554232206053,0.222713374576355,,0.259594319994489,1.134137676394,,,2.35890830833499,-1.8707655904506,-0.362339432969368,-0.363801784628204,-0.850879833466676,2.29197850134749,-0.887500492664219
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.79658250334634,2.34944026231431,2.9440649415648,2.22419462760993,2.76556290274511,2.37163053889709,2.29199942721891,4.16565037448479,2.42760371958731,2.82420469404583,2.7114689020694,2.76582599790505,3.2679973478964,3.02583845243526,3.14950254356195,1.22064170908147,3.92480353966923,,2.42340064949955,2.06252877057656,2.28625381829228,1.84107612817834,2.41822933731654,1.83025326421257,1.81845122396245,2.51810377827043,1.96802697726094,2.76879396710081,1.66823596225144,2.76250043109911,1.58753062365834,1.88384265424457,1.84607933915231,1.95363079961646,2.0768690286674,2.14198586460051
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,1.43625263503711,,1.40235725027849,1.49322813577596,1.39015990693037,1.55529285316556,,,,,,,,,,,,,0.895268877270172,1.32754409724589,1.46722865404269,-0.131306585780845,0.079879682929339,1.48428045166265,0.571019452219379,0.477724991878493,0.480354949174473,-0.15584234520236,0.260465051373545,0.0833801807754967,1.91072046136638,1.01606767034816,2.11647813918852,1.36762377789159,1.83035326008877,0.831676246131483
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.970236073961792,,,,-1.5277103040905
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.298618884785279,2.01881372327905,-0.054223049993391,-0.0863201055994873,0.438577647127077,1.91893891323372,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.485851281050521,,,,
