protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.107907983640626,,0.107907983640625,,,,,,,,,,,,,,0.0734485243519187,-0.121639592276667,0.104929982088415,-0.0734485243519182,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,0,,0.143186901268063,-0.143186901268064,,,0.150010659027801,-0.0741426778111895,0.371660489150775,-0.071028276633011,-0.0712337486786818,-0.338981289990598,,,,,,,-0.209122321716171,0.128433022028327,-0.214073906984692,0.13589302938735,-0.155175029761245,0.187571805682748,-0.0854239505564005,0.0159883061689315,-0.389010444407533,0.452417605007691,-0.220884091652354,0.159617817176778,0.0958387556747494,-0.0690759463199446,0.0580792405476468,-0.0925766260571868,0.246661266748915,-0.46673062327063
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",0,,,-0.266365004486453,,0.142025196569652,,,,,,,,,,,,,-0.42093620138707,-0.519877246748977,-0.143797074875008,0.183554292282252,0.062070633742489,0.321200495360799,0.0753441974248805,-0.258293315997409,0.721934085109699,-0.38862424864434,-0.0581020380624291,0.0998772584061993,0.257575616752011,-0.381856433871774,0.659754004699116,1.29398355149228,0.00032848681332128,-0.28919044724933
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-0.239310086028784,0,,,,0.239310086028783,-0.231494275570717,-0.0577047253728059,-0.00317340500433906,0.0588901163558695,0.324268383962103,,,-0.0575902474544954,0.00444441893482663,,,0,0.18162640107424,-0.580903517001376,0.00364922822175792,0.230118080445825,-0.180860713336935,-0.0408108071808715,-0.287066544826911,-0.0247988055900994,0.0680675409949573,0.0617607995639271,0.0556777144293446,0.307397909004288,-0.122650891143129,0.222310823904177,-0.265245331016101,0.14895189894615,-0.0762907530925532,0.130956635887349
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,0.834168880277298,-3.25527749760528,-0.0974083416983702,,0.598045706702638,-0.161275588921677,,-1.04965699417025,0,,,1.04965699417025,-0.751924238095759,0.448253076139718,-0.464496210754962,0.0183103295987712,1.32097493891691,-0.0183103295987712
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.138115335719662,-0.309287817691333,-0.014172054671099,-0.262293707424795,0.154486750834036,-0.303586906460091,0,0.0435228446577816,-0.119192014213931,0.126204829945225,-0.00316174339722239,0.309301956585722,0.0647251003747436,-0.158983442616819,0.0627870019119018,-0.07381455449048,0.0312886671792909,,0.237452808760703,-0.181340759778179,0.112581354608305,-0.46311993695469,0.407713316743783,-0.286807292294933,0.200253551717924,-0.231773022677339,0.0986293332932911,-0.164532376808874,0.286071143859404,-0.176913645439644,-0.112769300345872,0.0242496545743478,-0.16132729435981,0.300080513355197,0.0574525944191545,0.110721288312845
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,0.000611607442185577,,0,0.0908708854974716,-0.0438493310783135,0.152935602887077,,,,,,,,,,,,,-0.352056985015626,1.07274945556338,0.205373426046806,-0.367753107797004,-0.267666392425486,0.225933942312662,0.20192443059336,0.108629970252474,0.111259927548453,-0.52493736682838,-0.108629970252474,-0.285714840850523,0.0754068208178178,0.129750024140075,0.311810880493819,0.839908199359757,-0.0739937215633184,-0.275535854097222
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278737115064354,,,,-0.278737115064355
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-0.0210142750149637,2.23275598744501,-0.210984311259143,0,0.0190946384136796,0.54592820307496,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
