protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,,,,,,,0.0420113909966847,-0.153809138973382,0.191846274131813,-0.529921774803943,-0.223711762959442,-0.344195053804526,,,,,,,-0.357505798737001,-0.016419746671414,-0.461827157100159,-0.00758786147140086,-0.403731622861762,0.0312708575179089,0.538050741529229,0.122309917915975,-0.298450096335249,0.793214840466253,0.658088573057667,0.686086488165211,-0.00975522472295693,-0.213262140846883,0.0217035276270232,-0.223238047005552,0.0555502232255438,-0.636677759914337
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,,,,,,,,,,,,,,,,-0.540545167216496,-0.203191321513474,-0.514992669145898,-0.118156028184376,,0.32134734969785,-0.0872164520838052,-0.807731551344262,0.0977450999046255,-0.243648671904685,0.0042005349416054,-0.417419927296826,0.105751329882172,-0.482051730136654,0.371153695105449,-0.14784067413626,-0.242691074639065,-0.424154190749511
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",,,,,,,-0.374948907557966,0.0614942368086068,-0.0108137132127433,0.0877006713043249,0.38576262077071,,,,,,,,,,,,,,-0.339397504605249,0.148911982047105,0.234571293675574,0.262292576319946,0.268570530006166,0.675378371573644,-0.00114834651083951,0.534405253308232,0.0134297671707602,0.337995916945618,0.0753710452175598,0.28193462829539
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.555604418771698,0.109601943670057,0.410964557795134,-0.0837049791695141,0.60735807180854,-0.00918026832306987,0.009673060173466,0.280907853080239,-0.0161843769497096,,0.00651131677624364,0.0811304807431382,0.139099299708606,-0.270143243083059,-0.131177632376439,,-0.00792166733216648,,0.535545287100858,0.139831784936385,0.562337412873564,-0.164319210945642,0.707938723695993,0.0648176324794675,0.0347836527835851,-0.467397950669983,-0.103978861723663,-0.471707527413294,0.0906880436690857,-0.559910867266055,-0.0363494149660913,0.131148207204596,-0.0022675103806518,0.167471214550005,0.115854544420138,0.185257978749241
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,,,,,,,,,,,,,,,,,,,-1.20302368900597,0.524447254282661,0.549959198391035,-1.09966188816904,-0.175869537839347,0.575214633886383,0.133739634630247,0.0404451742893609,0.0430751315853404,-0.593122162791493,-0.176814766215587,-0.353899636813636,0.110333207765649,0.247205603839932,0.132288517697443,1.10376023151628,-0.187911380954334,-0.318383240126963
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.462486033933313,,0.393471906829507,0.129975328691175,-0.85595794076282,0.108408468756931,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
