protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1.62893252362258,-1.95113932813118,-4.25277497719981,-0.298867939784368,4.97673197890381,5.41129539192245,1.07371832177799,-0.809901684971565,14.7626007519044,-6.07995203009758,9.79325489140606,-2.98396768568236,,,,,,4.29603037538498,5.42421919629774,1.70748928873608,,,-7.35328416184329,-8.96388054746619,3.70968398918445,5.90195130224933,14.2058267136678,26.1273906822469,23.8976374937916,26.7999279831009,24.1226880268411,15.6758697277657,8.17445030267489,2.15548622492146,-6.67750978563474,-6.45520219155162
[Protein ADP-ribosylarginine] hydrolase,6.70346342288086,1.73889191996546,21.65698008359,-1.08754757187776,7.60734925022534,8.04280272106958,30.7422252985147,23.3598497247273,25.4099754714467,10.394173063712,23.538287630875,25.3310684232568,9.81935193225232,7.34045614961267,,4.2193106276967,13.1891687678364,3.25637040449039,23.8755714756917,24.1279420637112,23.3004989444095,23.8588746022747,16.7326975249522,25.9690596970221,25.0822613117994,26.0223580582356,28.5136870193921,34.2988754351447,38.4734292967337,43.4616313040335,14.4587693690936,22.1199849444281,21.0639960264802,21.5664062242798,28.4148962184343,30.0490725370494
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",8.26533331540556,6.76678665504927,7.43507937112712,6.81637696938237,8.01273668411039,8.01725985084859,8.13311561543737,11.3414856062133,15.3673721027696,14.0510495866478,13.2310510636394,12.8125207092892,14.8432858535707,14.4229240528617,12.6996492387494,10.4327297880231,8.39937022135959,4.21238798237272,15.8527464816763,5.70412946286289,23.0683921197959,24.3789006395453,22.899387797593,17.3078183953145,17.0947078201541,17.355552239732,18.8737017848802,13.733650500031,21.5052167134082,29.1862453363131,24.5950841056256,24.2854308987328,30.3811585545942,23.5358534462272,31.3827646957593,28.68766551273
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",18.380331164003,12.9943492690884,12.6186623231562,5.69961534853238,0.72020770550981,0.962265690098942,1.7767163314351,34.040941630722,25.3192496786437,28.400801032775,8.59899651058271,9.07806900290414,9.01235644979912,7.0481171619652,6.88153651897564,,,14.6604186156661,22.696500062795,16.7398187517484,9.94033108556599,10.1347112106192,15.3511114098493,2.46982994757514,30.2423057886361,23.1725879874686,19.2927205322031,21.1154909520801,23.1971672664687,29.6178072493036,24.9322791710521,26.8365372175565,28.1514790964928,30.8241209902213,38.7816418324665,41.8030572356014
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",5.80356202501891,0.222723302373558,0.762390659038037,-1.72671800660803,-0.829679780027059,-0.55082464288187,-2.36240445831165,-1.37611117352744,2.43603332629288,1.3557179465571,2.29728300052503,1.92961991311358,,5.78450921497965,3.54165314297889,,3.38228143713081,4.32688256539613,4.14415140359876,,-4.73887826880224,-4.62909782520713,-4.0506220857231,21.4448822333573,3.33981993361653,3.26435849638276,2.13487033568708,-1.16799511809717,2.82678774970824,4.39456544033059,-1.30243046008641,1.64645621242879,2.92191769622849,2.93847590815483,17.4023889579168,6.07879742483207
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,26.0520831907866,4.85981122090963,7.79020473239007,6.95565501858156,24.7744834241677,10.2703068868421,10.2383978746827,21.8603269122207,7.26842772182467,2.54157421925433,2.05677451855441,1.90419817357415,25.663311292558,25.5103624483946,,21.8853524537343,2.06012417190541,3.36774039520703,23.9348567919226,16.884709893255,18.8575894844335,13.5908608250339,15.3793214150257,8.73561799835439,19.2415938171136,29.7503789884592,19.7958203549585,13.3586975645164,32.4062109451321,22.548529761554,44.1479692469039,41.5495773866512,23.3996585870371,41.3769573892157,29.4195236389585,24.9485466577879
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-3.64522559209605,2.22355804300105,6.59191859902329,6.65738569976615,4.87104405431509,6.49709100263926,7.05446690292361,9.61510448880894,8.9885967442966,7.68868107844491,6.98317619525965,9.56095568305836,8.20357492034454,9.02711815083298,7.4503799361035,5.96628153962452,4.0686226260857,3.16493519881086,15.3711117589995,18.9407467004,18.3357097219156,15.0333704893865,15.8332911539845,13.18322609301,13.1907399683686,16.0757323559591,20.963729978354,23.9698116230504,27.8045844723424,21.412655051291,16.7581165752995,18.0057493936916,6.66012011322718,9.40239433079286,18.5541502170393,21.3049964082037
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,3.85629427018011,,,,,,,,,-1.14470088402029,,2.59616001516161,6.60550671775359,5.88770893941548,6.39097078978094,6.39729513050841,3.23888687205253,,,4.02774421674379,,1.2525399043587,2.45526142083738,6.32353585389368,-5.30894380729315,12.4583819068302,-1.2801314171779,-3.96298813592801,-3.99540392600856,6.78579926732015
1-phosphatidylinositol 3-phosphate 5-kinase,5.69521684677033,4.44262460913094,2.11723673787719,1.36883560849432,0.870438427809988,0.438516355297552,-0.0922532098309276,1.49406982515105,3.80496289014624,4.03669771309353,4.91640054622928,2.23557052376422,,,-1.64859936114504,-2.88727378183427,-3.2377346140096,-4.4573461843694,3.76746356345524,2.7551549195728,3.69560848496525,5.20948434841321,7.00174916260238,6.24778823120981,18.4725042365278,1.47933049774915,17.5523239543412,4.90698523227384,19.4904701809858,11.920576925896,7.73679743019439,5.37954438684465,3.31005783066831,1.39321835172359,3.56823883312163,0.685789995881271
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,2.74729586181081,,,,3.08700471442626,,,,,,
