protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,2.21034356737662,,2.42501645666314,,,,,,,,,,,,,,1.94766369574618,1.77473451793458,1.96936447645196,1.81011147841914,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.0723849676541,,2.36561714367856,2.07734706949053,,,2.32781977749478,2.11277538873802,2.48455811064874,2.1096580382506,1.99147078884765,1.37158735320689,,,,,,,1.35226477307256,1.68622752913495,0.973853140013813,1.56656438029101,1.32400760153121,1.75364769977094,3.09033528352536,1.47948300397611,1.22660166384304,3.18551156048211,2.79817078859488,3.07428445018045,1.53918163374285,1.14773504816397,1.1757414413188,0.766767784155143,1.17007160696603,0.902908906221202
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",2.6337121233263,,,2.03045036253753,,2.29311286886325,,,,,,,,,,,,,0.110143081498288,0.181356574903774,0.334742248933961,0.658489675716716,0.584617180486629,0.872971374066287,0.926200884965385,0.518422716375456,1.13484131891386,0.365022666018825,0.759757154662436,0.694114437493033,1.51034504703046,0.35475822202402,1.76049055635363,1.75483965799641,1.20553795373315,0.361937317586396
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",2.06496323626709,2.07702824676042,,,,2.55505270512345,2.01799360786154,4.17500757932613,2.24804631649081,2.36658690470283,2.59458493163484,,,2.14206593162,2.21317130560664,,,2.19803104822039,1.57563241817682,-0.0865773373173337,1.32897376440798,1.40333597665647,1.1538344067548,1.6761705347565,0.783850472858044,1.13180638760045,1.1699991069433,0.931224700587387,1.31497097808109,1.6796674703216,2.26701594419733,2.09961897748273,1.79460113025541,2.17682017930347,0.934852931562141,1.09878318856763
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,2.41347628947451,-1.69440765742243,0.953164275585046,,1.86290745449179,0.587108868967776,,0.396647659449577,0.983372212486258,,,2.49602125982983,-2.78806308299866,-1.01649645001094,-0.576891907837263,-1.43842796333616,2.27714731709215,-1.47434399592292
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.0875915727531,2.4344904034174,3.19866230733114,2.26491310272852,3.06115863293404,2.39719190905933,2.0522585727945,3.55008803423595,2.12283417220951,2.31353924868883,1.95201516328497,2.29119423017241,2.47946972122148,2.1769405414622,2.43699847630297,1.15072714180694,2.48732583703102,0.668413377804948,2.56091063923602,2.26449530314201,2.44112892999172,1.99494264022466,2.57785914122125,1.95828731604265,1.69992406022846,2.17738748473897,1.59445072833426,2.38905711984349,1.73549123310819,2.27655424070657,1.66935700620132,1.63502918332704,1.80855826428291,1.69828921783691,2.09628243076033,1.98519157188971
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,2.00928939390543,,2.30844511633946,2.39741973018503,1.99149690213456,2.45957742124425,,,,,,,,,,,,,0.538911180848184,0.585140920193886,1.20658534617141,-0.91684239483025,-0.46678590337206,1.1928858003942,0.781005862674485,0.709870341150576,0.680560682598857,0.0634888966295351,0.477446552811399,0.315585142087329,3.25726836759286,3.20131741944442,3.96212014145401,3.05343875192678,3.44788023398139,1.41416104848754
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.68551005654397,,,,-2.23323600296192
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.0251053317103122,1.91368420086838,-0.278172950341912,-0.619190548674364,0.303620164160372,1.97638496292905,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.876476720582368,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,-0.580625252928833,-2.07161176530325,0.203048948797386,-2.01579770870841,-0.853084449523045,,2.49136326085378,1.95996642669566,-1.02585219015556,0.321568322207201,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,3.78902309115273,3.07168092545325,3.94478392495019,3.30728503939142,2.70781691862864,3.14921856685649,3.98877224707067,,3.23263549217104,1.70107131603449,4.44109273103262,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",2.30844897123983,2.77998089510522,2.88207372481377,2.74933304458443,2.44118388420562,2.70523672664275,2.6575907823502,2.38859074798961,2.4318624229638,2.86960606323604,2.31726234267037,2.42683219839499,3.13631834113414,3.1545360594994,2.92406394235343,3.24428418966049,3.12035581969581,3.14108761948019,3.79288822036429,2.07740008424903,2.08251399574332,2.12264927220358,2.310452631261,2.04968222296083,2.31909983993232,2.66836826338129,2.50248464879598,2.18774543400997,2.60820525782108,2.42511561213364,2.25573946550817,1.98372899627592,2.01867789163541,1.75053793748252,1.89028004479679,1.9414184138012
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",2.11178944649796,2.08520613226333,,2.15737575893758,1.87560832667418,1.88518149800074,,,,,2.60543403022335,2.91317357651419,3.30077727751174,3.3317420621321,2.82848198649094,,,2.35748711937899,0.694860951362993,0.986202451566782,-0.936182180037964,-0.364739409987414,1.45066219914838,,1.20646710886056,2.05354648860578,1.15055931822397,1.36796480367642,1.1599773567354,0.960165234585294,0.984517009934551,1.67958197016911,2.92394937040981,1.12666189560566,0.138573419675067,1.5866303088385
"1,4-alpha-glucan-branching enzyme",2.46683417211459,3.07221549077602,2.43534852612642,2.84052237278778,2.76438489155086,2.88767083995946,2.89132979896892,3.45064649294203,2.95818995609641,3.26848330883893,3.11639220661888,3.6567438360626,3.00335652658992,3.28343306409875,2.82967395990933,2.91928937815979,2.91441408179445,3.38453568883963,2.230913651496,2.57728940316684,2.14870964022563,2.59396740038149,2.40447877743959,2.49087885256109,2.22678131126674,2.32655897637598,2.11720967819905,2.4007078450697,2.23057651231941,2.91095235622554,2.28828534955243,2.70190787588526,2.31770406250688,2.89120306115336,2.26042238137391,2.78364299980015
"10 kDa heat shock protein, mitochondrial",5.43110093521767,5.55709075009716,5.53360079511261,5.74203283454098,5.58009772118043,5.73256661096704,5.69710723185387,5.52270836983915,5.70982316574125,5.68126123861563,5.62360348260841,5.57493731883406,5.79361011721308,5.76164884058257,5.85534249019963,5.7192124525627,5.73481919879023,5.67335209326628,5.06795981723066,5.18469620920267,5.22208911318708,5.16717102952906,5.11785235559272,5.33887423424449,5.82512233014036,5.5536906455566,5.71561519419802,5.53965875207947,5.77391837287925,5.54348006183883,5.4701995299882,5.46760022567922,5.47591157704994,5.8143576480599,5.44899154373221,5.48459906885802
116 kDa U5 small nuclear ribonucleoprotein component,3.17454221832578,2.94018871016808,3.07534508263694,3.04517321097506,3.09382196652726,3.05078510886438,3.04834979188401,2.78946932747802,3.17066148026892,3.02058472245106,3.02428176818761,2.98016102339014,3.14147108245649,3.53010470187048,3.13090825286879,3.41260585421691,3.16600083406517,3.32256527396784,2.35593352645015,2.52744156587702,2.60290584322302,2.49348070119732,2.57881056741895,3.02723407018489,4.10096956577203,4.22325439428296,2.82404463853431,4.16086456285238,3.91707855638744,4.11943102762611,3.2471358866543,3.59342867440786,3.6920471448122,3.24597810885941,3.64123590759425,3.65426993690581
14 kDa phosphohistidine phosphatase,3.12793532941913,3.10994806669136,2.82133316702529,3.14925946867047,3.10526623468637,3.09000599682105,4.23284992799204,4.41865138442244,4.27244499445773,4.48774130772655,1.51493574534422,4.69722634865089,3.4955277315148,3.62516844982584,3.56149960373832,3.52726608918091,3.51963000829972,3.53853795417962,3.0418113299898,2.65249455211477,2.61842930027197,2.80571675802883,2.27135620466688,2.49955157143189,3.7943613820371,3.56751221955848,2.62063991215349,4.08342234137665,3.66933522055278,3.9698202224749,3.62030671668637,3.11705301084495,3.50734258253045,3.23695733159971,3.59700336414263,3.74248505379553
