protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.83713104471836,,2.05180393400488,,,,,,,,,,,,,,1.16494915244334,0.99201997463173,1.18664993314911,1.02739693511629,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.0064433778617,,2.65233503286367,2.36406495867564,,,1.99390326889385,1.63134962520152,1.87853498402388,1.75885253786124,1.42743178523392,1.11561294850573,,,,,,,0.868161372384922,1.1622130661246,0.478787811971616,1.15561584064734,0.932839397978462,1.34818298053779,1.47922575938752,0.926827942727469,0.591662604200443,1.93519210518253,1.23955530642319,1.64401539697196,1.43398742418712,0.775596481566248,0.854977636534259,0.521276057169711,0.872973297136376,0.589017103740418
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",2.32017496578745,,,1.47286466823937,,1.8865880563956,,,,,,,,,,,,,0.0210662408418715,-0.0181222778252559,0.293194629836338,0.604690871658597,0.641639198899527,0.813480155841059,0.43366827737723,0.272959776557491,0.7996716370149,-0.039755658444872,0.296158646602469,0.4713854686065,0.676161857439275,-0.236708647902228,1.01179711320304,1.42053106443295,0.431347861132936,0.0195879197681292
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",2.27875274166499,2.28214389685526,,,,2.88826244490859,1.12032269703239,3.89094510999132,1.58324651501884,2.03782922859924,1.4984679100376,,,1.9041020170732,1.97520739105984,,,1.96006713367359,0.88442583202206,-0.266000888566279,0.672760314938766,0.815123166231712,1.11775884471722,0.834685363207186,0.845528851077379,0.545604819883974,0.614203450283009,0.456201335565916,0.668240255207507,1.20452907574004,1.03717039565826,1.36965544046282,0.6241240591359,1.04353065531202,0.367738460529212,0.534469937104658
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,1.60247520865743,-2.50540873823952,0.270629188617542,,1.11580561827194,-0.00833672311037475,,0.0522823119163143,0.866304091952179,,,2.15165591229657,-2.1589997317533,-0.635736098132696,-0.471409909537374,-1.0916693967577,2.00605835077166,-1.12758542934446
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.53487471782636,2.07557531458874,2.6673767808155,2.07733247621912,2.5087170459252,2.08116680629179,2.00950386383533,3.85682613969612,2.14980630591305,2.56307981494835,2.48667993173601,2.42465364101367,2.99405991076159,2.77319543545517,2.88922452195716,1.02218580753873,3.3318203673734,,2.18537612982284,1.73574507423993,2.04920541687847,1.64411844138739,2.09056695499708,1.51008935365732,1.4645817838659,2.22232556887893,1.50988822560795,2.4510330321714,1.47035430241591,2.37240919006612,1.30156269019272,1.59205828694484,1.52029587695192,1.62870989090744,1.68205623840486,1.86668876819476
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,1.24576523637108,,1.24616696125744,1.33514157510301,1.21097741001012,1.39729926616223,,,,,,,,,,,,,0.539086089189724,0.81867088718598,1.17307873444727,-0.652079164069444,-0.330027795432711,1.15948180910756,0.433044484384094,0.361908962860185,0.332599304308467,-0.284472481660856,0.129485174521009,-0.0323762362030619,1.81428057873563,1.17058083630978,2.09530809596805,2.26094558763718,1.7725521956366,0.840051257760696
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.21899266850755,,,,-1.76671861492551
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.0931991324447641,1.88189205521573,-0.242414710612915,-0.199501030807936,0.231475190720578,1.70291176960867,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.772134253846371,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,-0.0882871899059038,-1.56233699653753,0.727469034035872,-1.4845467379698,-0.342453208567735,,1.92316111683513,1.39176428267701,-0.903726929422759,-0.246633821811446,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,2.66941390046826,1.09629784267771,2.8101759206447,1.7401780165899,0.732433835853101,1.49325692843495,2.96502066833174,,2.31854142520307,0.586270952752616,3.32629236775074,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",2.15115781896606,2.25386292009764,3.56173229542068,2.22321506957685,1.91506590919804,2.17911875163518,2.13763427970049,1.80169777996057,1.82723945880394,2.26169183831568,1.74887450643071,1.7504551684936,2.17270668031151,2.51757761962813,2.25804820043562,2.28067252883786,2.15674415887318,2.17747595865756,4.63959401125389,1.63291213603572,1.5355660010193,1.44726646152619,1.69348660074308,1.52733037393725,1.39546525492762,1.70195337781819,1.5434822214764,1.26557547313925,1.6521603938222,1.54336776182945,1.84293842570917,1.58033858736807,1.62571852545204,1.40511258849698,1.52642074355924,1.52119052714995
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",1.26331320794329,1.35950020197551,,1.2481782293667,0.961552247662674,1.18292044333785,,,,,2.25512794719616,2.562867493487,2.20371627145129,2.23468105607165,2.32332235326186,,,2.53864509477058,0.674777903272254,0.839076412077867,-0.727163508717213,-0.155720738666663,1.27302609995131,,0.727537874227277,1.6157076730414,0.712286324232527,0.872106377775921,0.57321096417407,0.490866751585781,0.511448838471981,1.36307529850003,2.3467941044954,0.616849903885096,0.0462564618835473,0.933846287753082
"1,4-alpha-glucan-branching enzyme",2.40646888553842,2.92944864905131,2.46424769357144,2.66851546953516,2.82100193470342,2.77362065383955,1.90868975397343,2.82724969002926,2.21161621888343,2.3979731347206,2.51540876642445,3.04389579703377,3.75163582788458,3.38207593670778,2.81174504029073,2.85663570102892,3.18685404413158,3.45747853902984,1.73218717190042,2.41107291225409,1.85850973367507,2.36929626211867,1.98843403489956,2.0978500647925,2.13678858801174,2.20721998375943,1.99548625900611,2.28218276071234,2.11931746680785,2.76190421915963,1.760038175871,2.09359094401676,1.69626435330979,2.32137220849787,1.6996470194451,2.18783127758255
"10 kDa heat shock protein, mitochondrial",5.34049875742066,5.28507311729254,5.27163173118043,5.55116658505201,5.43870997302421,5.49345316644584,5.56499185463331,5.39796556921249,5.60317287555895,5.5727740052454,5.53090865604331,5.44016825995343,6.44959514118867,5.92277730219531,6.11309498636882,5.90688436685194,5.91041879046024,5.92702359084027,5.00098085949784,5.09903522926752,5.18491350482672,5.09520075857242,5.03332568809943,5.2628766128945,5.64443585125757,5.43579899848352,5.61506507253516,5.37921234821291,5.61775578854725,5.37170028158948,5.28307415432194,5.27318366568516,5.28361825788756,5.43900927334665,5.26472955699142,5.25085034177369
