protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.107336444643261,,0.107336444643261,,,,,,,,,,,,,,0.0687761086635238,-0.104153069148085,0.0904768893692988,-0.0687761086635238,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,0,,0.144135037094017,-0.144135037094017,,,0.149441192652849,-0.0729592734685539,0.371444819346437,-0.0698949586312818,-0.0729262432801618,-0.344094800800457,,,,,,,-0.212481630594939,0.10296476988917,-0.208740604985997,0.128752287029629,-0.168044587235753,0.165425275696075,-0.0940686706846756,0.0220152531436884,-0.414723710495962,0.281961016621579,-0.031525038514964,0.152922277894411,0.11452835424711,-0.0794725487355196,0.125520610774026,-0.0911755253939155,0.386954926080731,-0.372853830666838
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",0,,,-0.266411491321262,,0.14205151769496,,,,,,,,,,,,,-0.412660415624518,-0.518527474782307,-0.134267538159845,0.175646041065855,0.0531374473741246,0.307035066479531,0.0739056694197676,-0.247512291418647,0.195646625571349,-0.386457391911705,0.131621655016522,0.111113215536178,0.252943244014783,-0.402764616167359,0.609246791915584,1.28704632577639,-0.0218479106305349,-0.28696527103682
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",0,0,,,,0,-0.260706204508813,-0.0671679753435808,-0.0135940623197672,0.053353003886801,0.24886106058356,,,-0.0559651166003858,0.0151402573862503,,,0,0.189904785007457,-0.599341086015746,0.0149040926567553,0.221608648235167,-0.193829544662238,-0.0535458090163832,0.00114281985151078,-0.034384781566184,0.0560894613778355,0.0711538350252748,-0.0140664062262639,0.152631056020637,-0.106197006964132,0.222913114573729,-0.270701873063415,0.153705671906569,-0.0732494257067818,0.138659663130376
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,0.830205690757474,-3.27767825613947,-0.0853115235860872,,0.578719450866277,-0.175980527221556,,-1.04968680019013,0,,,1.04968680019013,-0.745536867015146,0.445059412524309,-0.00672803643963115,0.0179580162933786,0,-0.0179580162933786
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.128840785398431,-0.309899667286086,0.0578504113042513,-0.298713117932215,0.119609170334039,-0.303794914886076,0,0.049772045760451,-0.119581427437833,0.144360574458179,-0.00484695418283552,0.306161661352057,0.0555317164807798,-0.159099948843221,0.0719028626971415,-0.0711441833980748,0.0300472487239698,,0.241351571345411,-0.171334039809406,0.116445846364928,-0.283295728742789,0.326877543188046,-0.225194427429451,0.156031306169331,-0.170679276959972,0.127799929651816,-0.161108712253097,0.288946200132827,-0.16266209396045,-0.0839567340778836,0.0437587709378843,-0.237932954125468,0.250015621820335,-0.0274243418528299,0.101290885571976
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-0.00839010881508581,,0,0.0889746138455658,-0.0427831751076873,0.151132304904788,,,,,,,,,,,,,-0.372697711421774,0.991763474370509,0.0399723750977657,-0.427052734022415,-0.408786689602215,0.0287348372949241,0.202002244969356,0.130866723445447,0.101557064893729,-0.515514721075594,-0.101557064893729,-0.263418475617799,0.0246366401483962,-0.0459543398176884,-0.125026912704363,1.89675334096961,-0.292922481121158,0.07468230871933
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273862973208976,,,,-0.273862973208976
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,-0.0260879357657576,2.24869598934898,-0.226473575222505,0,0.0233152070434186,0.559182972469209,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,0.226179448068772,-0.924459172489902,1.5830069693515,-0.545351806493709,0.317116826084544,,0.53139683415812,0,0,-1.63839810448846,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,0.0249868224227505,-0.131168958889217,-0.079819946387518,0.262646348972123,-0.495032965713821,0.0667582528579933,0.459838992833326,,-0.288761611966678,-1.83355844721875,0.906462967779378,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",-0.0833945952802038,0.104662758385661,-0.0148474088816165,0.0740149078648705,-0.234134252513943,0.0299185899231933,0.113099620855875,-0.0647353581917339,-0.0375122926946788,0.131282766565256,-0.150788585420028,0.167812942300884,-0.00238463917302361,0.11254663815748,-0.12744461575685,0.105581209353326,-0.0183471606113477,0.00238463917302393,3.2218880905323,-0.0855102325713709,0.0177199971300045,-0.192116124393814,0.166506806174827,-0.0929600092819748,0.322364511090951,-0.00567867202512237,0.00201006303616701,-0.321838344832922,0.365816338017343,0.0598508560931959,0.0631348746611144,0.1921989643905,0.0171605996991863,-0.102146583789748,0.0562318151614627,-0.091173886711623
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.111473981555593,0.180931292554548,,0.101435036145478,-0.184081112079635,-0.0660756303714171,,,,,-0.153869773145422,0.153869773145422,0,0.0309647846203612,-0.105679851614478,,,0,0.523422363396595,-0.0785758109849116,-0.285721385025275,0.285721385025275,0,,0.113248115891637,-0.0434735141663674,-0.01056338690932,0.124107990814835,0.132380069246386,-0.207078365720566,-0.107555430522422,0.072285654588102,2.31823812340308,0.0546161110706983,0.0787409684135221,-0.00182068685127486
"1,4-alpha-glucan-branching enzyme",-0.144712458029318,0.156911971919142,-0.0956417360469148,0.0697986298144495,-0.181346590504187,0.129798893084064,-0.232838602178981,0.145001865436048,-0.240050005210923,0.136921637991048,-0.192862410487509,0.176724165599982,-0.00056792133343716,0.102063395282471,-0.0646949063998294,-0.0423625598959125,-0.0594220053792123,0.140337936896528,-0.303279679023678,0.15720961696034,0.00436060834844855,0.0292080076764672,0.000142575131759651,0.239189738452354,-0.0945036795543806,0.0471992757757564,-0.0303675665936816,0.098187832535828,-0.0967095424554415,0.0672575083697168,-0.225063728811163,0.440655474761207,-0.292151397276311,0.454392905060989,-0.217580706328047,0.162049538598716
"10 kDa heat shock protein, mitochondrial",-0.0211874199649065,0.0517221947975488,-0.028657618629925,0.0759939385812164,-0.0346156061475164,0.0272901732383461,-0.0390569481627048,-0.0133872105316271,0.014525504006301,0.018794712816091,-0.000390600809193068,0.0100055793096627,0.0586811485751741,-0.0959362626474031,0.150529431494981,-0.130298430989907,0.111633513123185,0.0112778854022324,-0.123546841237379,0.0672491833061209,-0.0766997266620013,0.00657070683880201,-0.00236830708583688,0.16848851688184,0.160609912647402,-0.0909895710371907,0.0939800472206074,-0.10981556709027,0.102913728268976,-0.117955761574273,0.0889780168643162,0.0992400986936927,-0.104468493914464,-0.0140875332039934,-0.113341504587041,0.0161910761464484
116 kDa U5 small nuclear ribonucleoprotein component,0.047769009102648,0.00744430967115767,-0.00118355662083186,-0.0614478879421188,0.051917999483833,-0.0824229286719936,-0.0377587688982654,-0.0177988257457132,0.0665169212010338,-0.00222115834518883,0.0323649671798131,0.0240709020671732,-0.0366845480578915,0.0600332152068188,-0.0354074816305043,0.068536299310586,-0.044192645513868,0.0170930175504533,-0.0650736576061002,-0.0352861416828609,0.0264115023593695,-0.066800540015582,0.0225659787156849,0.168412600022418,0.0412277286468751,-0.0268712741000465,-0.0156482843591892,0.0503684358266766,-0.0612955884780223,0.0373181589746302,0.0191804439490966,0.0133506773944021,0.0370060268102924,0.243231859094991,0.0575005344408421,0.163547849004531
14 kDa phosphohistidine phosphatase,-0.0318170264008838,0.02913901635504,-0.173878186336605,0.274776228383536,-0.0371036847026313,0.032054833100153,0,-0.147895165380333,0.0638409098188387,-0.0364983688407952,,0.301263802050705,-0.0458622109696512,0.0954682820060136,0.0223990345178456,-0.00583151211149872,-0.0209235306355753,0.00583151211149788,-0.0639076437724833,0.212135693734646,-0.135312683545391,0.180896588881511,-0.381380857908901,0.368094958834569,0.0814403868158363,-0.140063881856072,-0.303813155213788,0.299164063960623,-0.183426900244884,0.104711592575211,0.0173014891526205,-0.0626362417307357,0.0905708069330421,-0.28446757120594,0.0146019927786857,0.334735610207002
14-3-3 protein epsilon,0.134718791133948,-0.0402540684871342,0.00129515313456091,-0.0674643925978325,0.00388523603656832,0.0127592826335259,-0.0098151098369758,0.0698368819262663,0.0247745285391877,0.0251898852933725,-0.0278196970167154,-0.00158510740398052,-0.0268073386954967,0.0220901748269234,-0.0476737986613369,0.0165395698590085,-0.0286847571906078,0.120668034272068,0.0594891927418858,-0.0753866564253799,0.55941818020815,0.405490909824302,0.0353779453066194,0.0220435311239136,-0.00327878725251848,0.0481751578311326,-0.0482032026191084,0.0291999524765981,-0.0847619352928467,0.46273514218198,0.17690671717503,0.0115864042586698,-0.057238806501419,0.113788801832048,0.252629735992583,-0.0079257509287895
14-3-3 protein eta,0.0494836312162916,-0.177379469196488,0.110259054417978,-0.0741366504166455,0.0928517780729671,-0.00158931355221737,0.056685405840569,-0.0436379306045835,0.0576809106102107,-0.107469980663554,0.0504043294971732,-0.0125671011121616,-0.062212546773848,0.0140240370935566,0.00410435774107618,0.0304110532464464,-0.0265168305615706,0.0964698254619561,0.0368086830498919,-0.217987907972974,-0.0399225396302475,0.290167062627517,0.0614009720575906,-0.00848937541764555,-0.0262280811853053,0.00542106200537821,-0.00307417489859718,0.0163146139080394,0.0154543327426874,0.188550092454912,0.0200808202641273,-0.119087794604629,0.0860240261885523,-0.136893796316565,0.116096425757854,-0.0806692319804291
14-3-3 protein sigma,0.100920791881195,-0.0539003042131769,-0.0236504132462319,0.0236504132462326,0.0454104911055168,-0.0380378998486455,0.0312607500133639,-0.00554430130966743,-0.0363033080941975,0.00554430130966752,0.0416381247781289,-0.00983903615422848,,-0.0219768594624341,0,0.0381783496427525,-0.0110434544710225,0.0380312530308507,0.0285081368806264,-0.0262788482941222,-0.051526785015751,0.0248368269434013,-0.0248368269434009,0.240721174733515,-0.08291138869403,-0.0327166093396398,0.0327166093396408,0.336205565077719,0.183830259865485,-0.209041522929587,,,,,,
14-3-3 protein theta,-0.0469681547557012,0.077491139797753,-0.0921766043141513,0.0615796042306245,-0.0618327521920895,0.0887983405934439,0.0235262606976607,0.00616509257394022,0.094604218154566,-0.0231109383231105,-0.00479551195772326,-0.0554840472391421,-0.0843749399779162,-0.00137938708508045,0.016040032217949,-0.0623524945199602,0.0418137441661157,0.072077941580646,-0.0655002357823879,0.0482792699089083,-0.128806225607345,0.0297163164387926,-0.126002238167229,0.0319313026380418,-0.0389264867337808,-0.0631014569554628,0.058836779063242,0.193464833808005,0.0469896589930957,0.0134660172176528,0.0466099352517783,-0.0569792026487811,0.0444967945420616,-0.0102644763680102,0.0509280117248705,-0.156457441104455
14-3-3 protein zeta/delta,0.0313950097506913,0.0526624562857457,-0.100444554616588,0.0646642461636388,-0.0459189752206263,0.0353632080766281,0.0580996301211545,-0.0468431556976274,0.0703756326465629,-0.0336403411312809,0.0289591737850593,-0.112803837341403,-0.049501092993176,0.0299080069327054,-0.0197703233692402,-0.0293120693899295,-0.0240937869650187,0.117963664875841,0.0880966423502535,-0.00658264704603944,-0.113370849902257,0.0458243512198983,0.01855448560537,0.12939177934638,-0.0915349658740293,-0.0280902884614255,-0.0741586065274591,0.0861896330129367,0.06046598175594,0.0306393415996758,0.066361727780582,-0.100242984429714,0.0522117879813341,-0.0449823062102939,0.0290684719916691,-0.0716771925870618
15 kDa selenoprotein,0.120289996300034,0.0893133786296634,-0.0168373057649944,-0.0639685242370289,-0.0958798344355412,0.0168373057649943,-0.0794805833585497,0.103127599881266,-0.142347344256845,0.187326762101297,-0.159885430806117,0.00468573700734356,-0.0296947562110761,0.125104251843486,0.160145139323022,,0,-0.27620650267583,-0.00985021643384693,0.00548969600887476,0.386385209912477,0.01276556322785,-0.0127655632278496,-0.298181948162633,-0.148384087856121,1.19908057373283,0.996356304184052,0.0914067765158148,-0.265794100691022,-0.0845716913913244,-0.0905450027138775,0.080745853373541,-0.0709185874599327,0.0830234168618573,-0.181314734605382,0.0595339442125907
182 kDa tankyrase-1-binding protein,,,,,,,,,,,,,,0.0466395040293559,,-0.0466395040293564,0.352893753664468,-0.0591702233802591,0.664289037714413,-2.96954380339892,0.57870758548137,0,0.461079081875788,-2.83441943830428,0.176368522550358,0.201860685041709,0.248979572724149,1.87109520823648,0.0902310032576433,2.14911271475778,-0.00294730777235576,0.108602993062204,-0.0151326986532626,-0.0606332197660804,-0.36379434002821,0.0524869164147104
2-5-oligoadenylate synthase 1,0.0271609895038011,0.038943256235964,-0.172801935969771,0.0407110239331798,-0.195315949201364,0.102918853991864,0.0118573066314982,0.0364668505472611,-0.0342839950102611,0.0627065112297959,-0.224517172643375,0.0426815607371732,0.0323312911138444,,-0.0297352027726228,,0,,0.142989647303963,-0.00796147986695805,-0.266785271830813,-1.72336486641297,0.187032483331882,0.251503164952106,0.269025032770096,-0.400194301830027,0.154303711137589,-0.385519174668192,0.0490522422547337,-0.195925989930607,-0.31569392262858,0.286597821819945,-0.160659128405943,-0.163646958903853,0.39302144938032,0.571590845764731
2-5-oligoadenylate synthase 2,0.0586660847758451,-0.0853210184298222,0.13195267522603,-0.0751673489658718,0.0474339641467659,-0.166335186463968,0.103513611869956,-0.176606750861273,0.141449892820661,-0.216430869346761,0.106672574446477,-0.234055757489542,-0.349108825781397,0.123651997074956,-0.375124432568949,0.119562840003535,-0.311686768739346,0.128099291199391,-0.0363380205654373,-0.0308498335776914,0.0215833024690255,-0.0696417598548036,0.168105911466866,-0.034645439932925,-0.242372795910005,0.19666311433921,-0.267221788309294,0.240155795861738,-0.208369413438232,0.325214884872326,0.284014129687574,-0.240624729659146,0.246718061392912,-0.298863498762859,0.270160004773182,-0.266120298273658
2-5-oligoadenylate synthase 3,0.0397223571234362,0.0179054613149268,0.00163064443408191,-0.0379398148090034,0.0483218645910727,0.0268208978018973,0.111216348134172,-0.107837357507883,0.0620246641653602,-0.164433235558375,0.157580165912399,-0.0630482933826018,-0.121513074890821,0.142932874238928,-0.187271609328892,0.184089950094116,-0.174669274026449,0.12181142718301,0.0431100701312594,0.0519234811531059,0.0393810381167372,-0.141490776745274,0.043948708024269,0.0047473850073968,-0.317510151837575,0.317100298789914,-0.287134069612421,0.331631754652362,-0.243582049608726,0.139824652009814,0.241980781087301,-0.238105238994908,0.168810329145979,-0.144067995877722,0.321741608099099,-0.166290075128318
2-5-oligoadenylate synthase-like protein,0.0850562802782386,,0,,-0.0850562802782386,,,,,,,,,,,,,,-0.0870349992330559,0.134462461998798,-0.0686014078718894,-0.374504035065711,0.11044297326581,0.029036864364775,-0.28617611731708,0.159214727831116,0.387889079266557,-0.0949388886220758,0,0.121677230028742,-0.268611678936699,-0.329410726222677,-0.46053709598209,0.779963015772272,-0.0552202400824306,0.258852059102267
2-5A-dependent ribonuclease,,,,,,,,,,,,,,,,,,,,,,,,,,0.0977165805423756,,,0,-0.321777142242571,2.64783946274756,-0.0386013224193036,3.18710756485517,0.359647223824194,2.96434887355506,-0.542820957169439
