protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
[Protein ADP-ribosylarginine] hydrolase,,,,,,,0.0427538388555167,-0.151093475538354,0.192046589199761,-0.526883292171799,-0.224654525886223,-0.346592901179357,,,,,,,-0.337677062641676,-0.0150285795904588,-0.219765743662986,-0.00191594409412272,-0.406693281429282,0.0242077730596759,0.538979270211889,0.14539738541561,-0.307302244683313,0.803488200525697,0.666012192723076,0.709233567704593,-0.077089442008694,-0.497639343401475,0.0712110538423301,-0.218366076804721,0.111617362849732,-0.52756772045892
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,,,,,,,,,,,,,,,,-0.520716431121172,-0.201800154432519,-0.49120074353075,-0.112484110807098,,0.314284265239617,-0.0862879234011476,-0.784644083844628,0.0888929515565624,-0.233375311845238,0.0121241546070114,-0.394272847757442,0.114354385144258,-0.486223417035795,0.360022263245887,-0.14296870393543,-0.240162698041588,-0.418577593937894
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",,,,,,,-0.337985949715001,0.194406798954668,-0.0830544181130621,0.172179307244503,0.421040367828063,,,,,,,,,,,,,,0.0282872277461493,-0.050093938749396,0.0803342549603039,0.136682686554507,-0.101726281724615,-0.220862159038606,-0.00518216807865353,0.539893230172423,0.00618781963580626,0.349425029890203,0.0852279075924754,0.297274387674768
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.544256183515982,0.109452794253526,0.412888917320497,-0.0836768912960572,0.606289994573129,-0.00905920677999585,0.0104155080322985,0.283623516515267,-0.0159840618817615,,0.00556855384946292,0.0787326333683066,0.128960337374545,-0.271734421563295,-0.123698103259362,,-0.00526223411518329,,0.631239923617882,0.0540950231128572,0.543454507207696,-0.00707305119001941,0.619977874926076,-0.0388591382243328,0.0357121814662427,-0.444310483170348,-0.112831010071726,-0.461434167353847,0.0986116633344919,-0.536763787726671,-0.0124698142257991,0.197371571014402,0.00716376000375526,0.238896835259859,0.0601004072637883,0.203432952492879
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,,,,,,,,,,,,,,,,,,,-1.18319495291064,0.525838421363616,0.573751124006184,-1.09398997079177,0.428545560532635,0.56815154942815,0.134668163312904,0.0635326417889955,0.0342229832372769,-0.582848802732045,-0.168891146550181,-0.330752557274251,0.174825700907773,0.293700735039213,-0.0565196965380678,1.74241241305207,-0.10208272657672,0.353696504038113
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.463414562615971,,0.384619758481443,0.140248688750622,-0.848034321097414,0.131555548296315,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,0.150786298712514,-1.20999352282722,-0.096284154818165,,-0.0545021438943496,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,0.373473250170399,0.111135332391965,-0.120744575737761,0.712766267448004,-0.252728674432639,0.648327451821607,0.491682121922875,,-1.09599076710913,-2.13571276981188,0.604308645186252,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",-0.243913919027007,0.0351306729944195,-0.0994506753144351,0.00448282247362861,-0.303666337905185,-0.0396134954680485,0.186770822946655,-0.0812486846009962,-0.0317165467942265,0.149891344795996,-0.137222930610726,0.052934867407441,0.0335674800431086,0.0881509476187716,-0.0511724386478929,0.141533328569458,0.0176049586047844,0.0383367583891562,0.330023478461193,-0.168732700555893,0.206860678988866,0.077286257005103,0.261340453991501,0.150098636283469,0.0683315945325737,-0.0538091863941661,-0.0667923962996742,-0.0921261726669247,0.0100161044154416,-0.0789963270610554,-0.0090905825427669,-0.103056762783206,0.0373791719077873,-0.222434890781703,0.0121639818502423,-0.145359208134268
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.307514975872594,0.11921620327454,,0.0392224099935439,-0.244957276240202,-0.144639570007855,,,,,,,,,,,,,,,,,,,0.0534172109822812,-0.123925040058176,-0.0900427754951036,0.0998012729484898,0.0514945206451978,-0.324219622353667,,,,,,
