protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,19.5788263963784,,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,14.5449315470149,22.0139935906491,38.5272779520137,23.1626918593327,0.566729822066713,12.8047950835639,30.2011660508162,27.8425892746982,26.8424418235529,25.2518255089946,34.0918497231336,29.8598848555264,9.79702638827063,11.6006858739931,14.5476271373625,12.1709935922342,13.685747918923,,32.6162848179748,32.1950796380788,28.0381085672855,33.4360383537835,24.5601808984518,27.6889553761542,36.0041702149878,37.2010140660785,35.024168740761,32.7942435640969,31.8330796404651,15.3038623499576,32.7923637689593,37.5225977727357,42.7731727529257,39.5597220954686,36.0062622134658,30.3212304024065
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",18.4306068236836,1.58133607138943,1.68980228672865,14.9938200760261,8.46539224411348,18.7409854162009,8.156783820146,6.61960231458759,12.9002002082353,14.2426353868337,9.77476325524638,9.58796823048743,1.03459140827804,3.96889717139613,2.90155064820571,0.534839611993897,-3.00462692442363,,34.2203120649521,18.4430907891977,26.1197054050151,29.7591529777828,37.474025468582,35.9285352267183,26.6603017759659,27.8553027468529,21.4144792448532,26.6375641379104,25.7797129687504,15.5574799623263,18.1138556471779,26.347287171782,33.7591873410899,28.1193360446454,23.9495751767465,19.9546089433397
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",20.9301092504005,0.00387451543218811,1.46036157250121,9.13079293034752,14.7934669008277,23.7173064199735,8.03192031885649,-2.00279135908064,22.2071905642853,21.96434798213,2.87839315258763,3.62882644693566,5.01733313736722,-10.6936727255533,6.2768918349117,10.6271481785606,8.62160945577828,6.36958025847965,24.5742883585521,9.44027979268324,14.7973405460245,13.1200933106379,25.0492307196369,18.6881981081631,27.9803830831072,39.7167479444804,34.8649065185952,34.1215192852527,32.4816548861605,29.7121337029687,33.859600908383,34.5349934196935,34.989262562816,35.8575990493018,33.4183722529196,28.5258996109346
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,-0.875161136290809,,,3.05781627866729,,,,,0.639363005270132,18.2668622449329,-2.5703468112115,,-2.8841587839869,-5.16325377845385,-4.41484558420661,3.5636775095993,19.7676602715046,5.46123992394456,3.86443805279344,5.72507345395996,6.56243153534407,20.4203755905915,22.8541671599056,9.72462899280641,2.90136112019675,2.60040171969265,3.40398362490394
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,24.978103025295,24.9855693675034,27.3554302675887,10.6269886769625,42.5775489232481,26.2166256054682,33.0187220576223,27.0406774873835,35.9480380191564,12.7482009956521,38.3364462451243,7.59347987077049,2.78746599256956,,11.8664128206638,6.56172780121617,24.5138223166767,7.00229731927385,22.878300542646,36.8241291881352,30.14099838751,20.9566536501241,12.9956779721621,45.4022014561592,48.3842665048905,51.9677673716391,22.3952457892046,40.9599734116193,35.4195732324741,26.8346144679143,17.73011807956,36.9618582479754,40.2852417223513,34.9410089598114,28.0482771671996,27.1250218138018
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,14.4205321137842,-3.69462156316718,12.6681042124941,15.6257867279417,27.4785925956462,3.52643435628716,6.10217818541915,5.3931458498802,5.68602318848872,4.60976356966732,3.91200078153425,3.45032121441133,4.36682344983614,4.33338962332143,2.705860987512,2.28984538120067,4.24294108008252,5.70378534224996,26.3138672087836,27.8450759526459,2.6743842816314,26.7333587459522,31.3192324794597,29.0456621033554,7.44563900340895,11.2190603929242,11.6039913241234,9.4481163513005,6.57853065322965,6.17103912482475,24.9437712960841,29.2107128784231,36.1283923711744,24.8802791654076,29.3196495142809,19.7703752208537
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,2.64137403820474,,2.11963238946154,,5.66221212651063,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,1.43145789077039,1.92097535840074,4.40867711420635,2.4170084586143,3.98288612584467,5.21955587137538,-2.43739067994748,0.0383335017626017,,,-3.46177045733408,-1.73836396268394,-2.16596743856489,,-0.348429371252882,,,,12.378029636261,11.3560261746086,23.2396449306268,14.9610160266813,13.3853883186057,15.5299447192516,-4.94800273315122,-4.02590824406034,-2.87229661806563,-4.26371457360721,-4.27921626377947,-2.51740159627725
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9488372480729,3.69489404109098,2.86504797135577,1.93854032205487
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,0.544594371270694,15.3524238518651,11.388911920505,12.5729133949473,13.1397767607267,,-9.82804678820717,5.74850653578597,11.8329716313872,0.610472003783356,11.5791157431322,0.979977339236791,,,3.50057755879244,,,2.46699888335488
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,15.4671502913147,-0.029148278195978,1.64432700579744,21.7819749208985,5.59301116437979,,17.7196887024871,,,,-3.52615639015148,,,,,,,,7.78228158550064,-1.2253939392218,-0.0839789204943828,-1.88286766865369,-3.88883142805322,3.5226193678096,,,,,,4.1108304437126
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",26.0471413311869,31.2616714598204,34.4602995552016,2.84229939256781,17.930165860555,18.9800975425753,22.387237773505,24.889902572599,17.3332731558349,26.5179671141849,27.1931898439907,11.7890794912892,28.3626134984213,4.27541369928201,25.1354851638222,27.1840842320101,30.0926585304207,31.638741209605,35.6384455346862,35.687602765271,32.8596088475045,32.4886972527608,41.541729800535,37.959732632808,37.986899564474,43.518594505861,38.6955261560391,34.1128051286974,30.0881991744189,23.1331565509397,36.0877996090617,37.7588662868309,37.6935733518876,35.9572332562715,33.0747966156862,28.5349827100443
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.693261895456537,5.64638890464665,6.51043945643739,18.3966025238896,27.8201643696537,30.2069182711666,13.5187841090632,7.71769212437945,10.5357297578331,12.5316862699168,3.46018229597344,6.24432973537346,23.3498120075608,22.1068740122155,18.603801490821,0.693337400725546,5.45561478628605,10.6322724962461,30.90294001268,34.178847284989,15.3261612256142,21.1732705692111,21.9865597521321,9.35653780174843,37.1486167431456,29.2842902801635,27.0027118755335,27.0424544471974,21.3358422820709,20.66780197345,24.0673845259646,30.9787146194555,25.5963324476883,16.9713592059209,24.3017726067995,16.9167563980827
"1,4-alpha-glucan-branching enzyme",34.2893930641971,26.734504876382,35.472310782477,35.7176798954204,31.2704678909771,35.473217632584,31.4650126381386,38.6562935518639,17.5613921421962,28.0500706285037,32.8459113367026,34.1387975031422,32.3139982022742,33.9123865624653,8.38872512496015,12.7256860183878,34.3387111737169,10.0410499829167,32.604787813401,34.0478533758038,29.2372433005554,39.4751902116971,38.0399750235573,40.4639630033541,46.5416932536275,45.4159548767314,39.1910777115227,37.0797959703522,47.3155705529221,46.4503851723863,40.9037764143982,42.886322793959,47.9183311853617,46.5118933329823,42.7318713321079,41.9196330913786
"10 kDa heat shock protein, mitochondrial",41.7706468656109,41.1201648703757,41.6233945029923,42.2791308104513,40.6975045878221,41.2577023170471,43.1850954004806,43.377390841319,44.4896970913283,44.0596860850738,44.1401884839341,43.811313748037,44.1670335716528,43.4540242085998,43.2055255604487,41.7402781546664,41.4362440309188,41.8571207088447,43.9746461117968,44.1550443931922,44.0887278710222,43.2050636504792,43.3346712259258,43.2321755487829,57.7409798276006,47.7952149969168,42.5925820083985,41.4958105739649,40.5985601351204,42.0744985842696,51.2959179816919,49.190697944253,46.9901703928056,45.9792611862031,45.9485781539856,45.1700529018248
116 kDa U5 small nuclear ribonucleoprotein component,35.3737932985543,41.0593017439932,48.5367731335379,38.4873237415509,39.8632986144446,41.7908547115079,36.2471509239987,36.0565111982723,40.6735948237745,37.0892666140971,36.6817760926497,36.0590695679733,35.8481463348627,35.3095550606479,35.3455731379322,34.9064264672928,30.4121722010248,33.6539174352817,42.0605427882417,44.7736709161931,40.6235330104616,48.6081768461022,51.1676756199646,44.1998157078068,47.7781125050369,51.0192847433285,43.9546530894533,42.0841066619344,47.3947426036476,40.856496503893,36.7087538601881,41.8982753672175,45.30693570055,38.8999520225313,37.1346453789006,40.1787641703437
14 kDa phosphohistidine phosphatase,34.278684908125,36.5388611129138,38.6543125003888,39.8486701183621,39.7684782720302,39.312352036066,39.1001220284372,39.0807097289578,41.2181800820856,39.9248531237579,18.4312148296688,3.78475487913741,37.4422616213732,35.6760884902104,,35.8309102066178,36.6770515115344,37.6275748533583,39.6767787241714,39.988460177365,10.3939240987855,41.5390337800065,42.5443900265754,42.1475852960765,43.6775186475366,38.5122091682673,35.6629020210529,36.7056010294246,34.0305116114531,35.1073132297497,37.811040222784,-0.89256382321798,32.7499165454123,33.6105871128635,35.2749767736646,36.0196405953604
14-3-3 protein epsilon,41.9112339175311,46.1056861377743,46.7708756423102,45.083794343241,37.7738868241033,38.0913831078408,36.9057089939608,35.278723613272,33.887111924305,40.4292057550976,37.4559147129485,39.0939908183516,41.1965972791843,41.4433407762065,38.3627077940265,40.242400035835,35.6045664779049,21.5769021045532,41.3402853817167,41.2349575524194,42.8816251391644,45.1531967375102,50.8573332780168,46.2954767407153,54.2056761859559,58.7663163571204,53.7585873855673,44.4509321904224,39.5790010318133,41.3758207013708,56.8091258640035,57.2914255142333,56.7206775560403,47.8059515031347,42.8650365275986,41.638272045645
14-3-3 protein eta,36.9452041207033,36.7968403818649,37.5427583265027,37.8776901007232,41.7900318583578,43.4206712349791,36.5182295649302,36.3828651273029,37.402056032066,36.3910223495903,36.9680046668203,39.637387057251,42.2877747719701,43.4541192150325,38.7790536563278,38.0149358459177,36.2360049094434,37.5497918154891,39.2116320049031,38.4791442393437,37.6323790921864,39.0145825572415,43.4846705315117,42.857328700879,39.5810791736152,41.9139085964197,38.2487589400321,37.406597452191,37.2020365361185,37.7782468580567,41.0263177398564,41.1232077240334,40.808016810089,40.1774637296721,40.7627719031286,39.873278174385
14-3-3 protein sigma,,,40.658570324458,,34.5698374880415,31.8760936065647,,39.3159542408598,32.9430516464241,,41.5693199658508,40.2424967110886,,,,,,,28.1721182585227,27.6628458950852,20.1652563772785,,,10.5316437567381,,,,,,,22.186950274915,,9.16473789798631,,13.3433497644538,14.2892568719429
14-3-3 protein theta,37.843558473471,40.5338278405187,39.7265179398709,41.6494501300536,40.7374482649235,51.2302893362703,44.3895355294761,44.5910904464848,44.5547893944484,44.0506983423215,40.7433594875252,42.985179325998,44.6542888965822,35.5405982070736,10.1788723259948,35.2266391658121,22.0854776327056,35.1733676918491,40.5654261929026,40.4068779270279,37.4114652482184,37.6504834629078,40.5776916332509,39.8733662642311,39.4933664692534,41.1413935408724,40.4313871077887,37.3910826467016,37.0616118427591,39.68109049425,46.3802249997187,49.0545590545035,47.2917790704727,44.2952619503318,44.7844624122801,41.673310992674
14-3-3 protein zeta/delta,45.9346930960021,39.4193565521998,47.1699683179065,44.946489295492,47.6485824752206,47.7508898444055,29.1288788399626,44.1643142575543,40.5928338370053,39.3135133162801,40.4502086239974,26.7107992920716,42.6046554216647,43.817463534854,42.9072553334762,41.2207289039775,16.1843660605827,36.9578567401876,38.6641332834897,38.5776074938472,34.9345336069541,44.0247937534728,44.0766459196353,42.9244884888497,49.1338668259299,57.2553670003301,49.1906314151716,43.0177094115616,39.6420846529677,43.656740347913,61.3653272480299,63.948632368134,60.7315491960497,54.8689788769056,55.6248743307435,55.5559716014381
