protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,3.63424778169728,,3.81409477668031,,,,,,,,,,,,,,3.5394856480825,3.3463900873629,3.55113032133626,3.37447972400233,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,4.08530439994092,,4.55378829829308,4.28033914803157,,,4.12226445168915,3.96203940387375,4.36707898753368,3.78859431836786,3.92668786924041,3.53532499391525,,,,,,,3.64355599375315,4.04914587135465,3.42086260720001,3.94040695727755,3.80555950367101,4.05715587758921,3.8549679284601,4.0076772064505,3.79904239926546,4.43899696276363,4.12429270610795,4.2625984549437,3.92611741808783,3.46784085984337,4.00520120520191,3.61886284956955,3.88613891887112,3.48036749839698
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,4.56531941958578,,4.89496291686552,,,,,,,,,,,,,1.99404365540985,2.23607574230666,2.37351412906011,2.63257101201394,2.66089342963881,2.94645940340061,3.5871759898914,2.84170796748331,3.68168112320866,3.18860189664833,3.62470745276945,3.2256737046261,3.08096855824663,2.92553970369917,3.68450195728841,3.31223989246155,3.17811653207163,2.92078974420268
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",4.42692028705252,4.3843183269275,1.11708634062109,1.32117755323143,1.11708634062109,4.27661183399991,3.59031486841503,3.48237136342787,3.58369303832333,3.64444975863127,4.21943387068925,-0.152593293783109,2.12370809206156,4.80281322194597,4.70081287755708,2.29089454182116,2.12370809206156,4.81751038649657,3.35961556751577,1.51208206235601,3.25393962068144,3.2989444946186,2.53584373456718,4.15982791493473,3.7137374331886,3.17627864966568,3.85265664743975,3.4677915458761,3.86719966269908,3.76094796804643,2.61921517210357,4.03988427341759,1.84090430117125,3.67676466672986,2.77649385231043,3.73868509860729
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,4.20328292480875,0.129878579627756,3.42301213991071,,4.20491219873661,3.12127116297221,,1.9683032289376,,,,4.0830723277393,-0.82238402057037,0.651036783445272,0.638345937166712,0.392790756787254,3.27429809916623,0.374852228963882
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.95832260965895,4.64001830243833,5.05828187289789,4.44334217258684,5.01441530753676,4.65658899711539,4.6591791804306,4.87570226600944,4.56702258147567,4.75991529311677,4.50978914157568,4.88182120883093,4.6306141151234,4.2298819279206,4.62090440031221,4.3830768002889,4.76234282852305,2.05659922132804,5.0647570786514,4.69089943740557,5.03723869192517,4.52294431629863,5.1683911661328,4.4720106443002,3.90216291865055,4.1354772708462,4.14484190042487,4.28431780185092,4.35313181411332,4.2775541948519,4.46503123181007,4.86033599915193,4.34572972582313,4.98251802453345,4.80426415756015,4.97949781185796
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,3.21713599608952,,3.31797734844708,3.42177288621918,3.29221193943772,3.49072221677712,,,,,,,,,,,,,2.19826688061775,3.68105651015606,3.18810178057251,2.07420454465975,2.66262092528421,3.16039817913741,3.4375868254631,3.3462849210312,3.32708553793546,2.69261615266503,3.08512898430255,2.9673952203894,4.63434119491543,3.88053373628387,4.27763949493181,6.67673204714835,4.14415929337452,4.74064687301438
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124823865817171,,,,-0.384039778076617
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,2.2833526388961,4.49028270781171,2.21586740383296,2.18661160501893,1.58844775969045,2.2759252882897,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
