protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,3.07638523381385,,3.25623222879688,,,,,,,,,,,,,,2.0726026398553,1.8795070791357,2.08424731310906,1.90759671577513,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,4.7732477811814,,5.24173167953355,4.96828252927205,,,3.26984237887898,3.10961733106358,3.51465691472351,2.93617224555769,3.07426579643024,2.68290292110508,,,,,,,2.90332009433935,3.30890997194085,2.6806267077862,3.20017105786374,3.0653236042572,3.3169199781754,2.8903193365969,3.0430286145873,2.83439380740226,3.47434837090043,3.15964411424475,3.2979498630805,3.26190409879899,2.80362754055454,3.34098788591307,2.95464953028072,3.22192559958229,2.81615417910815
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,4.72707775797079,,5.05672125525054,,,,,,,,,,,,,1.38676270302649,1.6287947899233,1.76623317667675,2.02529005963058,2.05361247725545,2.33917845101725,2.22189635710843,1.47642833470034,2.31640149042569,1.82332226386536,2.25942781998648,1.86039407184313,1.86531631784325,1.70988746329579,2.46884971688503,2.09658765205817,1.96246429166825,1.7051375037993
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",5.53292557338295,5.18590187208723,,,,5.03439096720535,3.88196443846861,3.86087358029421,3.87397143937934,4.05651322179992,4.64135384329887,,,4.71643795763491,4.8063842458552,,,4.73671766895024,3.50664457700694,2.33033593026005,3.4287476966522,3.64748532201853,2.8994178822568,4.28206807051169,3.14661449321474,3.12168911084124,3.22333862033839,3.28268967960777,3.23137062769989,3.44459795646463,3.12164067601747,3.74428412960151,2.66216716834625,3.5299175498451,3.21448967707277,3.56647209262973
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,2.65920031317436,-1.41420403200663,1.87892952827632,,2.66082958710222,1.57718855133782,,1.71436082435738,,,,3.82912992315907,-0.855978457762322,0.61744234625332,0.60475149997476,0.359196319595302,3.24070366197427,0.341257791771929
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.82204155361517,4.44608018375015,4.88607494041563,4.32009047265062,4.85797424562897,4.45669528501667,4.5035877159648,4.7428979483928,4.43277764793503,4.65393108632901,4.38880137473426,4.7475995407082,5.08195502403959,5.12230871027102,5.06209286222221,5.43568365523513,5.35141886231066,,4.88483598391854,4.47182221866094,4.8675923268206,4.36657765817763,4.9497754982137,4.33466144217929,4.49246900718385,4.35463515514796,4.64984626151141,4.45115819942199,4.7849222144462,4.44677200210455,4.35276535981641,4.70606726470726,4.29578536579149,4.76442303330044,4.51478753985841,4.76298053935387
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,2.75227164292356,,2.85311299528112,2.95690853305321,2.82734758627176,3.02585786361116,,,,,,,,,,,,,1.70128417981507,3.18407380935338,2.69111907976983,1.57722184385707,2.16563822448153,2.66341547833473,2.67039715018055,2.57909524574866,2.55989586265291,1.92542647738249,2.31793930902001,2.20020554510685,2.51030080564979,1.75649334701823,2.15359910566617,4.55269165788271,2.02011890410888,2.61660648374874
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155682902990915,,,,-0.353180740902874
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.492818424188971,2.69974849310458,0.425333189125833,0.396077390311808,-0.202086455016672,0.485391073582573,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,1.27040087735679,-0.410417009710957,1.56632855442158,-0.526804312585854,0.798841723481943,,3.028143251735,2.50685669303285,,0.829616164698949,,,,,,,
