protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.0899234974915131,,0.0899234974915131,,,,,,,,,,,,,,0.0825029620400835,-0.110592598679512,0.0941476352938433,-0.0825029620400835,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,-0.195034748090654,,0.273449150261501,0,,,0.177900815132073,0.0176757673166712,0.422715350976603,-0.155769318189216,-0.0176757673166712,-0.40903864264183,,,,,,,-0.229427236721125,0.176162640880377,-0.452120623274272,0.067423726803268,-0.067423726803268,0.184172647114932,-0.21101702781913,-0.0583077498287237,-0.266942557013767,0.373012006484406,0.0583077498287246,0.196613498664468,0.173616533867492,-0.284660024376967,0.252700320981571,-0.133638034650785,0.133638034650785,-0.272133385823356
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,-0.164821748639874,,0.164821748639874,,,,,,,,,,,,,-0.508998915127173,-0.266966828230368,-0.129528441476918,0.129528441476918,0.157850859101786,0.443416832863583,0.18075114263265,-0.564716879775441,0.275256275949911,-0.217822950610413,0.218282605510706,-0.18075114263265,-0.0485739869124968,-0.204002841459955,0.554959412129283,0.182697347302425,0.0485739869124968,-0.208752800956446
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",0.347023701295722,0,,,,-0.151510904881875,0,-0.0210908581744027,-0.00799299908926976,0.17454878333131,0.759389404830255,,,-0.0202797113153301,0.0696665769049547,,,0,0.0389484401773732,-1.13736020656953,-0.0389484401773732,0.179789185188961,-0.568278254572772,0.814371933682123,-0.0807401308044056,-0.105665513177899,-0.00401600368074684,0.0553350555886296,0.00401600368074684,0.217243332445492,-0.250562937441458,0.372080516142582,-0.710036445112678,0.157713936386164,-0.157713936386164,0.194268479170795
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,0.780270784898044,-3.29313356028295,0,,0.781900058825902,-0.3017409769385,,-1.05738454940085,,,,1.05738454940085,-1.33795236754735,0.135468436468289,0.122777590189729,-0.122777590189729,2.75872975218924,-0.140716118013102
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.182673134299248,-0.193288235565776,0.246706521099703,-0.319277946665299,0.218605826313045,-0.182673134299249,-0.0751716851821058,0.164138547245895,-0.145981753211873,0.0751716851821049,-0.189958026412647,0.168840139561295,-0.040353686231426,0,-0.0602158480488146,0.313374944964112,0.229110152039646,,0.21512871117777,-0.197885054079827,0.197885054079827,-0.303129614563138,0.280068225472929,-0.335045830561476,0.0206554038809319,-0.117178448154962,0.178032658208493,-0.0206554038809328,0.313108611143285,-0.0250416011983674,-0.25766204246642,0.0956398624244228,-0.314642036491341,0.153995631017605,-0.0956398624244237,0.152553137071033
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-0.100841352357556,,0,0.103795537772098,-0.0257654090093586,0.172744868330047,,,,,,,,,,,,,-0.713242671593055,0.769546957945246,0.276592228361699,-0.837305007551062,-0.2488886269266,0.2488886269266,0.231479564344092,0.140177659912196,0.120978276816453,-0.513491108453974,-0.120978276816453,-0.238712040729612,0.178350849991809,-0.57545660863975,-0.178350849991809,2.22074170222473,-0.311831051549097,0.28465652809076
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254431821946894,,,,-0.254431821946894
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.0374562928347677,2.24438636175038,-0.0300289422283697,-0.0592847410423953,-0.657448586370875,0.0300289422283702,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
