protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,,,,,,,-0.0164126511319287,-0.17663769894733,0.228401884712602,-0.350082784453218,-0.211989233580673,-0.603352108905832,,,,,,,-0.372013574987317,0.0335763026141844,-0.594706961540464,-0.0751626114629245,-0.210010065069461,0.0415863088487392,-0.071133082817739,0.0815761951726675,-0.127058612012376,0.512895951485797,0.198191694830116,0.336497443665859,-0.0130350959657908,-0.47131165421025,0.0660486911482887,-0.320289664484068,-0.0530135951824975,-0.458785015656638
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,,,,,,,,,,,,,,,,-0.610991730497217,-0.368959643600412,-0.231521256846962,0.0275356261068742,0.0558580437317415,0.341424017493539,-0.0440121987317719,-0.789480221139863,0.0504929345854883,-0.442586291974836,-0.006480735853716,-0.405514483997073,-0.233560457622258,-0.388989312169716,0.369972941419522,-0.00228912340733656,-0.136412483797264,-0.393739271666207
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",,,,,,,-0.250465468580329,-0.271556326754731,-0.258458467669598,-0.0759166852490187,0.508923936249927,,,,,,,,0.0866814694101867,-1.08962717733671,0.00878458905544033,0.227522214421775,-0.520545225339959,0.862104962914937,-0.0538267538696036,-0.078752136243097,0.0228973732540552,0.0822484325234316,0.0309293806155488,0.244156709380294,0.122208168871975,0.744851622456016,-0.337265338799244,0.530485042699598,0.215057169927269,0.567039585484228
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.85247069249123,-0.379049888475584,-0.391740734754144,-0.637295915133602,2.24421142724537,-0.655234442956974
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.414419573142689,0.0384582032776653,0.478452959943144,-0.0875315078218577,0.450352265156486,0.0490733045441916,0.0618654697534362,0.301175702181437,-0.00894459827633121,0.212208840117647,-0.052920871477105,0.305877294496837,-0.0832005588178948,-0.0428468725864688,-0.103062720635283,0.270528072377643,0.186263279453177,,0.493815544245917,0.0808017789883202,0.476571887147975,-0.024442781494991,0.558755058541077,-0.0563589974933283,-0.149943487196638,-0.287777339232532,0.00743376713092303,-0.191254294958503,0.142509720065715,-0.195640492275937,-0.0350140620056916,0.318287842885151,-0.0919940560306127,0.376643611478332,0.127008118036304,0.375201117531761
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,,,,,,,,,,,,,,,,,,,-0.773619530699983,0.709170098838318,0.216215369254771,-0.89768186665799,-0.309265486033528,0.188511767819672,0.154319709562728,0.0630178051308326,0.043818422035089,-0.590650963235338,-0.198138131597817,-0.315871895510976,0.282294533841507,-0.471512924790051,-0.0744071661421097,2.32468538607443,-0.207887367699398,0.388600211940459
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.254130038089593,2.4610601070052,0.186644803026456,0.15738900421243,-0.440774841116049,0.246702687483196,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
