protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,2.99347541421765,,2.99334277590471,,,,,,,,,,,,,,2.99426175094389,2.77247623976384,2.99232841916621,2.79705764256096,,,,,,,,
[Protein ADP-ribosylarginine] hydrolase,1.31562415532486,,1.76323167039972,1.48746505856924,,,1.32678999287924,1.16923410442993,1.55800785776488,1.00225037485778,1.15526452354936,0.742023048396272,,,,,,,1.21332726235368,1.61787339829726,0.992082003195466,1.58890193961298,1.35428997731007,1.67529689919026,1.34848795057564,1.48314691044255,1.27820667277518,1.90669851682544,1.62308466681009,1.72600865715884,1.40877468832549,0.96357649741603,1.49048617245288,1.09316133395934,1.36461894925359,0.955714343187248
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",,,,-7.54538213785587,,-7.28742567071679,,,,,,,,,,,,,-8.38807979367815,-8.09334939932707,-8.02616694586324,-7.12461282139056,-7.78930092462328,-7.002758993043,-7.43085510947953,-8.20406666650455,-7.40640772367376,-7.87607323933733,-7.38701274703686,-7.87661835786233,-7.64117049148733,-7.73616057947286,-7.03322442253037,-7.44703741245116,-7.55720554703009,-7.83257894706502
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-0.522523353425415,-0.908468866720482,,,,-1.0446140008638,-0.767068714412114,-0.810154200717338,-0.768622847263427,-0.591115866268416,1.08150306736832e-05,,,-1.76336906437585,-1.64730247103802,,,-1.72098078951001,-0.608037340501363,-1.83765772252635,-0.734176242148938,-0.526355879043071,-1.28761251082294,0.0902997098919593,-1.4304651153197,-1.48973977210648,-1.37529123222695,-1.34263642334715,-1.31584273284595,-1.16966787090305,-0.859749857280624,-0.248180630342796,-1.31402217414722,-0.494237085539819,-0.780920019488122,-0.440464772286339
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",,,,,,,,,,,,,,,,,,,2.2772278450075,-0.866363024975089,2.52558461403965,,1.74340140796426,-0.676065301261239,,0.701825096827776,,,,1.70553693398873,-2.67454202900922,-1.21644585522942,-1.25489170800258,-1.44344128853436,1.5342274920273,-1.52531561173554
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.02734124352166,3.6504766444525,4.09031313483181,3.52697007247475,4.06157936141463,3.67981118812045,3.37878667925268,3.61125812794068,3.31862862569697,3.53220036277278,3.25040790354929,3.61370297865756,3.14069498094894,3.16497194620951,3.11441924405458,3.48546539091627,3.40726884071071,,4.05028479842121,3.62070728395924,3.99634264706535,3.45861989349423,4.0776784316733,3.43602764821066,3.20484510277952,3.06322868939297,3.35364774422589,3.14779460382181,3.51928348640224,3.15858081094315,3.30987847986884,3.65011024675385,3.25566611275578,3.69858357835271,3.46667087099212,3.71582569080463
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,5.23407636620202,,5.36571862343635,5.44209353950223,5.26926104197675,5.5181002505918,,,,,,,,,,,,,4.56625069292984,6.23478715413254,5.68069434505165,4.82812683304349,5.10555287536153,5.83780162590448,5.708508376873,5.58828590284521,5.63985148181997,4.91014598709812,5.32126278616168,5.17489616399456,5.85844521660169,5.21767281248468,5.53318193231642,7.99668090848866,5.39872440868587,6.05375657111022
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-phosphatidylinositol 3-phosphate 5-kinase,,,,,,,,,,,,,,,,,,,,,,,,,0.478085597436154,1.71958891991421,0.550427709692388,1.10021380751177,0.523382083063389,2.02560254681778,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",,,,,,,,,,,,,,,,,,,,-1.33007793390758,-3.08038724562926,-0.959406113855578,-3.31205451083047,-2.00733134869347,,0.477874538033356,-1.39218793031273,,-1.4945835146774,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",,,,,,,3.93684972519935,3.5476832710428,3.45602605364228,4.13498975600332,3.18471762429847,4.06627289297562,4.05091199804638,,2.55197761538688,1.53657921938448,3.94227174049834,,,,,,,,,,,,,,,,,,,
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",-7.15684489585409,-7.31898773354177,,-7.46151930738243,-7.74911115903684,-7.63977716834151,,,,,-7.29856006616659,-7.03028427964375,-6.43076514385662,-6.46180441487769,-7.15321235308639,,,-7.8334207450759,-7.25737882431398,-7.39824055843086,-8.18383228469866,-7.52462048330857,-7.11493196007768,,-6.87117759888809,-7.07690399147683,-7.13640551130621,-7.04750440021587,-6.88362648920979,-7.24636205888188,-7.27294455360057,-6.99933472625571,-6.68742530910146,-7.19512951807516,-7.66740894710264,-7.08075907437118
"1,4-alpha-glucan-branching enzyme",3.4549217961777,3.76475679947516,3.61058537699898,3.73011548755561,3.45920649553226,3.85135116283051,3.8670901050063,4.23222298686825,3.74705466271296,4.19846818050713,3.72095509373504,4.24905001302081,3.80563355997222,3.85999992706444,3.7996323844331,3.80943579023283,3.64466895923607,3.92878160911385,3.32494956651556,3.82033913709491,3.48397686938499,3.77966961226673,3.52768307077294,3.87239046186224,3.69585134965721,3.86804734535113,3.78736041939577,3.83848523519665,3.68560762921783,3.95575844369433,3.86258879832701,4.20028966805994,3.59318532345431,4.2908778131807,3.90491421775053,4.1882619004653
14 kDa phosphohistidine phosphatase,-1.54100270866776,-1.50999893583481,-1.73325131048242,-1.43686863046602,-1.79038505052503,-1.72940752793099,-1.2496143029952,-1.43041221879726,-1.18397297416964,-1.27817799278605,,-0.937976135338689,-1.58267758155754,-1.48246552785255,-1.52159568296999,-1.53351181740438,-1.57519641642539,-1.58856954200731,-1.35512209816075,-1.54649150731909,-1.65436133630461,-1.42131579336419,-2.05997987547691,-1.44547052012348,-0.953856379850356,-2.75728462434598,-1.89365819536704,-1.0478963240423,-1.61394197302832,-0.994151146821689,-1.40149071312031,-1.43998345945639,-1.42416397632787,-1.21520874319091,-1.44842176349819,-0.948154262599247
14-3-3 protein eta,2.42365033619575,2.23923644567327,2.51339169622578,2.28668712830658,2.4679175787682,2.43256468941121,2.60419417152718,2.33379112387353,2.48735163552122,2.34340764890757,2.45700125929648,2.24502022866205,2.32347429689164,2.3251741894759,2.3810139037981,2.33397260289894,2.39148770808953,2.46182618203499,2.50107760822991,2.36535294511389,2.49424527818396,2.4239785377109,2.49680411500901,2.30427626774206,2.37516012787467,2.39830059713756,2.36435320171514,2.36726953686828,2.37127693769827,2.3596037851622,2.43818334427703,2.25491043664079,2.42785037186925,2.27556703808523,2.50120447509468,2.29562680341268
14-3-3 protein sigma,-3.10866877996316,-3.25741796266133,-3.26708345358907,-3.23785051977368,-3.22673865219378,-3.34998864290477,-3.47958016949127,-3.49752152352822,-3.59723303915078,-3.49356495604697,-3.37529514692652,-3.46309623152738,,-3.07236322394988,-3.12100916333218,-2.96611118989917,-3.17815708246192,-3.08332519899598,-3.51053100134823,-3.50220832546748,-3.51355430933134,-2.91428402873117,-3.55101482177663,-2.85309100986735,-3.21187764291515,-3.18107287843162,-3.20154113913497,-2.86210784232789,-3.00175774551345,-3.40587296881929,,,,,,
14-3-3 protein zeta/delta,6.53363396144734,6.57396718903748,6.4205756192178,6.61261962866294,6.54368928389066,6.64719589446866,6.8418742608738,6.74772946655413,6.78280337540909,6.78046988834647,6.75935438721445,6.74405852702396,6.55042011787214,6.54860232770004,6.53033928725632,6.56504222121609,6.48937881552938,6.58405700365884,6.53678627548069,6.69864892410694,6.48000715062662,6.61825000584252,6.55621234034189,6.65449011967856,6.52932084431156,6.57478625761646,6.44925546754955,6.59223311441829,6.45862005522463,6.67407637048026,6.78408458150599,6.63956709804783,6.80298893992751,6.62379966097821,6.80655565216188,6.62528381944744
15 kDa selenoprotein,1.21121729462896,1.20537542818278,1.0948671717726,1.06478030888014,1.0345823251667,1.15150872027345,1.36164020434229,1.48759555604419,1.23538645160335,1.59941331612337,1.13642402646827,1.42113804272181,1.07078730567646,1.18272054029094,1.24803487357789,,1.07935188507519,0.754521635241189,1.10555536010927,1.17036997191564,1.32853580681641,1.23553392505221,1.19733072344258,0.928266538539367,1.1883463889274,1.35385614923777,1.4192383629264,0.920084073464775,0.550889993892049,0.905997413786345,1.28165285944749,1.4278959477277,1.26926021622783,1.36195103423099,1.26776854307416,1.38553847250872
