protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,20.0368028107371,,-4.32488054980492,,,,,,,,,,,,,,15.9201243806955,15.490445942586,7.40100568584512,12.9335954672751,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-0.000303064650598983,,-1.19756663602147,-0.568931428092704,,,-0.751131327614274,-2.4736395898465,-0.431619235630578,-1.59643449146127,-1.8491569087049,0.196000015204288,,,,,,,-0.503896726808642,-1.99367187730025,-1.67833428875812,-2.15420241787127,-1.97837266838652,-0.507648888241867,0.827748555890773,-1.07519493927837,-2.11230709061468,0.430626013306531,-2.19256702027947,-0.777287156574207,-0.241449407474473,-2.00192529312651,-1.47153927708298,-0.937954558455711,-2.11332162529697,-0.6112288982251
"3-ketoacyl-CoA thiolase, mitochondrial",,,,40.2773078186514,,39.3267076690498,,,,,,,,,,,,,40.3483808211064,38.713932984928,39.1952450311754,38.5353561228278,39.0409004163842,40.208794867664,41.0682671333654,39.8722502991952,38.6830506722614,40.9430995092063,38.8758759557926,38.9512054230634,40.243126653228,39.1843510997743,39.5870217186342,39.4836586440013,39.3055086728796,40.3889219058977
Coatomer subunit gamma-2,28.9283094522998,29.1220342008489,,,,-4.84967271689224,-16.6980656994611,-11.6921872412784,-29.6473521007496,-12.553574512997,-21.8996128342556,,,-6.29967987673723,-13.2405925646187,,,-3.90840245593391,-0.983463402413021,-24.5108747738641,10.1046548670151,-16.0899538588634,-5.85285845460056,18.7748916694055,33.6939053858752,40.4290747865955,44.1907284736283,18.2363812823767,36.2426970635532,29.1211464408635,15.003245313952,-1.36000607968777,3.95633891203118,3.59733175102641,12.8496183795737,21.9849304923036
Coatomer subunit zeta-1,,,,,,,,,,,,,,,,,,,38.6576527261078,34.2363551062534,40.3664314694501,,37.3516020766192,43.1218430931806,,43.7533388442304,,,,46.6193936086979,45.3767579756254,45.3350934969847,42.6140465113127,45.0297862967888,43.4265325609458,42.6988817628029
Coatomer subunit zeta-2,1.62715474282621,4.46716653437794,-13.4710861069705,4.52217205063145,-4.45429658336049,-9.53364724421259,-8.39409408645478,-9.823031547506,-15.1381046368633,-8.54696613710161,-12.6697274110952,-7.83431029571958,0.521174297251473,-6.33689586303406,-7.3274478522428,-2.87873492024579,-8.23582956915776,,-2.23327657605133,-12.7774097721569,2.05941821134494,-7.26125653488524,-5.62650916182969,7.66943405080239,10.3737251085136,9.07056545902827,17.8429062458802,10.4119141876695,13.1243850157211,12.3176000721002,6.89951716695352,4.9171703988459,0.965730245780115,4.9041705875524,1.43884424288007,0.483427980938733
"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",38.9974657386811,,29.8771340438498,41.0551834708643,35.8231087855814,32.034176059873,,,,,,,,,,,,,35.6045006995044,29.4132743932598,37.9785074371909,32.7969718033472,33.6743855336093,41.6202277830951,42.2974804644309,42.9003174469003,48.7490331375591,43.308966243586,46.0132090728491,45.4597351586354,43.3536863156897,42.9328765213045,40.3311632627344,42.2106693733486,40.3785089407832,40.0777501108382
Cofilin-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9519122897674,,,,49.8504983085814
Cofilin-2,,,,,,,,,,,,,,,,,,,,,,,,,-52.8311282710871,-44.8587988772914,-77.8017376327507,-52.9658353929874,-59.0786364066068,-47.7054075388169,,,,,,
Cohesin subunit SA-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohesin subunit SA-2,,,,,,,,,,,,,,,,,,,,9.87789805219431,44.1369477076321,21.6975542361471,26.5104682456137,50.7493758217957,,55.0857443688479,63.8726442073062,,60.0408320247563,,,,,,,
Coiled-coil and C2 domain-containing protein 1A,,,,,,,30.0034668653638,34.7417044762928,26.2150355904745,53.7523890253698,53.1066964731231,17.6263442729515,9.61052158054039,,40.1013528712007,12.4932960998403,19.4732029281747,,,,,,,,,,,,,,,,,,,
Coiled-coil and C2 domain-containing protein 1B,9.42327679191796,7.33879041972279,25.4755709054479,7.02276136071012,16.9543948277408,18.728662819994,16.9051576204234,23.0579106410434,22.9833036269325,19.9685387507746,22.8623738608158,14.7312849103579,3.14359803795952,14.7127371705357,20.0237325750604,7.73921885059746,18.4678553335713,16.9270190655203,31.1820582994363,39.9629228248543,24.3630272543116,36.5330118750636,32.4166587823356,20.8550149006506,18.8429262371134,15.530115452514,7.7145380693435,15.5447145573313,10.8826152955663,12.5488390998371,17.2129297396678,23.3397232585638,27.6243890642579,20.3680363515409,27.8953411803995,30.5536181181178
"3-ketoacyl-CoA thiolase, peroxisomal",37.5763325831456,37.2843682439447,,38.0316077938204,37.2352524487462,37.4220689240197,,,,,36.8472370875247,38.7999012275277,37.5959153743269,36.2859522739798,38.614821060188,,,38.7236147324279,37.7450074555151,36.8132468675264,36.9010662822218,36.6397622373328,37.1636793551971,,38.8510108027332,37.3246939729425,36.4236706034368,38.4950730861675,37.0031331338764,36.9592718654516,38.1596228249643,36.8932409401423,37.1525171692322,37.7280235913148,37.1008587380971,38.3635568435579
Coiled-coil domain-containing protein 115,-3.85519048133264,-1.87119579904276,-11.9016593233505,-1.63359532195074,-7.92099711160029,-5.736850615139,-3.31846897177176,-2.78994031729398,-3.83696630151264,-3.23131201722965,-2.90275740276829,0.560103656724981,7.68040228561389,4.15165366375979,3.93145194405859,6.60769835752478,2.985207524482,5.85560610350619,6.51461925625963,-2.01387261527535,9.74185280109368,2.57942387189675,3.45608979879526,13.8266582456309,35.7178911778529,29.3394550635799,27.8898127821329,32.81934887802,29.0443034450029,24.230425911537,1.3467655360179,0.718185522898409,-2.23727674774338,0.484750288051272,-1.47931052686055,-3.76589329993681
Coiled-coil domain-containing protein 12,45.1548730899073,41.6844794538352,48.7127714844436,43.0365951429507,28.2569423375659,26.0726614361886,43.8216300340399,25.6619922546659,21.6159517141046,23.7541636961515,43.5601394944453,24.4064433165528,8.42352973641607,22.7317288276037,10.0464177024793,14.7712006839596,26.5093903501439,6.69587600659412,22.004121599339,34.9422976820991,23.019780865845,29.5411146735505,27.0832099451008,16.4489281379782,15.1911822137328,14.8139687981288,6.65557707796022,15.6547300568046,10.0514159903281,9.72426975882221,12.0198765857246,19.0266788877145,28.4832592411868,17.7950918560292,26.2187823029698,37.0472153342192
Coiled-coil domain-containing protein 124,38.7813180888492,40.9952064544187,30.6283702639755,40.7141946084235,35.6303831938755,32.3774767202409,32.7009924229056,31.5363797960411,28.0953855048533,32.2154945463578,30.057416657171,32.1341899322255,35.9327265356713,32.3629245935945,32.251076988181,34.2478050601707,31.7196766934838,34.37014039568,36.7640227348451,30.5666699827468,38.7370085020917,33.967825018972,34.3051766960853,41.7399113405064,42.7745646063344,42.2351365098978,47.9270270513947,43.3864323448698,45.126529959993,45.150284464537,43.0023206039947,42.4028370982359,39.9406025799739,42.2828908545884,40.6597813684137,39.9968597807192
Coiled-coil domain-containing protein 132,22.1699066021103,11.892250457897,41.808340383527,16.9919899572374,24.5903478602562,42.3533458037956,25.2696359216208,22.1567273806939,34.2269320931114,20.4426634050647,,19.1150970326476,9.64805456516124,22.9456223120888,26.5418271326646,19.9000724035166,25.527753715369,24.9004744270282,19.4353208592593,33.146012324941,9.63327080502399,24.5144823116971,21.724713412688,-2.73560820028659,4.74076361511886,5.75310982472508,-9.51408904971911,2.56022918903319,-1.09483548310704,1.31097346056388,11.7250783204831,7.38897862161775,12.1931010743797,11.0782108880382,12.5291077823488,17.7877892659875
Coiled-coil domain-containing protein 134,2.26509209579954,-16.0276612106493,47.1215374292204,-10.3430744150874,15.2542286614383,37.6556267518706,39.428293752803,38.6424671969958,65.5986851459573,33.0281080185664,57.3118886466683,30.7679259309751,5.1837572805082,41.5119798239861,45.8454119985376,27.9834198985747,49.4632861166709,39.2251847891621,29.7913194017738,63.0758100703133,9.86482079031946,44.761426997845,37.0250069164503,-16.6953018644578,-29.1427915229495,-25.1710053021061,-76.4206587671488,-19.8440027720954,-66.4589428130996,-50.9886325992348,-24.4635828120566,-25.1991590577044,-4.23648394983673,-19.1972511555555,-26.2878097510305,9.53950543053184
Coiled-coil domain-containing protein 137,6.18736170572325,2.09834908188145,5.17368566471182,4.81112203215676,2.90979499727801,4.01794362672974,3.67680772825549,4.62708042781726,4.23550907588882,2.71838115351373,5.28990577015815,-2.1158020381022,-6.19846564332773,3.42544086981502,24.5694234484773,-0.775932153896386,7.34702767574319,24.0544362353665,6.73007309437693,7.31873995725301,2.35335020425422,6.33380220500307,4.82387525895629,1.2385965048492,17.246251750923,15.5324681649275,10.8475938773133,15.4968543672065,14.4435935142597,16.8816404376829,4.29903837890775,0.706266942372814,-0.197793740982842,2.93281704329574,0.576739921958136,3.16881511635921
Coiled-coil domain-containing protein 22,23.2992066618053,31.3330857901761,-8.87796185918921,30.6809160211919,10.7262668807129,10.20821138971,16.9688956102478,24.3333577480581,15.9214284893139,23.219113588242,0.373428675492081,19.2314590108908,,22.4067928748737,3.3233358919583,58.0419671029776,22.6077212674252,15.7480537525729,39.3474294918446,12.4364668127743,50.7883530822256,24.0411079360955,31.5355700494381,61.523146577153,63.9445962384716,60.4622446350547,66.2619380443241,63.4918888434497,64.4261070939796,49.6319594932528,,,,,,
Coiled-coil domain-containing protein 25,23.1219270451149,30.0409855331609,22.192700539349,26.6840278920669,25.6460452124519,30.5958974337894,33.0588741303557,37.6872810011213,32.0897674965042,37.4062101542958,34.0305923768274,24.8527881748707,53.2592512048378,39.7168462610717,35.4074164715656,47.5001590576116,34.7004039705792,22.7477666322304,43.2131040047675,35.2884292026759,46.8670215500903,38.6064447209708,41.1934257673225,52.6340754369683,53.513564443165,48.1385171742707,49.7928993982659,51.4375724992072,48.3299291061701,41.2038307339341,34.847499423262,38.6528934397916,36.9532789213001,34.626307762494,36.3617618681868,31.8163870450442
Coiled-coil domain-containing protein 28B,1.62715474282621,4.46716653437794,-13.4710861069705,4.52217205063145,-4.45429658336049,-9.53364724421259,-8.39409408645478,-9.823031547506,-15.1381046368633,-8.54696613710161,-12.6697274110952,-7.83431029571958,0.521174297251473,-6.33689586303406,-7.3274478522428,-2.87873492024579,-8.23582956915776,-4.5874883611653,-2.23327657605133,-12.7774097721569,2.05941821134494,-7.26125653488524,-5.62650916182969,7.66943405080239,10.3737251085136,9.07056545902827,17.8429062458802,10.4119141876695,13.1243850157211,12.3176000721002,6.89951716695352,4.9171703988459,0.965730245780115,4.9041705875524,1.43884424288007,0.483427980938733
