protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.25299612408987,2.46550895168285,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.03990131381908,2.05878814083681,-1e+06,1.82966287536099,1.87924812491379,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,2.81450077334604,3.24497732192288,-1e+06,-1e+06,2.95944815826735,-1e+06,2.77435907376228,2.98582732993312,2.57810204424981,2.62156077714414,2.43242012782909,2.14309301992326,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.21681424166512,1.95467517406715,2.3293262391282,2.5711734635725,2.52755868546044,2.56515751394568,2.35538359420353,2.30670021877287,2.66331056671848,2.49094999445546,2.94376536368197,2.7456207821032,2.27584523808837,2.38956339777478,2.27350217252737,1.85442701472508,1.9698962836708,1.82289896967475
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,3.24442842980374,3.5770068255806,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.567301903304031,0.907326695909412,1.18466016507818,0.758103334506655,1.21972274017894,1.45446103973921,2.08759165561696,2.18933894269814,2.16372531336205,1.32498075547036,1.6933702975488,1.70869603176773,1.43069637822927,2.06886414984342,1.5654797857099,1.31212585856304,1.66327332654492,1.26332121546252
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",3.38514535661261,-1e+06,-1e+06,3.00685050341923,-1e+06,2.83945828576288,3.06083493548752,3.01949565672463,3.81954389325413,3.04717082851048,3.22711490620693,-1e+06,-1e+06,2.35998720380585,-1e+06,2.30901503442267,-1e+06,2.33764185237427,2.91347753028985,2.7961349688903,2.25675932308487,1.68593822784877,3.06821175557232,3.62364441223908,1.83620587378952,1.92017215467714,1.95956420314172,1.79413761367754,1.97663379535744,2.11679599845551,2.04921501619546,1.62437588109674,2.17969945090647,2.70871680466083,2.45879750412385,2.48685008408496
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.7765411727121,1.95682470676922,2.72867893418509,-1.34809382816304,-1e+06,1.62927279932002,-1e+06,-1e+06,-1e+06,0.45157601690883,-1e+06,2.56609465486512,-2.47265620057854,-0.977291870269114,1.66166135281378,-0.962377061681657,-1.25617580914665,-1.2826162997935
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,4.00411675099021,4.06022337598622,4.01279614803488,3.01546034917066,2.60305454467166,3.06792016158789,2.82616664611967,3.1027497990501,2.23525867980955,3.80371427244373,3.5220722168322,2.92879724595031,3.1857797982797,3.25625760822993,3.52118327829407,2.35191851052085,1.89946926856232,1.81192394180105,3.59700852406744,3.46965687058746,3.55811064135214,3.24125211857637,3.15123278793898,2.97735497076923,2.48703129799454,2.60804053623388,2.22005020153907,2.39612791517123,2.45064983382111,2.98759897431194,2.82832859913917,2.96086430247833,3.3413710106989,3.13144535374703,3.05745686931022,3.08901449072948
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,1.9463323694738,2.00916637205614,1.9733746872746,-1e+06,2.1008818964342,2.17276612548929,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.77152512850892,1.72191434741893,1.18638766072055,2.2030841023531,0.661356272821854,1.66839981547309,1.93800249118572,1.83474335742206,1.62414684489225,1.82955770901534,1.19738455356254,1.45041754752813,2.98406901489508,2.66200168748392,2.53152254700991,2.26711989114476,5.0277654812288,3.08317834427133
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.48858997933623,-1e+06,-2.04150830683402
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.783768304617464,0.723525223318279,0.127465620278852,2.97355549579458,0.691380005915161,0.758947615427189,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
