protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.87716457828184,2.08967740587482,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.22277042813133,1.24165725514907,-1e+06,1.01253198967325,1.06211723922605,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,2.336158829688,3.22806725079305,-1e+06,-1e+06,2.94253808713752,-1e+06,2.23380338676957,2.29915626019487,1.89143097451156,1.93310742461612,2.08370384600156,1.59197058585392,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.54101432490327,1.47963846166696,1.65838066708306,1.91287035409938,1.93541941173409,1.94233114878476,1.52404907603916,1.49216971399663,1.77804475214092,1.69899990105556,2.05600081415708,1.86121584539529,1.84457945401958,1.82411382716647,1.69665747678907,1.32194470970467,1.41301999023954,1.28117184882322
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,2.47384584498458,2.827207103624,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.5264421960769,0.866489914640981,1.09709252375868,0.651774532286834,1.17887428622638,1.39513982311411,1.20958770602111,1.31140685420721,1.28572136376619,0.610971127128398,0.871937176965201,0.840409194088091,0.974069012081097,1.44201431652969,0.967270671195076,0.692351722609717,1.04609219051466,0.699451604427034
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",3.52748730974576,-1e+06,-1e+06,3.06661577073245,-1e+06,2.98180023889602,2.03738938017582,1.99605010141292,2.75986443467264,2.03172702832976,2.38827176063893,-1e+06,-1e+06,2.45853843496948,-1e+06,2.4075662655863,-1e+06,2.4361930835379,2.00547184960965,1.8881292882101,1.63956643866194,0.986824017352163,2.16020607489212,2.33260512058853,1.56056628533815,1.58036426289946,1.61975631136404,1.45432972189986,1.63682590357976,1.8566620549443,1.22616974263423,1.00748362538202,1.46094847938891,1.99056183761011,1.74572746824288,1.65703414169052
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.71997906737992,0.900262601437031,1.6721168288529,-2.40465593349523,-1e+06,0.572710693987842,-1e+06,-1e+06,-1e+06,0.0923295083641293,-1e+06,2.20684814632042,-1.99128820878044,-0.496227305954006,2.14265044345418,-0.481086061247707,-0.953938653320425,-0.980379143967274
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.49187215720063,3.42117611496632,3.48053574745702,2.68128271498506,2.57284825701615,2.65619443466966,3.0976479829692,3.14477886180403,3.14282444328037,3.7030399454149,3.43061153227387,3.32510312616796,3.57972159775748,3.59569950337741,4.1274899651337,3.31325942025113,3.04827364712079,-1e+06,3.06458389205013,3.03784552958504,3.09917563691352,2.56967988732979,2.49882555681133,2.43605097759083,2.89912656182111,3.0183297440892,2.93309541983902,2.65274628583731,2.69634289873767,2.78863199547126,2.44549653850696,2.466692997903,2.62072567287972,2.80449680123,2.94106691754301,2.81416721644552
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,0.600251438969151,0.663072416711314,0.62728425776317,-1e+06,0.754787941089373,0.826672170144464,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.785664159284734,1.59711648440067,1.39009249253518,2.40678893416774,0.865061104636486,1.54360195245484,1.76303945146738,1.65978031770372,1.44918380517391,1.654594669297,1.0224215138442,1.27545450780979,1.77412054740936,1.4520532199982,1.32157407952418,0.793413784518674,3.55398249324522,1.60943843593179
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.0683401833631,-1e+06,-1.6212585108609
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.790600955212224,0.73035427715061,0.134271703131578,2.98035802921579,0.698232097716364,0.765742241934408,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.23463688608779,-1.36106670011779,0.434395564055635,0.795450865444927,-0.0511890834055679,-1e+06,1.45424826807583,-0.191632219154984,1.95114979527551,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.95895652890117,1.46140193359447,1.28458414837683,1.65963653466516,2.24545431707217,2.1127730259034,3.69634906474207,2.26189191882421,3.88837474622802,-1e+06,1.14892751267486,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",2.84513168513503,3.36161513850518,2.32397846742789,2.66398152314452,2.62297947297942,2.58860969303361,2.69310180696252,2.3114324934794,2.13074275120235,2.26875351744329,2.56404672375377,2.38775021200988,2.56456941571321,2.68804432457226,2.54410637504523,2.88743524499866,2.66860892645487,2.54745120329746,3.86491015509623,1.80798964229012,2.06227903694472,2.26606624101401,1.55950810418327,2.18612495084068,2.44673222249767,2.36574732835183,2.42825474575194,2.26313177458739,2.2943393330252,2.31246323777581,2.38549889155037,2.45433406468295,2.33430659804229,2.33127836580726,2.01862636267815,2.29101109466313
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",2.0765075011906,-1e+06,1.5705371827323,2.01821060498145,1.85542718126172,1.65632851654733,-1e+06,-1e+06,2.6577232101287,-1e+06,-1e+06,2.95825533990407,2.92504361450345,2.806372130455,-1e+06,2.96145920701081,-1e+06,3.19201257749233,1.66919782199367,0.883802639572254,1.8626353410463,1.55333509382148,1.46788709616403,-1e+06,1.53179851047163,1.28783538366744,1.43313435983727,1.29199603674684,1.50788897716817,1.21776780352191,1.13658731382211,1.70316774381985,0.952515690087735,1.39104015475339,1.31056237343091,1.30162009548269
"1,4-alpha-glucan-branching enzyme",3.89091570300272,3.98600012444478,3.92588093066224,4.31208031099928,4.18723854795218,4.34020738030263,3.68762673435716,3.77943662995392,3.92242777525757,4.45682041783027,4.24684046042546,4.42809366905511,4.28314710090516,4.23415218140359,4.29382038069727,4.65283051556611,4.2641796762766,4.59300893406309,3.55197053192373,3.7292859195185,3.92639665643168,4.23233474416391,4.05063618095109,4.2109637189157,3.68415130699525,3.88017086760969,3.79937296704768,3.96499383574234,3.95404037928631,4.08258966760908,3.62349752355944,3.64897972234281,3.64583766334984,4.24911778226042,4.28154895284058,4.1895248659997
"10 kDa heat shock protein, mitochondrial",6.49809571563382,6.48375681810441,6.4639566250122,6.54954992177479,6.59842839701592,6.57561280868692,6.47501857737804,6.52702607037372,6.48633998263937,6.56622924062821,6.53735948583453,6.48655378802571,6.74535868511947,6.77581566363053,6.69645131115419,6.57649502527664,6.50426710101052,6.49059298564781,6.51339089102965,6.56281314769245,6.5652700704059,6.62262703754538,6.63728328741234,6.64340159344161,6.66870000355751,6.63686730744165,6.63299276663012,6.41322763422396,6.40447917315072,6.38896817225142,6.49845568581488,6.52742358032553,6.49510989885778,6.52909125762746,6.50170955818391,6.49556894998325
116 kDa U5 small nuclear ribonucleoprotein component,4.36391092651852,4.3667361119658,4.32008804293979,4.26009696082727,4.16384190213075,4.19628803617803,4.20961501250332,4.37645420827788,4.28872001762099,4.13969893488362,4.33541123840585,4.19937400334369,4.51184126281859,4.43384269989605,4.44535939308954,4.55183611712029,4.52287264730845,4.42009621437935,3.93167194414141,4.16719672294065,4.12071502265242,3.98166696168662,3.96337455157714,4.06075472229176,4.04056938573042,4.04672662187915,3.9763662222528,3.99482398043917,4.08125178196853,4.01043152287424,4.05256666001371,4.09354892968404,4.07761988342184,4.03519100415008,4.04583210691449,4.01800142049162
14 kDa phosphohistidine phosphatase,3.92616903271362,3.73846325463093,3.98139806815725,3.97981433149551,4.03896296232694,3.90473986075159,4.56048394686549,4.60942784416284,-1e+06,4.40672008673386,4.51004248400626,4.8374832581857,3.92069240469488,3.97427125346591,3.9411305657993,4.06747370555754,3.95679676576833,3.95049863701423,3.78887099588382,3.61300846069593,3.41785379396878,3.84962360713233,3.81517219443146,3.80757472862176,4.3095258895721,3.72064166669023,3.63998652067173,2.47022335738503,4.57508780704179,4.30007609011933,3.71580598136917,3.71713840071401,3.71972118289439,3.70478132429948,3.88472817327349,4.10490685682158
14-3-3 protein epsilon,6.49684405736963,6.43403526414961,6.42651768773265,6.39527217230292,6.32031963960433,6.38432202448825,6.50693021505755,6.46252659046198,6.41360348762483,6.45062957018405,6.49248449768534,6.47809997116605,6.52444623994187,6.54096958202037,6.48859048826902,6.70372394047429,6.55475017911561,6.50523101725782,6.40049468213848,6.44618158597283,6.35293707455932,6.2463146056446,6.25236699050646,6.23368063951388,6.26013940791059,6.30439344488394,6.2697597610596,6.36045444448174,6.36770858919496,6.37008835068226,6.3082645453301,6.26838579546316,6.35244282931325,6.30157347001127,6.26819526871336,6.26005169909797
14-3-3 protein eta,4.75727040670109,4.77783147966357,4.76508104266891,4.49297636940319,4.59958466886212,4.71522698886343,4.83630571218454,4.79700460597442,4.94142996317105,4.73621085068249,4.58435227443332,4.55745123018242,4.64210206720638,4.78908597651052,4.80299484412888,4.693734022568,4.70779588943931,4.86159320249638,4.70709928023718,4.73609351470062,4.74259652133845,4.56241725728904,4.66356386611116,4.53963500001468,4.54351928155473,4.55614838270821,4.58937241452717,4.56657617735637,4.5795634100388,4.62759832564641,4.58532058895077,4.689081904012,4.67945094719112,4.51699706126154,4.46093005141442,4.48933085087471
