protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.106256413796356,0.10625641379662,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.0803265944527746,0.0992134214705113,-1e+06,-0.129911844005306,-0.0803265944525115,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,0.0694731225436273,0.401119390590052,-1e+06,-1e+06,0.115590226934518,-1e+06,0.377185539204465,0.536170582586301,0.128445296902989,0.182755155274453,0.149268132124819,-0.104135788017376,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0444005740516692,-6.29013140847919e-05,0.0505705792845991,0.317405523070529,0.276353397543266,0.335620887186528,0.0408111169366075,0.00535060206588766,0.207356944793324,0.213952243586316,0.402494770896418,0.192759784964664,0.326166022149374,0.44665537578623,0.286039804099198,-0.0951361351205922,0.0363956917143638,-0.131701708999975
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,0.525816833620276,0.850960061196734,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.0237754697428743,0.363826042387659,0.542314954413725,-0.0103460726952645,0.676210413973058,0.812821104968376,0.651077738690968,0.752947431491587,0.727211396436054,0.071466897632853,0.329429425080128,0.319116760637542,0.669758412860054,0.930877538055789,0.442244780773644,0.326572610724528,0.53707463596075,0.195289441424101
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",0.429619168032509,-1e+06,-1e+06,0.178479584526999,-1e+06,-0.116067902817229,0.136512149320112,0.0951895917826346,0.884149398342601,0.099988444101488,0.177888361601114,-1e+06,-1e+06,0.179120984039222,-1e+06,0.128148814656047,-1e+06,0.15677563260764,0.390065138554187,0.272722577154638,-0.151151764995512,-0.585240724466592,0.544837687001698,0.578161775129864,-0.00684761089391237,0.143463931120324,0.182838229716231,0.0174276460204999,0.199918254533234,0.29865128479102,-0.218772461095915,-0.416847607809277,0.0360654191604345,0.534536029973618,0.286378403406119,0.201417648594983
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.813158151231273,-0.00655831471161764,0.765295912704259,-3.31147684964388,-1e+06,-0.334070896800658,-1e+06,-1e+06,-1e+06,-1.05725931897979,-1e+06,1.0572593189765,-0.772487194101443,0.722152456399902,3.36082078952343,0.737659620304175,0.0132202453234375,-0.0132202453234118
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.346091085191509,0.315230492294269,0.346583508570651,-0.0629407979611223,-0.151328368015576,-0.0775222850269997,0.265091033417643,0.154722921584633,0.208040924595989,0.253830001809186,0.401814296382304,0.511341804330631,0.240386032521004,0.240594509949889,0.263515068005895,-0.00278414596568213,0.16503731979579,-1e+06,0.48929297689934,0.452286468510159,0.538785419044996,-0.00488155316365211,-0.0535280850220911,-0.109878777830539,0.272248546432093,0.411592182328189,0.47461421779372,-0.00500375639859799,0.0490852779182316,0.0810081375271278,-0.0200080047401085,-0.00947416114597311,0.14024298138808,0.334997410632973,0.434296127493779,0.35047320920725
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-0.0551136885438637,0.007711081956802,-0.0280806028247363,-1e+06,0.0994266063348671,0.171310835389952,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.432540803714955,0.490435660204149,0.0198579428186454,1.03655438445119,-0.505173445080055,0.436922227324745,0.789201597911926,0.685942464148265,0.475345951618452,0.680756815741549,0.0485836602887413,0.301616654254336,0.165759210834224,-0.156309560018536,-0.28678870049255,-0.603036230046793,2.15749336461618,0.212906227658705
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.276459163749122,-1e+06,-0.276459163748676
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.642489534927454,0.582248883616254,-0.0138896863128258,2.83225012947826,0.550120677431594,0.617544192184376,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.575206547019705,-0.70160792521964,1.09379076673766,1.45490057196194,0.608252515654495,-1e+06,1.03295369469959e-12,-1.64588048722978,0.496901527200716,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.266746603818882,-0.230835348688779,-0.407469763330248,-0.0324173770419106,0.553400405365096,0.420719114196326,0.855663187441959,-0.578817233692344,1.04768886892791,-1e+06,-1.69175836462526,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
