protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.376474591754929,0.511681503123397,0.088889905675265,0.15964671127465,-0.225690170352652,-0.00994906306585404,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0252014720549665,-0.0137517169469616,0.0117123710457038,0.333747698236934,0.302828929688672,0.350150191912388,0.237512526941435,0.328907143941897,0.388995716729625,0.432838225278744,0.661978420961751,0.409322190728367,0.292048346677568,0.47669271297602,0.24237304909978,-0.0770699055047584,-0.00743682076038064,-0.181249966689819
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0409473733355156,-0.0117730537651857,-1e+06,0.261217849374936,0.379585265499688,0.751293428875228,0.00793606180878301,0.190773687429341,0.0918463102035407,-0.813493276273581,-0.174322071537059,-0.303297437606658,0.006616648250755,0.674339459939955,0.0448759334495675,-0.0614897213244233,0.108301520238231,-0.393893970542599
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.104696197096024,-0.21116076052507,0.637273046232008,-0.0901007195029543,-0.0773998965186493,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0277842368880132,0.175868432486569,0.217785096360745,0.0499298761971161,0.232732771235038,0.356652717186173,0.0649316857762679,-0.0657855146272099,0.422269618646346,0.97312821093592,0.598184447125889,0.544681006252258
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.698568483605344,0.570308433704815,0.7755946389719,0.281119944456216,0.0406757563759349,0.120535373216543,0.139115551451736,0.0978189690161937,0.117211523053868,0.406454865183405,-1e+06,0.183168186057245,0.325061555668541,0.0577207183181736,0.186338464949163,-0.0701823953821994,-1e+06,-1e+06,0.669190250797721,0.670394066793262,0.734711822703093,0.1589620943652,0.146720623323942,0.0967862740299484,0.0822246629161664,0.105475643946712,0.13115829749962,-0.295488480395106,-0.447020643219274,-0.514169403476488,0.114538616582594,0.145116400007374,0.168006224206471,0.407021687544709,0.442505266041103,0.453885759060298
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.23447663657285,0.622655912620982,0.0680334482929974,0.558333524020302,-1.13297133593285,0.574637811912991,0.139038260019194,0.035779126255532,-0.17481738627428,0.0305934778488166,-0.601579677603991,-0.348546683638395,0.574241060047443,0.179766456332534,0.0111422588509853,0.229764106520601,2.49086283349751,0.702762648821558
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.46778465932226,0.386175901499696,-0.853960560821514,-1e+06,0.121517813878676,0.11376142193217,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
