protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.21034356737583,2.42501645666236,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.94766369574539,1.96936447645118,-1e+06,1.77473451793379,1.81011147841836,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,2.67878511958943,3.10383773188003,-1e+06,-1e+06,2.815567657692,-1e+06,2.71680950451687,2.9431747732092,2.53760954921944,2.56987990265004,2.38881365260212,2.10980794140836,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.99135900273716,1.72956130315928,2.11151790788656,2.36246927862275,2.28980312801137,2.38246216916776,2.26314597611998,2.21727655437735,2.58136928506532,2.43602163701837,2.87462871717666,2.67554738709008,2.09804799997789,2.18079710754345,2.08147309700799,1.65750693753459,1.78764412950006,1.63117127356411
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,3.1005479292286,3.42339978700959,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.341846664376283,0.682212825001758,0.966851833836762,0.549399149557107,0.981967182730062,1.27176569496151,1.99535403753362,2.09991527830283,2.08178403170909,1.27005239803348,1.62423365104369,1.63862263675481,1.25289914011899,1.86009785961231,1.37345071019074,1.11520578137277,1.48102117237439,1.07159351935209
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",3.24942970285576,-1e+06,-1e+06,2.85261580319933,-1e+06,2.68585124719139,3.00328536624187,2.97684310000045,3.77905139822351,2.99548995401615,3.18350843097974,-1e+06,-1e+06,2.34396984767458,-1e+06,2.27286447368794,-1e+06,2.32882959028833,2.68802229136165,2.57102109798219,2.038950991843,1.47723404289878,2.83045619812299,3.44094906746092,1.74396825570572,1.83074849028141,1.87762292148827,1.7392092562402,1.90749714885188,2.04672260344216,1.87141777808476,1.41560959086516,1.98767037538685,2.5117967274701,2.27654534995287,2.29512238797407
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.55108593378891,1.73171083586612,2.51087060294823,-1.55679801310803,-1e+06,1.44657745454688,-1e+06,-1e+06,-1e+06,0.396647659452011,-1e+06,2.49602125983226,-2.65045343868426,-1.18605816049567,1.46963227729915,-1.15929713886738,-1.43842796334095,-1.47434399592771
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.85753996902944,3.8902487659324,3.85347397515018,2.87377674075408,2.75514192231654,2.9192690899859,2.69019007089017,2.91116296420763,2.45477899920645,3.64749013449295,3.14268902350098,2.80682237269222,3.42531660613397,3.47627853067,2.99560211841645,2.70526039835712,1.7123667890294,1.54140623033154,3.50131601935617,3.41705950351267,3.50164387089768,3.04945987490769,2.96790949516233,2.95090903676259,2.16970828443285,2.34582611810779,2.29828354033913,2.61849077798707,2.76456879138296,2.5575225489145,2.64398385775062,2.62245214836847,2.91174657935198,2.83695674517785,2.82729575030733,2.89623501760017
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,1.81061671571095,1.86802678200705,1.82034603186574,-1e+06,1.95700139585262,2.01915908691184,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.546069889574746,1.49680047650481,0.968579329472716,1.9943799173971,0.423600715366558,1.48570447068893,1.84576487309597,1.74531969302034,1.54220556323288,1.77462935157206,1.12824790705102,1.38034415250881,2.80627177677838,2.45323539724637,2.33949347148431,2.07019981394801,4.84551332705184,2.89145064815446
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.68551005655015,-1e+06,-2.2332360029681
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.691530686521498,0.63410155891035,0.045524338613275,2.91862713834509,0.622243359397432,0.688874220401659,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
