protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.83713104471833,2.05180393400485,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.16494915244331,1.18664993314908,-1e+06,0.992019974631698,1.02739693511626,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,2.21445911256956,3.06713760783362,-1e+06,-1e+06,2.77886753364559,-1e+06,2.126686964217,2.2237135275444,1.81814830355463,1.84869744841224,1.96090581916604,1.53041552347568,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.42835022938606,1.37915109956398,1.53987358696772,1.80807426536368,1.80284124624055,1.87156845283876,1.43331909317152,1.40763251537847,1.70648007375487,1.64893731748373,2.00378825401802,1.8119092613564,1.75098453606669,1.69960122284492,1.60317201846024,1.22195652910907,1.32176704238698,1.19192692097536
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,2.37573955655651,2.6896688481711,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.38800921879263,0.728397821281965,0.97174520893582,0.522657232403291,1.02814050632614,1.29757433148851,1.12131934955682,1.2259373222282,1.20774934373229,0.566218093877489,0.800069997357887,0.77537899928643,0.868406654775921,1.3153419458326,0.857905732544519,0.560528147781688,0.948020335668821,0.590595919409459
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",3.18452960089151,-1e+06,-1e+06,2.91751054435945,-1e+06,2.94232393652944,1.76616240030673,2.03464730933807,2.40424476926412,2.05535272724206,2.39993445710681,-1e+06,-1e+06,2.02926888268069,-1e+06,1.95816350869405,-1e+06,2.01412862529444,1.93962017530276,1.82261898192331,1.55281081837441,0.926865076467731,2.08205408206411,2.32505740650694,1.6414928204484,1.39591515377839,1.44278958498526,1.30437591973718,1.47266381234887,1.70803148656106,1.35150219847149,1.04370911697246,1.34470994996507,1.87217817407544,1.64149172883215,1.53262720608101
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.63568541197498,0.816310314052181,1.59547008113429,-2.47219853492197,-1e+06,0.531176932732949,-1e+06,-1e+06,-1e+06,0.0522823119162318,-1e+06,2.15165591229648,-2.12578952843575,-0.661600705841425,1.67789778623316,-0.634695868283466,-1.09166939676128,-1.12758542934804
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.42401552656005,3.295874272311,3.37142694224038,2.5552451312602,2.4558197316416,2.52922684534576,2.96104181860068,3.04041413326443,3.02219135978042,3.58736361515259,3.45242086021023,3.22632148129337,3.46306599928788,3.49059520662573,3.82479712021057,3.18333726626361,2.94285765900542,-1e+06,2.97699348068514,2.96707611100006,2.93217284177125,2.42072118821752,2.32918629780227,2.32197143415934,2.66488227681713,2.83024819179661,2.78351952102604,2.55013865535091,2.58410263969168,2.63083016298221,2.21604804053988,2.3484384271304,2.41917258466399,2.70057302701427,2.77932440818876,2.71565563616392
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,0.635681267604552,0.693080432847021,0.645401084752542,-1e+06,0.782055046692591,0.844212737751812,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.547722903514111,1.43101877801954,1.06224269677468,2.08804328469906,0.517264082668519,1.41992277220366,1.51343510667658,1.41298992660095,1.20987579681349,1.44229958515267,0.795918140631626,1.04801438608942,1.86878375666758,1.51571903872981,1.40201550749418,1.00468894349487,3.78007905835922,1.82602415051399
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.21899266851128,-1e+06,-1.76671861492924
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.734051487588019,0.676618688332321,0.088016229053115,2.96111614633476,0.664783601670396,0.731354508854948,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
