protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.107336444643043,0.107336444643479,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.0687761086637416,0.0904768893695168,-1e+06,-0.104153069147867,-0.0687761086633058,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,0.129322644667844,0.469544461515165,-1e+06,-1e+06,0.181274387327131,-1e+06,0.428714117154322,0.603261963408596,0.197696739418829,0.239369430303361,0.157684907680237,-0.018685376379309,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.0122121316362532,0.061119720123489,0.110813913852864,0.377248009589133,0.316053326823718,0.436724882117277,0.0799194998908568,0.0479127475862873,0.269727828777162,0.290176740506231,0.473769383820449,0.272283793340724,0.428550044589973,0.506772139392207,0.35996419226973,-0.0351248156630957,0.104358256587076,-0.0604665430386175
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,0.497420907592179,0.795894006054515,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0392809617048559,0.301112528617339,0.484648692839731,-0.0623305740549542,0.600855213661514,0.789075176831064,0.577774417916859,0.673762257411743,0.672805927900223,0.0358737245205815,0.277854904883857,0.267798288941103,0.625923458712112,0.853009881206811,0.381188770684712,0.260865521728212,0.485720904821189,0.134498699898809
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",0.190752898955768,-1e+06,-1e+06,0.235845999011931,-1e+06,0.00220742489597971,-0.167668936912444,0.078440021747427,0.439613959539328,0.0808028679551969,0.185983219245522,-1e+06,-1e+06,0.0173476822822301,-1e+06,-0.0537576917044059,-1e+06,0.00220742489597976,0.48972378060904,0.372722587229583,-0.046425854411874,-0.47168303115516,0.632194875226202,0.731135800370221,0.214265239481924,0.132143565379382,0.17900269937594,0.0405963792120368,0.208887634779685,0.319871609969426,0.0488961850500451,-0.201632181922963,0.0956576417790117,0.586896518434204,0.360236907023059,0.246446796357408
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.839987221878735,0.0206121239559398,0.799771891038051,-3.26789672501821,-1e+06,-0.264484050081351,-1e+06,-1e+06,-1e+06,-1.04968680019338,-1e+06,1.04968680018688,-0.735755335893885,0.728065355155987,0.727992555900396,0.755287059773139,0.0179580162934089,-0.0179580162933485
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.395926411987857,0.381018258579278,0.419807960968743,-0.0240417935146687,-0.123280222604811,-0.0488619533701941,0.302922902938092,0.203893485336096,0.266238718129423,0.296089984038885,0.47098458645273,0.572642830014011,0.268033844389526,0.273158468204866,0.33489739718915,0.00871460583599519,0.129020310204093,-1e+06,0.547462712893295,0.511207819657303,0.566332280396441,0.0480236838220677,-0.0322427693087573,-0.0291631030667029,0.288223628209745,0.451486071556741,0.499044506088373,0.0679519002742851,0.0792434061564394,0.124966511877357,0.0871160299440526,0.0215058028970533,0.176743429847195,0.370796069801556,0.506032635867281,0.404352171487472
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-0.0792956923920952,-0.0218951520204622,-0.0695758752441038,-1e+06,0.0670794618251037,0.129237152884326,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.369671237197237,0.499824650766768,0.163792284401242,1.18959287232563,-0.381186329704917,0.488729744017323,0.974382675002081,0.873937494926454,0.670823365138996,0.903247153478172,0.256865708957131,0.508961954414926,0.0749320665234558,-0.27817361319684,-0.391821647018276,-0.815039571928216,1.96041083265389,0.0063671574852961
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.273862973209981,-1e+06,-0.273862973207971
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.626105555408868,0.568678959987246,-0.0199757312571965,2.8531766955657,0.556837669491243,0.623325422187679,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
