protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
[Protein ADP-ribosylarginine] hydrolase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.378940285053701,0.529044208943651,0.108412673189065,0.167981099324717,-0.209093875819148,0.0124693541781111,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.022949475287869,0.0786528702635489,0.0142446561194106,0.357404784525403,0.293141659392239,0.401037103169736,0.246259485779571,0.340468056468067,0.408039011998146,0.478894444763349,0.693826351378121,0.440233372636934,0.300363827302534,0.49555980060737,0.256770395458385,-0.201895851193234,0.0162922819002167,-0.153749216760886
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0566842498715407,-0.0271685622811187,-1e+06,0.262232026817112,0.351548070442534,0.778316446489249,0.00356596510232416,0.189217544410917,0.0977725499274711,-0.780554112333575,-0.155591196665282,-0.285503311242683,0.0216836114270148,0.658437370995376,0.0457110592169333,-0.0655455972281657,0.118913567354237,-0.392757465366497
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.198910654515301,0.0560208770866383,0.560115663027763,0.333482094154368,0.311254602444203,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.177645791233226,0.151126120647264,0.0752699371081591,0.0005789980044856,0.240048501440079,-0.0315254549042692,0.166220876583032,0.0257443341091247,0.240359920881048,0.77496001755843,0.420560949261705,0.348453590632783
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.713001876522498,0.579317890335727,0.772715030242993,0.277034290910325,0.0469443024743016,0.117077381319091,0.130077767685085,0.103678197771025,0.12523081350225,0.403285776168054,-1e+06,0.198394893021093,0.313243730257206,0.060585289623299,0.179021158767478,-0.087451028680634,-1e+06,-1e+06,0.653070041607919,0.629609073435775,0.70054610567198,0.140461017154835,0.128467527917359,0.107228080502889,0.0836946213625047,0.105964464760323,0.146351618526256,-0.264065598401773,-0.403598414476014,-0.478600629537855,0.129773393192747,0.139628894746405,0.159420267934787,0.379730106996961,0.458651957193955,0.454638389159111
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.18319495291131,0.573751124005523,0.428545560531973,0.525838421362955,-1.09398997079244,0.568151549427488,0.134668163312242,0.034222983236615,-0.168891146550843,0.0635326417883337,-0.582848802732707,-0.330752557274912,0.37805663810519,0.0875427031012016,-0.00866645583722709,0.479387086410698,1.79766695642722,0.408951047413266
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.463414562616256,0.384619758481728,-0.848034321097129,-1e+06,0.140248688750907,0.1315555482966,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.20999352282691,-1e+06,0.15078629871282,-0.0962841548178594,-0.0545021438940441,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.373473250170161,-0.120744575738,-0.252728674432878,0.111135332391727,0.712766267447764,0.648327451821369,0.491682121922636,-1.09599076710936,0.604308645186014,-1e+06,-2.13571276981211,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",-0.106325672811715,0.038137570900857,-0.166078091689893,0.172718919209711,0.142071068688921,0.0979747507472436,0.29530825815188,0.0754643916801698,-0.0474151962457606,0.0261667821952092,0.245444873052937,0.184387025903609,0.171155726258401,0.0864158075673993,0.155193204820077,0.225739193834064,0.27912157478475,0.175925004604448,0.403000993445063,0.308199283161011,0.342791294122163,-0.0880983204739331,0.166912543172867,0.244567732794227,0.147893348945673,0.0526774169253236,0.130504519901797,-0.0258111922170654,0.0336780510790101,0.00113615941117354,0.092334722248349,0.218944862703753,0.0183138814143619,0.00147964211612509,-0.309167516042138,-0.0301067228234181
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.397170758070497,-1e+06,-0.0672364489647152,0.13313676509113,0.203562444583868,-0.0313694416808107,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.190473862418199,0.0433682238466207,0.0876904908337189,0.0744006825670134,0.182647172516144,-0.178111959105424,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1,4-alpha-glucan-branching enzyme",0.0850168952978262,0.160058431051139,0.0639819810371203,0.410623049939405,0.351587733707549,0.518797197653651,0.459302071160921,0.491659519977708,0.493357510076976,0.881057059065995,0.87177059579277,1.00087262937342,0.364467570320946,0.335533257122236,0.479611078004295,0.558558392800409,0.375341919440264,0.598708976097255,-0.141575025991159,0.0715445634432571,0.131242479606632,0.448962767086302,0.312688788097871,0.502927508434268,0.289598162852894,0.541838125601026,0.455294129557485,0.647885609407066,0.611777970530321,0.585068070745796,0.420690931861249,0.375329523958049,0.497890663172339,0.874704615914387,0.889409215607812,0.843197056964987
