protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.66141971758508,1.6614741390413,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.65472429136525,1.66803379646008,-1e+06,1.43336453329963,1.41767334880433,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,0.454379693340608,1.21101046982612,-1e+06,-1e+06,0.922854479384617,-1e+06,0.60575638964093,0.775890673862992,0.338693796727664,0.39456402321938,0.117153272258831,0.203923357071274,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.284958541796079,0.21627710765996,0.378699959214992,0.679245338861398,0.589631414161242,0.801482397585071,0.575977235595172,0.540349613234208,0.672137731881104,0.839417501011135,1.20364632250655,1.00614171979673,0.625368362804166,0.680701448023378,0.596132396065963,0.221288108445456,0.289415892503057,0.174131450272731
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,2.11687416631017,2.32569675448179,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.32132790173379,1.72039834265247,1.97682883318586,1.98477836807439,2.14732298356289,2.54071757488955,2.38455673427982,2.34863168265959,2.24037108004664,1.69215369452912,2.0762216632548,1.90165355011512,2.33161712652326,2.61540992788753,1.99053355450384,1.72997803199392,2.05366428622629,2.0062631826669
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",-0.34586889134001,-1e+06,-1e+06,-1.03534754142017,-1e+06,-1.12580245295048,-1.14162565239596,-0.872115307546567,-1.02224156643514,-0.869363340855133,-0.733507475855568,-1e+06,-1e+06,-0.954028068037981,-1e+06,-0.88060538671506,-1e+06,-0.95770955818748,-1.01130343061067,-1.09091363487332,-1.07627609094532,-1.49267470859524,-1.11775538654533,-1.07398194926659,-0.964058843269536,-1.14983579721433,-1.12520076538686,-1.13276696712058,-1.08482431706634,-0.876528779921671,-1.00557903204719,-1.20718045880048,-1.0857931559873,-0.397212702432549,-0.734065938602407,-0.677672317410746
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1.7809047851345,-2.12163043678621,-1.53568178671065,-4.8631704769977,-1e+06,-5.3085697826846,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-5.08562756937382,-1e+06,-1e+06,-4.03825198433869,-1e+06,-1e+06
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2.85846340685895,2.85160680931718,2.78568957025027,2.21156422833826,2.23118154994283,2.30123156563141,2.17112496530338,2.13672388959064,2.01105706050907,2.42256014322123,2.50898189357194,2.44463520595663,2.07581143508059,2.03575933676551,2.11856931484853,1.91715544526065,1.60837348564567,-1e+06,2.79901485232792,2.74762968726957,2.79563628268725,2.25101281175788,2.13419369038602,2.12543772024365,1.99189814322415,2.18025984544403,2.15417072503521,1.80325773769416,1.8712042069887,1.95084017419028,2.00649975708243,2.12280153939182,2.18936517358116,2.43308090874142,2.44643413297369,2.4944115771633
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,3.91650646072328,4.01408432788604,4.02329879490348,-1e+06,4.21373683489816,4.25253883593892,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,3.45331445998968,4.13624455261613,3.71340759329413,4.54618570907743,3.20067997174289,4.59374644236957,3.39541474350427,4.36648849069309,4.22821066665374,3.51724301400989,3.40695746485819,3.56615972696815,4.55745269744341,4.26011463485021,4.05297060281567,3.88200217190531,6.56462199929466,5.12613482426607
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-0.0550105008513974,-0.0550105008513974,-0.0550105008513974,-1e+06,0.00234216105457633,0.00234216105457633,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,1.12283287652368,0.663486609135541,0.630408631174988,0.794432063606902,1.4146542055147,1.44379983377198,1.55434149869549,-0.0755074002900546,0.936801501853271,-1e+06,-1.19908356698414,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",5.28158760127831,5.21955837615292,4.83764891834022,5.10112460350473,5.24912958516821,5.06319579307352,5.78356592245137,5.33675945440037,5.28109293685798,5.41559755916929,5.6432794913575,5.38614114810288,6.20124537868004,6.11527771250891,6.32148945289807,6.20329791343014,6.42843155334437,6.37580700567622,6.64862810873641,5.60648947962139,4.93588124663389,5.0107210922623,5.60680245840819,5.15107014977718,5.89159239349426,5.78249295059144,5.84979281092697,5.79683683026805,5.86226871912506,5.77705535874523,5.49198052098226,5.66749223128081,5.55199085120421,5.52750095499501,5.25719339792903,5.4293202184304
