protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
[Protein ADP-ribosylarginine] hydrolase,33.6649376560712,26.1825269538195,19.686735931123,19.2940079444832,16.1463559957489,22.1647039412048,24.9130102789077,27.0337299355156,31.0811340402807,25.8281562809717,25.5785040299475,23.1143077000507,20.3104006546582,25.0291462290968,19.0267499171518,30.7206919830494,31.2909997012905,-1e+06,26.6167172035344,26.1486209638784,27.6521773020256,25.6691355164351,29.6648541213284,24.7961973116692,31.2200051159684,31.9748026920666,25.0328477719813,32.9949974489252,29.1919506618252,21.8455838385434,31.4480836333406,46.4780763425044,36.7871486598965,42.047780248018,40.0905431362677,25.1710135202448
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",8.07527033730608,13.6886618188032,15.6161425568711,12.3801586795739,18.5011926150186,26.3176452850972,12.736019955378,19.1601233183855,11.2707187882051,14.4284648365075,19.077679026646,11.1458108988952,15.1300036122655,16.9969628521931,11.0907852795638,18.0643093753835,14.6302518159813,-1e+06,20.4970706335998,23.6828564470925,31.4101787543637,25.5637446614821,22.1509926338824,34.1342598330063,26.515416681939,22.346374544954,19.0728862733508,25.6177006609223,21.0895456356721,18.5462304606835,23.7200891410673,17.101932149619,17.8220707124289,17.3752693264323,18.431124445519,13.0382327908011
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",5.53294087796329,9.27141795065232,14.7277877786439,13.1235773624149,10.1491150301014,22.6077082104433,13.2908162879332,23.4181297548665,14.0136917518746,9.13250724020632,24.0264223393327,8.6901856844165,20.0789665966063,14.1533765034098,23.5380834669815,-1e+06,23.3448439026725,20.7380665610775,20.0672360855884,21.6678979964054,26.2048210373216,17.4863641668057,22.1782561961206,26.9340353916576,28.1707292490696,31.1018252839929,33.0693389300225,32.7278708709372,33.0520637931091,30.4627097341666,17.6124154513744,35.4105709263334,18.4112305288275,26.4727927186785,22.4445898677658,9.39814401586386
"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.44596491385624,-1e+06,-1e+06,-1e+06,-1e+06,0.0275116404590789,17.8840780806286,-1e+06,14.1655366234464,16.7584435906888,16.4446316179134,14.9139448176937,2.95182614478825,4.84938855913351,5.11322208914891,5.33544228807083,3.17766995692885,5.95058017053302,18.6339757953142,9.11277762799536,4.22708243039757,16.0922546134999,7.37523256593652,4.65457493482225
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,18.4261686900291,25.8502740940342,27.2091822465634,30.8651863421401,19.1934339920174,34.4398027969134,33.3588043981861,34.6188792647953,41.1896953803472,29.9027010477202,30.0520051106816,36.2075889224226,14.3468748607697,16.3494254425944,33.9560042776644,-1e+06,11.4537480324704,24.9397479504737,31.783225262109,26.0959423158198,20.0554718757364,28.0646495292728,27.4381425035906,23.2891208867036,29.2630008985416,26.9122491288278,20.8678570146838,42.7543517348951,24.347912888876,23.1762492048349,32.6741269996534,41.2774374346504,29.7317669508414,35.7749619405348,40.987982350311,32.0147327671602
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,15.8481693218475,5.35839312323649,21.2442548629278,3.90387571852483,9.41549216488527,8.38622210438123,12.2065014551605,9.52170046256953,10.9662837846197,10.6846927753435,9.5802488747155,12.2780884889096,10.7165741752142,10.6195291862117,10.5972700077609,10.5718186534217,10.5449077328158,10.6740072102177,14.3664546874658,9.44780666143248,14.46360061278,14.8741301474295,14.4571912814775,11.530837259879,13.4869694781464,13.9191794471745,14.476008880211,14.7608009319295,13.3148682106398,13.9367005323377,25.6878605722684,17.1316953497625,23.4524579757262,24.4954633839241,25.1554130633455,21.8418753882567
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,2.64137403819911,2.11963238945591,5.662212126505,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06
1-phosphatidylinositol 3-phosphate 5-kinase,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,7.66601415901153,7.544813220387,10.2174423940858,6.69011468583815,6.69011361677463,11.4541121396165,-8.65269677167866,-1e+06,-9.67707654906526,3.65496041986963,-1e+06,-7.95367005441512,4.06858882967626,5.88612689698826,-1e+06,-1e+06,-1e+06,-1e+06,10.9107508092333,15.3475747933744,5.09759524742532,9.25450327275029,4.80907712611403,12.7146024134189,-1.33137581504419,0.744330300041407,-0.662589345672433,-0.409281325953304,-0.647087655500173,1.09922532182979
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,5.94883724806616,2.86504797134903,-1e+06,3.69489404108424,1.93854032204813
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,4.71748512472072,14.6355340851966,13.1070726168815,22.9868677799901,20.2073573230723,-1e+06,-14.1664778752727,5.95795316833246,2.9757305065032,3.98155679025224,3.28397290703753,1.84543655211275,-1e+06,6.17407846204661,-1e+06,-1e+06,-1e+06,5.14049978660905
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,16.3703466723477,2.54752338683039,6.49620754541274,0.874048102836971,22.6851713019315,-1e+06,17.7196887025125,-1e+06,-3.52615639012614,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,0.76220255775823,1.15524807200037,-3.12334717505749,-0.10315185386556,-0.549973958478578,3.68354027681313,-1e+06,-1e+06,-1e+06,-1e+06,-1e+06,5.01402682474555
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",23.1914476899572,25.5417541876017,22.9371946499247,27.7591642905623,27.5902840749473,23.987126331945,20.8519112491313,23.975287954189,21.2554809980563,20.7728602995973,23.3306730722792,18.2398238805088,27.6559053896761,28.2801071395292,25.7028026414409,28.2563200503102,27.6678455614471,25.8582812537535,28.3079736548935,31.6004790785123,40.0673554184741,26.4153388518714,30.972981152534,31.9999576583616,38.043294555561,34.8371416817794,43.952772934494,34.727084105471,34.0351153821041,30.2131648131863,25.2609682472613,25.7878946036104,27.6887112600679,25.0563504087817,26.3929984658757,22.0150147839959
