protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,5.27152933136843,,5.48711275510206,,,,,,,,,,,,,,5.21670526245837,5.10095046077708,5.26003219546225,5.09518331121001,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59401617135238,,,,1.13386294559608
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40304950731398,,,,
"10 kDa heat shock protein, mitochondrial",9.18866469125483,9.24088928295704,9.20623859340321,9.45733526309442,9.25389221964475,9.39956013310048,9.39748086659988,9.24222916125147,9.40575567924694,9.4098113698774,9.22707519306763,9.32147261750643,9.39663889459446,9.20254347863193,9.36734311165556,9.00661518464547,9.3150451866151,9.15181764801274,9.27573039941436,9.26056480560093,9.29526287675654,9.32764978841903,9.2535447659174,9.33809518251046,9.3264612294407,9.19296388847279,9.34832010220455,9.12380175987902,9.30577602167894,9.1317794366274,9.40905365712316,9.32573373078466,9.2692913857771,9.36230107826137,9.27835093290546,9.44889035290067
116 kDa U5 small nuclear ribonucleoprotein component,6.63493499823237,6.51744647657344,6.69631716528462,6.3540149951226,6.64679513088567,6.5058394631845,6.51858867538189,6.42385809035619,6.61125613492744,6.51904513771723,6.51628328703673,6.31608435969102,6.51453945151441,6.64532008368241,6.60278867971574,6.59533290679518,6.49277358359113,6.66050270555107,6.45201633310935,6.52441071711891,6.51788780525254,6.55001436911118,6.68379083540154,6.6141694177836,6.45211123730827,6.71095954547342,6.55278131502944,6.68355510009607,6.46751761740006,6.62594285334166,6.60893699382179,6.45191565197173,6.38439508576115,6.47142445572204,6.425419368553,6.53931525911921
14-3-3 protein epsilon,8.57691600191661,8.475375505983,8.605120776858,8.45139717684386,8.53078699403243,8.57788660636007,8.53328267763585,8.54984441286735,8.47863725487492,8.4634804983431,8.32637907369515,8.47549273053593,8.35202050702459,8.50001525761596,8.59030711452909,8.61483168844205,8.45761249628832,8.51166181888652,8.66097337054825,8.52699610459008,8.66424852561975,8.48038307275571,8.56949106944766,8.23268370533757,8.47206364404587,8.64259890697232,8.30744125687474,8.54602598268186,8.49040809486805,8.62409914981592,8.52494910854935,8.43417102117127,8.35498175153309,8.49424779353535,8.4792600084276,8.5295409619036
14-3-3 protein sigma,9.79400253579263,9.63070558331249,9.67977077743094,9.6729185045155,9.71704055120599,9.62976468533832,9.43772213252194,9.4318544329797,9.38253010974583,9.43412880112675,9.46138207706526,9.42183841112773,,10.0910699815198,10.0733207172773,10.126621412446,10.0648081128533,10.1087625886068,7.37698044863138,7.28831797932992,7.29942392492841,7.38778293163063,7.31060147163003,7.63209728873659,8.79223354141387,8.89960269689858,8.92948769174565,9.22738076126431,9.0233046131171,8.70614937805058,,,,,,
14-3-3 protein zeta/delta,8.66387242861968,8.77697386984926,8.52808342865109,8.626577549679,8.50833462379637,8.63538990983473,8.66669199535668,8.5227840986177,8.80896247326239,8.62126956665728,8.71790702555444,8.70051026968507,8.64562005405051,8.7064805268161,8.6548706609808,8.7479749910221,8.8797853052105,8.87080504129741,8.27570700134022,8.68353354736356,8.57465798686279,8.72768109584202,8.60149531469574,8.75061963201057,8.6703012454851,8.8331945740948,8.67808412964014,8.76287486781799,8.68510202003035,8.83540830598363,8.774507538486,8.5456726963271,8.65597723046757,8.71831762168448,8.58085953270171,8.72150138995524
2-5-oligoadenylate synthase 2,7.3140805800193,7.43639603527654,7.44222745960541,7.30191111775212,7.43242779316276,7.5018238767258,7.46414999137216,6.93178636165426,7.361881509891,7.10163889837201,7.24856188876607,7.05432280895913,7.27259277230877,7.9043036191838,7.46728609156894,7.82808497233468,7.41008400949761,7.76438755793276,7.44563599481556,7.30297601963022,7.51688741097358,7.30113206036477,7.55244182396777,7.31145774169834,7.42153998001669,7.94015399622305,7.31774018247038,7.7903124093026,7.2883158310513,7.90256168648454,7.48936805228434,6.9240564808347,7.33015583551385,6.90583947375089,7.36008082514843,7.11410396907778
26S protease regulatory subunit 7,7.20678376940054,7.38885176099514,7.22273647957645,7.30812478690042,7.25173725727559,7.20578482352631,7.23437021853199,7.40733738696189,7.24974830291832,7.39347895652241,7.35210529404189,7.28482376314469,7.37213721199121,7.3647387741953,7.34946927260574,7.30923277744324,7.28813669827364,7.29690365503071,7.21325589684048,7.31813290573864,7.25671199654992,7.29960394706288,7.26378571025673,7.21913451502673,7.1483342226092,7.4071275406282,7.33556391379556,7.42008277054985,7.22745358186991,7.40226032175617,7.35115096801613,7.33605590486546,7.24074305139536,7.21973737730816,7.26767534750615,7.44215422999015
26S protease regulatory subunit 8,6.84742231804736,7.0507566806384,7.0012287604033,6.80493436673927,6.8513906983291,6.90396698148149,6.9367594076937,7.02749743944378,6.77605705984105,7.1204568530042,7.02625038243675,6.92371937365469,6.882522621583,6.91577466791157,7.04596077645131,6.94183289536614,6.97629016249068,6.76997663436074,6.73055550616816,6.84340484356512,6.94162153389876,7.05955430803302,6.93148593655272,7.0135476996741,6.88361978661168,6.96431070254875,6.93775630472877,6.89345957783327,6.87767010105917,6.99261327151601,7.05010016242108,6.82423658446157,6.86069685767053,7.0467634813063,6.9394817072151,7.07263188102341
26S proteasome non-ATPase regulatory subunit 2,7.34717988544027,7.27322708725872,7.25084155151467,7.20199052677365,7.19029243167309,7.09305969623757,7.23261277794917,7.33459176370101,7.3210278099513,7.27833650767073,7.27257340874674,7.22967293700562,7.36889174721644,7.33861508715813,7.26315290866784,7.19912702286435,7.14545691668725,7.35450114536299,7.01577814346542,7.29544765206367,7.16706881435346,7.28340882258426,7.1753535085909,7.4353115086159,7.34806307978984,7.30165676849476,7.35330614923619,7.27373857719207,7.05421378398029,7.25544350263801,7.36194005081559,7.29003001412383,7.14956466180628,7.37983477427451,7.22449742086869,7.2227754051454
26S proteasome non-ATPase regulatory subunit 6,6.70025796388088,6.6778288632757,6.66579713405172,6.75012523695497,6.525070903595,6.60062356332248,7.03657173513664,6.68492051680827,6.70845853578294,6.68480792316406,6.68094700523999,6.77977251194527,6.8235222648681,6.69211946009028,6.58246955955513,6.52192237258909,6.68096945818408,6.53488809423505,6.42827937748756,6.59302649538125,6.56046649475183,6.73954876105157,6.87907076748004,6.76722960785045,6.68355166321696,6.72066776513336,6.7890690322029,6.47332764101228,6.66764041739922,6.52287925380096,6.99833759288111,7.05112933726735,6.48054089153073,6.61063221213623,6.46351576047235,7.06696656463942
3-mercaptopyruvate sulfurtransferase,,,,,,,6.47322390262474,,,6.56961836786645,,6.19563570483093,6.91386535268861,,,,,,5.47412075587538,5.39796627895882,5.49487048524531,5.98627830593933,6.02625821382913,4.96395819701499,5.15278376546057,6.38990157338908,6.27492186064355,6.35321450448351,6.127567546996,6.36066478495628,7.43654998035502,,,,,7.50872828400487
"39S ribosomal protein L18, mitochondrial",6.00459342469611,5.84263897171701,5.64598618155861,5.9129545937243,5.34590920542938,5.74841095957959,5.73636868874476,5.44663712327622,5.74996188813806,5.91001970413748,5.78589071611423,5.95417268355181,5.64951298459292,4.92135577651331,5.8739424281705,5.22564430833531,5.87481056525071,1.14599063358734,5.9591044771533,5.53441784203957,5.87418321043823,5.85859260338879,5.88356977469365,5.47593434412222,6.22623843572326,5.48949289708256,5.75143699518933,5.01775233525215,5.29457242388137,1.24402253585526,5.84431023364611,5.69373391738896,5.69164523988644,6.14713400353347,5.74307695419206,5.66526836447173
"39S ribosomal protein L33, mitochondrial",5.65286668997623,5.9384815961223,5.43670393688814,5.1716922075921,5.33276268496459,5.12866580845822,,,,,,,4.56083500982221,,,,,,5.45236150930028,5.45390885806972,5.60365806974131,5.24945549002523,4.74770295772353,4.8548207349416,3.33399302390937,4.17308036498698,4.26025185588515,4.72678083262211,3.854683811309,3.18379742315138,2.91014065373322,,,,,3.80955600070867
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,2.93754392294988,2.40265083387075,,,,,,,,,
40S ribosomal protein S12,8.86740239730155,8.66754978637851,8.88752046198767,8.78595360449865,8.80588360613082,8.76704519332507,8.82236523102938,8.73448589132876,8.77353855687614,8.78952999928873,8.77510585536564,8.8857595510107,8.84879560291906,8.80590719404205,8.75202384448589,8.8569596261162,8.72313472649026,8.77599961656203,8.78696032827527,8.74419248105829,8.84615511908866,8.80901086447984,8.77114624682517,8.84138279525892,8.76620144063836,8.86078881724808,8.77081286991569,8.77957227102092,8.73232347693221,8.81799089046909,8.71765662523438,8.85157902278263,8.66727336258104,8.86929184685089,8.7685426470923,8.8965942008987
40S ribosomal protein S16,7.92400698331487,8.0057167268824,7.96503699129433,8.0030334762254,8.07204119308606,8.03175308930619,7.99040319979546,8.00853950110467,8.0309129600254,8.06173916925978,8.12896315205264,8.19410273218795,8.08482272917176,8.11177938091505,8.0485521678349,8.0316429708299,8.00182460621659,8.02767424700048,7.90753141880383,8.05113274680518,7.92434433075573,7.98600017443863,8.06196732921072,8.15018719450189,8.07404702253293,8.06863110568518,8.04831180063498,8.09319955636874,7.99530679490411,8.07498868803074,8.04154063743462,8.15646943871148,7.94693915762155,8.16584320681339,8.0006661456706,8.19512778290912
40S ribosomal protein S18,8.03955157244592,8.10217999418792,8.11619496196253,8.08821247357033,8.0922614298107,7.94693245140112,7.98985400961216,8.29606982912273,8.16190869269994,8.17813187415913,8.08342084393763,8.3183575557566,8.08241606006366,8.06890901793438,8.19088174773759,8.02311036324837,8.13489327286478,8.07732588399214,8.23821562908938,7.97769453098711,7.86182680604261,8.24556950225489,7.96814012430325,8.02070162537801,8.03023405398983,8.2532654222671,7.86795514707471,8.17122504882142,8.10412522246332,8.13145241002133,8.23957660971719,8.24901073680462,7.78353716383923,8.2654800296582,8.12063475778417,8.3015416908732
40S ribosomal protein S2,8.54774305866271,8.50394724831415,8.53894064697042,8.54915038632391,8.46471974446299,8.46382860702767,8.4751609476441,8.57505423478725,8.44917256179274,8.64701138619199,8.57844542870772,8.68686064094156,8.53956003066678,8.54799256580569,8.52068986667784,8.53031157135709,8.48760275135923,8.51640411121124,8.54473323338432,8.50755675263856,8.48069722230922,8.46805739500349,8.45668037515834,8.59424835657896,8.49564357376755,8.54454193803581,8.54533704290228,8.56889150919469,8.47772655597237,8.54164480110517,8.59510521998546,8.60986421124592,8.46150698561832,8.62725808568232,8.48677318234198,8.66854919888015
40S ribosomal protein S25,8.47630270097422,8.67877853631206,8.72000919626694,8.70143851205064,8.67380444770111,8.71455303720957,8.67311492881757,8.81481273614094,8.55462040758484,8.77366961877353,8.74415606078647,8.77425905161594,8.68931334499894,8.67055324376288,8.57856480273504,8.63930767613997,8.75009835697043,8.6222594858722,8.57538389664968,8.56093709325365,8.60952224982403,8.68345678217897,8.73231086930129,8.70370303823666,8.64138551735722,8.74357847631725,8.67183851811238,8.65898861385364,8.6198136529552,8.70721678361781,8.78908697042662,8.77024056088697,8.58499925957287,8.79939199846151,8.62732861108318,8.81633229520067
40S ribosomal protein S26,8.07005208322664,,8.08626221840404,7.9362796959983,8.17766893963299,8.22223978968682,7.83907126535714,7.8031345909962,7.91989103578883,7.99764203745275,7.92644053143306,8.10983508014563,,,,,,,7.62843154261108,7.69678453775842,7.67323596375521,3.83983515373093,7.76558555414193,7.82119840106669,8.12295948598777,8.02863112333418,6.11014713963275,6.05448416604151,7.8829352570909,7.98332064130468,8.14051534544782,7.90383916157078,7.99716616651404,8.16683289937999,8.11646630678958,8.24293562827718
40S ribosomal protein S27,7.65672288391531,7.57508475248053,7.4338003321403,7.52107385365472,7.38790673313707,7.23981544053629,7.36550155745774,7.29290601063216,7.33586864612775,7.11899595779632,7.49342583411158,7.36542511194447,6.72974784103599,7.77270982737625,7.57986002665197,7.65579552963515,7.36680775155613,7.71087909612264,7.67916686205435,6.90122013729373,7.69090751675236,7.70287172406286,7.7941800178696,6.96509690747022,7.45600896367887,7.46246686924217,7.46647716524474,7.41670821725479,7.41436552432401,7.60931536080194,7.33392369727907,7.07221264443639,7.16278663185086,7.71213060240649,7.17172686811148,7.52620442287977
40S ribosomal protein S3,8.47480836608865,8.49701977668973,8.57192074823227,8.54587982601178,8.65058657971904,8.51777004714266,8.50450414783077,8.56808381240719,8.42719176803063,8.69300162935143,8.50317302714354,8.53835910767159,8.46051945639684,8.66558487527131,8.50903819332524,8.47588963707719,8.44023225101711,8.60977524793944,8.61813803233272,8.46654533510482,8.75670956011315,8.4252224979699,8.49816622842457,8.47101260485676,8.51155075425261,8.59686041988314,8.55755313525014,8.52899138892615,8.48499568087331,8.60681995838712,8.59102402888868,8.53996398928858,8.47860788283127,8.5586160310215,8.47317742662032,8.66540978047794
40S ribosomal protein S30,7.88935247908437,7.85871105513971,8.31529356782262,7.75190801604926,7.88411355960584,7.78309002614881,7.52875012740132,8.02830481086116,7.92391986510349,8.07267743308896,8.01952618839938,8.03231410693739,7.75408826806239,8.18905674378101,7.66922535421861,7.9569413244812,8.10911014411241,8.2525438365935,7.8532794170093,7.88709489047673,7.80734097527888,7.87794086847245,7.93977041831741,8.06626394131755,7.94288948976551,8.0978485164054,7.96328672251074,8.01510110369432,7.8537184485225,8.02233445518329,7.97106724790705,7.88343482660863,7.921585978443,7.99084800252715,7.84970643901046,7.95545119547817
40S ribosomal protein S8,8.6375684513098,8.93367008844775,8.61791221898819,8.71541783816589,8.72002436368506,8.75091709667774,8.87740638189963,8.68279739334072,8.80019433230279,8.87585999664866,8.77735478725023,8.76788493623701,8.77424631884924,8.66094939595398,8.76518051370304,8.79033097268093,8.8821280618055,8.82821305089775,8.73799346802589,8.71391675310538,8.73889419488545,8.66508987960876,8.79285151701164,8.79369766275582,8.58783302019988,8.81068449094533,8.83060866867826,8.85041584390113,8.84159560935083,8.79856602060261,8.87057466792896,8.80084528277877,8.71990985610796,8.85239647775988,8.68067577893325,8.87755797412494
40S ribosomal protein SA,8.56123476404218,8.43008270376164,8.56363988354658,8.62993812039325,8.60221542652054,8.60276560482728,8.62785887306001,8.54757715129564,8.32428486933943,8.49541392850562,8.72908996223236,8.62407235760984,8.64044300772256,8.44897171257424,8.52268718639785,8.51562763493665,8.57923279097576,8.57103935360027,8.48607434552656,8.57842169938232,8.58294106148918,8.5527129729879,8.56182511066112,8.6440074283614,8.56958955865392,8.58875510382215,8.57601061878687,8.50166369119667,8.519884062188,8.53849209499136,8.6998102206756,8.45171359399449,8.55502337858385,8.62237753178598,8.44829796749327,8.66634130716247
5-nucleotidase domain-containing protein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21707866535262,1.53228266911438,0.97683335369624,2.09483041443659,,
5-phosphohydroxy-L-lysine phospho-lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35807465438612,3.32966479599968,2.55698147607364,3.16046205951329,3.07291486863528,2.63472844477358
"6-phosphogluconate dehydrogenase, decarboxylating",7.64776387706928,7.66868052677593,7.74387214015984,7.67323844941289,7.72302579050063,7.74318740767889,7.49573720390387,7.81874752139974,7.70449772846582,7.84383233180947,7.64482118283887,7.76332752634586,7.65046283822489,7.78288334226987,7.62786731412265,7.70332979029284,7.80167509684132,7.70170586021565,7.78681561811676,7.52334751791431,7.91979140886345,7.68322445919429,7.6247651001807,7.55988180393468,7.69312624223316,7.74063899257921,7.57814216035009,7.68746357409039,7.53668451035203,8.00162763060966,7.72150937447056,7.65910987550871,7.56171580961282,7.7635020028854,7.69280282877477,7.86709144084327
6.8 kDa mitochondrial proteolipid,,,,,,,5.85878614589504,6.1361021988107,6.01860159548833,6.05873712210755,5.77485003162736,6.13581184118513,,,,,,,,,,,,,,,,,,,4.29833591338702,4.95007796999108,5.46674064228204,5.97045355632099,5.42254115451509,5.51260990520717
"60 kDa heat shock protein, mitochondrial",9.91769627615278,9.7792135340227,9.87662517111328,10.0880197290128,10.0494236898706,10.064015611098,9.76289605070328,10.0914043847588,9.99241659214093,9.728955618243,10.0170211190465,10.0563743830832,9.91307818552299,9.72539909106808,10.0285966481919,9.69327998781478,9.78612980119737,9.64289706181685,10.0596611870898,10.0437200084967,10.0078153438803,9.99050483331356,10.0938608518726,9.60281182035814,9.92573351118015,9.65427894758069,9.9897617980163,9.72993617103826,9.9239795535597,9.56536711165408,10.0573981883174,9.93560090257783,9.80045954164303,9.93009161559907,9.89964429867449,10.0851032152815
