protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,4.48294982654832,,4.69853325028194,,,,,,,,,,,,,,3.01180730857579,2.89605250689451,3.05513424157968,2.89028535732744,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26926865742994,,,,0.809115431673641
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11697218501469,,,,
"10 kDa heat shock protein, mitochondrial",9.18730136295118,9.22760371952574,9.20884964564628,9.49299948244964,9.26728025491164,9.42215836683716,9.34522900192515,9.1267826206149,9.35665971837444,9.35827846111956,9.10983286444396,9.23624848015124,9.46459648611719,9.27283710643471,9.43193155906959,9.05437619542316,9.3736191422364,9.21627758180754,9.28068108548643,9.29288606771957,9.29576243821726,9.34468350596038,9.26355118647448,9.35274856959494,9.38691784190884,9.23320995029535,9.40331661981952,9.18132372547068,9.37139956098987,9.18730867037855,9.33812913300403,9.27190363711459,9.22384703315705,9.3018043622189,9.2312549270008,9.37260747692719
116 kDa U5 small nuclear ribonucleoprotein component,6.64092492855323,6.51799570215119,6.71308789383943,6.3258600886827,6.65486810426779,6.50435010206102,6.56931282578856,6.47528702257212,6.66023946645015,6.56868591894287,6.56705074567248,6.36953789198185,6.49275421849612,6.62468841695364,6.56738858629762,6.58241313113869,6.47434633181863,6.63752870358087,6.39321413557439,6.52319963959383,6.48295900583621,6.55808266788383,6.70898926495054,6.645489041727,6.42105567242724,6.65398838051396,6.50009115645352,6.63247331214508,6.43315113053367,6.58724227715286,6.62660128331826,6.47147524592222,6.40632332426908,6.49061358633593,6.44656857453393,6.55721517416291
14-3-3 protein epsilon,8.58068575201331,8.47500757823717,8.60698218780361,8.45265162631497,8.53767783947307,8.5705827627391,8.55819380964123,8.57898546208139,8.51244203633852,8.50667744360134,8.38496417201134,8.51673466150502,8.32270468554153,8.47356809606986,8.58831373658273,8.6015496203151,8.44040407435574,8.48655007654859,8.6654257650752,8.54772566755704,8.67055731586313,8.47469183098574,8.52209023926155,8.08659360165121,8.47191628849304,8.63829467749206,8.32168268313642,8.55016268739458,8.48865734681847,8.62141188734675,8.50795695920401,8.46215293695397,8.39532205036793,8.50196494496058,8.47767945346788,8.52535321710577
14-3-3 protein sigma,7.75320225761806,7.58990530513792,7.63897049925636,7.63211822634092,7.67624027303142,7.58896440716374,7.61902852192289,7.61316082238066,7.56383649914679,7.6154351905277,7.64268846646621,7.60314480052869,,9.14450110690136,9.12675184265883,9.1800525378275,9.11823923823484,9.16219371398829,7.31175139798666,7.2230889286852,7.23419487428368,7.3225538809859,7.24537242098531,7.56686823809187,7.4008681139687,7.50823726945341,7.53812226430048,7.83601533381914,7.63193918567193,7.31478395060541,,,,,,
14-3-3 protein zeta/delta,8.75637430428193,8.86989076385249,8.62133913707473,8.72032936899549,8.60169996772878,8.72909280732551,8.6814575257913,8.55196879977396,8.79834609447069,8.63288386777911,8.72353548646742,8.69798755263639,8.59441853789789,8.65192257584191,8.60522147641998,8.70038016886286,8.8678787369265,8.84382216048454,8.20306685856638,8.72701386259232,8.65983373024781,8.79446685183623,8.70083845300233,8.82951461522909,8.60711635490907,8.74814356334408,8.61282464684695,8.69656815705281,8.61797186044249,8.74976720666728,8.7177839807817,8.52157321519365,8.62258375579322,8.66023678581887,8.56225132396646,8.66279389936015
2-5-oligoadenylate synthase 2,7.28590064071758,7.45619710324804,7.44536493075698,7.28884584223175,7.43317035483794,7.53761464785947,7.69033499276969,7.14489103815936,7.57988183899379,7.32833708219561,7.45749310928291,7.27723422797989,7.07158603778353,7.71281316887495,7.27919412634123,7.6315386410949,7.21819760645304,7.56361592807988,7.44464842120104,7.30873312776378,7.50889888208506,7.30707035053008,7.54095982268829,7.31638146068615,7.21229178581231,7.72768580842802,7.11949976994369,7.59373465206765,7.09319581802523,7.69408009546662,7.66641611338897,7.10005603939202,7.50635387399098,7.08174177301153,7.53643863100293,7.29111817756952
26S protease regulatory subunit 7,7.26366186891646,7.44630278455512,7.27968772437046,7.36520566664752,7.30882147445652,7.26239646105695,7.24304248918717,7.40226412155553,7.25652212429906,7.39011653666428,7.34624298008548,7.29487500183136,7.35698763983726,7.34195294844959,7.33248369706336,7.28195121009603,7.26618345397318,7.26862348299602,7.27762222878711,7.37001019961705,7.30971512223963,7.35632632323275,7.31493915158935,7.29689860363092,7.06462494002865,7.36768357829166,7.30006410483713,7.38397462963789,7.16411661651698,7.36156310701966,7.32302660604839,7.29129126405034,7.1886712281167,7.14974326451605,7.22144513539875,7.42040230070734
26S protease regulatory subunit 8,6.8834799313077,7.10474089568896,7.0569353187225,6.82751450621236,6.88795527660946,6.93919864826578,6.88938134435966,6.98161419341572,6.71595489040905,7.08193395644677,6.98595804418797,6.86961917785965,6.89075623470953,6.92428988478235,7.05492461743212,6.9504645381935,6.98494272106024,6.77784043794748,6.7669010862153,6.88865941205563,7.01569599808372,7.14344644500884,7.00374862277394,7.0892159741221,6.90442013103583,6.96125908809535,6.94686751479182,6.90570610861048,6.89975509910066,6.98345057820255,6.97830034444393,6.74251505304249,6.78258510243915,6.9724577434612,6.8639954870955,6.99918821744939
26S proteasome non-ATPase regulatory subunit 2,7.42713584219639,7.31877723265425,7.3078992052896,7.23060871705996,7.23295838865525,7.09578651950548,7.25385149076818,7.33484406919944,7.31678054669648,7.2948046090214,7.282293314669,7.26016850144208,7.36822095831721,7.33730325552754,7.26137790683651,7.19635854080538,7.14245283537872,7.35335520917017,7.02737983137674,7.35020826993998,7.20993188883287,7.33568184158899,7.21992846013209,7.51897237566765,7.31043738711075,7.24873698725517,7.31671493233003,7.21531044005099,6.95861060682988,7.19340568388126,7.28928493981858,7.24441322502973,7.1337166550215,7.31019661249485,7.18860606973584,7.19514817500543
26S proteasome non-ATPase regulatory subunit 6,6.69295507857332,6.68714516658668,6.66530563986983,6.74515172540839,6.55239479871258,6.62519996041421,6.90911262703484,6.614168957876,6.61837182587513,6.61406918875245,6.59399388421676,6.69821722265793,6.87876908258562,6.74831793943755,6.68239493193992,6.60966648370289,6.76263810492914,6.62022903919228,6.48663870059218,6.63184157616112,6.5937664007786,6.75058683418792,6.85197116167603,6.77302007517349,6.76986648223409,6.76533120059761,6.84848444486927,6.58104517429493,6.75801146972572,6.6179646585483,7.14193815407813,7.11788454210449,6.19823243790005,6.3150604726152,6.16720343857159,7.14674853826448
3-mercaptopyruvate sulfurtransferase,,,,,,,6.37011104579688,,,6.46650551103859,,6.09252284800307,8.57141144195125,,,,,,3.35601157597026,3.2798570990537,3.37676130534019,3.8681691260342,3.90814903392401,2.84584901710987,2.56101718568887,3.79813499361739,3.68315528087185,3.76144792471181,3.5358009672243,3.76889820518458,7.94675136795033,,,,,8.01892967160018
