protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.107791711866812,,0.107791711866811,,,,,,,,,,,,,,0.0578774008406411,-0.0578774008406411,0.101204333844525,-0.0636445504077141,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23007661287815,,,,-0.23007661287815
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"10 kDa heat shock protein, mitochondrial",-0.0601406242675076,-0.0198382676929505,-0.0385923415724054,0.24555749523096,0.0198382676929523,0.174716379618479,0.0544902608869542,-0.163956120423288,0.0659209773362441,0.0675397200813652,-0.180905876594231,-0.0544902608869542,0.141368361781632,-0.0503910179008447,0.10870343473403,-0.268851928912397,0.0503910179008464,-0.106950542528013,-0.0136431674819857,-0.00143818524884409,0.00143818524884232,0.0503592529919601,-0.0307730664939356,0.0584243166265264,0.0846130862662253,-0.0690948053472571,0.101011864176908,-0.120981030171933,0.0690948053472571,-0.11499608526406,0.0512751333372883,-0.0149503625521561,-0.0630069665096933,0.0149503625521543,-0.0555990726659488,0.0857534772604431
116 kDa U5 small nuclear ribonucleoprotein component,0.0614646132010215,-0.0614646132010206,0.133627578487224,-0.253600226669511,0.0754077889155784,-0.0751102132911914,0.00144449348088394,-0.0925813097355528,0.0923711341424758,0.00081758663519782,-0.000817586635198708,-0.198330440325825,-0.0821466402220343,0.0497875582354901,-0.0075122724205352,0.00751227242053609,-0.10055452689952,0.0626278448627211,-0.147427018164441,-0.0174415141450019,-0.0576821479026171,0.0174415141450028,0.168348111211706,0.104847887988169,-0.122611044375947,0.110321663710769,-0.0435755603496677,0.0888065953418957,-0.110515586269518,0.0435755603496677,0.145556867189187,-0.00956917020685655,-0.0747210918599937,0.00956917020685655,-0.0344758415951469,0.0761707580338404
14-3-3 protein epsilon,0.0265554509072246,-0.0791227228689131,0.0528518866975301,-0.101478674791107,-0.0164524616330137,0.0164524616330137,0.0436054607194567,0.0643971131596182,-0.00214631258325149,-0.0079109053204327,-0.129624176910427,0.00214631258325149,-0.157354400767691,-0.0064909902393655,0.108254650273507,0.121490534005879,-0.039655011953478,0.0064909902393655,0.130517811665904,0.0128177141477455,0.135649362453833,-0.0602161224235527,-0.0128177141477455,-0.448314351758082,-0.0474937286134853,0.118884660385529,-0.197727333970102,0.0307526702880576,-0.0307526702880558,0.102001870240228,0.0181347599897848,-0.027669262260261,-0.0945001488462971,0.0121427457463508,-0.0121427457463525,0.0355310178915396
14-3-3 protein sigma,0.117657894819413,-0.0456390576607255,0.00342613645771728,-0.00342613645771905,0.0406959102327722,-0.0465799556348987,0.00473051546871339,-0.00113718407352437,-0.0504615073073946,0.00113718407352437,0.0283904600120319,-0.0111532059254937,,0,-0.017749264242525,0.0355514309261462,-0.026261868666511,0.0176926070869321,0.0331894885006756,-0.0554729808007872,-0.0443670352022991,0.0439919714999206,-0.0331894885006756,0.288306328605884,-0.122311652908248,-0.014942497423533,0.0149424974235313,0.312835566942193,0.108759418794982,-0.208395816271535,,,,,,
14-3-3 protein zeta/delta,0.031663216121423,0.145179675691981,-0.103371951085775,-0.00438171916500885,-0.123011120431718,0.00438171916500885,-0.00826501342254637,-0.137753739439884,0.108623555256846,-0.0568386714347327,0.0338129472535709,0.00826501342254637,-0.0817328344544954,-0.0242287965104726,-0.0709298959323998,0.0242287965104744,0.191727364574117,0.167670788132158,-0.510859299230944,0.0130877047949962,-0.0540924275495165,0.0805406940389002,-0.0130877047949962,0.115588457431766,-0.0501536538385832,0.0908735545964294,-0.0444453619007028,0.0392981483051571,-0.0392981483051571,0.0924971979196307,0.0763737099756554,-0.11983705561239,-0.018826515012826,0.0188265150128242,-0.0791589468395806,0.021383628554112
2-5-oligoadenylate synthase 2,-0.153367002079879,0.016929460450581,0.00609728795952247,-0.150421800565712,-0.00609728795952158,0.0983470050620081,0.297419897030435,-0.248024057579904,0.186966743254527,-0.0645780135436516,0.0645780135436507,-0.115680867759372,-0.349818989427026,0.291408141664396,-0.142210900869328,0.210133613884341,-0.203207420757515,0.142210900869328,0.0641334802574445,-0.0717818131798147,0.128383941141473,-0.0734445904135113,0.160444881744695,-0.0641334802574454,-0.190721433127671,0.324672589488046,-0.283513448996291,0.190721433127671,-0.309817400914743,0.291066876526643,0.267680087608715,-0.298679986388231,0.107617848210731,-0.316994252768718,0.137702605222677,-0.107617848210732
26S protease regulatory subunit 7,-0.0305927304970304,0.152048185141628,-0.0145668750430277,0.0709510672340352,0.0145668750430286,-0.0318581383565419,-0.0775165017712549,0.0817051305971086,-0.06403686665936,0.0695575457058597,0.0256839891270619,-0.0256839891270628,0.0497701862575672,0.0347354948698904,0.0252662434836646,-0.0252662434836637,-0.041033999606519,-0.038593970583678,-0.034704908127388,0.0576830627025533,-0.0026120146748605,0.0439991863182589,0.00261201467486139,-0.0154285332835755,-0.266188665899747,0.0368699723632684,-0.0307495010912664,0.0531610237094942,-0.166696989411417,0.0307495010912664,0.0666584063238416,0.0349230643257954,-0.0676969716078419,-0.106624935208492,-0.0349230643257954,0.164034100982795
