protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",-0.193619159986337,-0.15331680341178,-0.172070877291235,0.112078959512131,-0.113640268025877,0.0412378438996495,0.0746551403439657,-0.143791240966277,0.0860858567932556,0.0877045995383767,-0.16074099713722,-0.0343253814299427,0.0412140903094631,-0.150545289373014,0.00854916326186128,-0.369006200384566,-0.0497632535713226,-0.207104814000182,-0.0494249622718659,-0.0372199800387243,-0.0343436095410379,0.0145774582020799,-0.0665548612838158,0.0226425218366462,-0.000293498997237407,-0.15400139061072,0.0161052789134448,-0.205887615435396,-0.0158117799162056,-0.199902670527523,0.0737187686167395,0.00749327272729516,-0.040563331230242,0.0373939978316056,-0.0331554373864975,0.108197112539894
116 kDa U5 small nuclear ribonucleoprotein component,0.191522964254929,0.0685937378528871,0.263685929541132,-0.123541875615603,0.205466139969486,0.0549481377627163,-0.0295548535151697,-0.123580656731606,0.0613717871464221,-0.0301817603608558,-0.0318169336312524,-0.229329787321879,-0.0187421603746714,0.113192038082853,0.0558922074268278,0.0709167522678991,-0.0371500470521573,0.126032324710084,-0.182376314160497,-0.0523908101410582,-0.0926314438986733,-0.0175077818510534,0.13339881521565,0.0698985919921125,-0.0303769807109031,0.202555727375813,0.0486585033153766,0.18104065900694,-0.0182815226044735,0.135809624014712,0.133436889277839,-0.0216891481182051,-0.0868410697713422,-0.00255080770449201,-0.0465958195064955,0.0640507801224919
14-3-3 protein epsilon,0.0812717629162272,-0.0244064108599105,0.107568198706533,-0.0467623627821041,0.0382638503759889,0.0711687736420164,0.0729938036441968,0.0937854560843583,0.0272420303414886,0.0214774376043074,-0.100235833985687,0.0315346555079916,-0.127769479951803,0.0230939305765219,0.137839571089394,0.151075454821767,-0.0100700911375906,0.0360759110552529,0.295755398343866,0.178055300825708,0.300886949131796,0.10502146425441,0.152419872530217,-0.28307676508012,0.0444975156770617,0.210875904676076,-0.105736089679555,0.122743914578605,0.0612385740024912,0.193993114530775,0.0476374715240731,0.00183344927402729,-0.0649974373120088,0.0416454572806391,0.0173599657879358,0.0650337294258279
14-3-3 protein sigma,0.14953961140386,-0.0137573410762784,0.0353078530421644,0.0284555801267281,0.0725776268172194,-0.0146982390504515,0.0105106927442638,0.00464299320202599,-0.0446813300318443,0.00691736134907472,0.0341706372875823,-0.00537302864994338,,,,,,,-0.05908561793433,-0.147748087235793,-0.136642141637305,-0.048283134935085,-0.125464594935681,0.196031222170879,-0.12277507401167,-0.0154059185269553,0.014479076320109,0.31237214583877,0.10829599769156,-0.208859237374957,,,,,,
14-3-3 protein zeta/delta,-0.0167300091092368,0.0967864504613214,-0.151765176316435,-0.0527749443956687,-0.171404345662378,-0.044011506065651,-0.0529888431185039,-0.182477569135841,0.0638997255608889,-0.10156250113069,-0.0109108824423867,-0.0364588162734112,-0.0947543791835699,-0.0372503412395471,-0.0839514406614743,0.0112072517813999,0.178705819845042,0.154649243403084,-0.580598251319499,-0.0566512472935585,-0.123831379638071,0.0108017419503454,-0.082826656883551,0.0458495053432113,-0.00552126582376822,0.135505942611244,0.000187026114112143,0.0839305363199721,0.00533423970965785,0.137129585934446,0.0835776272679052,-0.11263313832014,-0.0116225977205762,0.026030432305074,-0.0719550295473308,0.0285875458463618
2-5-oligoadenylate synthase 2,-0.141651890395504,0.0286445721349553,0.0178123996438968,-0.138706688881338,0.00561782372485276,0.110062116746382,0.114431679087565,-0.431012275522774,0.00397852531165643,-0.247566231486522,-0.11841020439922,-0.298669085702243,-0.118073219075736,0.523153912015686,0.0895348694819615,0.441879384235631,0.0285383495937746,0.373956671220618,0.133920108207701,-0.00199518522955788,0.198170569091729,-0.00365796246325445,0.230231509694952,0.00565314769281144,0.0706293278852304,0.586023350500948,-0.0221626879833892,0.452072194140573,-0.0484666399018412,0.552417637539545,0.0966799072613407,-0.469680166735605,-0.0633823321366434,-0.487994433116093,-0.0332975751246973,-0.278618028558107
26S protease regulatory subunit 7,-0.0943064351700711,0.0883344804685873,-0.0782805797160684,0.0072373625609945,-0.0491468296300122,-0.0955718430295827,-0.0388933753367375,0.120328257031626,-0.0254137402248427,0.108180672140377,0.0643071155615793,0.0129391373074546,0.0384360428793293,0.0234013514916525,0.0139321001054267,-0.0366003868619016,-0.0523681429847569,-0.0499281139619159,-0.0634561467064669,0.0289318241234744,-0.0313632532539394,0.01524794773918,-0.0261392239042175,-0.0441797718626544,-0.111643613765604,0.191415024497412,0.123795551042877,0.207706075843638,-0.0121519372772729,0.18529455322541,0.0786456161937732,0.046910274195727,-0.0557097617379103,-0.0946377253385604,-0.0229358544558638,0.176021310852726
