protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,3.4875725155952,,3.70694165864055,,,,,,,,,,,,,,3.60289163904396,3.42392701357044,3.59051421455308,3.43861703117345,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-3-3 protein sigma,0.582754550515025,0.365652800551635,0.584206335342996,0.758166722009104,0.765540362100079,0.626877576904647,0.572448684152388,0.476037184818079,0.402162666364891,0.462815946232045,0.678370273227547,0.593347840634065,,1.14685380817641,1.3336356272553,1.21258966269984,1.06969592573974,1.18604188770921,0.423710368480211,0.42303930825601,0.555183822793624,1.07924788804669,0.497047468362929,1.09448268237585,0.800942661014367,0.886399105328305,0.904729713371715,1.29262146782634,1.16087400249063,0.711855726031882,,,,,,
2-5-oligoadenylate synthase 2,3.98092440383121,4.13709780277338,4.1264706564976,4.02091166885972,4.1504679081744,4.25447878710111,4.45033264939244,3.88384393875431,4.31955733054704,4.07580155325773,4.22146595617734,4.02160765962445,3.81549827401137,4.45745869107194,4.03523205145321,4.3878710364163,3.97393340218358,4.29397159980286,4.17161911197325,4.04702515472263,4.23194454437503,4.02950566351186,4.26292162098282,4.03770369455612,4.09495989327693,4.57258860642338,3.97570604064153,4.43544529962259,3.98085155373901,4.55947924215042,4.2854253504278,3.75060283079998,4.19344659691113,3.70493592724081,4.19714763870278,3.91309308793471
3-mercaptopyruvate sulfurtransferase,,,,,,,16.7563810916943,,,16.9270143821161,,16.8073339917705,17.1714332864189,,,,,,16.9504117886619,16.7406436362625,17.1509935543246,17.4705591713845,17.5774937034171,16.5057972387727,16.1837419176423,17.3838397592706,17.2553936506846,17.4604851811441,17.2078084069027,17.4208588308623,16.753471343277,,,,,17.0513789597356
"39S ribosomal protein L18, mitochondrial",-8.12532323918784,-8.19586679025652,-8.54436903737796,-7.97998127287182,-8.47263502533258,-8.1285739460993,-8.34414678787987,-8.64125069101937,-8.50117097721276,-8.27033098767251,-8.35843956903206,-8.34191914907929,-8.12931776783746,-8.39338652902543,-7.76998126663121,-7.85293538661979,-7.79373568240274,,-8.13372654003996,-8.29629895363798,-8.25948343314348,-8.11173780030424,-8.23997774999149,-8.4532567604602,-7.44915848355896,-7.64630062345323,-8.2128507916648,-8.37333975221537,-8.92390867642358,,-8.34215144220464,-8.35001258215049,-8.13677892133024,-8.14572485463311,-8.26520858801768,-8.49314193305351
"39S ribosomal protein L33, mitochondrial",-19.2221600853971,-19.1266025982637,-19.8199439802411,-19.4219407339949,-19.4563784985004,-19.5876560989342,,,,,,,-19.3789086792595,,,,,,-19.2356487932545,-19.1307257219921,-19.1324047617156,-19.440162568516,-19.9319780379859,-19.7934007543267,-19.8922160519512,-19.1781624996798,-19.1085135793893,-18.7603720094496,-19.2966004025711,-20.1007446522121,-19.4498601235092,,,,,-18.843868783323
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40S ribosomal protein S26,18.3587163249226,,18.5146558685367,18.1561844586746,18.4162820199356,18.4333604169841,17.8148429354761,17.8615897976207,17.9898603070687,17.9703144497578,17.9624128527757,18.2471723982797,,,,,,,18.7285675954552,18.7535988261541,18.926698150604,15.1603572669807,19.0006680375945,19.1389370520807,18.72112552085,18.6794754902913,16.7108074653424,16.7396888326183,18.5194298349005,18.6297367550719,17.9897015564366,17.8602226840167,17.7550875856636,18.0944531611142,18.0101625263116,18.2070359900576
5-nucleotidase domain-containing protein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-phosphohydroxy-L-lysine phospho-lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.61070120664746,-8.65149338866774,-8.69991838005738,-8.77601464223637,-8.73762692575821,-8.68412508066978
6.8 kDa mitochondrial proteolipid,,,,,,,-4.88590126484186,-4.63883399563368,-4.79559663808463,-4.72281389738012,-4.93005249420514,-4.61775425819976,,,,,,,,,,,,,,,,,,,-5.83031055716727,-5.03916313686176,-4.42750182552797,-4.12452071395132,-4.55656986620385,-4.61964480526974
60S ribosomal protein L10a,-5.76404414167011,-6.63051006635843,-6.5780101086429,-5.8024969455622,-6.42782895188272,-5.98955485751036,-6.13721707662653,-6.79247911898207,-6.13154988414139,-6.63025783567137,-5.92083879894694,-5.93826542384463,-6.07092450178749,-5.91756922066907,-5.99650160255465,-5.93774736843145,-6.12291732918445,-5.97587974853718,-6.15357645343164,-6.10415829557611,-6.17092266653965,-6.23145670222007,-6.18134463139212,-6.2306856193358,,,,,,,-6.34674983794849,-6.23161928981069,-6.14656765763826,-6.28299919345207,-6.2333225065634,-6.30145946583569
