protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,7.99231095938009,,-7.08077798987556,,,,,,,,,,,,,,0.325212905163743,3.86729161862357,-0.393910009939181,-0.793003639347623,,,,,,,,
26S protease regulatory subunit 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3699724640623,,,,38.6173156258637
Antithrombin-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1869138934279,,,,
Serine incorporator 1,-3.97484586933509,-3.33429225972397,6.91710147869091,-5.60373799710674,1.77475353039455,9.29832155045537,7.82655556087232,-2.20284987716157,-3.68013545127811,2.74945019323192,-4.1409565606471,-1.03780390779799,2.11012018709404,3.22132207459519,-2.49533430474729,3.68395297487756,0.614975312869255,-2.4957143841126,0.181554293862553,3.01078921039862,1.8959436083823,2.18014699801371,3.41003962200127,-6.14198706546906,-12.9496478181847,15.1247543404664,12.9455724884769,8.60579347783811,-1.37051077636619,-5.25563028746031,-8.08433573012495,-1.11563765212308,1.70841017886783,-6.79708409442134,2.42531210111403,-0.696613788438932
"Serine--tRNA ligase, cytoplasmic",39.9769840305145,41.4509233881275,41.8659807357474,40.6261184252174,41.7731440090935,41.7537676290185,42.0337409223041,41.8157923151522,41.9392033545302,41.9480832665243,41.6032980656543,41.9756614738605,41.6190461759052,41.6049870120763,41.6775150859687,41.6929961080025,41.4898826744277,41.5856086479263,43.1074649921398,42.5998011169063,41.9542369830777,42.7405589296995,42.3534263136469,41.1815996961669,39.8602354317679,41.427995501824,40.1158529211348,40.5332055820466,41.076117410289,39.3985204648685,41.0714092515424,41.8147113232449,42.1643276851321,41.3462428995721,42.3068625448782,41.7031089081019
Serine/arginine-rich splicing factor 1,38.9208275336803,40.5247439308037,40.5471028485387,39.6773646332577,40.585704697448,40.2560858923324,40.1975535736242,40.2303309172955,40.5277299880393,40.1239093580002,40.2668611960716,40.7717971511901,40.4742923933203,40.4127558752705,40.5458834758451,40.7222833191422,40.6137703613416,40.2350083109008,42.2048416090394,41.2825850452613,40.6527961543985,41.5290824687391,40.8723323308376,40.1464712539884,39.2059711674463,40.1278617211741,39.5697750676804,39.7851291940372,39.9026239972721,39.2481158108056,40.4562227610154,41.0034364607161,40.952361356763,40.6149156918414,40.9633234643946,40.8412922270666
Serine/arginine-rich splicing factor 8,13.0801540924453,10.4365122062591,12.746621406477,12.2848900101036,10.7275017858539,13.1546913241789,13.0416284959048,15.734840756898,10.8643152539276,14.3930526119192,14.0867412280596,10.371100416454,,13.8927702546936,10.7102677733534,13.6538884418144,12.4290914848388,8.70577020365078,7.10724962664651,7.83805124792325,9.73706830898409,7.41209462941663,8.51863153586148,10.1939055552252,23.0401423148091,-2.45389217237664,13.4532233355007,16.5618457113725,15.9964294439331,14.7972801550048,,,,,,
Serine/threonine-protein kinase 17B,11.7041150068113,8.47535236645268,6.05249259171463,12.087745678057,5.80253418044728,7.25568497528514,9.16776338209621,10.8752120418212,7.37340318079175,10.7253007211892,9.36735136344594,6.48282795863904,6.40273862210413,10.3646530345715,5.59079139973545,8.09240053328759,9.14863865609818,1.42374466559907,-1.12508626346324,2.7287226929226,9.5187031397006,0.255326312887923,6.81564713282743,7.26902541476868,18.9253464841333,5.46031897147027,12.7860645114692,10.6239704284727,7.35858287008928,17.8419234101348,14.9747985719664,12.4176406635733,12.4326098417997,13.1432977966301,9.29842534087002,22.7240572235639
Serine/threonine-protein kinase 19,-0.821606165178461,3.21091206763737,1.1903216825009,0.617677238404409,3.40404546120011,0.846082549296508,1.62733203636914,2.22511673087126,9.78186446038702,1.78205902658229,5.60394533811588,9.48029691904344,6.48970375082745,4.6553604417952,8.05093297284594,4.51606831816605,6.55368692971725,8.95919346310442,25.8579432676178,14.9356432190671,-3.32304689500272,18.3785723343621,11.7711587516921,13.6124937159525,-2.13856683866463,10.4743209367271,6.64849075918749,6.84254728187046,6.70477368255118,5.73524563125137,1.89437097342441,7.11973393998034,2.8029400371388,3.2197980172553,7.27478973365173,-0.839931861109075
Serine/threonine-protein kinase 25,-3.59343053184246,-2.28118129239091,0.817378793784511,-2.8263934065177,-0.87048238967052,1.68080905288845,0.852621006967422,-0.456975925662519,2.41082534380942,-0.30683347650185,0.826713385022558,2.35280439742027,1.24232019047702,0.539555332787563,1.27718683575795,0.50983931343464,1.09460337069874,2.56508605943971,4.78659284161085,3.15813451471857,1.53736308566772,4.69948915952904,2.01809457333244,0.214572945274482,-0.18375419330993,2.96514905132634,-1.24802484961095,2.93423662991614,-0.188108459656646,-3.12467516166919,10.3772287424551,1.57958321371021,-4.16030213066941,-1.79296808832319,0.330461497130881,-5.4835779071162
Serine/threonine-protein kinase 33,4.28110499013553,4.58782664945786,6.38635305621607,4.26805676470844,5.89862960230534,5.27921222262742,4.17136752048595,4.90190463479625,0.636664090128195,4.51961443802453,3.15442493317824,0.643092153602521,2.36261863328583,2.39090364947862,1.09879600242965,3.15247577220343,1.33375127080276,1.23907250530726,1.72442056380716,1.62895022693274,0.738366251980758,2.17398623197845,0.410987265325409,2.90430957076663,2.39189423402985,-1.86315007174344,-2.66986127033123,14.5074168888335,15.4366104912031,11.8200639184051,-1.86140756754623,-5.00656901617732,-1.43683883389718,-1.62640875458706,-5.48334111093736,2.52314001132518
Serine/threonine-protein kinase TAO1,-2.30783011102194,-2.11489542252606,6.05285863669942,-4.69706373461592,2.4958178840196,7.23270798657216,6.77665270447504,2.23348223112667,-2.52752906117052,4.76909906564734,-0.520810760091841,-0.587822062605226,2.9847861543127,1.83677971896978,1.5040339210529,3.81391903887753,0.454528632402173,2.3608829412235,2.05618444072923,5.2038497992733,-0.599621717480992,3.17460212768546,3.31958769795334,-2.48942846132811,-3.18341148229704,1.83512518627599,0.559339959414939,-1.782285025726,3.91619180797352,-2.59902933511737,-1.09781217421681,-2.07986526783283,6.47293655873298,-1.32872284047137,2.21121847792646,22.2207525319249
Serine/threonine-protein kinase TAO2,-10.6174452018304,-0.730683512651682,-5.7445434844543,-5.29328623824601,-1.02197932774676,-8.09618514859075,-8.48416038554332,-2.22342012850853,12.1600632398911,-6.36199300466532,5.09403390176607,10.3697894657971,4.30537885440698,-1.24677942533919,9.31419785759186,-0.278964447665608,3.86824558151406,14.1503225509569,15.8599925348188,-0.605074226097486,-9.98566651650667,8.63488282014262,-7.53436095536541,-8.98407911310191,-5.38632948365139,3.89569277520612,-2.27828128315017,3.85499822733228,-3.45489360724541,-2.1966607181626,-2.42359286823135,6.61731434338555,10.0330317588465,3.55642915710859,2.00040313188884,-15.8128222019198
AP-1 complex subunit sigma-1A,,,,,,,15.2871407599476,,,24.1179069827925,,43.9978358809774,29.9445633091048,,,,,,43.4709162840433,35.1964671561423,13.5573276947136,48.23129635527,17.9527418389266,34.0037857606584,48.9054930563295,33.7720447993937,23.0030787999002,43.0089823002841,30.4792923834273,23.6022858465719,45.0784175388223,,,,,14.5163781881137
Serine/threonine-protein kinase ULK1,-2.3116577153386,-2.15428541366531,4.96806451431112,-4.39506271023825,1.85019622509123,6.08359111348812,5.78771622863163,1.83487401822536,-2.39902721564517,4.06020715285605,-0.588618290397805,-0.736743805077925,2.39056335563592,1.36166728593816,1.05817977767512,3.11231657798384,0.141170659700921,,1.49057724742272,4.29245628621758,-0.830313515428317,2.47972792569017,2.65947265944973,-2.72547949884577,-3.61107213862677,0.75528054923796,-0.542229392093887,-2.42199183557376,2.47877595327345,,-1.96045792166674,-2.29975090392573,5.345342368677,-1.95407932375322,1.6181610972543,18.9139264354125
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,10.0124226352815,5.3164505397478,0.476192993451753,8.86613083358172,2.49173420247939,-1.69675348862885,,,,,,,1.33782770813526,,,,,,-2.69603562078711,-2.76233684618017,-0.89384700240884,-3.08428031758845,-2.16982032308852,1.18813046002633,17.0777441891694,6.00001303076293,-4.88369433020116,9.44408261859365,9.08133597720693,15.7322871119161,1.32316012584844,,,,,6.94799333060358
Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,,,,,,,,,,,,,,,,,,,,,,,,,,6.94453185611465,-3.71239591186016,,,,,,,,,
Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,-5.52536254947768,-4.76379352430511,16.2130591202901,-6.57303600304421,-2.28034249994983,1.14020176920504,1.04530949715411,-7.56247000285063,-3.29423203710211,-2.88816208474263,-7.21246688202715,-1.6970026880503,-2.80884601425491,-0.237489750753696,3.44997286225644,-2.52560575622515,1.90966924920529,5.26569364748432,7.06374447522123,8.54300405177688,5.79131195617617,23.3432780715549,26.8644234929232,14.1940437278202,-3.35491259458707,2.26512614019842,5.76287743393358,2.00027770157755,0.97219050353174,4.68511044006209,-1.15112213865737,6.52581182256251,0.0197483554405615,1.00069408499536,5.13788083661947,-3.45703781035872
Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,8.11018499448813,-3.697425605384,3.25717052483145,-9.04836613328055,0.904504368928438,5.74251821141616,7.03302786631781,2.21213902954657,4.21657812834012,4.96071217207419,2.41716543895554,3.53526715604815,0.36726692551506,-3.26645128269945,2.31813762156627,-2.22113782903196,-1.34204176679031,6.20788074619735,9.43985245363355,11.0209268081712,5.07820147730804,10.5108757507348,8.98874660402012,1.87651419721296,1.92248214635899,7.28873043627267,-0.484886813734309,6.88376603179445,2.54334149676464,-5.01128703419384,9.2281245733861,-6.98001900790893,-9.47536291738544,9.23274336461352,9.60762276794634,5.08500672224795
Serine/threonine-protein phosphatase 4 regulatory subunit 4,-0.302036796229405,0.65015475596026,0.932509395858439,-0.0897076447207323,1.18496856022093,0.978585362543779,2.01008380642487,0.493283831675649,-3.51997991583306,2.03033929681679,-1.83581366826768,-2.59824735005731,-0.473907999383764,-0.0399001666048655,-1.15078552175919,0.475522041693447,-0.92276959287256,-2.35264946669674,-3.87031997871378,0.580180033991028,0.397448358963718,-2.32785775093456,1.06834900954841,1.8632665343569,1.96167933796257,-3.4700003066998,-1.86221010446271,-2.22731579169177,-1.10086904678386,-3.2236716704529,-2.8041801242755,-6.78053426210116,-1.83309512230781,12.1379061721841,-5.82458392140169,0.0569929801951696
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,-1.4785079874306,1.68040786868254,2.29011763879245,1.33212298709081,1.56047396627441,4.33841658966118,6.08565343938398,3.0820410158948,3.59152440736842,5.17326393524553,2.61039762845781,3.82041983440052,3.14336641286012,5.69358246688372,5.20469373272968,3.83427885562879,6.25737527376112,3.15291559309371,1.7088672350921,4.25866606428425,5.57833445764114,2.54272997938051,5.54220594875658,5.46938328969787,6.1265526235758,1.29521605429888,17.1181866784676,4.44497591581574,-0.0362863695267419,-2.74514537410821,10.548571653438,-5.22134692072228,-8.24862910670517,10.8575429320293,12.7470394414533,-5.85591830429453
