protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,2.36522885616282,,2.58600843346238,,,,,,,,,,,,,,2.21501837171571,2.02155161211544,2.2474814854038,2.07102570299899,,,,,,,,
1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,3.35894269107008,1.96691492741131,3.25975672606718,1.55391802676993,3.24737282963745,2.14594009880725,1.87683743236755,4.51442410239254,2.18454744683029,2.49455181360967,1.268832310022,2.25021496025382,2.59740987602357,2.2860210303033,2.52640000608479,0.819243283518315,2.80563491914364,0.819243283518315,2.65240336055862,2.40864489776073,2.56585433869974,2.25056691270374,2.59159768235295,2.17479798332129,1.36028284360327,2.77720119545432,1.76402303322381,2.90790027309637,1.01250371551035,3.1792616063663,2.29227220013326,2.1927426362918,2.40483047473974,2.25447941176672,2.65565553365523,2.36379939859556
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.37352620984511,,,,-1.93211631201683
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.564492873883506,,,,
"1,4-alpha-glucan-branching enzyme",2.91106133348511,3.19549607839718,2.55909923800403,2.78236344700468,2.89130649233608,3.48707094667623,2.80922220926304,3.68079503205238,3.26407522525229,3.73888426687,3.19189430096248,3.91211101285248,2.90843724674413,4.08821863396759,3.67797702416862,3.85478333866334,3.05381336462534,4.03424648339737,2.58904357243929,3.79253063511559,2.64562953663283,3.41699079146424,2.99150074588504,3.00187407209306,3.61261389329217,3.55930214025467,3.05103145970067,3.66142131895452,3.57260052489241,3.18153361050926,3.17055152192235,3.5691057836952,3.44001969180715,3.94807358378473,2.95950017980525,3.91089437312676
"10 kDa heat shock protein, mitochondrial",6.2214007862356,6.29283005261022,6.24456992279774,6.55595638606584,6.3095981920403,6.49263002187128,6.45200419742729,6.28746678151269,6.45743128650294,6.41041849585494,6.26159390678019,6.29149007021221,6.42993947546287,6.22589823855187,6.45026397888387,6.11209947326455,6.41897139116938,6.22364553590158,6.31853931017138,6.37897245082293,6.33003953737411,6.35048017127284,6.32715629550531,6.3841271886174,6.38875365458601,6.17826545542599,6.42741566078859,6.18571342706062,6.41415061460976,6.122077927741,6.36287225564927,6.3939250418331,6.41968903580899,6.39750651505855,6.35506298741499,6.38964870548496
116 kDa U5 small nuclear ribonucleoprotein component,3.79087387548165,3.68131742825033,3.82163343186197,3.528434404388,3.84777769773711,3.73892405805466,3.57388542809672,3.60032949160459,3.80110766824183,3.71675352526041,3.77273394184941,3.42608443369533,3.7971354610648,3.47071389959307,3.80096094345685,3.68657372297057,3.84609634972381,3.50177302017522,3.57838490646513,3.76435180268383,3.71591540249181,3.63144060709304,3.77338548215423,3.72461442221438,3.44875909737477,3.73304426629214,3.60302851820401,3.61693564024331,3.45946702769261,3.54223285487956,3.7162158931489,3.61130951656691,3.6709214103418,3.56336422545492,3.61837759550969,3.57877402552901
14-3-3 protein epsilon,6.06037304605324,6.26878401077836,5.62828460393486,6.21242153673053,5.60675125963835,6.19116244804876,6.16434973023512,6.1549163378571,5.67693667176685,6.31754636464157,6.17201014341925,6.34354157676636,6.54207357744582,6.56600971264229,6.4939612430867,6.47781244532276,5.47940815022394,5.48766303363911,5.82716038692216,5.45565180655726,5.75637564370419,5.57111349191489,5.7910152424394,5.78604768051089,5.80118468585519,5.77545736728959,5.84367196193533,5.92384430971001,6.36724795088916,5.73158520530816,6.18751121873093,5.80137174428215,5.85291040728379,5.9005584089612,6.14065289950461,5.91500622627988
14-3-3 protein eta,4.43262261575229,4.21105239847651,4.36778473152681,4.23653987920077,4.36106125831003,4.32181600093479,4.07348983279636,4.34194020429169,4.45089537202091,3.80874769274479,4.45666469732128,4.20311116605772,4.20856978712617,4.23337085480648,4.29634973871972,4.2707476243153,4.28558314731008,4.3311009285359,4.38946663892397,4.62774928710762,4.34726188203352,4.16379295891879,4.33363397127252,4.07340611655366,4.18103770909588,4.20960441293822,4.24112636813994,4.22423218368071,4.31488767646963,4.28561679640654,4.11446378551809,4.0441673588732,4.26912955264485,4.06423392869826,4.30902044658171,4.06814531059019
14-3-3 protein sigma,6.84122835612503,6.6757190803159,6.70355296609094,6.75134009222209,6.77602182236668,6.69346209047666,6.54245279520333,6.50655515785534,6.47622963454022,6.51398527014224,6.56027775542558,6.50070396024925,,7.34282118579933,7.35836132679687,7.40181325329796,7.35402906235806,7.40062498854746,4.43661961130564,4.39539968243201,4.34945582074308,4.4453747427274,4.4033075428891,4.67413012921271,5.79054665067121,5.82020384823694,5.91693698168719,6.20322315305328,6.05097549654509,5.64542558117654,,,,,,
