protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.97948815911778,,2.20026773641733,,,,,,,,,,,,,,1.31444340572656,1.12097664612629,1.34690651941464,1.17045073700983,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.979997338194876,,,,-1.5385874403666
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.497291341278327,,,,
"10 kDa heat shock protein, mitochondrial",6.22379411177297,6.28275593006507,6.22205713932187,6.59705842166066,6.29348331336659,6.52714569876722,6.42365200407391,6.16298834183297,6.45671576928619,6.43608233927171,6.16155412570181,6.26173663114306,6.49479843090121,6.31536829382156,6.53464004031499,6.13269039975541,6.49237926325924,6.32632825531244,6.31828016210085,6.37785691983093,6.32436754429442,6.37096855555372,6.32873042240612,6.37638859910208,6.4414800852592,6.21259269125861,6.45886296339104,6.21617890034542,6.45595472853477,6.18093851739111,6.33457060503424,6.32214978480245,6.36055903717026,6.3242246734523,6.33058374373985,6.32039026499851
116 kDa U5 small nuclear ribonucleoprotein component,3.67798165298888,3.48175026277184,3.72729388401963,3.45425874598997,3.6911397415939,3.65532659190609,3.73367255112173,3.52312135051151,3.84831907093882,3.66493752021444,3.62844652118577,3.41423598305576,3.51995804619165,3.68857479999137,3.63016030843852,3.75725117772403,3.55037872335035,3.67576240393133,3.50294185737212,3.54046831306329,3.67554812104184,3.352481605364,3.78994546752229,3.69602615977295,3.48929966570876,3.69078805280609,3.54855583922334,3.69747635367051,3.49504143512909,3.58085028752616,3.58129798437419,3.51356240126536,3.5888507015653,3.47764360612997,3.56263753763089,3.54440697112807
14-3-3 protein epsilon,5.63483022136763,5.53182483599285,5.6126618104984,5.51150798392021,5.58513778186117,5.6184024059057,5.62936374951776,5.61984896722312,5.57396959545157,5.55144457333973,5.4564537860468,5.56658271255421,5.35800981594205,5.55155723879986,5.68218409810686,5.69033039888743,5.57631149340423,5.6060202866608,5.72363883349291,5.65338678790036,5.7193107868062,5.48942851845267,5.56905869705199,5.13677626105994,5.54470366770426,5.62615937226807,5.28902448514063,5.58695793917065,5.60485020341656,5.62505615064346,5.50850469640465,5.50515966506503,5.52804201902775,5.51703958799184,5.57205199825016,5.4682848714796
14-3-3 protein sigma,5.31462910833716,5.14911983252804,5.17695371830307,5.22474084443422,5.24942257457881,5.16686284268879,5.20744209515565,5.17154445780767,5.14121893449255,5.17897457009457,5.2252670553779,5.16569326020158,,6.32817545098256,6.34371559198009,6.38716751848118,6.33938332754129,6.38597925373069,4.87245420327312,4.83123427439948,4.78529041271055,4.88120933469488,4.83914213485658,5.10996472118019,4.98023493091579,5.00989212848152,5.10662526193177,5.39291143329786,5.24066377678966,4.83511386142111,,,,,,
14-3-3 protein zeta/delta,5.80003434746416,5.91669172023853,5.63782189582436,5.79429529534833,5.66019882661716,5.79265950930491,5.74180559341578,5.58028108984518,5.83357216875072,5.65721996793066,5.78447031205447,5.77753044189043,5.63895724635099,5.70977063702534,5.71480037426805,5.79068846149802,5.94269013437808,5.94765520641066,5.29833753654877,5.79324916594231,5.69042699683193,5.803662154473,5.78043559641971,5.86449424593995,5.67094299393307,5.7294413894165,5.65867124037365,5.74204928553511,5.7093924008176,5.74879730369678,5.71821165520345,5.57336575199938,5.7748890967965,5.71415160026827,5.64754937263457,5.63268278683846
2-5-oligoadenylate synthase 2,4.33517529043239,4.52530392156741,4.4687012243461,4.38400115207636,4.49659213684092,4.62625507283934,4.7735850485672,4.20015134616027,4.65142956218459,4.38465624892266,4.53144827891813,4.32899954576161,4.12796888326958,4.79586634075344,4.39415068931905,4.72248657726351,4.32133426046144,4.67550492412715,4.49095740483942,4.39863272277667,4.54205109467891,4.3521949261352,4.61391525589408,4.34467430746335,4.32033019072387,4.71113677792715,4.16759703999468,4.63760320628587,4.18269564463418,4.69094054337985,4.66168269448511,4.15550106205209,4.64977783900403,4.10994454359229,4.63060148229714,4.25937525880424
26S protease regulatory subunit 7,4.30827451132071,4.46143518503512,4.28780823789176,4.39918688045485,4.34440097910437,4.31416228804067,4.28668425716324,4.43329746452458,4.30227605367149,4.39504090901139,4.39055698656471,4.3435417237635,4.38115837563466,4.35934828321267,4.4123852445701,4.35776400565317,4.35061108094905,4.34829184419436,4.32088152344802,4.43767536057655,4.33113387195781,4.38238373861645,4.36985100797643,4.27217120271541,4.10872934668213,4.37912864337381,4.33507474689116,4.47732039355529,4.17547098477306,4.39702299285887,4.31068267993141,4.33151791279839,4.30663439865536,4.15878537617991,4.30291652125423,4.36505576987314
