protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,-0.110389788649777,,0.110389788649776,,,,,,,,,,,,,,0.0719963343583623,-0.121470425241908,0.104459448046447,-0.0719963343583624,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279295051085863,,,,-0.279295051085863
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"10 kDa heat shock protein, mitochondrial",-0.0425505812343412,0.0164388300413052,-0.115120143833141,0.349900411666787,-0.0692770193220013,0.260362816059086,0.109481892000351,0.00231485541708602,0.147367855579864,0.102794804729781,-0.123178674487586,-0.143869923384341,0.096222261354411,-0.106097887247494,0.149216293834735,-0.382993325011177,0.0585934906257184,-0.0876461588271525,-0.0580034992611048,0.0315197614447545,-0.027514978925785,0.0384675582552694,-0.0215043943032473,0.0299064126913901,0.114493960991784,-0.107976055058873,0.172203523011378,-0.104161899280157,0.112826970166498,-0.20499905313484,0.0119587728427954,0.0392754997622096,0.0314490397637033,-0.0160943869069304,-0.0192166775810829,-0.0139218964183486
116 kDa U5 small nuclear ribonucleoprotein component,0.0146851415956454,-0.181230647065222,0.0739262061785037,-0.177482770032201,0.0303687626144108,0.0221130268444266,0.122943147338634,-0.110393751352502,0.225053993636272,0.0447046785546552,-0.0172205971730068,-0.19465152969048,-0.103540927298349,0.0704762835542937,-0.00681055746269628,0.165172146803234,-0.0571869409766281,0.0349278449081629,-0.125999705279523,-0.0890101423199904,0.0689266175927031,-0.321903736459948,0.190628469756356,0.10242907148735,-0.0712887438344955,0.10433880694432,-0.0192584353063846,0.111787429835552,-0.0684844363703988,-0.000443685492946498,0.0238333500946813,-0.0341405911042321,0.0522881351649166,-0.069887620455086,0.0214476735890082,0.0147065532669658
14-3-3 protein epsilon,0.0809146349688933,0.0498880148108394,0.2376385305179,-0.0738066214323339,0.0344871026830356,-0.00438848792338939,0.0592543641886238,0.0396180611198643,-0.107306027054415,0.0327098746265826,-0.257162801574282,0.0968417216818113,-0.18214512922697,0.163763062397429,0.244017706912931,0.135377463784368,0.0143566548599555,0.0615896482166759,-0.106307601190793,0.0953659549383828,0.163042824008491,-0.128531169067671,-0.0263712997064697,-0.139731012844804,-0.0721052995254301,0.0516170091572839,-0.052658126528762,0.0332536631817203,-0.0543783817767846,0.0570071960907963,-0.01510761815775,0.0475271242582594,0.0194845438895018,0.00413166814216038,0.0794793438121733,-0.0208951342644081
14-3-3 protein sigma,0.113781826968518,-0.0517274488406061,-0.0238935630655748,0.0238935630655757,0.048575293210167,-0.0339844386798537,0.0321825812045392,-0.00371505614345045,-0.0340405794585693,0.00371505614345146,0.0500075414267879,-0.00956625374953824,,-0.0155401409975333,0,0.0434519265010921,-0.00433226443880307,0.0422636617505948,0.0166560342082711,-0.0245638946653655,-0.0705077563542956,0.0254111656300308,-0.0166560342082711,0.254166552115342,-0.0780237642908537,-0.0483665667251252,0.0483665667251262,0.334652738091218,0.182405081583022,-0.223144833785532,,,,,,
14-3-3 protein zeta/delta,0.0149913798919579,0.118698391224623,-0.142932847539688,0.0335362672273735,-0.0758289768788653,0.155732151907678,-0.025991196074019,-0.134077934886467,0.100968080959736,-0.0799836840325232,0.0297838572823911,0.0302637236977926,-0.142893058717077,-0.0358258599164062,-0.0940831341197227,0.0100777836304015,0.264896609528795,0.310942824355571,-0.193026488194186,-0.00507983879873571,-0.0406780573959584,-0.0173988770850364,0.0490414387952675,0.0761762204718542,0.0013470353170174,-0.00614467429471029,-0.0988473723467348,0.11599137224803,0.0284908821352353,0.00322656882878258,0.00819510696805436,-0.103361830161577,0.10528259793585,0.0930418057438056,-0.0759156304011807,-0.020315940755481
2-5-oligoadenylate synthase 2,-0.0928870916937701,0.111410300752489,0.0478111449994483,-0.030509276217144,0.0670012638134153,0.175249537731271,0.282368408502654,-0.259367820268086,0.188972858169943,-0.103493124010388,0.0715117012416272,-0.140416956240323,-0.386841626752948,0.288799807947255,-0.129078565906447,0.190091592727121,-0.222461759136809,0.146867158571819,0.0435435528876494,-0.0482388018811111,0.0954377250785803,-0.0969422573146943,0.16824333758058,-0.102166011214103,-0.161676331697066,0.235627658134858,-0.316180021860458,0.153586772715006,-0.303040171747325,0.201478785446855,0.238601398121462,-0.271854572532754,0.230221328058895,-0.314011369854195,0.2011078034041,-0.185665681616389
26S protease regulatory subunit 7,-0.0506786075028368,0.0215221856946738,0.0706675328922096,-0.0107259545525006,0.0567453534769834,-0.0242167988454559,-0.0402846244913494,0.0469259641001428,-0.134096657257655,-0.0997440815040325,0.2066430871469,0.125567805473712,0.00954562925424526,0.0042491302913744,0.0215640573588231,0.0276080779115948,-0.0739172791972958,0.0270228057779138,-0.0911047178811561,0.0207065941054425,-0.0414623003747859,0.0151096224240758,0.0144009861547141,-0.0844024106004231,-0.0341296324900718,0.0182884810665788,-0.0309575674974603,0.050550618929519,-0.199550351050436,0.0351275777831737,-0.00769405481497168,0.0431239362095551,0.0367965370236566,-0.0365968897743392,0.0212698491327777,0.0413082755723841
26S protease regulatory subunit 8,0.0111199965196643,0.258278612840043,0.073787164436293,-0.0780292331714503,-0.0141565223082414,0.0125230820832055,-0.13891303012354,0.0323318162030331,-0.171766988080123,0.112739273798573,-0.0621017506931868,-0.0182145267864193,-0.0828560547118947,0.0332227328692956,0.142897250315446,0.109120386253574,0.0363773728837737,-0.163952292274863,-0.215876694667883,-0.0270649234395687,-0.0178675457726853,0.0977162140182375,0.0106336548932042,0.0492356880850199,-0.0592332352082221,-0.0494160642339986,-0.00254179553905304,-0.0214132590694878,0.0120826098166734,0.025084380870392,0.00300589344668242,-0.0418392046856121,-0.0417549692536712,0.0482173311121692,0.00233774272976875,-0.0372397791311883
26S proteasome non-ATPase regulatory subunit 2,0.0348381479760648,0.0510573223254918,0.0330270964163267,0.0102542331799542,0.0146753191253145,0.0901345665169227,-0.00249576387883481,0.0251709477951521,-0.0710184564346621,-0.0448715378301337,0.00522016189825858,-0.0021341277919554,-0.0107400455325536,-0.0467669599858589,0.123728645015901,-0.00901342530443589,0.0237204922708647,0.0655330432031684,-0.0930175209768881,0.0323696839275247,0.000648307845795119,-0.030952332756694,-0.0212356079910006,0.108720125042345,0.0610524237686423,-0.00309374524935315,0.105236982607541,0.0254297467363113,-0.286289671829285,-0.0808279040836523,-0.00970242538315579,-0.00740196884273728,0.0124625071254236,-0.0104659935877708,0.0179375237021303,0.00363352837324243
