protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 kDa heat shock protein, mitochondrial",-0.0819669017032943,-0.0705330928608489,-0.0741963326969134,0.0875072020548479,-0.016152644317574,-0.012044483936891,0.0545900883994236,-0.122502730743287,0.00113496607935602,0.0394312691368838,-0.0495746375978943,0.006758613116586,-0.0512599126486674,-0.306170997318253,0.0470971425334425,-0.485886540312242,0.00501910119608839,-0.188694655309175,-0.0944109612319359,-0.00206060173881452,-0.0632250941898247,-0.0118087111141924,-0.0637260522693304,0.0142630999568545,0.000596300632701021,-0.2330301704689,0.00316183367068317,-0.231618486839842,-0.00264283129024049,-0.310707228513514,-0.0156714929029589,0.0261953186795282,0.0270264055582918,-0.012672589735086,-0.0110199898397399,-0.0345886085170926
116 kDa U5 small nuclear ribonucleoprotein component,0.150699226219952,-0.0616830422182669,0.207652193524432,-0.0430970429382364,0.159306165792238,0.156214915422785,0.0211350945819395,-0.212463628777483,0.117269005144585,-0.0572814798033904,-0.115156678665106,-0.293234048780246,-0.0461614878561233,0.127391538023567,0.0530269798866992,0.221823329555843,-0.00297852035428686,0.093207371558989,0.0292402595310934,0.0568364535469939,0.221791117225259,-0.234219558819365,0.350550114035631,0.258964693076097,-0.0188305631004171,0.163002397684872,0.0347633093635582,0.170171766356523,-0.015366828910434,0.0567053740262692,-0.00746432598812801,-0.0656347817205716,0.0205592050981802,-0.10171260691591,-0.00968160800195724,-0.0160209807577287
14-3-3 protein epsilon,0.129904244602304,0.0401861974500439,0.0350166416402223,-0.0698487729889458,0.0294233856484021,0.0504523423277258,0.0879811349717807,0.0855983859829402,0.0263167729750852,0.0443101133830376,-0.0872820496759147,0.0420260999080843,-0.197235156644809,0.138452875502582,0.308728873865496,0.32870322335379,0.00973095174495028,0.0496544873252932,0.29821178750043,0.220593406686604,0.284593114658344,0.0414289346109389,0.122574520463943,-0.214821921726187,0.0589761946218956,0.146442450277175,-0.140058106560293,0.105881328047751,0.121679146193501,0.149037967336948,-0.0427344662644715,-0.0400711777644483,-0.0113682066071896,-0.0275139482376492,0.0586755603662442,-0.0752391183564478
14-3-3 protein sigma,0.134387935120146,-0.0311213406889781,-0.00328745491394682,0.0444996712172038,0.0691814013617949,-0.0133783305282256,0.0161327334802869,-0.0197649038677028,-0.0500904271828215,-0.012334791580801,0.0339576937025353,-0.0256161014737906,,,,,,,-0.0683485734850651,-0.109568502358702,-0.155512364047632,-0.0595934420633055,-0.101660641901607,0.169161944422006,-0.128939725629952,-0.0992825280642231,-0.00254939461397187,0.28373677675212,0.131489120243924,-0.27406079512463,,,,,,
14-3-3 protein zeta/delta,-0.0766616833951932,0.0224542330968122,-0.231171322096318,-0.0586209092805929,-0.173088819556178,0.053318271329941,-0.0605003263600812,-0.167733079333961,0.0657986436370756,-0.114962001733273,-0.00384093510430763,0.000412934256461768,-0.147218162799897,-0.0417128855267345,-0.0972113710618793,0.00564902646410245,0.256239948263569,0.301984636177676,-0.194155097461268,-0.0173317206360746,-0.0508121012540648,-0.030327766576968,0.0383285286865077,0.061337480542991,0.0263191293145007,0.0219977243343653,-0.0707946643874868,0.139991191599196,0.0526915134599481,0.0314968923242868,0.00570218609925925,-0.105734245762019,0.117999066599863,0.11870724119816,-0.0937434715772281,-0.00524918606721669
2-5-oligoadenylate synthase 2,-0.139391555350961,0.0382363910062387,0.00590222753768464,-0.0940393661506448,0.0170075769586694,0.0928886708939438,0.106676149770446,-0.434710513784365,0.0156806201364336,-0.277238393718635,-0.0993231376432539,-0.31002339881624,-0.121735147349226,0.56032813993697,0.118738093132563,0.457937198197878,0.0309717504659146,0.410265685356575,0.126585673893175,0.0345466357194218,0.178330097606919,-0.0143047557648602,0.251098699083285,-0.0190025251126591,0.114836240568397,0.499873214609491,-0.0517644835681029,0.419917784548827,-0.0381453920442003,0.465605659872012,0.0148780656180883,-0.492456466905425,0.00699293245943574,-0.535725211657494,-0.0202318688503197,-0.398726871831323
26S protease regulatory subunit 7,-0.1094737520948,0.0317572109722337,0.0272009403105069,-0.00484613916778026,0.0256526664352248,-0.00630442132335561,-0.028016685465842,0.00694351350463375,-0.123833476622347,-0.0184920823607286,0.172750138997927,0.0211726872310851,0.0180576254372477,0.020893081292887,0.0344030280039766,0.0157574548257227,-0.0512423274310995,0.0336346294067047,-0.0200659681055976,0.0565390434333568,0.00467881205637554,0.0414758272108183,0.0227905117272346,-0.0877854672892178,0.000925389128184488,0.243807573517026,0.176124013894335,0.328838675762363,-0.0450877684022443,0.276141556295966,0.00488053776251414,0.0458792236462994,0.000124961100418892,-0.124244333057238,-0.00417128936938097,0.0364626672870015
