protein,DDA_APT_D5_1,DDA_APT_D6_1,DDA_APT_D5_2,DDA_APT_D6_2,DDA_APT_D5_3,DDA_APT_D6_3,DDA_FDU_D6_1,DDA_FDU_F7_1,DDA_FDU_D6_2,DDA_FDU_F7_2,DDA_FDU_D6_3,DDA_FDU_F7_3,DDA_NVG_D6_1,DDA_NVG_M8_1,DDA_NVG_D6_2,DDA_NVG_M8_2,DDA_NVG_D6_3,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D6_1,DIA_APT_D5_2,DIA_APT_D6_2,DIA_APT_D5_3,DIA_APT_D6_3,DIA_BGI_D6_1,DIA_BGI_M8_1,DIA_BGI_D6_2,DIA_BGI_M8_2,DIA_BGI_D6_3,DIA_BGI_M8_3,DIA_FDU_D6_1,DIA_FDU_F7_1,DIA_FDU_D6_2,DIA_FDU_F7_2,DIA_FDU_D6_3,DIA_FDU_F7_3
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",,,,,,,,,1.64414803104852,,1.64409910987437,,,,,,,,,,,,,,1.64193348586996,1.44180389449842,1.64628406227372,1.43683969717632,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase ABHD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-3-3 protein sigma,2.39882463982536,2.14346805403417,2.19224510620121,2.31442300981134,2.31705799975997,2.20400557067378,2.52092560395256,2.47655304744564,2.43822863437385,2.49402387394745,2.59443526611663,2.49950002151184,,3.03052360010357,3.11468608357275,3.15081715582872,3.07473180738489,3.06899127769947,2.31465823296637,2.26288239822453,2.23782712769641,2.41021884231226,2.34918445330331,2.55198866329112,2.8209634116002,2.8713287950617,2.82101662085636,3.19343757726274,3.0323611248471,2.71231276632319,,,,,,
2-5-oligoadenylate synthase 2,2.58300662983203,2.86457201257515,2.70155928725734,2.69112020832037,2.75616398113708,2.95888568129156,3.18403910888438,2.60119198236778,3.08417741044103,2.81237989946243,2.9973296278803,2.81185221353082,2.58209278402853,3.19668612753914,2.92838535997502,3.19734269175493,2.86319155397615,3.13137812767605,2.88153898415425,2.75072942444645,2.91598641475879,2.71743722832317,2.98158186808146,2.71890834359725,2.90972172111027,3.21990994965062,2.66230342892834,3.14346697971534,2.71301157794829,3.24243965640959,3.06055877496492,2.54027116741055,3.01271376370488,2.47546272781637,3.02525126155942,2.64433258080608
3-mercaptopyruvate sulfurtransferase,,,,,,,9.07759602639633,,,9.27236406208699,,8.93493397201833,-2.99213240065534,,,,,,-2.94261578342213,8.04727782316003,-2.88437759681307,9.28596295528992,9.23836690452817,7.76046300364207,-2.80744926503553,8.40273428900311,8.44752663560635,8.55463941801268,8.29009740531168,8.47166014483679,9.03148339028422,,,,,9.14261919807354
"39S ribosomal protein L18, mitochondrial",0.957147897057003,-3.32855146310867,1.76069002139484,-3.20647929221293,1.56351221112122,0.971827201249078,0.781257992524995,1.31817962418364,1.01932552590779,0.700310830254948,0.731256326601641,1.64226963554341,-3.41825300860511,1.7086069822451,-3.03664296065495,-3.08158099613926,-3.07573980806873,,1.82044769505804,0.523319815468685,1.72554506995019,1.70430075226148,1.78957463649136,1.43868125962806,2.23696935993018,2.12030519964367,1.48758833560792,1.46724308123998,0.740926946110629,,0.784627815799413,0.791880985279758,0.856466627624536,1.12434366931205,0.869088175992753,0.340426087054483
"39S ribosomal protein L33, mitochondrial",-2.95095875998594,-2.66991809131445,-3.17273267616667,-3.35307244311326,-3.19129322999501,-3.35803713500979,,,,,,,-2.91997507616069,,,,,,-2.76662501119158,-2.91679930817895,-2.71665888695886,-3.14681336989404,-3.41950077960308,-3.66106986443828,-0.685372011197624,-0.46391707084922,-0.576936014628646,-0.392124395336001,-0.68918598770307,0.197805699299488,-3.38680512616829,,,,,-2.83938962230631
"4-aminobutyrate aminotransferase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40S ribosomal protein S26,6.6115502139775,,6.52877970155146,6.46382519607311,6.66403227193008,6.68282073899522,6.26158390430733,6.24612731744453,6.36236528749844,6.45113890623699,6.41919142479576,6.58598987052016,,,,,,,7.08488263274222,7.23991625127042,7.16669551600667,3.37953374899803,7.29287595566987,7.32411745959097,7.0710650222854,6.88572356702541,5.023926682379,4.94564763851528,6.90220916872982,6.888910411724,6.37473728400508,6.19154207669824,6.33401609277473,6.40816812405417,6.39627069149221,6.46061132347887
40S ribosomal protein S27,3.08304316526351,2.95795480899487,2.82142027269483,3.01804793766187,2.89851765541057,2.72377000963031,2.77768613625155,2.60728868721671,2.63012446681381,2.27331965135039,2.77115531991356,2.73123458037578,,3.35709956250042,3.2853174406107,3.25326790696978,2.9320182888782,3.31827094741899,2.88765861508878,,2.90022093798244,3.02711310475675,3.0840894900658,,3.10774356504543,3.13547825299217,3.07042572262807,3.07206546464282,3.11920647794226,3.19653673111318,2.66245320871274,2.66430535822923,2.65177951409195,3.02394855214509,2.63415009189975,2.67527993353068
40S ribosomal protein S28,4.27674389938851,4.34584166620276,4.70718285278771,4.907158333624,4.84329140602456,4.327701680386,4.45049790799246,4.59487629548118,4.45175761104169,4.33120985531577,4.29119190836675,4.35344880029921,,,,,-0.548792878633257,4.64747456100609,4.10626684169992,4.31306764354612,4.19476770558692,4.29087686053566,4.19278800629562,4.35623597653921,5.08252779977149,4.97534456586319,4.67956027731372,4.89251352349537,4.91468226358194,4.96821701597997,4.35715378527939,4.46466375094088,4.31844665570042,4.44575410034098,4.30617296565262,4.43047744336309
40S ribosomal protein S30,-0.987241481706366,-0.706361533258114,,-0.756859266115831,-0.685584886306626,-1.10266935948273,-0.214415887329739,-0.297252206299903,-0.604593497839185,-0.274234690266776,-0.51523034659797,-0.578502808332042,-0.400048265921922,,-2.35280811877419,-0.320877111458743,,,-0.853149139534632,-0.783157943482961,-0.902405877720833,-0.871773490190509,-0.714645281731969,-0.382262692698928,-0.732931056575026,-0.646730977404372,-0.739085402615705,-0.925082584883588,-0.837769585463978,-0.999723407430336,-0.773866933065427,-0.661275463606163,-0.137009142790964,-0.517438682066033,-0.651678215194277,-0.659360767520288
5-nucleotidase domain-containing protein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-phosphohydroxy-L-lysine phospho-lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38787637710305,-0.140287274460081,-0.420997173174398,0.000411102678247761,-0.435342166719959,-0.0893124087754782
6.8 kDa mitochondrial proteolipid,,,,,,,-0.0930495571419743,0.265708236338908,-0.0313476371145871,0.0707534469780529,-0.0403629381573788,0.207823611652383,,,,,,,,,,,,,,,,,,,-1.93800226043469,-0.366544163394287,0.533654561871103,0.890465347703294,0.338674682391267,0.217609963187543
60S ribosomal protein L10a,3.17057546576838,2.31684881588892,2.3978387330199,3.03104428765954,2.42499864164323,2.8933960300692,2.76302495144633,2.16381017609119,2.84607650333412,2.28071534917951,2.95516318286805,3.02699274982142,2.77449548411649,2.92566078569526,2.85601156806701,2.8956664490872,2.70221629025929,2.92529251704414,3.03147130376808,3.03450627842014,2.97895147182293,2.98301421861057,3.05762863504025,2.93771716510576,,,,,,,2.20995864117614,2.23741556594584,2.20632666137739,2.22746229304644,2.20925056786738,2.20001161734037
60S ribosomal protein L29,4.79407076344093,4.57524153752431,4.65693133769513,5.00071830933163,4.48206232799364,4.75439157896292,4.84209416625425,5.43096627612429,1.63281252395858,5.43511117855199,4.94514658077076,4.86974649632873,4.84681584265945,5.77350110116128,4.94685226493787,4.94193869849769,4.77594219515858,5.06181237663114,4.71866333699834,4.78831707691793,4.78887409459038,4.71880361566299,4.71679773125723,4.68599693537309,,,,,,,4.76885400195965,4.84165812283558,4.81521785682326,4.8264283044653,4.81041481393787,4.82777454598901
60S ribosomal protein L36a,3.86802367391254,3.76254184713905,3.88025695259693,3.69798702237443,3.97764135311949,3.65593874617904,3.69919504106625,3.85153214987704,3.7858578611892,3.82345400323842,3.62812935302185,3.88625311294742,,,,,3.70682418268229,,,,,,,,,,,,,,,,,,,
78 kDa glucose-regulated protein,7.81605751586983,8.58417519107425,7.81900171543475,8.68286037367162,7.74554464710502,8.71572327586827,8.22923006904882,8.59202051122511,8.31805430098697,8.53785191476897,8.26926340469742,8.32703189625432,9.28214290542134,8.55651297148436,9.17864681557694,8.36054514103877,9.24412328273197,8.24007938721414,7.38328450456245,9.11987591548013,7.53106977576916,8.53849655362707,7.52122853119712,8.69047374982857,9.24324866563767,8.09573316224596,9.27083294200055,8.06423386016052,9.05788236173033,8.73129644578289,8.48154988146456,8.65184205450754,8.5328408540761,8.68595790624678,8.48619630618304,8.62573043928034
A disintegrin and metalloproteinase with thrombospondin motifs 5,,,,,,,,,,,,,,,,,,,4.04995800220082,3.73140580145038,4.01634777775586,3.67180915078235,4.08044574201577,3.70227686936142,,,,,,,,,,,,
"A-kinase anchor protein 1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-kinase anchor protein 11,,,,,,,,,,,,,,,,,,,-0.444553423634255,0.651909083550628,-0.444553423634255,0.651909083550628,,0.651909083550628,,,,,,,,,,,,
Abelson tyrosine-protein kinase 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.875415906315197,-1.0147909738694,-0.91196461447528,-0.859530698314768,-0.927794275740835,-0.958540348570639
Abhydrolase domain-containing protein 16A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid sphingomyelinase-like phosphodiesterase 3b,,,,,,,,,,,,,,,,,,,,,,,,,2.06848794342477,1.57813129203022,1.60743083428338,1.31311542469015,2.3197140003528,1.44284525030647,,,,,,
Actin-related protein 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activating transcription factor 7-interacting protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active regulator of SIRT1,,,,,,,,,,,,,,,,,,,,,,,,,-7.19377090645688,-7.80832039047388,-7.73597615104145,-7.47806868371408,-7.28061842096392,-7.70767896098505,,,,-7.21753584047312,,-7.30689738764247
"Acyl-coenzyme A synthetase ACSM3, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acyl-coenzyme A thioesterase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acyl-coenzyme A thioesterase 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acyl-coenzyme A thioesterase THEM4,,,,,,,,,,,,,,,,,,,,,,,,,,3.92884221962984,5.49549459467648,3.92884221962984,5.49549459467648,3.92884221962984,,,,,,
Adenylate kinase isoenzyme 6,,,,,,,,,,,,,,,,,,,,-0.174333229243775,0.228567930329631,-0.498992562821184,1.07415517171701,,-0.403490026064049,0.313331598750004,,0.127562740507392,-0.268925386592749,0.252475817049241,,,,,,
Adenylyl cyclase-associated protein,4.40650841907628,4.34475927824237,3.85601800416747,4.1878643105585,4.24636618238544,,3.31817763769289,3.51018817810443,3.39527402959061,3.30031936153796,3.88974282565836,3.49294847201623,,3.96293120862648,4.16609960338562,3.97577729176459,,3.99041501591617,4.27655813854509,4.22849147014531,4.19304375471462,4.0550446263533,4.06999649345815,4.02888389624177,3.25387229107738,3.48165259332977,3.38353729347578,3.60867680066189,3.39567871466982,3.46658380556319,,,,1.25840025462884,,
"ADP-ribose pyrophosphatase, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP-ribosylation factor 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP-ribosylation factor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP-ribosylation factor-like protein 15,3.66026634602457,4.11271808108621,,4.12154924193131,3.65156813673628,,,,,,,,,,,,,,,,,,,,,,,,,,3.57906295437981,3.7420531637736,4.41994034168779,3.12335298381609,4.33429238927684,3.16727483743903
ADP-ribosylation factor-like protein 5B,,,,,,,,,,,,,,,,,,,,,,,,,0.0970707914492534,1.06484901730677,0.984412183452475,1.57489331326482,-0.386433908168391,1.32521785709174,,,,,,
ADP-ribosylation factor-like protein 6-interacting protein 1,1.83222520807699,0.914557517722342,1.94032366371787,1.75017512350482,2.17077362130807,1.5926701155728,,,,,,,,,2.36369894856039,1.81143911385672,,,1.8886620142349,2.00479784857921,1.08648687240741,1.6584592418239,1.8503552030991,1.87456763122314,,2.36919806870759,1.71718129674129,,,,2.04947482674718,1.96961164886636,1.79985879789317,2.58198845857218,1.15414273324557,1.60656669809548
ADP-ribosylation factor-like protein 8B,3.12243593166183,2.5280041254659,2.69874768725687,2.42167049460199,2.86983661922962,2.46430449984279,2.18928914276801,2.2313528316981,2.30345799223406,2.75075124093489,2.31104122185057,2.06644744899673,,,,,,,3.01487484426566,2.44983855564117,3.01700172136684,2.46481745127294,2.68597345654046,2.07650165855303,1.14225306011586,1.40665121994805,2.24233373964158,2.17350791254098,2.52806528361856,2.1421740748886,2.40025046676363,2.25610373287558,2.35475980055385,2.11212642177684,2.25848216878318,2.14418867147568
Adrenocortical dysplasia protein homolog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adrenodoxin-like protein, mitochondrial",,,-0.0788451128254666,0.356470329360013,,0.342482564487057,,,,,,,,,,,,,,,,,,,0.779105302789251,-0.62756321538337,-0.0848750263242719,,,-0.490685066683313,,,,,,
